alpha,H,K,Al,Si,O,K_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_K,phiTilt_K,phiM_K,phiN_K,thetaK_K,thetaTilt_K,thetaM_K,thetaN_K,energyK_K,energyE_K,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,8.234E-04,0.000E+00,1.574E-03,0.000E+00,0.000E+00,0.000E+00,9.117E-04,4.369E-03,8.172E-04,2.054E-03,2.268E-01,1.733E+00,1.823E-02,1.490E+00,1.585E+00,1.737E+00,-3.311E-03,2.467E+00,2.417E+00,8.022E-02,3.818E+00,1.794E+00,3.954E-02,1.222E+00,1.595E+00,1.793E+00,7.885E-03,2.276E+00,2.387E+00,3.348E-01,1.104E+00,1.726E+00,1.011E-02,1.508E+00,1.600E+00,1.730E+00,-3.294E-03,2.648E+00,2.594E+00,1.151E-01,3.098E+00,1.821E+00,1.364E-02,1.290E+00,1.382E+00,1.827E+00,-5.145E-03,2.452E+00,2.376E+00,6.623E-02,4.394E+00
1,0.000E+00,8.371E-04,0.000E+00,1.582E-03,0.000E+00,0.000E+00,0.000E+00,9.213E-04,4.415E-03,8.287E-04,2.066E-03,2.291E-01,1.721E+00,3.012E-03,1.557E+00,1.574E+00,1.727E+00,-3.552E-03,2.475E+00,2.421E+00,8.015E-02,3.821E+00,1.760E+00,1.584E-02,1.377E+00,1.576E+00,1.771E+00,6.525E-03,2.324E+00,2.415E+00,3.348E-01,1.104E+00,1.713E+00,2.901E-04,1.541E+00,1.635E+00,1.718E+00,-3.262E-03,2.646E+00,2.592E+00,1.150E-01,3.101E+00,1.811E+00,7.902E-03,1.302E+00,1.413E+00,1.817E+00,-5.214E-03,2.462E+00,2.385E+00,6.587E-02,4.413E+00
2,0.000E+00,8.508E-04,0.000E+00,1.591E-03,0.000E+00,0.000E+00,0.000E+00,9.309E-04,4.462E-03,8.402E-04,2.078E-03,2.314E-01,1.724E+00,-1.221E-02,1.625E+00,1.563E+00,1.718E+00,-3.794E-03,2.483E+00,2.426E+00,8.008E-02,3.823E+00,1.738E+00,-7.862E-03,1.532E+00,1.558E+00,1.748E+00,5.166E-03,2.373E+00,2.444E+00,3.349E-01,1.104E+00,1.710E+00,-9.527E-03,1.573E+00,1.669E+00,1.705E+00,-3.229E-03,2.644E+00,2.591E+00,1.149E-01,3.103E+00,1.801E+00,2.160E-03,1.314E+00,1.444E+00,1.808E+00,-5.282E-03,2.471E+00,2.393E+00,6.552E-02,4.432E+00
3,0.000E+00,8.645E-04,0.000E+00,1.599E-03,0.000E+00,0.000E+00,0.000E+00,9.404E-04,4.509E-03,8.518E-04,2.090E-03,2.337E-01,1.729E+00,-2.743E-02,1.693E+00,1.553E+00,1.708E+00,-4.035E-03,2.491E+00,2.430E+00,8.001E-02,3.826E+00,1.737E+00,-3.156E-02,1.688E+00,1.539E+00,1.725E+00,3.807E-03,2.421E+00,2.473E+00,3.350E-01,1.104E+00,1.708E+00,-1.934E-02,1.605E+00,1.704E+00,1.693E+00,-3.196E-03,2.642E+00,2.590E+00,1.148E-01,3.106E+00,1.796E+00,-3.581E-03,1.325E+00,1.475E+00,1.799E+00,-5.350E-03,2.481E+00,2.401E+00,6.516E-02,4.450E+00
4,0.000E+00,8.713E-04,0.000E+00,1.603E-03,0.000E+00,0.000E+00,0.000E+00,9.452E-04,4.532E-03,8.575E-04,2.096E-03,2.348E-01,1.732E+00,-3.504E-02,1.727E+00,1.547E+00,1.703E+00,-4.156E-03,2.495E+00,2.432E+00,7.998E-02,3.827E+00,1.738E+00,-4.341E-02,1.765E+00,1.530E+00,1.714E+00,3.127E-03,2.446E+00,2.487E+00,3.351E-01,1.103E+00,1.707E+00,-2.425E-02,1.622E+00,1.721E+00,1.687E+00,-3.180E-03,2.641E+00,2.589E+00,1.147E-01,3.108E+00,1.795E+00,-6.451E-03,1.331E+00,1.491E+00,1.795E+00,-5.385E-03,2.486E+00,2.405E+00,6.498E-02,4.460E+00
5,0.000E+00,8.781E-04,0.000E+00,1.607E-03,0.000E+00,0.000E+00,0.000E+00,9.500E-04,4.555E-03,8.633E-04,2.102E-03,2.360E-01,1.735E+00,-4.265E-02,1.761E+00,1.542E+00,1.699E+00,-4.277E-03,2.500E+00,2.435E+00,7.994E-02,3.828E+00,1.739E+00,-5.526E-02,1.843E+00,1.521E+00,1.702E+00,2.448E-03,2.470E+00,2.501E+00,3.351E-01,1.103E+00,1.706E+00,-2.916E-02,1.638E+00,1.738E+00,1.681E+00,-3.164E-03,2.640E+00,2.589E+00,1.147E-01,3.109E+00,1.793E+00,-9.322E-03,1.337E+00,1.506E+00,1.790E+00,-5.419E-03,2.490E+00,2.409E+00,6.481E-02,4.469E+00
6,0.000E+00,8.918E-04,0.000E+00,1.615E-03,0.000E+00,0.000E+00,0.000E+00,9.596E-04,4.602E-03,8.748E-04,2.114E-03,2.382E-01,1.742E+00,-5.788E-02,1.828E+00,1.531E+00,1.689E+00,-4.518E-03,2.508E+00,2.439E+00,7.988E-02,3.831E+00,1.741E+00,-7.896E-02,1.998E+00,1.502E+00,1.680E+00,1.089E-03,2.519E+00,2.530E+00,3.352E-01,1.103E+00,1.704E+00,-3.898E-02,1.670E+00,1.773E+00,1.668E+00,-3.131E-03,2.639E+00,2.588E+00,1.145E-01,3.112E+00,1.790E+00,-1.506E-02,1.348E+00,1.538E+00,1.781E+00,-5.487E-03,2.500E+00,2.417E+00,6.445E-02,4.488E+00
7,0.000E+00,9.055E-04,0.000E+00,1.623E-03,0.000E+00,0.000E+00,0.000E+00,9.691E-04,4.649E-03,8.863E-04,2.126E-03,2.405E-01,1.748E+00,-7.310E-02,1.896E+00,1.521E+00,1.679E+00,-4.759E-03,2.516E+00,2.443E+00,7.981E-02,3.833E+00,1.746E+00,-1.027E-01,2.154E+00,1.484E+00,1.657E+00,-2.704E-04,2.567E+00,2.558E+00,3.353E-01,1.103E+00,1.702E+00,-4.880E-02,1.703E+00,1.807E+00,1.656E+00,-3.098E-03,2.637E+00,2.586E+00,1.144E-01,3.114E+00,1.788E+00,-2.080E-02,1.360E+00,1.569E+00,1.772E+00,-5.556E-03,2.509E+00,2.425E+00,6.410E-02,4.507E+00
8,0.000E+00,9.191E-04,0.000E+00,1.632E-03,0.000E+00,0.000E+00,0.000E+00,9.787E-04,4.696E-03,8.979E-04,2.138E-03,2.428E-01,1.755E+00,-8.832E-02,1.964E+00,1.510E+00,1.670E+00,-5.001E-03,2.524E+00,2.448E+00,7.974E-02,3.836E+00,1.752E+00,-1.264E-01,2.309E+00,1.466E+00,1.634E+00,-1.630E-03,2.616E+00,2.587E+00,3.354E-01,1.103E+00,1.700E+00,-5.861E-02,1.735E+00,1.842E+00,1.644E+00,-3.066E-03,2.635E+00,2.585E+00,1.143E-01,3.117E+00,1.785E+00,-2.655E-02,1.372E+00,1.600E+00,1.763E+00,-5.624E-03,2.519E+00,2.433E+00,6.374E-02,4.525E+00
9,0.000E+00,9.260E-04,0.000E+00,1.636E-03,0.000E+00,0.000E+00,0.000E+00,9.835E-04,4.719E-03,9.036E-04,2.144E-03,2.439E-01,1.758E+00,-9.593E-02,1.998E+00,1.505E+00,1.665E+00,-5.121E-03,2.528E+00,2.450E+00,7.971E-02,3.837E+00,1.755E+00,-1.382E-01,2.387E+00,1.456E+00,1.623E+00,-2.309E-03,2.640E+00,2.601E+00,3.354E-01,1.102E+00,1.699E+00,-6.352E-02,1.751E+00,1.859E+00,1.637E+00,-3.049E-03,2.634E+00,2.584E+00,1.143E-01,3.118E+00,1.784E+00,-2.942E-02,1.378E+00,1.616E+00,1.758E+00,-5.658E-03,2.524E+00,2.437E+00,6.356E-02,4.535E+00
