alpha,H,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,2.247E-03,0.000E+00,1.340E-03,6.472E-03,2.043E-01,1.725E+00,6.863E-03,1.531E+00,1.581E+00,3.142E+00,2.697E-04,2.521E+00,2.525E+00,1.177E-01,3.040E+00,1.821E+00,-1.371E-02,1.512E+00,1.237E+00,3.142E+00,-2.474E-03,2.415E+00,2.379E+00,6.640E-02,4.385E+00
1,0.000E+00,2.247E-03,0.000E+00,1.359E-03,6.519E-03,2.056E-01,1.716E+00,-9.639E-03,1.616E+00,1.598E+00,3.142E+00,1.706E-05,2.526E+00,2.526E+00,1.176E-01,3.043E+00,1.812E+00,-1.970E-02,1.532E+00,1.284E+00,3.142E+00,-2.480E-03,2.428E+00,2.392E+00,6.634E-02,4.388E+00
2,0.000E+00,2.247E-03,0.000E+00,1.379E-03,6.566E-03,2.069E-01,1.714E+00,-2.614E-02,1.700E+00,1.615E+00,3.142E+00,-2.356E-04,2.532E+00,2.528E+00,1.175E-01,3.046E+00,1.803E+00,-2.569E-02,1.553E+00,1.332E+00,3.142E+00,-2.485E-03,2.441E+00,2.405E+00,6.629E-02,4.391E+00
3,0.000E+00,2.247E-03,0.000E+00,1.398E-03,6.613E-03,2.082E-01,1.713E+00,-4.264E-02,1.785E+00,1.631E+00,3.142E+00,-4.883E-04,2.537E+00,2.529E+00,1.174E-01,3.048E+00,1.795E+00,-3.168E-02,1.573E+00,1.379E+00,3.142E+00,-2.491E-03,2.455E+00,2.417E+00,6.623E-02,4.394E+00
4,0.000E+00,2.247E-03,0.000E+00,1.408E-03,6.636E-03,2.088E-01,1.713E+00,-5.089E-02,1.827E+00,1.640E+00,3.142E+00,-6.146E-04,2.540E+00,2.530E+00,1.173E-01,3.050E+00,1.790E+00,-3.467E-02,1.584E+00,1.402E+00,3.142E+00,-2.493E-03,2.461E+00,2.424E+00,6.620E-02,4.395E+00
5,0.000E+00,2.246E-03,0.000E+00,1.418E-03,6.659E-03,2.095E-01,1.712E+00,-5.915E-02,1.869E+00,1.648E+00,3.142E+00,-7.409E-04,2.542E+00,2.531E+00,1.172E-01,3.051E+00,1.786E+00,-3.767E-02,1.594E+00,1.426E+00,3.142E+00,-2.496E-03,2.468E+00,2.430E+00,6.617E-02,4.397E+00
6,0.000E+00,2.246E-03,0.000E+00,1.438E-03,6.706E-03,2.108E-01,1.712E+00,-7.565E-02,1.953E+00,1.665E+00,3.142E+00,-9.936E-04,2.548E+00,2.532E+00,1.171E-01,3.054E+00,1.778E+00,-4.366E-02,1.615E+00,1.473E+00,3.142E+00,-2.502E-03,2.481E+00,2.443E+00,6.612E-02,4.400E+00
7,0.000E+00,2.246E-03,0.000E+00,1.457E-03,6.753E-03,2.121E-01,1.712E+00,-9.215E-02,2.038E+00,1.682E+00,3.142E+00,-1.246E-03,2.553E+00,2.533E+00,1.170E-01,3.056E+00,1.770E+00,-4.965E-02,1.635E+00,1.520E+00,3.142E+00,-2.507E-03,2.494E+00,2.456E+00,6.606E-02,4.403E+00
8,0.000E+00,2.246E-03,0.000E+00,1.477E-03,6.800E-03,2.134E-01,1.712E+00,-1.087E-01,2.122E+00,1.698E+00,3.142E+00,-1.499E-03,2.558E+00,2.535E+00,1.169E-01,3.059E+00,1.763E+00,-5.564E-02,1.656E+00,1.568E+00,3.142E+00,-2.512E-03,2.508E+00,2.469E+00,6.600E-02,4.406E+00
9,0.000E+00,2.246E-03,0.000E+00,1.486E-03,6.823E-03,2.140E-01,1.712E+00,-1.169E-01,2.164E+00,1.707E+00,3.142E+00,-1.625E-03,2.561E+00,2.535E+00,1.168E-01,3.060E+00,1.759E+00,-5.863E-02,1.666E+00,1.591E+00,3.142E+00,-2.515E-03,2.514E+00,2.476E+00,6.597E-02,4.407E+00
