alpha,H,Fe,S,Fe_1,S_1,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,4.615E-03,0.000E+00,3.804E-03,7.755E-03,7.188E-01,1.763E+00,-1.464E-02,1.531E+00,1.474E+00,3.142E+00,-5.715E-03,2.545E+00,2.457E+00,7.191E-02,3.493E+00,1.699E+00,-2.978E-02,1.809E+00,1.611E+00,3.142E+00,-9.575E-04,2.498E+00,2.483E+00,1.412E-01,2.350E+00
1,0.000E+00,4.658E-03,0.000E+00,3.812E-03,7.807E-03,7.233E-01,1.762E+00,-2.084E-02,1.563E+00,1.481E+00,3.142E+00,-5.468E-03,2.533E+00,2.449E+00,7.175E-02,3.498E+00,1.699E+00,-2.944E-02,1.780E+00,1.638E+00,3.142E+00,-1.672E-03,2.524E+00,2.497E+00,1.408E-01,2.356E+00
2,0.000E+00,4.701E-03,0.000E+00,3.820E-03,7.859E-03,7.278E-01,1.761E+00,-2.705E-02,1.595E+00,1.488E+00,3.142E+00,-5.220E-03,2.522E+00,2.442E+00,7.158E-02,3.504E+00,1.699E+00,-2.910E-02,1.750E+00,1.666E+00,3.142E+00,-2.387E-03,2.549E+00,2.511E+00,1.403E-01,2.363E+00
3,0.000E+00,4.743E-03,0.000E+00,3.828E-03,7.911E-03,7.323E-01,1.760E+00,-3.325E-02,1.627E+00,1.496E+00,3.142E+00,-4.973E-03,2.510E+00,2.434E+00,7.142E-02,3.510E+00,1.698E+00,-2.877E-02,1.721E+00,1.693E+00,3.142E+00,-3.102E-03,2.575E+00,2.525E+00,1.398E-01,2.370E+00
4,0.000E+00,4.765E-03,0.000E+00,3.832E-03,7.937E-03,7.346E-01,1.759E+00,-3.635E-02,1.643E+00,1.499E+00,3.142E+00,-4.849E-03,2.504E+00,2.430E+00,7.134E-02,3.512E+00,1.698E+00,-2.860E-02,1.706E+00,1.706E+00,3.142E+00,-3.460E-03,2.588E+00,2.531E+00,1.395E-01,2.373E+00
5,0.000E+00,4.786E-03,0.000E+00,3.836E-03,7.963E-03,7.368E-01,1.759E+00,-3.945E-02,1.659E+00,1.503E+00,3.142E+00,-4.725E-03,2.498E+00,2.426E+00,7.126E-02,3.515E+00,1.698E+00,-2.843E-02,1.691E+00,1.720E+00,3.142E+00,-3.817E-03,2.601E+00,2.538E+00,1.393E-01,2.376E+00
6,0.000E+00,4.829E-03,0.000E+00,3.844E-03,8.015E-03,7.414E-01,1.758E+00,-4.566E-02,1.691E+00,1.510E+00,3.142E+00,-4.478E-03,2.486E+00,2.419E+00,7.110E-02,3.521E+00,1.699E+00,-2.810E-02,1.662E+00,1.747E+00,3.142E+00,-4.532E-03,2.627E+00,2.552E+00,1.388E-01,2.383E+00
7,0.000E+00,4.872E-03,0.000E+00,3.853E-03,8.067E-03,7.459E-01,1.757E+00,-5.186E-02,1.723E+00,1.518E+00,3.142E+00,-4.230E-03,2.475E+00,2.411E+00,7.094E-02,3.527E+00,1.699E+00,-2.776E-02,1.633E+00,1.774E+00,3.142E+00,-5.247E-03,2.653E+00,2.566E+00,1.383E-01,2.390E+00
8,0.000E+00,4.915E-03,0.000E+00,3.861E-03,8.119E-03,7.504E-01,1.756E+00,-5.806E-02,1.755E+00,1.525E+00,3.142E+00,-3.983E-03,2.463E+00,2.404E+00,7.077E-02,3.532E+00,1.700E+00,-2.742E-02,1.603E+00,1.801E+00,3.142E+00,-5.962E-03,2.678E+00,2.580E+00,1.379E-01,2.396E+00
9,0.000E+00,4.936E-03,0.000E+00,3.865E-03,8.145E-03,7.526E-01,1.756E+00,-6.117E-02,1.771E+00,1.529E+00,3.142E+00,-3.859E-03,2.457E+00,2.400E+00,7.069E-02,3.535E+00,1.700E+00,-2.726E-02,1.589E+00,1.815E+00,3.142E+00,-6.320E-03,2.691E+00,2.587E+00,1.376E-01,2.400E+00
10,0.000E+00,4.958E-03,0.000E+00,3.869E-03,8.171E-03,7.549E-01,1.755E+00,-6.427E-02,1.787E+00,1.533E+00,3.142E+00,-3.735E-03,2.451E+00,2.396E+00,7.061E-02,3.538E+00,1.700E+00,-2.709E-02,1.574E+00,1.829E+00,3.142E+00,-6.677E-03,2.704E+00,2.594E+00,1.374E-01,2.403E+00
11,0.000E+00,5.009E-03,0.000E+00,3.926E-03,8.296E-03,7.649E-01,1.754E+00,-6.037E-02,1.732E+00,1.568E+00,3.142E+00,-3.769E-03,2.450E+00,2.394E+00,7.074E-02,3.533E+00,1.701E+00,-3.317E-02,1.598E+00,1.834E+00,3.142E+00,-6.296E-03,2.699E+00,2.595E+00,1.375E-01,2.402E+00
12,0.000E+00,5.060E-03,0.000E+00,3.983E-03,8.420E-03,7.750E-01,1.752E+00,-5.647E-02,1.676E+00,1.604E+00,3.142E+00,-3.802E-03,2.448E+00,2.392E+00,7.088E-02,3.529E+00,1.702E+00,-3.926E-02,1.622E+00,1.839E+00,3.142E+00,-5.915E-03,2.694E+00,2.596E+00,1.375E-01,2.401E+00
13,0.000E+00,5.111E-03,0.000E+00,4.040E-03,8.545E-03,7.850E-01,1.752E+00,-5.256E-02,1.621E+00,1.640E+00,3.142E+00,-3.835E-03,2.446E+00,2.389E+00,7.101E-02,3.524E+00,1.703E+00,-4.535E-02,1.646E+00,1.844E+00,3.142E+00,-5.533E-03,2.689E+00,2.597E+00,1.376E-01,2.400E+00
14,0.000E+00,5.137E-03,0.000E+00,4.068E-03,8.607E-03,7.900E-01,1.752E+00,-5.061E-02,1.593E+00,1.658E+00,3.142E+00,-3.852E-03,2.445E+00,2.388E+00,7.108E-02,3.522E+00,1.703E+00,-4.839E-02,1.658E+00,1.847E+00,3.142E+00,-5.343E-03,2.686E+00,2.598E+00,1.376E-01,2.400E+00
15,0.000E+00,5.162E-03,0.000E+00,4.096E-03,8.670E-03,7.950E-01,1.752E+00,-4.866E-02,1.566E+00,1.676E+00,3.142E+00,-3.869E-03,2.444E+00,2.387E+00,7.114E-02,3.519E+00,1.703E+00,-5.143E-02,1.669E+00,1.849E+00,3.142E+00,-5.152E-03,2.684E+00,2.598E+00,1.377E-01,2.399E+00
16,0.000E+00,5.214E-03,0.000E+00,4.153E-03,8.794E-03,8.051E-01,1.753E+00,-4.476E-02,1.511E+00,1.712E+00,3.142E+00,-3.902E-03,2.442E+00,2.385E+00,7.128E-02,3.515E+00,1.704E+00,-5.752E-02,1.693E+00,1.854E+00,3.142E+00,-4.771E-03,2.678E+00,2.600E+00,1.377E-01,2.398E+00
