alpha,H,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,1.422E-03,0.000E+00,2.145E-03,3.108E-03,6.492E-04,3.019E-03,2.421E-01,1.778E+00,6.114E-02,1.183E+00,1.727E+00,3.142E+00,1.449E-03,2.492E+00,2.514E+00,9.034E-02,3.203E+00,1.717E+00,-9.920E-03,1.653E+00,1.555E+00,3.142E+00,1.540E-03,2.526E+00,2.550E+00,1.094E-01,3.235E+00,1.724E+00,-2.192E-02,1.665E+00,1.575E+00,3.142E+00,-4.999E-03,2.473E+00,2.399E+00,6.592E-02,4.410E+00
1,0.000E+00,0.000E+00,1.451E-03,0.000E+00,2.160E-03,3.132E-03,6.573E-04,3.045E-03,2.446E-01,1.756E+00,3.720E-02,1.310E+00,1.677E+00,3.142E+00,8.502E-04,2.494E+00,2.508E+00,9.007E-02,3.211E+00,1.711E+00,-1.694E-02,1.674E+00,1.608E+00,3.142E+00,8.852E-04,2.552E+00,2.565E+00,1.098E-01,3.226E+00,1.723E+00,-2.370E-02,1.646E+00,1.610E+00,3.142E+00,-5.101E-03,2.496E+00,2.418E+00,6.558E-02,4.428E+00
2,0.000E+00,0.000E+00,1.479E-03,0.000E+00,2.175E-03,3.155E-03,6.654E-04,3.071E-03,2.470E-01,1.737E+00,1.325E-02,1.436E+00,1.627E+00,3.142E+00,2.516E-04,2.497E+00,2.501E+00,8.979E-02,3.218E+00,1.704E+00,-2.395E-02,1.695E+00,1.661E+00,3.142E+00,2.300E-04,2.578E+00,2.581E+00,1.101E-01,3.217E+00,1.721E+00,-2.549E-02,1.628E+00,1.645E+00,3.142E+00,-5.204E-03,2.518E+00,2.438E+00,6.524E-02,4.446E+00
3,0.000E+00,0.000E+00,1.508E-03,0.000E+00,2.190E-03,3.179E-03,6.735E-04,3.096E-03,2.495E-01,1.731E+00,-1.070E-02,1.563E+00,1.577E+00,3.142E+00,-3.469E-04,2.499E+00,2.494E+00,8.951E-02,3.226E+00,1.697E+00,-3.097E-02,1.716E+00,1.715E+00,3.142E+00,-4.252E-04,2.604E+00,2.596E+00,1.105E-01,3.208E+00,1.720E+00,-2.727E-02,1.609E+00,1.679E+00,3.142E+00,-5.307E-03,2.540E+00,2.458E+00,6.490E-02,4.464E+00
4,0.000E+00,0.000E+00,1.522E-03,0.000E+00,2.198E-03,3.191E-03,6.776E-04,3.109E-03,2.507E-01,1.737E+00,-2.267E-02,1.627E+00,1.552E+00,3.142E+00,-6.462E-04,2.500E+00,2.491E+00,8.938E-02,3.230E+00,1.694E+00,-3.447E-02,1.727E+00,1.741E+00,3.142E+00,-7.528E-04,2.617E+00,2.603E+00,1.107E-01,3.204E+00,1.720E+00,-2.817E-02,1.600E+00,1.697E+00,3.142E+00,-5.358E-03,2.552E+00,2.468E+00,6.473E-02,4.473E+00
5,0.000E+00,0.000E+00,1.537E-03,0.000E+00,2.205E-03,3.203E-03,6.816E-04,3.122E-03,2.519E-01,1.743E+00,-3.464E-02,1.690E+00,1.527E+00,3.142E+00,-9.455E-04,2.501E+00,2.487E+00,8.924E-02,3.234E+00,1.691E+00,-3.798E-02,1.737E+00,1.768E+00,3.142E+00,-1.080E-03,2.630E+00,2.611E+00,1.109E-01,3.199E+00,1.719E+00,-2.906E-02,1.591E+00,1.714E+00,3.142E+00,-5.409E-03,2.563E+00,2.478E+00,6.456E-02,4.482E+00
6,0.000E+00,0.000E+00,1.565E-03,0.000E+00,2.221E-03,3.226E-03,6.897E-04,3.148E-03,2.543E-01,1.756E+00,-5.859E-02,1.817E+00,1.477E+00,3.142E+00,-1.544E-03,2.504E+00,2.480E+00,8.896E-02,3.241E+00,1.685E+00,-4.500E-02,1.758E+00,1.821E+00,3.142E+00,-1.736E-03,2.657E+00,2.626E+00,1.112E-01,3.190E+00,1.719E+00,-3.084E-02,1.572E+00,1.748E+00,3.142E+00,-5.512E-03,2.585E+00,2.498E+00,6.422E-02,4.500E+00
7,0.000E+00,0.000E+00,1.594E-03,0.000E+00,2.236E-03,3.250E-03,6.979E-04,3.174E-03,2.568E-01,1.771E+00,-8.253E-02,1.943E+00,1.427E+00,3.142E+00,-2.143E-03,2.506E+00,2.473E+00,8.869E-02,3.249E+00,1.680E+00,-5.201E-02,1.779E+00,1.875E+00,3.142E+00,-2.391E-03,2.683E+00,2.642E+00,1.116E-01,3.181E+00,1.718E+00,-3.263E-02,1.554E+00,1.783E+00,3.142E+00,-5.615E-03,2.608E+00,2.518E+00,6.388E-02,4.518E+00
8,0.000E+00,0.000E+00,1.623E-03,0.000E+00,2.251E-03,3.274E-03,7.060E-04,3.200E-03,2.592E-01,1.787E+00,-1.065E-01,2.070E+00,1.377E+00,3.142E+00,-2.741E-03,2.508E+00,2.467E+00,8.841E-02,3.256E+00,1.674E+00,-5.903E-02,1.800E+00,1.928E+00,3.142E+00,-3.046E-03,2.709E+00,2.657E+00,1.120E-01,3.172E+00,1.718E+00,-3.441E-02,1.535E+00,1.818E+00,3.142E+00,-5.717E-03,2.630E+00,2.538E+00,6.354E-02,4.536E+00
9,0.000E+00,0.000E+00,1.637E-03,0.000E+00,2.259E-03,3.286E-03,7.100E-04,3.213E-03,2.604E-01,1.796E+00,-1.185E-01,2.134E+00,1.352E+00,3.142E+00,-3.041E-03,2.510E+00,2.463E+00,8.827E-02,3.260E+00,1.671E+00,-6.254E-02,1.811E+00,1.955E+00,3.142E+00,-3.374E-03,2.722E+00,2.664E+00,1.122E-01,3.167E+00,1.718E+00,-3.531E-02,1.526E+00,1.835E+00,3.142E+00,-5.769E-03,2.641E+00,2.548E+00,6.337E-02,4.545E+00
