alpha,He,Fe,Cr,S,Cr_1,S_1,Fe_2,S_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.814E-02,0.000E+00,1.016E-05,3.819E-02,7.477E-02,3.367E-04,2.031E-04,5.422E+00,1.873E+00,2.963E-02,1.195E+00,1.259E+00,3.142E+00,-7.405E-04,2.277E+00,2.266E+00,8.753E-02,4.745E+00,1.807E+00,-8.541E-02,1.950E+00,1.284E+00,3.142E+00,-2.487E-03,2.303E+00,2.269E+00,1.093E-01,3.852E+00,1.710E+00,-1.664E-02,1.708E+00,1.579E+00,3.142E+00,2.354E-03,2.425E+00,2.460E+00,1.562E-01,2.850E+00
1,0.000E+00,1.820E-02,0.000E+00,9.863E-06,3.836E-02,7.509E-02,3.444E-04,2.077E-04,5.445E+00,1.847E+00,1.417E-02,1.268E+00,1.291E+00,3.142E+00,-8.342E-04,2.282E+00,2.270E+00,8.752E-02,4.745E+00,1.787E+00,-6.906E-02,1.818E+00,1.388E+00,3.142E+00,-1.776E-03,2.300E+00,2.275E+00,1.100E-01,3.829E+00,1.710E+00,-2.463E-02,1.742E+00,1.589E+00,3.142E+00,1.837E-03,2.447E+00,2.474E+00,1.564E-01,2.847E+00
2,0.000E+00,1.826E-02,0.000E+00,9.570E-06,3.852E-02,7.542E-02,3.521E-04,2.123E-04,5.468E+00,1.824E+00,-1.284E-03,1.340E+00,1.322E+00,3.142E+00,-9.279E-04,2.287E+00,2.274E+00,8.752E-02,4.746E+00,1.770E+00,-5.271E-02,1.687E+00,1.493E+00,3.142E+00,-1.065E-03,2.296E+00,2.282E+00,1.108E-01,3.807E+00,1.710E+00,-3.262E-02,1.775E+00,1.600E+00,3.142E+00,1.319E-03,2.468E+00,2.488E+00,1.566E-01,2.844E+00
3,0.000E+00,1.832E-02,0.000E+00,9.277E-06,3.869E-02,7.575E-02,3.599E-04,2.169E-04,5.491E+00,1.818E+00,-1.674E-02,1.412E+00,1.354E+00,3.142E+00,-1.022E-03,2.293E+00,2.279E+00,8.752E-02,4.746E+00,1.756E+00,-3.636E-02,1.556E+00,1.597E+00,3.142E+00,-3.535E-04,2.293E+00,2.288E+00,1.115E-01,3.784E+00,1.711E+00,-4.061E-02,1.809E+00,1.611E+00,3.142E+00,8.015E-04,2.490E+00,2.501E+00,1.567E-01,2.841E+00
4,0.000E+00,1.835E-02,0.000E+00,9.131E-06,3.877E-02,7.591E-02,3.637E-04,2.192E-04,5.502E+00,1.815E+00,-2.447E-02,1.448E+00,1.370E+00,3.142E+00,-1.069E-03,2.295E+00,2.281E+00,8.752E-02,4.746E+00,1.751E+00,-2.819E-02,1.490E+00,1.649E+00,3.142E+00,2.129E-06,2.291E+00,2.291E+00,1.119E-01,3.773E+00,1.711E+00,-4.460E-02,1.826E+00,1.616E+00,3.142E+00,5.428E-04,2.501E+00,2.508E+00,1.568E-01,2.839E+00
5,0.000E+00,1.838E-02,0.000E+00,8.984E-06,3.885E-02,7.608E-02,3.676E-04,2.215E-04,5.514E+00,1.812E+00,-3.220E-02,1.484E+00,1.386E+00,3.142E+00,-1.115E-03,2.298E+00,2.283E+00,8.752E-02,4.746E+00,1.747E+00,-2.001E-02,1.425E+00,1.702E+00,3.142E+00,3.578E-04,2.289E+00,2.295E+00,1.122E-01,3.761E+00,1.711E+00,-4.860E-02,1.842E+00,1.621E+00,3.142E+00,2.840E-04,2.512E+00,2.515E+00,1.569E-01,2.838E+00
6,0.000E+00,1.844E-02,0.000E+00,8.691E-06,3.902E-02,7.641E-02,3.753E-04,2.261E-04,5.537E+00,1.807E+00,-4.766E-02,1.556E+00,1.418E+00,3.142E+00,-1.209E-03,2.303E+00,2.287E+00,8.751E-02,4.746E+00,1.741E+00,-3.664E-03,1.293E+00,1.806E+00,3.142E+00,1.069E-03,2.286E+00,2.301E+00,1.130E-01,3.739E+00,1.712E+00,-5.659E-02,1.876E+00,1.632E+00,3.142E+00,-2.336E-04,2.534E+00,2.529E+00,1.571E-01,2.835E+00
7,0.000E+00,1.850E-02,0.000E+00,8.398E-06,3.919E-02,7.673E-02,3.830E-04,2.307E-04,5.560E+00,1.801E+00,-6.311E-02,1.628E+00,1.449E+00,3.142E+00,-1.303E-03,2.309E+00,2.291E+00,8.751E-02,4.746E+00,1.754E+00,1.269E-02,1.162E+00,1.910E+00,3.142E+00,1.780E-03,2.283E+00,2.307E+00,1.137E-01,3.716E+00,1.712E+00,-6.458E-02,1.909E+00,1.643E+00,3.142E+00,-7.511E-04,2.556E+00,2.543E+00,1.573E-01,2.831E+00
8,0.000E+00,1.856E-02,0.000E+00,8.105E-06,3.935E-02,7.706E-02,3.907E-04,2.353E-04,5.583E+00,1.797E+00,-7.857E-02,1.700E+00,1.481E+00,3.142E+00,-1.396E-03,2.314E+00,2.295E+00,8.751E-02,4.746E+00,1.776E+00,2.904E-02,1.031E+00,2.015E+00,3.142E+00,2.492E-03,2.279E+00,2.314E+00,1.145E-01,3.693E+00,1.713E+00,-7.257E-02,1.943E+00,1.653E+00,3.142E+00,-1.269E-03,2.577E+00,2.557E+00,1.575E-01,2.828E+00
9,0.000E+00,1.859E-02,0.000E+00,7.959E-06,3.943E-02,7.722E-02,3.946E-04,2.375E-04,5.595E+00,1.794E+00,-8.630E-02,1.736E+00,1.497E+00,3.142E+00,-1.443E-03,2.317E+00,2.297E+00,8.751E-02,4.746E+00,1.789E+00,3.721E-02,9.652E-01,2.067E+00,3.142E+00,2.847E-03,2.277E+00,2.317E+00,1.148E-01,3.682E+00,1.713E+00,-7.657E-02,1.960E+00,1.658E+00,3.142E+00,-1.527E-03,2.588E+00,2.564E+00,1.576E-01,2.827E+00
