alpha,He,Ca,S,Ca_1,S_1,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,3.906E-06,4.170E-03,6.006E-02,5.581E-02,4.330E+00,1.816E+00,8.735E-03,1.314E+00,1.379E+00,3.142E+00,6.040E-03,2.195E+00,2.276E+00,1.655E-01,2.671E+00,1.865E+00,-2.147E-02,1.439E+00,1.165E+00,3.142E+00,-1.232E-03,2.446E+00,2.427E+00,1.448E-01,3.061E+00
1,0.000E+00,3.613E-06,4.118E-03,6.040E-02,5.624E-02,4.356E+00,1.803E+00,-9.448E-03,1.412E+00,1.383E+00,3.142E+00,5.364E-03,2.215E+00,2.288E+00,1.658E-01,2.667E+00,1.856E+00,-3.458E-02,1.513E+00,1.194E+00,3.142E+00,-1.273E-03,2.440E+00,2.421E+00,1.447E-01,3.064E+00
2,0.000E+00,3.320E-06,4.066E-03,6.075E-02,5.667E-02,4.382E+00,1.801E+00,-2.763E-02,1.509E+00,1.388E+00,3.142E+00,4.688E-03,2.235E+00,2.299E+00,1.661E-01,2.663E+00,1.848E+00,-4.770E-02,1.586E+00,1.222E+00,3.142E+00,-1.313E-03,2.435E+00,2.416E+00,1.445E-01,3.066E+00
3,0.000E+00,3.027E-06,4.014E-03,6.109E-02,5.709E-02,4.408E+00,1.800E+00,-4.581E-02,1.607E+00,1.392E+00,3.142E+00,4.013E-03,2.255E+00,2.310E+00,1.663E-01,2.659E+00,1.841E+00,-6.081E-02,1.660E+00,1.251E+00,3.142E+00,-1.354E-03,2.430E+00,2.410E+00,1.444E-01,3.068E+00
4,0.000E+00,2.881E-06,3.988E-03,6.126E-02,5.731E-02,4.421E+00,1.800E+00,-5.491E-02,1.656E+00,1.395E+00,3.142E+00,3.675E-03,2.266E+00,2.316E+00,1.665E-01,2.657E+00,1.837E+00,-6.737E-02,1.696E+00,1.265E+00,3.142E+00,-1.374E-03,2.427E+00,2.407E+00,1.444E-01,3.070E+00
5,0.000E+00,2.734E-06,3.963E-03,6.143E-02,5.752E-02,4.434E+00,1.800E+00,-6.400E-02,1.705E+00,1.397E+00,3.142E+00,3.337E-03,2.276E+00,2.321E+00,1.666E-01,2.655E+00,1.834E+00,-7.393E-02,1.733E+00,1.279E+00,3.142E+00,-1.394E-03,2.424E+00,2.404E+00,1.443E-01,3.071E+00
6,0.000E+00,2.441E-06,3.911E-03,6.178E-02,5.795E-02,4.460E+00,1.800E+00,-8.218E-02,1.802E+00,1.401E+00,3.142E+00,2.662E-03,2.296E+00,2.332E+00,1.669E-01,2.650E+00,1.827E+00,-8.704E-02,1.807E+00,1.307E+00,3.142E+00,-1.435E-03,2.419E+00,2.398E+00,1.442E-01,3.073E+00
7,0.000E+00,2.148E-06,3.859E-03,6.212E-02,5.838E-02,4.485E+00,1.801E+00,-1.004E-01,1.900E+00,1.406E+00,3.142E+00,1.986E-03,2.316E+00,2.343E+00,1.671E-01,2.646E+00,1.821E+00,-1.002E-01,1.880E+00,1.336E+00,3.142E+00,-1.475E-03,2.414E+00,2.392E+00,1.441E-01,3.076E+00
8,0.000E+00,1.855E-06,3.807E-03,6.247E-02,5.881E-02,4.511E+00,1.802E+00,-1.185E-01,1.998E+00,1.410E+00,3.142E+00,1.310E-03,2.336E+00,2.355E+00,1.674E-01,2.642E+00,1.815E+00,-1.133E-01,1.954E+00,1.364E+00,3.142E+00,-1.516E-03,2.409E+00,2.386E+00,1.439E-01,3.078E+00
9,0.000E+00,1.709E-06,3.781E-03,6.264E-02,5.902E-02,4.524E+00,1.803E+00,-1.276E-01,2.047E+00,1.413E+00,3.142E+00,9.727E-04,2.346E+00,2.360E+00,1.676E-01,2.640E+00,1.812E+00,-1.198E-01,1.991E+00,1.379E+00,3.142E+00,-1.536E-03,2.406E+00,2.384E+00,1.439E-01,3.080E+00
10,0.000E+00,1.562E-06,3.755E-03,6.281E-02,5.924E-02,4.537E+00,1.803E+00,-1.367E-01,2.095E+00,1.415E+00,3.142E+00,6.349E-04,2.357E+00,2.366E+00,1.677E-01,2.638E+00,1.809E+00,-1.264E-01,2.027E+00,1.393E+00,3.142E+00,-1.556E-03,2.403E+00,2.381E+00,1.438E-01,3.081E+00
11,0.000E+00,1.660E-06,3.786E-03,6.387E-02,6.022E-02,4.612E+00,1.798E+00,-1.485E-01,2.198E+00,1.423E+00,3.142E+00,6.566E-04,2.355E+00,2.364E+00,1.674E-01,2.643E+00,1.807E+00,-1.358E-01,2.081E+00,1.406E+00,3.142E+00,-1.257E-03,2.397E+00,2.378E+00,1.436E-01,3.084E+00
