alpha,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.356E-02,0.000E+00,1.426E-02,5.375E-02,1.641E+00,1.754E+00,7.673E-03,1.446E+00,1.527E+00,3.142E+00,8.645E-04,2.524E+00,2.538E+00,1.343E-01,3.373E+00,1.919E+00,-4.835E-02,1.566E+00,9.923E-01,3.142E+00,2.254E-04,2.296E+00,2.299E+00,8.772E-02,4.925E+00
1,0.000E+00,1.357E-02,0.000E+00,1.442E-02,5.418E-02,1.653E+00,1.742E+00,-7.829E-03,1.538E+00,1.533E+00,3.142E+00,1.062E-03,2.523E+00,2.540E+00,1.342E-01,3.374E+00,1.882E+00,-3.594E-02,1.467E+00,1.140E+00,3.142E+00,6.006E-04,2.286E+00,2.294E+00,8.712E-02,4.958E+00
2,0.000E+00,1.359E-02,0.000E+00,1.459E-02,5.460E-02,1.665E+00,1.740E+00,-2.333E-02,1.630E+00,1.539E+00,3.142E+00,1.259E-03,2.522E+00,2.542E+00,1.342E-01,3.376E+00,1.852E+00,-2.352E-02,1.368E+00,1.287E+00,3.142E+00,9.757E-04,2.275E+00,2.288E+00,8.651E-02,4.991E+00
3,0.000E+00,1.360E-02,0.000E+00,1.475E-02,5.502E-02,1.677E+00,1.738E+00,-3.883E-02,1.722E+00,1.545E+00,3.142E+00,1.456E-03,2.521E+00,2.543E+00,1.341E-01,3.377E+00,1.827E+00,-1.111E-02,1.268E+00,1.435E+00,3.142E+00,1.351E-03,2.264E+00,2.283E+00,8.591E-02,5.025E+00
4,0.000E+00,1.361E-02,0.000E+00,1.483E-02,5.523E-02,1.682E+00,1.737E+00,-4.659E-02,1.768E+00,1.548E+00,3.142E+00,1.555E-03,2.520E+00,2.544E+00,1.341E-01,3.378E+00,1.817E+00,-4.904E-03,1.219E+00,1.509E+00,3.142E+00,1.538E-03,2.259E+00,2.280E+00,8.561E-02,5.041E+00
5,0.000E+00,1.362E-02,0.000E+00,1.491E-02,5.544E-02,1.688E+00,1.736E+00,-5.434E-02,1.814E+00,1.551E+00,3.142E+00,1.654E-03,2.519E+00,2.545E+00,1.340E-01,3.379E+00,1.809E+00,1.303E-03,1.169E+00,1.582E+00,3.142E+00,1.726E-03,2.254E+00,2.277E+00,8.531E-02,5.058E+00
6,0.000E+00,1.364E-02,0.000E+00,1.507E-02,5.586E-02,1.700E+00,1.735E+00,-6.984E-02,1.906E+00,1.556E+00,3.142E+00,1.851E-03,2.518E+00,2.547E+00,1.340E-01,3.381E+00,1.810E+00,1.372E-02,1.070E+00,1.730E+00,3.142E+00,2.101E-03,2.243E+00,2.272E+00,8.470E-02,5.091E+00
7,0.000E+00,1.365E-02,0.000E+00,1.524E-02,5.628E-02,1.712E+00,1.735E+00,-8.534E-02,1.998E+00,1.562E+00,3.142E+00,2.048E-03,2.517E+00,2.549E+00,1.339E-01,3.382E+00,1.816E+00,2.613E-02,9.704E-01,1.877E+00,3.142E+00,2.476E-03,2.233E+00,2.266E+00,8.410E-02,5.124E+00
8,0.000E+00,1.367E-02,0.000E+00,1.540E-02,5.671E-02,1.724E+00,1.735E+00,-1.008E-01,2.090E+00,1.568E+00,3.142E+00,2.246E-03,2.516E+00,2.551E+00,1.338E-01,3.384E+00,1.826E+00,3.854E-02,8.711E-01,2.025E+00,3.142E+00,2.851E-03,2.222E+00,2.260E+00,8.350E-02,5.158E+00
9,0.000E+00,1.367E-02,0.000E+00,1.548E-02,5.692E-02,1.729E+00,1.735E+00,-1.086E-01,2.136E+00,1.571E+00,3.142E+00,2.344E-03,2.515E+00,2.552E+00,1.338E-01,3.384E+00,1.832E+00,4.475E-02,8.215E-01,2.099E+00,3.142E+00,3.039E-03,2.217E+00,2.258E+00,8.319E-02,5.174E+00
10,0.000E+00,1.368E-02,0.000E+00,1.556E-02,5.713E-02,1.735E+00,1.735E+00,-1.163E-01,2.182E+00,1.574E+00,3.142E+00,2.443E-03,2.514E+00,2.553E+00,1.338E-01,3.385E+00,1.839E+00,5.096E-02,7.718E-01,2.173E+00,3.142E+00,3.227E-03,2.211E+00,2.255E+00,8.289E-02,5.191E+00
11,0.000E+00,1.393E-02,0.000E+00,1.591E-02,5.825E-02,1.770E+00,1.732E+00,-1.295E-01,2.294E+00,1.574E+00,3.142E+00,2.572E-03,2.506E+00,2.546E+00,1.333E-01,3.396E+00,1.759E+00,4.510E-03,1.055E+00,2.070E+00,3.142E+00,2.839E-03,2.213E+00,2.251E+00,8.316E-02,5.176E+00
12,0.000E+00,1.418E-02,0.000E+00,1.626E-02,5.937E-02,1.805E+00,1.730E+00,-1.427E-01,2.406E+00,1.575E+00,3.142E+00,2.702E-03,2.498E+00,2.540E+00,1.329E-01,3.408E+00,1.744E+00,-4.194E-02,1.338E+00,1.968E+00,3.142E+00,2.451E-03,2.214E+00,2.247E+00,8.343E-02,5.160E+00
13,0.000E+00,1.443E-02,0.000E+00,1.661E-02,6.050E-02,1.839E+00,1.728E+00,-1.559E-01,2.518E+00,1.575E+00,3.142E+00,2.832E-03,2.490E+00,2.533E+00,1.324E-01,3.419E+00,1.746E+00,-8.839E-02,1.622E+00,1.866E+00,3.142E+00,2.063E-03,2.215E+00,2.243E+00,8.371E-02,5.145E+00
