alpha,He,Fe,S,Fe_1,S_1,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,7.109E-02,7.066E-02,7.812E-07,0.000E+00,6.236E+00,1.807E+00,-9.357E-03,1.365E+00,1.411E+00,1.797E+00,-3.274E-04,2.279E+00,2.274E+00,1.157E-01,3.657E+00,1.753E+00,-3.949E-02,1.816E+00,1.403E+00,1.713E+00,-3.251E-03,2.510E+00,2.460E+00,1.977E-01,2.280E+00
1,0.000E+00,7.141E-02,7.106E-02,6.836E-07,0.000E+00,6.267E+00,1.810E+00,-1.336E-02,1.365E+00,1.419E+00,1.795E+00,-2.278E-04,2.278E+00,2.275E+00,1.154E-01,3.666E+00,1.747E+00,-4.018E-02,1.796E+00,1.447E+00,1.708E+00,-3.130E-03,2.507E+00,2.459E+00,1.977E-01,2.281E+00
2,0.000E+00,7.173E-02,7.147E-02,5.859E-07,0.000E+00,6.297E+00,1.813E+00,-1.736E-02,1.366E+00,1.426E+00,1.793E+00,-1.282E-04,2.278E+00,2.276E+00,1.151E-01,3.675E+00,1.741E+00,-4.087E-02,1.776E+00,1.492E+00,1.703E+00,-3.009E-03,2.504E+00,2.458E+00,1.976E-01,2.281E+00
3,0.000E+00,7.205E-02,7.188E-02,4.883E-07,0.000E+00,6.328E+00,1.815E+00,-2.137E-02,1.367E+00,1.433E+00,1.791E+00,-2.866E-05,2.277E+00,2.277E+00,1.148E-01,3.683E+00,1.736E+00,-4.156E-02,1.756E+00,1.537E+00,1.697E+00,-2.888E-03,2.501E+00,2.457E+00,1.976E-01,2.281E+00
4,0.000E+00,7.221E-02,7.208E-02,4.395E-07,0.000E+00,6.344E+00,1.817E+00,-2.337E-02,1.368E+00,1.437E+00,1.791E+00,2.112E-05,2.277E+00,2.277E+00,1.146E-01,3.688E+00,1.734E+00,-4.191E-02,1.746E+00,1.559E+00,1.694E+00,-2.828E-03,2.499E+00,2.456E+00,1.976E-01,2.281E+00
5,0.000E+00,7.236E-02,7.229E-02,3.906E-07,0.000E+00,6.359E+00,1.818E+00,-2.537E-02,1.368E+00,1.440E+00,1.790E+00,7.091E-05,2.276E+00,2.277E+00,1.145E-01,3.692E+00,1.731E+00,-4.225E-02,1.736E+00,1.581E+00,1.692E+00,-2.768E-03,2.498E+00,2.455E+00,1.976E-01,2.281E+00
6,0.000E+00,7.268E-02,7.270E-02,2.930E-07,0.000E+00,6.390E+00,1.821E+00,-2.937E-02,1.369E+00,1.448E+00,1.788E+00,1.705E-04,2.276E+00,2.278E+00,1.142E-01,3.701E+00,1.727E+00,-4.295E-02,1.716E+00,1.626E+00,1.686E+00,-2.647E-03,2.495E+00,2.454E+00,1.976E-01,2.281E+00
7,0.000E+00,7.300E-02,7.310E-02,1.953E-07,0.000E+00,6.421E+00,1.823E+00,-3.338E-02,1.370E+00,1.455E+00,1.786E+00,2.701E-04,2.275E+00,2.279E+00,1.139E-01,3.710E+00,1.723E+00,-4.364E-02,1.696E+00,1.670E+00,1.681E+00,-2.526E-03,2.492E+00,2.453E+00,1.975E-01,2.282E+00
8,0.000E+00,7.332E-02,7.351E-02,9.766E-08,0.000E+00,6.452E+00,1.826E+00,-3.738E-02,1.371E+00,1.462E+00,1.784E+00,3.696E-04,2.275E+00,2.280E+00,1.136E-01,3.719E+00,1.719E+00,-4.433E-02,1.676E+00,1.715E+00,1.676E+00,-2.405E-03,2.489E+00,2.452E+00,1.975E-01,2.282E+00
9,0.000E+00,7.348E-02,7.372E-02,4.883E-08,0.000E+00,6.467E+00,1.827E+00,-3.938E-02,1.371E+00,1.466E+00,1.783E+00,4.194E-04,2.274E+00,2.280E+00,1.134E-01,3.723E+00,1.717E+00,-4.467E-02,1.666E+00,1.737E+00,1.673E+00,-2.344E-03,2.487E+00,2.452E+00,1.975E-01,2.282E+00
10,0.000E+00,7.364E-02,7.392E-02,0.000E+00,0.000E+00,6.482E+00,1.828E+00,-4.139E-02,1.372E+00,1.469E+00,1.782E+00,4.692E-04,2.274E+00,2.281E+00,1.133E-01,3.728E+00,1.715E+00,-4.502E-02,1.656E+00,1.760E+00,1.670E+00,-2.284E-03,2.486E+00,2.451E+00,1.975E-01,2.282E+00
11,0.000E+00,7.477E-02,7.505E-02,0.000E+00,0.000E+00,6.581E+00,1.820E+00,-6.217E-02,1.510E+00,1.469E+00,1.760E+00,1.553E-04,2.278E+00,2.280E+00,1.131E-01,3.732E+00,1.716E+00,-5.387E-02,1.704E+00,1.756E+00,1.663E+00,-2.419E-03,2.499E+00,2.462E+00,1.973E-01,2.284E+00
12,0.000E+00,7.589E-02,7.617E-02,0.000E+00,0.000E+00,6.681E+00,1.814E+00,-8.295E-02,1.649E+00,1.468E+00,1.738E+00,-1.587E-04,2.282E+00,2.280E+00,1.130E-01,3.736E+00,1.717E+00,-6.273E-02,1.751E+00,1.752E+00,1.656E+00,-2.555E-03,2.512E+00,2.473E+00,1.971E-01,2.286E+00
13,0.000E+00,7.702E-02,7.730E-02,0.000E+00,0.000E+00,6.780E+00,1.809E+00,-1.037E-01,1.787E+00,1.467E+00,1.716E+00,-4.726E-04,2.286E+00,2.279E+00,1.128E-01,3.741E+00,1.718E+00,-7.158E-02,1.798E+00,1.748E+00,1.649E+00,-2.690E-03,2.526E+00,2.484E+00,1.969E-01,2.288E+00
14,0.000E+00,7.759E-02,7.786E-02,0.000E+00,0.000E+00,6.829E+00,1.807E+00,-1.141E-01,1.857E+00,1.466E+00,1.705E+00,-6.296E-04,2.288E+00,2.279E+00,1.128E-01,3.743E+00,1.719E+00,-7.601E-02,1.821E+00,1.746E+00,1.646E+00,-2.758E-03,2.532E+00,2.489E+00,1.968E-01,2.289E+00
15,0.000E+00,7.815E-02,7.842E-02,0.000E+00,0.000E+00,6.879E+00,1.806E+00,-1.245E-01,1.926E+00,1.466E+00,1.694E+00,-7.866E-04,2.290E+00,2.279E+00,1.127E-01,3.745E+00,1.719E+00,-8.044E-02,1.845E+00,1.744E+00,1.642E+00,-2.826E-03,2.539E+00,2.495E+00,1.968E-01,2.291E+00
16,0.000E+00,7.928E-02,7.955E-02,0.000E+00,0.000E+00,6.978E+00,1.804E+00,-1.453E-01,2.065E+00,1.465E+00,1.672E+00,-1.101E-03,2.293E+00,2.278E+00,1.126E-01,3.750E+00,1.721E+00,-8.929E-02,1.892E+00,1.740E+00,1.635E+00,-2.961E-03,2.552E+00,2.506E+00,1.966E-01,2.293E+00
17,0.000E+00,8.041E-02,8.067E-02,0.000E+00,0.000E+00,7.077E+00,1.804E+00,-1.661E-01,2.203E+00,1.464E+00,1.649E+00,-1.414E-03,2.297E+00,2.278E+00,1.124E-01,3.754E+00,1.722E+00,-9.815E-02,1.939E+00,1.736E+00,1.628E+00,-3.096E-03,2.565E+00,2.517E+00,1.964E-01,2.295E+00
18,0.000E+00,8.154E-02,8.180E-02,0.000E+00,0.000E+00,7.176E+00,1.804E+00,-1.869E-01,2.342E+00,1.463E+00,1.627E+00,-1.728E-03,2.301E+00,2.277E+00,1.123E-01,3.758E+00,1.724E+00,-1.070E-01,1.986E+00,1.732E+00,1.621E+00,-3.232E-03,2.579E+00,2.528E+00,1.962E-01,2.297E+00
19,0.000E+00,8.211E-02,8.236E-02,0.000E+00,0.000E+00,7.226E+00,1.805E+00,-1.973E-01,2.411E+00,1.463E+00,1.616E+00,-1.885E-03,2.303E+00,2.277E+00,1.122E-01,3.760E+00,1.725E+00,-1.114E-01,2.010E+00,1.730E+00,1.617E+00,-3.300E-03,2.585E+00,2.533E+00,1.961E-01,2.298E+00
20,0.000E+00,8.267E-02,8.293E-02,0.000E+00,0.000E+00,7.276E+00,1.805E+00,-2.077E-01,2.481E+00,1.463E+00,1.605E+00,-2.042E-03,2.305E+00,2.277E+00,1.121E-01,3.763E+00,1.726E+00,-1.159E-01,2.033E+00,1.728E+00,1.614E+00,-3.367E-03,2.592E+00,2.538E+00,1.960E-01,2.299E+00
21,0.000E+00,8.452E-02,8.476E-02,0.000E+00,0.000E+00,7.438E+00,1.804E+00,-2.134E-01,2.511E+00,1.475E+00,1.599E+00,-1.770E-03,2.307E+00,2.283E+00,1.120E-01,3.768E+00,1.729E+00,-1.261E-01,2.112E+00,1.702E+00,1.609E+00,-3.363E-03,2.588E+00,2.535E+00,1.955E-01,2.304E+00
22,0.000E+00,8.637E-02,8.658E-02,0.000E+00,0.000E+00,7.600E+00,1.802E+00,-2.191E-01,2.541E+00,1.487E+00,1.593E+00,-1.498E-03,2.309E+00,2.288E+00,1.118E-01,3.774E+00,1.732E+00,-1.364E-01,2.190E+00,1.676E+00,1.604E+00,-3.358E-03,2.584E+00,2.531E+00,1.951E-01,2.309E+00
23,0.000E+00,8.822E-02,8.841E-02,0.000E+00,0.000E+00,7.762E+00,1.801E+00,-2.249E-01,2.571E+00,1.499E+00,1.587E+00,-1.226E-03,2.311E+00,2.294E+00,1.116E-01,3.780E+00,1.736E+00,-1.466E-01,2.268E+00,1.650E+00,1.599E+00,-3.353E-03,2.580E+00,2.527E+00,1.946E-01,2.314E+00
24,0.000E+00,8.915E-02,8.933E-02,0.000E+00,0.000E+00,7.843E+00,1.800E+00,-2.278E-01,2.586E+00,1.505E+00,1.584E+00,-1.090E-03,2.312E+00,2.297E+00,1.115E-01,3.783E+00,1.738E+00,-1.517E-01,2.307E+00,1.637E+00,1.597E+00,-3.351E-03,2.578E+00,2.526E+00,1.944E-01,2.317E+00
25,0.000E+00,9.007E-02,9.024E-02,0.000E+00,0.000E+00,7.924E+00,1.800E+00,-2.306E-01,2.601E+00,1.511E+00,1.581E+00,-9.544E-04,2.314E+00,2.300E+00,1.114E-01,3.785E+00,1.740E+00,-1.569E-01,2.347E+00,1.624E+00,1.594E+00,-3.349E-03,2.577E+00,2.524E+00,1.942E-01,2.319E+00
