alpha,H,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,1.228E-03,1.572E-03,8.164E-04,0.000E+00,4.180E-04,5.088E-04,0.000E+00,0.000E+00,2.369E-03,9.335E-03,3.435E-01,1.854E+00,-2.396E-02,1.446E+00,1.210E+00,3.142E+00,-6.751E-03,2.471E+00,2.371E+00,8.959E-02,3.223E+00,1.745E+00,2.590E-02,1.321E+00,1.724E+00,3.142E+00,-4.321E-03,2.583E+00,2.515E+00,2.325E-01,1.608E+00,1.704E+00,-2.764E-03,1.599E+00,1.639E+00,3.142E+00,4.784E-04,2.540E+00,2.548E+00,1.105E-01,3.208E+00,1.868E+00,1.729E-02,1.249E+00,1.225E+00,3.142E+00,-4.382E-03,2.441E+00,2.376E+00,5.583E-02,5.003E+00
1,0.000E+00,0.000E+00,1.074E-03,1.567E-03,8.932E-04,0.000E+00,5.577E-04,7.104E-04,0.000E+00,0.000E+00,2.264E-03,9.006E-03,3.410E-01,1.835E+00,-2.383E-02,1.432E+00,1.298E+00,3.142E+00,-5.944E-03,2.470E+00,2.382E+00,8.891E-02,3.243E+00,1.712E+00,6.311E-03,1.472E+00,1.720E+00,3.142E+00,-4.241E-03,2.604E+00,2.536E+00,2.318E-01,1.612E+00,1.706E+00,-1.541E-02,1.653E+00,1.642E+00,3.142E+00,3.686E-04,2.549E+00,2.555E+00,1.105E-01,3.208E+00,1.837E+00,-1.130E-03,1.357E+00,1.252E+00,3.142E+00,-4.097E-03,2.428E+00,2.368E+00,5.603E-02,4.990E+00
2,0.000E+00,0.000E+00,9.207E-04,1.562E-03,9.700E-04,0.000E+00,6.975E-04,9.121E-04,0.000E+00,0.000E+00,2.159E-03,8.677E-03,3.385E-01,1.817E+00,-2.369E-02,1.418E+00,1.386E+00,3.142E+00,-5.137E-03,2.468E+00,2.392E+00,8.822E-02,3.263E+00,1.696E+00,-1.327E-02,1.622E+00,1.716E+00,3.142E+00,-4.160E-03,2.624E+00,2.558E+00,2.311E-01,1.616E+00,1.709E+00,-2.806E-02,1.706E+00,1.646E+00,3.142E+00,2.587E-04,2.559E+00,2.563E+00,1.105E-01,3.209E+00,1.828E+00,-1.955E-02,1.464E+00,1.279E+00,3.142E+00,-3.811E-03,2.415E+00,2.359E+00,5.622E-02,4.977E+00
3,0.000E+00,0.000E+00,7.672E-04,1.557E-03,1.047E-03,0.000E+00,8.373E-04,1.114E-03,0.000E+00,0.000E+00,2.055E-03,8.348E-03,3.360E-01,1.800E+00,-2.356E-02,1.405E+00,1.475E+00,3.142E+00,-4.331E-03,2.467E+00,2.402E+00,8.754E-02,3.283E+00,1.690E+00,-3.286E-02,1.772E+00,1.712E+00,3.142E+00,-4.080E-03,2.645E+00,2.579E+00,2.304E-01,1.621E+00,1.712E+00,-4.070E-02,1.759E+00,1.649E+00,3.142E+00,1.489E-04,2.568E+00,2.570E+00,1.104E-01,3.209E+00,1.819E+00,-3.798E-02,1.572E+00,1.306E+00,3.142E+00,-3.526E-03,2.402E+00,2.351E+00,5.642E-02,4.964E+00
4,0.000E+00,0.000E+00,6.905E-04,1.554E-03,1.085E-03,0.000E+00,9.072E-04,1.215E-03,0.000E+00,0.000E+00,2.002E-03,8.184E-03,3.347E-01,1.792E+00,-2.349E-02,1.398E+00,1.519E+00,3.142E+00,-3.927E-03,2.466E+00,2.408E+00,8.719E-02,3.293E+00,1.687E+00,-4.265E-02,1.847E+00,1.710E+00,3.142E+00,-4.040E-03,2.655E+00,2.589E+00,2.300E-01,1.623E+00,1.714E+00,-4.703E-02,1.786E+00,1.651E+00,3.142E+00,9.405E-05,2.572E+00,2.574E+00,1.104E-01,3.209E+00,1.815E+00,-4.719E-02,1.625E+00,1.320E+00,3.142E+00,-3.383E-03,2.396E+00,2.346E+00,5.651E-02,4.958E+00
5,0.000E+00,0.000E+00,6.138E-04,1.552E-03,1.124E-03,0.000E+00,9.771E-04,1.315E-03,0.000E+00,0.000E+00,1.950E-03,8.020E-03,3.335E-01,1.785E+00,-2.343E-02,1.391E+00,1.563E+00,3.142E+00,-3.524E-03,2.465E+00,2.413E+00,8.685E-02,3.303E+00,1.685E+00,-5.244E-02,1.923E+00,1.708E+00,3.142E+00,-4.000E-03,2.665E+00,2.600E+00,2.297E-01,1.625E+00,1.715E+00,-5.335E-02,1.813E+00,1.653E+00,3.142E+00,3.915E-05,2.577E+00,2.577E+00,1.104E-01,3.209E+00,1.812E+00,-5.640E-02,1.679E+00,1.334E+00,3.142E+00,-3.240E-03,2.389E+00,2.342E+00,5.661E-02,4.951E+00
6,0.000E+00,0.000E+00,4.603E-04,1.547E-03,1.200E-03,0.000E+00,1.117E-03,1.517E-03,0.000E+00,0.000E+00,1.845E-03,7.691E-03,3.310E-01,1.770E+00,-2.330E-02,1.377E+00,1.651E+00,3.142E+00,-2.717E-03,2.464E+00,2.423E+00,8.616E-02,3.323E+00,1.682E+00,-7.203E-02,2.073E+00,1.704E+00,3.142E+00,-3.919E-03,2.685E+00,2.621E+00,2.290E-01,1.629E+00,1.718E+00,-6.599E-02,1.866E+00,1.656E+00,3.142E+00,-7.065E-05,2.586E+00,2.585E+00,1.104E-01,3.209E+00,1.805E+00,-7.482E-02,1.786E+00,1.361E+00,3.142E+00,-2.954E-03,2.376E+00,2.334E+00,5.680E-02,4.939E+00
7,0.000E+00,0.000E+00,3.069E-04,1.542E-03,1.277E-03,0.000E+00,1.257E-03,1.719E-03,0.000E+00,0.000E+00,1.740E-03,7.362E-03,3.285E-01,1.757E+00,-2.316E-02,1.364E+00,1.740E+00,3.142E+00,-1.910E-03,2.462E+00,2.434E+00,8.548E-02,3.343E+00,1.680E+00,-9.161E-02,2.223E+00,1.700E+00,3.142E+00,-3.839E-03,2.706E+00,2.642E+00,2.283E-01,1.633E+00,1.721E+00,-7.864E-02,1.920E+00,1.660E+00,3.142E+00,-1.805E-04,2.595E+00,2.592E+00,1.104E-01,3.210E+00,1.799E+00,-9.325E-02,1.894E+00,1.388E+00,3.142E+00,-2.669E-03,2.364E+00,2.325E+00,5.700E-02,4.926E+00
8,0.000E+00,0.000E+00,1.534E-04,1.536E-03,1.354E-03,0.000E+00,1.396E-03,1.920E-03,0.000E+00,0.000E+00,1.635E-03,7.033E-03,3.260E-01,1.745E+00,-2.303E-02,1.350E+00,1.828E+00,3.142E+00,-1.103E-03,2.461E+00,2.444E+00,8.479E-02,3.363E+00,1.680E+00,-1.112E-01,2.373E+00,1.697E+00,3.142E+00,-3.759E-03,2.726E+00,2.663E+00,2.276E-01,1.638E+00,1.724E+00,-9.129E-02,1.973E+00,1.663E+00,3.142E+00,-2.903E-04,2.604E+00,2.600E+00,1.104E-01,3.210E+00,1.793E+00,-1.117E-01,2.001E+00,1.415E+00,3.142E+00,-2.383E-03,2.351E+00,2.317E+00,5.719E-02,4.913E+00
9,0.000E+00,0.000E+00,7.672E-05,1.534E-03,1.392E-03,0.000E+00,1.466E-03,2.021E-03,0.000E+00,0.000E+00,1.583E-03,6.869E-03,3.247E-01,1.739E+00,-2.296E-02,1.343E+00,1.872E+00,3.142E+00,-7.000E-04,2.460E+00,2.449E+00,8.445E-02,3.373E+00,1.680E+00,-1.210E-01,2.449E+00,1.695E+00,3.142E+00,-3.718E-03,2.736E+00,2.673E+00,2.273E-01,1.640E+00,1.726E+00,-9.761E-02,2.000E+00,1.665E+00,3.142E+00,-3.452E-04,2.609E+00,2.603E+00,1.104E-01,3.210E+00,1.791E+00,-1.209E-01,2.055E+00,1.429E+00,3.142E+00,-2.241E-03,2.344E+00,2.312E+00,5.729E-02,4.907E+00
10,0.000E+00,0.000E+00,0.000E+00,1.531E-03,1.431E-03,0.000E+00,1.536E-03,2.122E-03,0.000E+00,0.000E+00,1.530E-03,6.704E-03,3.234E-01,1.733E+00,-2.290E-02,1.336E+00,1.916E+00,3.142E+00,-2.966E-04,2.459E+00,2.455E+00,8.410E-02,3.382E+00,1.680E+00,-1.308E-01,2.524E+00,1.693E+00,3.142E+00,-3.678E-03,2.747E+00,2.684E+00,2.269E-01,1.642E+00,1.728E+00,-1.039E-01,2.027E+00,1.666E+00,3.142E+00,-4.001E-04,2.614E+00,2.607E+00,1.104E-01,3.210E+00,1.789E+00,-1.301E-01,2.109E+00,1.442E+00,3.142E+00,-2.098E-03,2.338E+00,2.308E+00,5.739E-02,4.900E+00
11,0.000E+00,0.000E+00,0.000E+00,1.570E-03,1.490E-03,0.000E+00,1.565E-03,2.169E-03,0.000E+00,2.441E-07,1.553E-03,6.801E-03,3.301E-01,1.739E+00,-4.177E-02,1.412E+00,1.894E+00,3.142E+00,-1.072E-03,2.473E+00,2.457E+00,8.431E-02,3.376E+00,1.681E+00,-1.333E-01,2.490E+00,1.722E+00,3.142E+00,-4.006E-03,2.723E+00,2.655E+00,2.267E-01,1.643E+00,1.723E+00,-1.095E-01,2.043E+00,1.703E+00,3.142E+00,-4.890E-04,2.613E+00,2.605E+00,1.100E-01,3.220E+00,1.789E+00,-1.413E-01,2.169E+00,1.448E+00,3.142E+00,-2.852E-03,2.372E+00,2.330E+00,5.726E-02,4.908E+00
12,0.000E+00,0.000E+00,0.000E+00,1.609E-03,1.549E-03,0.000E+00,1.593E-03,2.215E-03,0.000E+00,4.883E-07,1.576E-03,6.898E-03,3.367E-01,1.745E+00,-6.063E-02,1.488E+00,1.872E+00,3.142E+00,-1.847E-03,2.488E+00,2.459E+00,8.451E-02,3.370E+00,1.682E+00,-1.358E-01,2.456E+00,1.751E+00,3.142E+00,-4.334E-03,2.698E+00,2.627E+00,2.265E-01,1.645E+00,1.719E+00,-1.150E-01,2.060E+00,1.740E+00,3.142E+00,-5.780E-04,2.613E+00,2.604E+00,1.096E-01,3.229E+00,1.790E+00,-1.525E-01,2.230E+00,1.454E+00,3.142E+00,-3.607E-03,2.406E+00,2.352E+00,5.714E-02,4.916E+00
13,0.000E+00,0.000E+00,0.000E+00,1.648E-03,1.608E-03,0.000E+00,1.622E-03,2.262E-03,0.000E+00,7.324E-07,1.599E-03,6.995E-03,3.434E-01,1.751E+00,-7.950E-02,1.564E+00,1.850E+00,3.142E+00,-2.623E-03,2.502E+00,2.461E+00,8.472E-02,3.364E+00,1.683E+00,-1.384E-01,2.421E+00,1.780E+00,3.142E+00,-4.662E-03,2.674E+00,2.599E+00,2.263E-01,1.646E+00,1.714E+00,-1.206E-01,2.077E+00,1.777E+00,3.142E+00,-6.669E-04,2.613E+00,2.602E+00,1.093E-01,3.239E+00,1.791E+00,-1.637E-01,2.290E+00,1.460E+00,3.142E+00,-4.361E-03,2.440E+00,2.374E+00,5.702E-02,4.924E+00
14,0.000E+00,0.000E+00,0.000E+00,1.668E-03,1.637E-03,0.000E+00,1.636E-03,2.285E-03,0.000E+00,8.545E-07,1.611E-03,7.043E-03,3.467E-01,1.755E+00,-8.894E-02,1.602E+00,1.839E+00,3.142E+00,-3.010E-03,2.509E+00,2.462E+00,8.482E-02,3.361E+00,1.684E+00,-1.396E-01,2.404E+00,1.794E+00,3.142E+00,-4.827E-03,2.662E+00,2.584E+00,2.262E-01,1.647E+00,1.712E+00,-1.234E-01,2.085E+00,1.796E+00,3.142E+00,-7.114E-04,2.612E+00,2.601E+00,1.091E-01,3.244E+00,1.791E+00,-1.693E-01,2.321E+00,1.463E+00,3.142E+00,-4.739E-03,2.458E+00,2.385E+00,5.696E-02,4.928E+00
15,0.000E+00,0.000E+00,0.000E+00,1.687E-03,1.667E-03,0.000E+00,1.650E-03,2.308E-03,0.000E+00,9.766E-07,1.622E-03,7.092E-03,3.500E-01,1.758E+00,-9.837E-02,1.640E+00,1.828E+00,3.142E+00,-3.398E-03,2.516E+00,2.464E+00,8.493E-02,3.358E+00,1.684E+00,-1.409E-01,2.387E+00,1.809E+00,3.142E+00,-4.991E-03,2.650E+00,2.570E+00,2.261E-01,1.647E+00,1.710E+00,-1.261E-01,2.094E+00,1.814E+00,3.142E+00,-7.559E-04,2.612E+00,2.600E+00,1.089E-01,3.248E+00,1.791E+00,-1.749E-01,2.351E+00,1.466E+00,3.142E+00,-5.116E-03,2.475E+00,2.396E+00,5.690E-02,4.932E+00
16,0.000E+00,0.000E+00,0.000E+00,1.726E-03,1.726E-03,0.000E+00,1.679E-03,2.355E-03,0.000E+00,1.221E-06,1.645E-03,7.189E-03,3.566E-01,1.766E+00,-1.172E-01,1.716E+00,1.806E+00,3.142E+00,-4.174E-03,2.531E+00,2.466E+00,8.513E-02,3.352E+00,1.686E+00,-1.434E-01,2.353E+00,1.837E+00,3.142E+00,-5.319E-03,2.626E+00,2.542E+00,2.259E-01,1.648E+00,1.706E+00,-1.317E-01,2.110E+00,1.851E+00,3.142E+00,-8.449E-04,2.612E+00,2.598E+00,1.085E-01,3.258E+00,1.792E+00,-1.861E-01,2.411E+00,1.472E+00,3.142E+00,-5.871E-03,2.509E+00,2.418E+00,5.677E-02,4.940E+00
17,0.000E+00,0.000E+00,0.000E+00,1.765E-03,1.785E-03,0.000E+00,1.708E-03,2.401E-03,0.000E+00,1.465E-06,1.668E-03,7.286E-03,3.633E-01,1.773E+00,-1.361E-01,1.792E+00,1.784E+00,3.142E+00,-4.949E-03,2.545E+00,2.468E+00,8.534E-02,3.345E+00,1.687E+00,-1.460E-01,2.319E+00,1.866E+00,3.142E+00,-5.647E-03,2.602E+00,2.514E+00,2.257E-01,1.650E+00,1.702E+00,-1.373E-01,2.127E+00,1.888E+00,3.142E+00,-9.338E-04,2.612E+00,2.596E+00,1.081E-01,3.268E+00,1.794E+00,-1.973E-01,2.472E+00,1.478E+00,3.142E+00,-6.625E-03,2.543E+00,2.439E+00,5.665E-02,4.948E+00
18,0.000E+00,0.000E+00,0.000E+00,1.804E-03,1.844E-03,0.000E+00,1.736E-03,2.448E-03,0.000E+00,1.709E-06,1.691E-03,7.383E-03,3.699E-01,1.781E+00,-1.550E-01,1.868E+00,1.762E+00,3.142E+00,-5.724E-03,2.559E+00,2.470E+00,8.554E-02,3.339E+00,1.689E+00,-1.485E-01,2.285E+00,1.895E+00,3.142E+00,-5.975E-03,2.578E+00,2.485E+00,2.254E-01,1.651E+00,1.698E+00,-1.428E-01,2.144E+00,1.925E+00,3.142E+00,-1.023E-03,2.611E+00,2.595E+00,1.077E-01,3.277E+00,1.795E+00,-2.085E-01,2.533E+00,1.484E+00,3.142E+00,-7.380E-03,2.577E+00,2.461E+00,5.653E-02,4.956E+00
19,0.000E+00,0.000E+00,0.000E+00,1.823E-03,1.874E-03,0.000E+00,1.750E-03,2.471E-03,0.000E+00,1.831E-06,1.702E-03,7.431E-03,3.732E-01,1.785E+00,-1.644E-01,1.906E+00,1.751E+00,3.142E+00,-6.112E-03,2.567E+00,2.471E+00,8.565E-02,3.336E+00,1.690E+00,-1.498E-01,2.268E+00,1.910E+00,3.142E+00,-6.139E-03,2.566E+00,2.471E+00,2.253E-01,1.652E+00,1.696E+00,-1.456E-01,2.152E+00,1.944E+00,3.142E+00,-1.067E-03,2.611E+00,2.594E+00,1.075E-01,3.282E+00,1.795E+00,-2.141E-01,2.563E+00,1.487E+00,3.142E+00,-7.757E-03,2.594E+00,2.472E+00,5.647E-02,4.960E+00
20,0.000E+00,0.000E+00,0.000E+00,1.843E-03,1.903E-03,0.000E+00,1.765E-03,2.494E-03,0.000E+00,1.953E-06,1.714E-03,7.479E-03,3.765E-01,1.789E+00,-1.738E-01,1.944E+00,1.740E+00,3.142E+00,-6.500E-03,2.574E+00,2.472E+00,8.575E-02,3.333E+00,1.691E+00,-1.510E-01,2.251E+00,1.924E+00,3.142E+00,-6.303E-03,2.554E+00,2.457E+00,2.252E-01,1.652E+00,1.694E+00,-1.484E-01,2.161E+00,1.962E+00,3.142E+00,-1.112E-03,2.611E+00,2.593E+00,1.074E-01,3.287E+00,1.796E+00,-2.197E-01,2.593E+00,1.490E+00,3.142E+00,-8.134E-03,2.611E+00,2.483E+00,5.641E-02,4.964E+00
