alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,2.770E-03,9.523E-04,0.000E+00,0.000E+00,7.812E-07,2.277E-03,9.666E-03,3.129E-01,1.810E+00,2.414E-02,1.323E+00,1.392E+00,3.142E+00,-4.424E-04,2.483E+00,2.476E+00,2.291E-01,1.628E+00,1.736E+00,-3.073E-02,1.762E+00,1.478E+00,3.142E+00,2.135E-03,2.480E+00,2.512E+00,1.109E-01,3.197E+00,1.934E+00,-1.114E-01,2.122E+00,8.737E-01,3.142E+00,-3.467E-03,2.414E+00,2.364E+00,5.487E-02,5.069E+00
1,0.000E+00,0.000E+00,2.784E-03,9.518E-04,0.000E+00,0.000E+00,8.789E-07,2.291E-03,9.726E-03,3.146E-01,1.786E+00,1.619E-02,1.353E+00,1.475E+00,3.142E+00,-3.401E-04,2.482E+00,2.477E+00,2.309E-01,1.618E+00,1.727E+00,-3.023E-02,1.727E+00,1.548E+00,3.142E+00,1.460E-03,2.501E+00,2.523E+00,1.112E-01,3.190E+00,1.901E+00,-1.149E-01,2.136E+00,9.727E-01,3.142E+00,-3.421E-03,2.410E+00,2.360E+00,5.496E-02,5.062E+00
2,0.000E+00,0.000E+00,2.799E-03,9.512E-04,0.000E+00,0.000E+00,9.766E-07,2.304E-03,9.787E-03,3.163E-01,1.762E+00,8.249E-03,1.383E+00,1.558E+00,3.142E+00,-2.379E-04,2.481E+00,2.477E+00,2.326E-01,1.608E+00,1.719E+00,-2.974E-02,1.692E+00,1.619E+00,3.142E+00,7.852E-04,2.522E+00,2.533E+00,1.115E-01,3.183E+00,1.871E+00,-1.184E-01,2.149E+00,1.072E+00,3.142E+00,-3.376E-03,2.406E+00,2.356E+00,5.506E-02,5.055E+00
3,0.000E+00,0.000E+00,2.813E-03,9.506E-04,0.000E+00,0.000E+00,1.074E-06,2.317E-03,9.847E-03,3.180E-01,1.739E+00,3.045E-04,1.413E+00,1.641E+00,3.142E+00,-1.356E-04,2.479E+00,2.477E+00,2.344E-01,1.598E+00,1.711E+00,-2.924E-02,1.657E+00,1.690E+00,3.142E+00,1.103E-04,2.543E+00,2.543E+00,1.118E-01,3.175E+00,1.843E+00,-1.220E-01,2.163E+00,1.171E+00,3.142E+00,-3.330E-03,2.401E+00,2.353E+00,5.516E-02,5.049E+00
4,0.000E+00,0.000E+00,2.820E-03,9.503E-04,0.000E+00,0.000E+00,1.123E-06,2.323E-03,9.878E-03,3.188E-01,1.732E+00,-3.668E-03,1.428E+00,1.683E+00,3.142E+00,-8.447E-05,2.479E+00,2.477E+00,2.353E-01,1.592E+00,1.708E+00,-2.899E-02,1.639E+00,1.726E+00,3.142E+00,-2.272E-04,2.553E+00,2.548E+00,1.120E-01,3.172E+00,1.830E+00,-1.237E-01,2.170E+00,1.220E+00,3.142E+00,-3.307E-03,2.399E+00,2.351E+00,5.521E-02,5.045E+00
5,0.000E+00,0.000E+00,2.827E-03,9.500E-04,0.000E+00,0.000E+00,1.172E-06,2.330E-03,9.908E-03,3.196E-01,1.725E+00,-7.640E-03,1.443E+00,1.725E+00,3.142E+00,-3.334E-05,2.478E+00,2.478E+00,2.361E-01,1.587E+00,1.704E+00,-2.874E-02,1.622E+00,1.761E+00,3.142E+00,-5.646E-04,2.563E+00,2.553E+00,1.121E-01,3.168E+00,1.817E+00,-1.255E-01,2.177E+00,1.269E+00,3.142E+00,-3.284E-03,2.397E+00,2.349E+00,5.526E-02,5.042E+00
6,0.000E+00,0.000E+00,2.841E-03,9.494E-04,0.000E+00,0.000E+00,1.270E-06,2.343E-03,9.968E-03,3.213E-01,1.713E+00,-1.558E-02,1.473E+00,1.808E+00,3.142E+00,6.892E-05,2.477E+00,2.478E+00,2.379E-01,1.577E+00,1.698E+00,-2.824E-02,1.587E+00,1.832E+00,3.142E+00,-1.240E-03,2.584E+00,2.563E+00,1.125E-01,3.161E+00,1.794E+00,-1.290E-01,2.191E+00,1.368E+00,3.142E+00,-3.239E-03,2.393E+00,2.346E+00,5.535E-02,5.035E+00
7,0.000E+00,0.000E+00,2.855E-03,9.488E-04,0.000E+00,0.000E+00,1.367E-06,2.356E-03,1.003E-02,3.230E-01,1.701E+00,-2.353E-02,1.503E+00,1.891E+00,3.142E+00,1.712E-04,2.476E+00,2.478E+00,2.396E-01,1.567E+00,1.693E+00,-2.775E-02,1.552E+00,1.903E+00,3.142E+00,-1.915E-03,2.605E+00,2.574E+00,1.128E-01,3.154E+00,1.771E+00,-1.326E-01,2.204E+00,1.467E+00,3.142E+00,-3.193E-03,2.388E+00,2.342E+00,5.545E-02,5.029E+00
8,0.000E+00,0.000E+00,2.869E-03,9.482E-04,0.000E+00,0.000E+00,1.465E-06,2.370E-03,1.009E-02,3.247E-01,1.689E+00,-3.147E-02,1.533E+00,1.974E+00,3.142E+00,2.735E-04,2.474E+00,2.479E+00,2.414E-01,1.557E+00,1.688E+00,-2.725E-02,1.517E+00,1.974E+00,3.142E+00,-2.589E-03,2.626E+00,2.584E+00,1.131E-01,3.146E+00,1.751E+00,-1.361E-01,2.218E+00,1.566E+00,3.142E+00,-3.148E-03,2.384E+00,2.339E+00,5.555E-02,5.022E+00
9,0.000E+00,0.000E+00,2.877E-03,9.479E-04,0.000E+00,0.000E+00,1.514E-06,2.376E-03,1.012E-02,3.255E-01,1.684E+00,-3.545E-02,1.548E+00,2.016E+00,3.142E+00,3.246E-04,2.474E+00,2.479E+00,2.423E-01,1.552E+00,1.686E+00,-2.700E-02,1.499E+00,2.009E+00,3.142E+00,-2.927E-03,2.637E+00,2.589E+00,1.132E-01,3.143E+00,1.741E+00,-1.379E-01,2.225E+00,1.616E+00,3.142E+00,-3.125E-03,2.382E+00,2.337E+00,5.560E-02,5.019E+00
