alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,4.585E-03,0.000E+00,0.000E+00,5.859E-06,1.465E-05,2.336E-03,9.155E-03,3.241E-01,1.779E+00,2.531E-02,1.339E+00,1.521E+00,3.142E+00,-2.664E-03,2.516E+00,2.475E+00,2.361E-01,1.586E+00,1.726E+00,1.611E-02,1.448E+00,1.670E+00,3.142E+00,-1.331E-03,2.564E+00,2.543E+00,1.155E-01,3.090E+00,1.814E+00,4.264E-02,1.055E+00,1.735E+00,3.142E+00,-5.414E-03,2.565E+00,2.481E+00,5.345E-02,5.169E+00
1,0.000E+00,0.000E+00,4.630E-03,0.000E+00,0.000E+00,6.104E-06,1.489E-05,2.346E-03,9.224E-03,3.265E-01,1.754E+00,3.776E-03,1.455E+00,1.518E+00,3.142E+00,-2.908E-03,2.523E+00,2.478E+00,2.355E-01,1.590E+00,1.710E+00,-1.619E-03,1.545E+00,1.657E+00,3.142E+00,-1.203E-03,2.561E+00,2.542E+00,1.148E-01,3.106E+00,1.801E+00,3.172E-02,1.094E+00,1.746E+00,3.142E+00,-5.792E-03,2.555E+00,2.465E+00,5.352E-02,5.164E+00
2,0.000E+00,0.000E+00,4.674E-03,0.000E+00,0.000E+00,6.348E-06,1.514E-05,2.357E-03,9.293E-03,3.290E-01,1.750E+00,-1.776E-02,1.571E+00,1.515E+00,3.142E+00,-3.153E-03,2.530E+00,2.481E+00,2.350E-01,1.593E+00,1.712E+00,-1.934E-02,1.642E+00,1.645E+00,3.142E+00,-1.075E-03,2.558E+00,2.541E+00,1.142E-01,3.122E+00,1.788E+00,2.080E-02,1.132E+00,1.757E+00,3.142E+00,-6.170E-03,2.544E+00,2.449E+00,5.358E-02,5.160E+00
3,0.000E+00,0.000E+00,4.719E-03,0.000E+00,0.000E+00,6.592E-06,1.538E-05,2.367E-03,9.363E-03,3.314E-01,1.751E+00,-3.929E-02,1.687E+00,1.512E+00,3.142E+00,-3.397E-03,2.537E+00,2.484E+00,2.344E-01,1.596E+00,1.715E+00,-3.707E-02,1.738E+00,1.632E+00,3.142E+00,-9.475E-04,2.556E+00,2.541E+00,1.135E-01,3.137E+00,1.775E+00,9.878E-03,1.170E+00,1.768E+00,3.142E+00,-6.548E-03,2.533E+00,2.434E+00,5.364E-02,5.155E+00
4,0.000E+00,0.000E+00,4.741E-03,0.000E+00,0.000E+00,6.714E-06,1.550E-05,2.372E-03,9.397E-03,3.326E-01,1.752E+00,-5.005E-02,1.745E+00,1.511E+00,3.142E+00,-3.519E-03,2.541E+00,2.486E+00,2.342E-01,1.598E+00,1.717E+00,-4.593E-02,1.787E+00,1.625E+00,3.142E+00,-8.835E-04,2.554E+00,2.540E+00,1.132E-01,3.145E+00,1.769E+00,4.418E-03,1.190E+00,1.774E+00,3.142E+00,-6.736E-03,2.528E+00,2.426E+00,5.367E-02,5.153E+00
5,0.000E+00,0.000E+00,4.764E-03,0.000E+00,0.000E+00,6.836E-06,1.563E-05,2.377E-03,9.432E-03,3.338E-01,1.754E+00,-6.082E-02,1.803E+00,1.510E+00,3.142E+00,-3.641E-03,2.544E+00,2.487E+00,2.339E-01,1.600E+00,1.719E+00,-5.480E-02,1.835E+00,1.619E+00,3.142E+00,-8.196E-04,2.553E+00,2.540E+00,1.128E-01,3.153E+00,1.764E+00,-1.041E-03,1.209E+00,1.779E+00,3.142E+00,-6.925E-03,2.522E+00,2.418E+00,5.370E-02,5.151E+00
6,0.000E+00,0.000E+00,4.808E-03,0.000E+00,0.000E+00,7.080E-06,1.587E-05,2.388E-03,9.501E-03,3.363E-01,1.757E+00,-8.235E-02,1.919E+00,1.507E+00,3.142E+00,-3.885E-03,2.551E+00,2.490E+00,2.333E-01,1.603E+00,1.724E+00,-7.252E-02,1.932E+00,1.606E+00,3.142E+00,-6.917E-04,2.550E+00,2.539E+00,1.122E-01,3.169E+00,1.764E+00,-1.196E-02,1.247E+00,1.790E+00,3.142E+00,-7.303E-03,2.511E+00,2.402E+00,5.377E-02,5.146E+00
7,0.000E+00,0.000E+00,4.853E-03,0.000E+00,0.000E+00,7.324E-06,1.611E-05,2.398E-03,9.570E-03,3.387E-01,1.760E+00,-1.039E-01,2.035E+00,1.504E+00,3.142E+00,-4.129E-03,2.558E+00,2.494E+00,2.328E-01,1.606E+00,1.729E+00,-9.025E-02,2.029E+00,1.593E+00,3.142E+00,-5.638E-04,2.548E+00,2.539E+00,1.115E-01,3.184E+00,1.764E+00,-2.288E-02,1.286E+00,1.801E+00,3.142E+00,-7.681E-03,2.501E+00,2.386E+00,5.383E-02,5.142E+00
8,0.000E+00,0.000E+00,4.898E-03,0.000E+00,0.000E+00,7.568E-06,1.636E-05,2.409E-03,9.639E-03,3.411E-01,1.764E+00,-1.254E-01,2.151E+00,1.501E+00,3.142E+00,-4.374E-03,2.565E+00,2.497E+00,2.322E-01,1.609E+00,1.734E+00,-1.080E-01,2.125E+00,1.581E+00,3.142E+00,-4.359E-04,2.545E+00,2.538E+00,1.108E-01,3.200E+00,1.765E+00,-3.380E-02,1.324E+00,1.813E+00,3.142E+00,-8.059E-03,2.490E+00,2.370E+00,5.389E-02,5.137E+00
9,0.000E+00,0.000E+00,4.920E-03,0.000E+00,0.000E+00,7.690E-06,1.648E-05,2.414E-03,9.673E-03,3.423E-01,1.767E+00,-1.362E-01,2.209E+00,1.500E+00,3.142E+00,-4.496E-03,2.569E+00,2.498E+00,2.320E-01,1.611E+00,1.737E+00,-1.168E-01,2.174E+00,1.574E+00,3.142E+00,-3.719E-04,2.544E+00,2.538E+00,1.105E-01,3.208E+00,1.765E+00,-3.926E-02,1.343E+00,1.818E+00,3.142E+00,-8.248E-03,2.484E+00,2.362E+00,5.393E-02,5.135E+00
