alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,0.000E+00,3.065E-03,1.661E-03,0.000E+00,0.000E+00,0.000E+00,1.293E-03,8.946E-03,4.556E-01,1.784E+00,1.413E-02,1.338E+00,1.500E+00,3.142E+00,-5.086E-03,2.546E+00,2.467E+00,6.039E-02,3.951E+00,1.677E+00,3.352E-02,1.549E+00,1.828E+00,3.142E+00,-2.032E-03,2.840E+00,2.803E+00,1.053E-01,3.339E+00,1.776E+00,1.578E-02,1.317E+00,1.563E+00,3.142E+00,-5.631E-03,2.461E+00,2.377E+00,3.864E-02,5.616E+00
1,0.000E+00,0.000E+00,3.079E-03,1.659E-03,0.000E+00,0.000E+00,0.000E+00,1.314E-03,8.990E-03,4.581E-01,1.773E+00,1.198E-02,1.355E+00,1.533E+00,3.142E+00,-5.106E-03,2.536E+00,2.458E+00,6.020E-02,3.960E+00,1.661E+00,2.149E-02,1.621E+00,1.844E+00,3.142E+00,-2.313E-03,2.850E+00,2.808E+00,1.056E-01,3.333E+00,1.765E+00,5.896E-03,1.368E+00,1.556E+00,3.142E+00,-5.200E-03,2.455E+00,2.378E+00,3.883E-02,5.599E+00
2,0.000E+00,0.000E+00,3.093E-03,1.656E-03,0.000E+00,0.000E+00,0.000E+00,1.335E-03,9.035E-03,4.606E-01,1.763E+00,9.821E-03,1.372E+00,1.566E+00,3.142E+00,-5.127E-03,2.527E+00,2.448E+00,6.001E-02,3.969E+00,1.644E+00,9.463E-03,1.692E+00,1.859E+00,3.142E+00,-2.594E-03,2.859E+00,2.812E+00,1.058E-01,3.327E+00,1.760E+00,-3.987E-03,1.420E+00,1.549E+00,3.142E+00,-4.769E-03,2.450E+00,2.379E+00,3.901E-02,5.581E+00
3,0.000E+00,0.000E+00,3.107E-03,1.653E-03,0.000E+00,0.000E+00,0.000E+00,1.357E-03,9.079E-03,4.630E-01,1.752E+00,7.666E-03,1.389E+00,1.600E+00,3.142E+00,-5.148E-03,2.518E+00,2.439E+00,5.982E-02,3.978E+00,1.632E+00,-2.566E-03,1.763E+00,1.875E+00,3.142E+00,-2.875E-03,2.869E+00,2.817E+00,1.061E-01,3.321E+00,1.761E+00,-1.387E-02,1.471E+00,1.542E+00,3.142E+00,-4.338E-03,2.445E+00,2.381E+00,3.920E-02,5.564E+00
4,0.000E+00,0.000E+00,3.114E-03,1.652E-03,0.000E+00,0.000E+00,0.000E+00,1.367E-03,9.101E-03,4.642E-01,1.747E+00,6.588E-03,1.397E+00,1.616E+00,3.142E+00,-5.158E-03,2.513E+00,2.435E+00,5.972E-02,3.982E+00,1.630E+00,-8.581E-03,1.799E+00,1.882E+00,3.142E+00,-3.015E-03,2.874E+00,2.819E+00,1.062E-01,3.317E+00,1.762E+00,-1.881E-02,1.497E+00,1.538E+00,3.142E+00,-4.122E-03,2.443E+00,2.381E+00,3.929E-02,5.555E+00
5,0.000E+00,0.000E+00,3.121E-03,1.651E-03,0.000E+00,0.000E+00,0.000E+00,1.378E-03,9.123E-03,4.655E-01,1.742E+00,5.511E-03,1.406E+00,1.633E+00,3.142E+00,-5.169E-03,2.509E+00,2.430E+00,5.963E-02,3.986E+00,1.629E+00,-1.460E-02,1.835E+00,1.890E+00,3.142E+00,-3.156E-03,2.879E+00,2.821E+00,1.063E-01,3.314E+00,1.762E+00,-2.375E-02,1.523E+00,1.535E+00,3.142E+00,-3.907E-03,2.440E+00,2.382E+00,3.939E-02,5.546E+00
6,0.000E+00,0.000E+00,3.135E-03,1.648E-03,0.000E+00,0.000E+00,0.000E+00,1.399E-03,9.167E-03,4.679E-01,1.732E+00,3.356E-03,1.423E+00,1.666E+00,3.142E+00,-5.190E-03,2.499E+00,2.421E+00,5.944E-02,3.995E+00,1.627E+00,-2.663E-02,1.906E+00,1.906E+00,3.142E+00,-3.437E-03,2.889E+00,2.826E+00,1.065E-01,3.308E+00,1.764E+00,-3.364E-02,1.574E+00,1.528E+00,3.142E+00,-3.476E-03,2.435E+00,2.383E+00,3.957E-02,5.529E+00
7,0.000E+00,0.000E+00,3.149E-03,1.646E-03,0.000E+00,0.000E+00,0.000E+00,1.420E-03,9.211E-03,4.704E-01,1.722E+00,1.201E-03,1.440E+00,1.700E+00,3.142E+00,-5.210E-03,2.490E+00,2.412E+00,5.925E-02,4.004E+00,1.625E+00,-3.866E-02,1.978E+00,1.921E+00,3.142E+00,-3.718E-03,2.899E+00,2.830E+00,1.068E-01,3.302E+00,1.766E+00,-4.352E-02,1.625E+00,1.520E+00,3.142E+00,-3.044E-03,2.430E+00,2.385E+00,3.976E-02,5.511E+00
8,0.000E+00,0.000E+00,3.163E-03,1.643E-03,0.000E+00,0.000E+00,0.000E+00,1.442E-03,9.256E-03,4.728E-01,1.713E+00,-9.546E-04,1.457E+00,1.733E+00,3.142E+00,-5.231E-03,2.481E+00,2.402E+00,5.906E-02,4.013E+00,1.624E+00,-5.068E-02,2.049E+00,1.937E+00,3.142E+00,-3.999E-03,2.908E+00,2.835E+00,1.070E-01,3.295E+00,1.768E+00,-5.340E-02,1.677E+00,1.513E+00,3.142E+00,-2.613E-03,2.424E+00,2.386E+00,3.994E-02,5.493E+00
9,0.000E+00,0.000E+00,3.170E-03,1.642E-03,0.000E+00,0.000E+00,0.000E+00,1.452E-03,9.278E-03,4.741E-01,1.710E+00,-2.032E-03,1.465E+00,1.750E+00,3.142E+00,-5.242E-03,2.476E+00,2.398E+00,5.896E-02,4.017E+00,1.623E+00,-5.670E-02,2.085E+00,1.945E+00,3.142E+00,-4.139E-03,2.913E+00,2.837E+00,1.071E-01,3.292E+00,1.769E+00,-5.834E-02,1.702E+00,1.510E+00,3.142E+00,-2.398E-03,2.422E+00,2.387E+00,4.004E-02,5.485E+00
