alpha,H,He,Mg,S,Mg_1,S_1,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,0.000E+00,6.685E-03,1.330E-02,6.483E-03,7.459E-01,1.735E+00,-7.207E-03,1.598E+00,1.505E+00,3.142E+00,-4.545E-03,2.605E+00,2.533E+00,2.385E-01,1.572E+00,1.838E+00,1.864E-02,1.224E+00,1.377E+00,3.142E+00,-3.381E-03,2.423E+00,2.373E+00,1.252E-01,2.591E+00
1,0.000E+00,0.000E+00,0.000E+00,6.752E-03,1.338E-02,6.517E-03,7.511E-01,1.733E+00,-2.012E-02,1.676E+00,1.512E+00,3.142E+00,-4.176E-03,2.596E+00,2.530E+00,2.381E-01,1.575E+00,1.831E+00,1.774E-02,1.212E+00,1.423E+00,3.142E+00,-3.073E-03,2.422E+00,2.377E+00,1.249E-01,2.596E+00
2,0.000E+00,0.000E+00,0.000E+00,6.820E-03,1.346E-02,6.552E-03,7.563E-01,1.731E+00,-3.303E-02,1.754E+00,1.518E+00,3.142E+00,-3.807E-03,2.587E+00,2.527E+00,2.377E-01,1.577E+00,1.825E+00,1.683E-02,1.199E+00,1.469E+00,3.142E+00,-2.765E-03,2.421E+00,2.380E+00,1.247E-01,2.600E+00
3,0.000E+00,0.000E+00,0.000E+00,6.887E-03,1.355E-02,6.586E-03,7.616E-01,1.730E+00,-4.594E-02,1.831E+00,1.525E+00,3.142E+00,-3.439E-03,2.578E+00,2.524E+00,2.373E-01,1.579E+00,1.818E+00,1.593E-02,1.187E+00,1.515E+00,3.142E+00,-2.458E-03,2.420E+00,2.384E+00,1.244E-01,2.605E+00
4,0.000E+00,0.000E+00,0.000E+00,6.921E-03,1.359E-02,6.603E-03,7.642E-01,1.729E+00,-5.240E-02,1.870E+00,1.528E+00,3.142E+00,-3.254E-03,2.574E+00,2.522E+00,2.371E-01,1.580E+00,1.815E+00,1.548E-02,1.181E+00,1.538E+00,3.142E+00,-2.304E-03,2.419E+00,2.385E+00,1.242E-01,2.607E+00
5,0.000E+00,0.000E+00,0.000E+00,6.955E-03,1.363E-02,6.620E-03,7.668E-01,1.729E+00,-5.885E-02,1.909E+00,1.532E+00,3.142E+00,-3.070E-03,2.569E+00,2.521E+00,2.369E-01,1.582E+00,1.813E+00,1.503E-02,1.174E+00,1.561E+00,3.142E+00,-2.150E-03,2.419E+00,2.387E+00,1.241E-01,2.610E+00
6,0.000E+00,0.000E+00,0.000E+00,7.023E-03,1.371E-02,6.654E-03,7.721E-01,1.728E+00,-7.176E-02,1.986E+00,1.538E+00,3.142E+00,-2.701E-03,2.560E+00,2.518E+00,2.365E-01,1.584E+00,1.807E+00,1.412E-02,1.162E+00,1.607E+00,3.142E+00,-1.842E-03,2.418E+00,2.391E+00,1.238E-01,2.615E+00
7,0.000E+00,0.000E+00,0.000E+00,7.090E-03,1.379E-02,6.688E-03,7.773E-01,1.728E+00,-8.467E-02,2.064E+00,1.545E+00,3.142E+00,-2.332E-03,2.551E+00,2.514E+00,2.361E-01,1.586E+00,1.802E+00,1.322E-02,1.149E+00,1.653E+00,3.142E+00,-1.535E-03,2.417E+00,2.394E+00,1.236E-01,2.619E+00
8,0.000E+00,0.000E+00,0.000E+00,7.158E-03,1.387E-02,6.722E-03,7.826E-01,1.728E+00,-9.758E-02,2.141E+00,1.551E+00,3.142E+00,-1.963E-03,2.542E+00,2.511E+00,2.357E-01,1.589E+00,1.796E+00,1.231E-02,1.137E+00,1.699E+00,3.142E+00,-1.227E-03,2.416E+00,2.398E+00,1.233E-01,2.624E+00
9,0.000E+00,0.000E+00,0.000E+00,7.192E-03,1.391E-02,6.739E-03,7.852E-01,1.728E+00,-1.040E-01,2.180E+00,1.554E+00,3.142E+00,-1.779E-03,2.538E+00,2.510E+00,2.355E-01,1.590E+00,1.794E+00,1.186E-02,1.131E+00,1.722E+00,3.142E+00,-1.073E-03,2.415E+00,2.400E+00,1.231E-01,2.626E+00
10,0.000E+00,0.000E+00,0.000E+00,7.226E-03,1.395E-02,6.756E-03,7.878E-01,1.728E+00,-1.105E-01,2.219E+00,1.558E+00,3.142E+00,-1.595E-03,2.533E+00,2.508E+00,2.353E-01,1.591E+00,1.792E+00,1.141E-02,1.125E+00,1.745E+00,3.142E+00,-9.195E-04,2.415E+00,2.401E+00,1.230E-01,2.629E+00
11,0.000E+00,0.000E+00,0.000E+00,7.364E-03,1.422E-02,6.905E-03,8.036E-01,1.727E+00,-1.233E-01,2.312E+00,1.561E+00,3.142E+00,-1.957E-03,2.539E+00,2.508E+00,2.331E-01,1.605E+00,1.775E+00,-1.455E-02,1.266E+00,1.715E+00,3.142E+00,-9.102E-04,2.414E+00,2.401E+00,1.227E-01,2.633E+00
12,0.000E+00,0.000E+00,0.000E+00,7.501E-03,1.449E-02,7.053E-03,8.194E-01,1.726E+00,-1.361E-01,2.405E+00,1.565E+00,3.142E+00,-2.320E-03,2.545E+00,2.508E+00,2.308E-01,1.620E+00,1.775E+00,-4.051E-02,1.408E+00,1.685E+00,3.142E+00,-9.008E-04,2.414E+00,2.400E+00,1.225E-01,2.638E+00
13,0.000E+00,0.000E+00,0.000E+00,7.639E-03,1.476E-02,7.202E-03,8.352E-01,1.726E+00,-1.489E-01,2.498E+00,1.568E+00,3.142E+00,-2.683E-03,2.550E+00,2.508E+00,2.285E-01,1.634E+00,1.777E+00,-6.647E-02,1.549E+00,1.656E+00,3.142E+00,-8.915E-04,2.413E+00,2.400E+00,1.222E-01,2.642E+00
14,0.000E+00,0.000E+00,0.000E+00,7.708E-03,1.489E-02,7.276E-03,8.431E-01,1.726E+00,-1.552E-01,2.544E+00,1.570E+00,3.142E+00,-2.865E-03,2.553E+00,2.508E+00,2.274E-01,1.641E+00,1.779E+00,-7.945E-02,1.620E+00,1.641E+00,3.142E+00,-8.868E-04,2.413E+00,2.400E+00,1.221E-01,2.645E+00
15,0.000E+00,0.000E+00,0.000E+00,7.777E-03,1.503E-02,7.351E-03,8.510E-01,1.726E+00,-1.616E-01,2.591E+00,1.572E+00,3.142E+00,-3.046E-03,2.556E+00,2.508E+00,2.263E-01,1.648E+00,1.782E+00,-9.243E-02,1.691E+00,1.626E+00,3.142E+00,-8.821E-04,2.412E+00,2.399E+00,1.220E-01,2.647E+00
16,0.000E+00,0.000E+00,0.000E+00,7.915E-03,1.530E-02,7.499E-03,8.667E-01,1.726E+00,-1.744E-01,2.684E+00,1.575E+00,3.142E+00,-3.409E-03,2.562E+00,2.508E+00,2.240E-01,1.662E+00,1.787E+00,-1.184E-01,1.832E+00,1.596E+00,3.142E+00,-8.728E-04,2.412E+00,2.399E+00,1.217E-01,2.651E+00
17,0.000E+00,0.000E+00,0.000E+00,8.053E-03,1.557E-02,7.648E-03,8.825E-01,1.726E+00,-1.872E-01,2.777E+00,1.579E+00,3.142E+00,-3.772E-03,2.567E+00,2.508E+00,2.217E-01,1.677E+00,1.795E+00,-1.444E-01,1.974E+00,1.566E+00,3.142E+00,-8.634E-04,2.411E+00,2.398E+00,1.214E-01,2.656E+00
18,0.000E+00,0.000E+00,0.000E+00,8.191E-03,1.583E-02,7.797E-03,8.983E-01,1.727E+00,-2.000E-01,2.870E+00,1.583E+00,3.142E+00,-4.134E-03,2.573E+00,2.508E+00,2.195E-01,1.691E+00,1.804E+00,-1.703E-01,2.115E+00,1.536E+00,3.142E+00,-8.541E-04,2.411E+00,2.398E+00,1.212E-01,2.661E+00
19,0.000E+00,0.000E+00,0.000E+00,8.260E-03,1.597E-02,7.871E-03,9.062E-01,1.728E+00,-2.064E-01,2.916E+00,1.584E+00,3.142E+00,-4.316E-03,2.576E+00,2.508E+00,2.183E-01,1.698E+00,1.808E+00,-1.833E-01,2.186E+00,1.521E+00,3.142E+00,-8.494E-04,2.410E+00,2.398E+00,1.210E-01,2.663E+00
