alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,2.257E-03,0.000E+00,1.484E-03,0.000E+00,0.000E+00,0.000E+00,7.578E-04,3.265E-03,2.233E-03,5.368E-03,3.131E-01,1.819E+00,-1.923E-02,1.484E+00,1.293E+00,3.142E+00,5.679E-04,2.440E+00,2.448E+00,7.236E-02,4.139E+00,1.749E+00,-2.582E-02,1.758E+00,1.398E+00,3.142E+00,-2.130E-03,2.689E+00,2.654E+00,3.072E-01,1.268E+00,1.730E+00,-9.109E-02,2.259E+00,1.438E+00,3.142E+00,-1.003E-03,2.616E+00,2.600E+00,1.163E-01,3.072E+00,1.784E+00,-1.396E-03,1.418E+00,1.421E+00,3.142E+00,-6.955E-03,2.437E+00,2.336E+00,6.387E-02,4.518E+00
1,0.000E+00,0.000E+00,2.262E-03,0.000E+00,1.479E-03,0.000E+00,0.000E+00,0.000E+00,7.706E-04,3.334E-03,2.250E-03,5.387E-03,3.152E-01,1.806E+00,-2.203E-02,1.477E+00,1.371E+00,3.142E+00,-9.151E-05,2.458E+00,2.456E+00,7.291E-02,4.115E+00,1.733E+00,-2.233E-02,1.711E+00,1.491E+00,3.142E+00,-1.818E-03,2.678E+00,2.648E+00,3.050E-01,1.276E+00,1.727E+00,-9.147E-02,2.223E+00,1.473E+00,3.142E+00,-1.177E-03,2.627E+00,2.608E+00,1.157E-01,3.086E+00,1.788E+00,-8.098E-03,1.417E+00,1.438E+00,3.142E+00,-5.721E-03,2.414E+00,2.331E+00,6.344E-02,4.542E+00
2,0.000E+00,0.000E+00,2.267E-03,0.000E+00,1.474E-03,0.000E+00,0.000E+00,0.000E+00,7.834E-04,3.404E-03,2.266E-03,5.406E-03,3.174E-01,1.793E+00,-2.482E-02,1.470E+00,1.448E+00,3.142E+00,-7.509E-04,2.477E+00,2.465E+00,7.347E-02,4.092E+00,1.719E+00,-1.884E-02,1.665E+00,1.583E+00,3.142E+00,-1.507E-03,2.667E+00,2.642E+00,3.029E-01,1.285E+00,1.725E+00,-9.184E-02,2.186E+00,1.509E+00,3.142E+00,-1.352E-03,2.638E+00,2.615E+00,1.151E-01,3.101E+00,1.792E+00,-1.480E-02,1.416E+00,1.454E+00,3.142E+00,-4.487E-03,2.391E+00,2.325E+00,6.301E-02,4.567E+00
3,0.000E+00,0.000E+00,2.272E-03,0.000E+00,1.469E-03,0.000E+00,0.000E+00,0.000E+00,7.963E-04,3.474E-03,2.282E-03,5.425E-03,3.195E-01,1.781E+00,-2.761E-02,1.463E+00,1.526E+00,3.142E+00,-1.410E-03,2.495E+00,2.473E+00,7.402E-02,4.068E+00,1.707E+00,-1.535E-02,1.618E+00,1.675E+00,3.142E+00,-1.195E-03,2.656E+00,2.636E+00,3.007E-01,1.293E+00,1.723E+00,-9.222E-02,2.150E+00,1.544E+00,3.142E+00,-1.526E-03,2.648E+00,2.623E+00,1.145E-01,3.115E+00,1.796E+00,-2.150E-02,1.415E+00,1.471E+00,3.142E+00,-3.252E-03,2.368E+00,2.320E+00,6.257E-02,4.591E+00
4,0.000E+00,0.000E+00,2.275E-03,0.000E+00,1.466E-03,0.000E+00,0.000E+00,0.000E+00,8.027E-04,3.509E-03,2.290E-03,5.434E-03,3.206E-01,1.775E+00,-2.901E-02,1.459E+00,1.564E+00,3.142E+00,-1.740E-03,2.504E+00,2.477E+00,7.430E-02,4.057E+00,1.701E+00,-1.361E-02,1.595E+00,1.721E+00,3.142E+00,-1.039E-03,2.651E+00,2.633E+00,2.996E-01,1.297E+00,1.722E+00,-9.240E-02,2.132E+00,1.562E+00,3.142E+00,-1.613E-03,2.654E+00,2.627E+00,1.142E-01,3.122E+00,1.798E+00,-2.485E-02,1.415E+00,1.479E+00,3.142E+00,-2.635E-03,2.357E+00,2.317E+00,6.236E-02,4.603E+00
5,0.000E+00,0.000E+00,2.277E-03,0.000E+00,1.463E-03,0.000E+00,0.000E+00,0.000E+00,8.091E-04,3.544E-03,2.298E-03,5.444E-03,3.217E-01,1.770E+00,-3.041E-02,1.455E+00,1.603E+00,3.142E+00,-2.070E-03,2.513E+00,2.481E+00,7.457E-02,4.045E+00,1.695E+00,-1.187E-02,1.572E+00,1.767E+00,3.142E+00,-8.836E-04,2.645E+00,2.631E+00,2.986E-01,1.301E+00,1.721E+00,-9.259E-02,2.114E+00,1.580E+00,3.142E+00,-1.700E-03,2.659E+00,2.631E+00,1.138E-01,3.129E+00,1.800E+00,-2.820E-02,1.414E+00,1.487E+00,3.142E+00,-2.018E-03,2.345E+00,2.315E+00,6.214E-02,4.616E+00
6,0.000E+00,0.000E+00,2.282E-03,0.000E+00,1.458E-03,0.000E+00,0.000E+00,0.000E+00,8.219E-04,3.614E-03,2.315E-03,5.463E-03,3.238E-01,1.760E+00,-3.320E-02,1.448E+00,1.681E+00,3.142E+00,-2.729E-03,2.532E+00,2.489E+00,7.512E-02,4.022E+00,1.685E+00,-8.379E-03,1.525E+00,1.859E+00,3.142E+00,-5.721E-04,2.634E+00,2.625E+00,2.964E-01,1.309E+00,1.719E+00,-9.297E-02,2.078E+00,1.615E+00,3.142E+00,-1.875E-03,2.670E+00,2.639E+00,1.132E-01,3.143E+00,1.804E+00,-3.491E-02,1.413E+00,1.504E+00,3.142E+00,-7.832E-04,2.322E+00,2.309E+00,6.171E-02,4.640E+00
7,0.000E+00,0.000E+00,2.288E-03,0.000E+00,1.453E-03,0.000E+00,0.000E+00,0.000E+00,8.347E-04,3.684E-03,2.331E-03,5.482E-03,3.260E-01,1.750E+00,-3.599E-02,1.441E+00,1.758E+00,3.142E+00,-3.389E-03,2.550E+00,2.497E+00,7.568E-02,3.998E+00,1.677E+00,-4.892E-03,1.478E+00,1.951E+00,3.142E+00,-2.605E-04,2.623E+00,2.619E+00,2.942E-01,1.318E+00,1.718E+00,-9.334E-02,2.042E+00,1.651E+00,3.142E+00,-2.049E-03,2.681E+00,2.646E+00,1.126E-01,3.157E+00,1.808E+00,-4.161E-02,1.412E+00,1.520E+00,3.142E+00,4.512E-04,2.299E+00,2.304E+00,6.128E-02,4.665E+00
8,0.000E+00,0.000E+00,2.293E-03,0.000E+00,1.448E-03,0.000E+00,0.000E+00,0.000E+00,8.475E-04,3.753E-03,2.347E-03,5.501E-03,3.281E-01,1.741E+00,-3.879E-02,1.433E+00,1.836E+00,3.142E+00,-4.048E-03,2.569E+00,2.505E+00,7.623E-02,3.975E+00,1.669E+00,-1.404E-03,1.432E+00,2.043E+00,3.142E+00,5.098E-05,2.612E+00,2.613E+00,2.921E-01,1.326E+00,1.717E+00,-9.371E-02,2.006E+00,1.686E+00,3.142E+00,-2.223E-03,2.692E+00,2.654E+00,1.120E-01,3.171E+00,1.812E+00,-4.831E-02,1.411E+00,1.537E+00,3.142E+00,1.686E-03,2.276E+00,2.299E+00,6.084E-02,4.689E+00
9,0.000E+00,0.000E+00,2.295E-03,0.000E+00,1.445E-03,0.000E+00,0.000E+00,0.000E+00,8.539E-04,3.788E-03,2.355E-03,5.510E-03,3.292E-01,1.737E+00,-4.019E-02,1.430E+00,1.874E+00,3.142E+00,-4.378E-03,2.578E+00,2.509E+00,7.651E-02,3.963E+00,1.666E+00,3.394E-04,1.408E+00,2.089E+00,3.142E+00,2.067E-04,2.607E+00,2.610E+00,2.910E-01,1.330E+00,1.717E+00,-9.390E-02,1.988E+00,1.704E+00,3.142E+00,-2.310E-03,2.697E+00,2.658E+00,1.117E-01,3.178E+00,1.814E+00,-5.166E-02,1.410E+00,1.545E+00,3.142E+00,2.303E-03,2.265E+00,2.296E+00,6.063E-02,4.701E+00
