alpha,H,He,Cr,S,Cr_1,S_1,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,1.453E-02,2.227E-04,0.000E+00,0.000E+00,1.373E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.785E+00,6.739E-03,1.360E+00,1.469E+00,5.927E-02,4.086E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.491E+00,-1.172E-02,2.317E+00,2.340E+00,1.575E-01,2.148E+00
1,0.000E+00,0.000E+00,1.460E-02,2.211E-04,0.000E+00,0.000E+00,1.379E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.777E+00,2.773E-03,1.372E+00,1.494E+00,5.924E-02,4.088E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.476E+00,-5.306E-03,2.269E+00,2.460E+00,1.588E-01,2.135E+00
2,0.000E+00,0.000E+00,1.466E-02,2.195E-04,0.000E+00,0.000E+00,1.385E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.771E+00,-1.193E-03,1.383E+00,1.518E+00,5.921E-02,4.089E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.464E+00,1.111E-03,2.221E+00,2.580E+00,1.600E-01,2.122E+00
3,0.000E+00,0.000E+00,1.472E-02,2.179E-04,0.000E+00,0.000E+00,1.392E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.768E+00,-5.160E-03,1.394E+00,1.543E+00,5.918E-02,4.091E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.457E+00,7.528E-03,2.172E+00,2.700E+00,1.612E-01,2.109E+00
4,0.000E+00,0.000E+00,1.475E-02,2.171E-04,0.000E+00,0.000E+00,1.395E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.766E+00,-7.143E-03,1.399E+00,1.555E+00,5.916E-02,4.092E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.455E+00,1.074E-02,2.148E+00,2.759E+00,1.618E-01,2.102E+00
5,0.000E+00,0.000E+00,1.479E-02,2.163E-04,0.000E+00,0.000E+00,1.398E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.765E+00,-9.126E-03,1.405E+00,1.568E+00,5.914E-02,4.093E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.452E+00,1.394E-02,2.124E+00,2.819E+00,1.624E-01,2.096E+00
6,0.000E+00,0.000E+00,1.485E-02,2.147E-04,0.000E+00,0.000E+00,1.404E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.762E+00,-1.309E-02,1.416E+00,1.592E+00,5.911E-02,4.094E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.448E+00,2.036E-02,2.076E+00,2.939E+00,1.636E-01,2.083E+00
7,0.000E+00,0.000E+00,1.491E-02,2.131E-04,0.000E+00,0.000E+00,1.410E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.759E+00,-1.706E-02,1.427E+00,1.617E+00,5.908E-02,4.096E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.444E+00,2.678E-02,2.028E+00,3.059E+00,1.649E-01,2.070E+00
8,0.000E+00,0.000E+00,1.498E-02,2.115E-04,0.000E+00,0.000E+00,1.417E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.756E+00,-2.102E-02,1.438E+00,1.642E+00,5.905E-02,4.097E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.442E+00,3.320E-02,1.980E+00,3.179E+00,1.661E-01,2.057E+00
9,0.000E+00,0.000E+00,1.501E-02,2.108E-04,0.000E+00,0.000E+00,1.420E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.755E+00,-2.301E-02,1.444E+00,1.654E+00,5.903E-02,4.098E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.441E+00,3.640E-02,1.956E+00,3.239E+00,1.667E-01,2.050E+00
