alpha,H,He,Mg,S,Mg_1,S_1,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,energyK_Mg,energyE_Mg,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,4.805E-02,4.463E-04,1.953E-06,0.000E+00,2.711E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.828E+00,-2.660E-02,1.483E+00,1.291E+00,3.404E-01,1.151E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.513E+00,6.136E-02,1.707E+00,2.926E+00,1.231E-01,2.627E+00
1,0.000E+00,0.000E+00,4.835E-02,4.548E-04,1.709E-06,0.000E+00,2.727E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.826E+00,-3.425E-02,1.513E+00,1.311E+00,3.408E-01,1.150E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.520E+00,5.310E-02,1.706E+00,2.849E+00,1.255E-01,2.590E+00
2,0.000E+00,0.000E+00,4.865E-02,4.634E-04,1.465E-06,0.000E+00,2.744E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.823E+00,-4.190E-02,1.542E+00,1.331E+00,3.411E-01,1.149E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.527E+00,4.483E-02,1.705E+00,2.773E+00,1.279E-01,2.554E+00
3,0.000E+00,0.000E+00,4.895E-02,4.719E-04,1.221E-06,0.000E+00,2.760E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.821E+00,-4.956E-02,1.572E+00,1.351E+00,3.415E-01,1.148E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.534E+00,3.657E-02,1.704E+00,2.696E+00,1.303E-01,2.518E+00
4,0.000E+00,0.000E+00,4.910E-02,4.762E-04,1.099E-06,0.000E+00,2.768E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.820E+00,-5.338E-02,1.587E+00,1.360E+00,3.417E-01,1.147E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.538E+00,3.243E-02,1.704E+00,2.658E+00,1.315E-01,2.500E+00
5,0.000E+00,0.000E+00,4.925E-02,4.805E-04,9.766E-07,0.000E+00,2.777E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.819E+00,-5.721E-02,1.601E+00,1.370E+00,3.418E-01,1.147E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.542E+00,2.830E-02,1.703E+00,2.620E+00,1.327E-01,2.482E+00
6,0.000E+00,0.000E+00,4.954E-02,4.890E-04,7.324E-07,0.000E+00,2.793E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.816E+00,-6.486E-02,1.631E+00,1.390E+00,3.422E-01,1.146E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.550E+00,2.003E-02,1.703E+00,2.543E+00,1.350E-01,2.445E+00
7,0.000E+00,0.000E+00,4.984E-02,4.976E-04,4.883E-07,0.000E+00,2.810E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.814E+00,-7.251E-02,1.660E+00,1.410E+00,3.425E-01,1.145E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.559E+00,1.177E-02,1.702E+00,2.467E+00,1.374E-01,2.409E+00
8,0.000E+00,0.000E+00,5.014E-02,5.061E-04,2.441E-07,0.000E+00,2.826E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.812E+00,-8.017E-02,1.690E+00,1.430E+00,3.429E-01,1.144E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.567E+00,3.500E-03,1.701E+00,2.390E+00,1.398E-01,2.373E+00
9,0.000E+00,0.000E+00,5.029E-02,5.104E-04,1.221E-07,0.000E+00,2.835E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.811E+00,-8.399E-02,1.705E+00,1.439E+00,3.431E-01,1.143E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.573E+00,-6.331E-04,1.701E+00,2.352E+00,1.410E-01,2.354E+00
