mineral,O,Na,Mg,Al,Si,Ti,K,Ca,Fe,Cr,S,Mn,total
Or,0.615,0,0,0.077,0.231,0,0.077,0,0,0,0,0,13
Ab,0.615,0.077,0,0.077,0.231,0,0,0,0,0,0,0,13
An,0.615,0,0,0.154,0.154,0,0,0.077,0,0,0,0,13
Nph,0.58,0.14,0,0.14,0.14,0,0,0,0,0,0,0,7
Wo,0.6,0,0,0,0.2,0,0,0.2,0,0,0,0,5
Di,0.6,0,0.1,0,0.2,0,0,0.1,0,0,0,0,10
En,0.6,0,0.2,0,0.2,0,0,0,0,0,0,0,10
Fs,0.6,0,0,0,0.2,0,0,0,0.2,0,0,0,10
Fo,0.57,0,0.29,0,0.14,0,0,0,0,0,0,0,7
Fa,0.57,0,0,0,0.14,0,0,0,0.29,0,0,0,7
Sp,0.57,0,0.14,0.29,0,0,0,0,0,0,0,0,7
Chr,0.57,0,0,0,0,0,0,0,0.14,0.29,0,0,7
Ilm,0.6,0,0,0,0,0.2,0,0,0.2,0,0,0,5
Qz,0.66,0,0,0,0.33,0,0,0,0,0,0,0,3
Tro,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2
Nng,0,0,0.5,0,0,0,0,0,0,0,0.5,0,2
Abd,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2
Old,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2
Was,0,0,0,0,0,0.5,0,0,0,0,0.5,0,2
Bzn,0,0,0,0,0,0,0,0,0,0.43,0.57,0,7
Dbr,0,0,0,0,0,0,0,0,0.17,0.17,0.66,0,7
