!  table1  
!         -H.H.Binder, Lexikon der chemischen Elemente, Hirzel Verlag Stuttgart/Leipzig, 1999 
!         -Taschenbuch fuer Chemiker und Physiker, Band3, Springer-Verlag 1998
!         -CRC Handbook of Chemistry and Physics, 78th ed., 11-42ff
!         -Landolt-Boernstein, New Series IV/5b)
!         Molare Masse                                                 standard- standard-  standard-
!           [g/mol]    (solid/liquid)    surface displace- heat of     enthalpie enthalpie  bildungs-
!         rel.A.M.     mass     atomic   binding   ment   dissociation schmelzen verdampfen enthalpie
!symbol Z   mass      density   density  energy   energy  delta_H_Diss deltaH_f  deltaH_v   deltaH_at
!           [amu]     [g/cm^3] [at./A^3]  [eV]    [ev]      [eV]       [kJ/mol]  [kJ/mol]   [kJ/mol]
 Z	mass	mass_density	atomic_density	binding_energy	displacement_energy	h_diss	h_schmelz	h_damp	h_bildung     name
 H      1   1.007825   0.0708   0.04231  2.25941   0.5      4.475        0.12      0.46     218.0  Wasserstoff/hydrogen
 D      1   2.014083   0.0708   0.04231  2.25941   0.5      4.556        0.12      0.46     218.0  deuterium
 T      1   3.016026   0.0708   0.04231  2.25941   0.5      4.556        0.12      0.46     218.0  tritium
 He3    2   3.016029   0.1248   0.01878  0.00000   0.5      0.0          0         0          0    helium
 He4    2   4.002603   0.1248   0.01878  0.00000   0.5      0.0          0         0          0    helium
 Li     3   6.941      0.534    0.04633  1.65103   0.         0          3.00    147.7      159.3  lithium
 Be     4   9.012182   1.8477   0.12347  3.35802  15.0        0          7.90    291.58     324.0  beryllium
 B      5  10.811      2.350    0.13090  5.80399   0.         0         50.4     480.5      560.0  bor/boron
 C(gr)  6  12.011      2.230    0.11181  7.42807  25.         0          0.0     710.9      716.7  kohlenstoff/carbon
 C(d)   6  12.011      3.514    0.17619  7.42807  35.         0          0.0     710.9      716.7  diamant
 C_a  6  12.011      2.230    0.11181  7.42807  25.         0          0.0     710.9      716.7  kohlenstoff/atomic
 N      7  14.00674    0.880    0.03784  4.90085   0.       9.756        0.720     5.577    472.86 stickstoff/nitrogen
 O      8  15.9994     1.140    0.04291  2.58247   0.5      5.115        0.444     6.82     249.17 sauerstoff/oxygen
 F      9  18.998403   1.513    0.04796  0.81774   0.       1.60         1.02      3.26      78.9  fluor/fluorine
 Ne    10  20.1797     1.2073   0.03603  0.00000   0.       0.0          0.324     1.736      0    neon
 Na    11  22.989768   0.971    0.02544  1.11209   0.         0          2.603    99.2      107.3  natrium/sodium
 Mg    12  24.3050     1.738    0.04306  1.51733  10.         0          8.95    127.4      146.4  magnesium
 Al    13  26.981539   2.698    0.06022  3.41710  16.         0         10.71    294.0      329.7  aluminium/aluminum
 Si    14  28.08553    2.329    0.04994  4.66392  13.         0         50.21    383.3      450.0  silicium/silicon
 P(w)  15  30.973761   1.823    0.03544  3.27926   0.         0          0.659    51.9      316.4  phosphor(weiss)/
 P(r)  15  30.973761   2.200    0.04277  3.27926   0.         0          0.659    51.9      316.4      (rot)/phosphoros
 S     16  32.066      2.070    0.03888  2.87090   0.         0          1.72      9.62     277.0  schwefel/sulfur
 Cl    17  35.4527     1.507    0.02560  1.25719   0.       2.475        6.41     20.40     121.3  chlor/chlorine
 Ar    18  39.948      1.380    0.02080  0.00000   0.       0.0          1.21      6.53       0    argon
 K     19  39.0983     0.862    0.01328  0.92242   0.         0          2.343    79.1       89.0  kalium/potassium
 Ca    20  40.078      1.540    0.02314  1.84691   0.         0          8.54    153.6      178.2  calcium/calcium
 Sc    21  44.955910   2.989    0.04004  3.91666   0.         0         14.10    314.2      377.90 scandium
 Ti    22  47.867      4.540    0.05712  4.90883  19.         0         14.15    410.0      473.63 titan/titanium
 V     23  50.9415     6.110    0.07223  5.32931  26.         0         20.93    451.8      514.2  vanadium
 Cr    24  51.9961     7.190    0.08327  4.11980  28.         0         16.93    344.3      397.5  chrom/chromium
