alpha,H,Mn,S,Mn_1,S_1,amu/ion,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,energyK_Mn,energyE_Mn,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,9.312E-04,0.000E+00,4.847E-03,6.095E-03,5.129E-01,1.872E+00,-1.783E-02,1.334E+00,1.211E+00,3.142E+00,1.227E-03,2.232E+00,2.249E+00,9.655E-02,2.829E+00,1.814E+00,-1.901E-02,1.457E+00,1.342E+00,3.142E+00,-1.724E-03,2.317E+00,2.292E+00,1.150E-01,2.775E+00
1,0.000E+00,9.224E-04,0.000E+00,4.880E-03,6.130E-03,5.153E-01,1.872E+00,-3.075E-02,1.385E+00,1.223E+00,3.142E+00,4.710E-04,2.248E+00,2.254E+00,9.602E-02,2.841E+00,1.814E+00,-3.120E-02,1.500E+00,1.357E+00,3.142E+00,-1.330E-03,2.316E+00,2.298E+00,1.145E-01,2.785E+00
2,0.000E+00,9.135E-04,0.000E+00,4.912E-03,6.164E-03,5.177E-01,1.872E+00,-4.367E-02,1.436E+00,1.235E+00,3.142E+00,-2.854E-04,2.264E+00,2.260E+00,9.548E-02,2.853E+00,1.815E+00,-4.340E-02,1.542E+00,1.373E+00,3.142E+00,-9.356E-04,2.316E+00,2.303E+00,1.139E-01,2.796E+00
3,0.000E+00,9.046E-04,0.000E+00,4.945E-03,6.198E-03,5.201E-01,1.872E+00,-5.659E-02,1.487E+00,1.246E+00,3.142E+00,-1.042E-03,2.280E+00,2.265E+00,9.494E-02,2.865E+00,1.816E+00,-5.559E-02,1.585E+00,1.388E+00,3.142E+00,-5.413E-04,2.315E+00,2.308E+00,1.134E-01,2.806E+00
4,0.000E+00,9.001E-04,0.000E+00,4.961E-03,6.215E-03,5.213E-01,1.872E+00,-6.305E-02,1.512E+00,1.252E+00,3.142E+00,-1.420E-03,2.288E+00,2.268E+00,9.468E-02,2.871E+00,1.816E+00,-6.169E-02,1.607E+00,1.396E+00,3.142E+00,-3.441E-04,2.315E+00,2.310E+00,1.132E-01,2.812E+00
5,0.000E+00,8.957E-04,0.000E+00,4.978E-03,6.232E-03,5.225E-01,1.872E+00,-6.951E-02,1.537E+00,1.258E+00,3.142E+00,-1.798E-03,2.296E+00,2.270E+00,9.441E-02,2.877E+00,1.817E+00,-6.779E-02,1.628E+00,1.404E+00,3.142E+00,-1.469E-04,2.315E+00,2.313E+00,1.129E-01,2.817E+00
6,0.000E+00,8.868E-04,0.000E+00,5.010E-03,6.267E-03,5.249E-01,1.872E+00,-8.243E-02,1.588E+00,1.270E+00,3.142E+00,-2.554E-03,2.312E+00,2.275E+00,9.387E-02,2.889E+00,1.817E+00,-7.999E-02,1.671E+00,1.420E+00,3.142E+00,2.474E-04,2.314E+00,2.318E+00,1.124E-01,2.827E+00
7,0.000E+00,8.779E-04,0.000E+00,5.043E-03,6.301E-03,5.273E-01,1.873E+00,-9.534E-02,1.639E+00,1.281E+00,3.142E+00,-3.311E-03,2.328E+00,2.281E+00,9.334E-02,2.901E+00,1.818E+00,-9.218E-02,1.714E+00,1.435E+00,3.142E+00,6.418E-04,2.313E+00,2.323E+00,1.118E-01,2.838E+00
8,0.000E+00,8.690E-04,0.000E+00,5.076E-03,6.335E-03,5.297E-01,1.873E+00,-1.083E-01,1.690E+00,1.293E+00,3.142E+00,-4.067E-03,2.343E+00,2.286E+00,9.280E-02,2.914E+00,1.819E+00,-1.044E-01,1.757E+00,1.451E+00,3.142E+00,1.036E-03,2.313E+00,2.328E+00,1.113E-01,2.848E+00
9,0.000E+00,8.646E-04,0.000E+00,5.092E-03,6.352E-03,5.309E-01,1.873E+00,-1.147E-01,1.715E+00,1.299E+00,3.142E+00,-4.445E-03,2.351E+00,2.289E+00,9.253E-02,2.920E+00,1.819E+00,-1.105E-01,1.778E+00,1.459E+00,3.142E+00,1.233E-03,2.313E+00,2.330E+00,1.111E-01,2.854E+00
10,0.000E+00,8.602E-04,0.000E+00,5.109E-03,6.370E-03,5.321E-01,1.874E+00,-1.212E-01,1.740E+00,1.305E+00,3.142E+00,-4.824E-03,2.359E+00,2.291E+00,9.226E-02,2.926E+00,1.819E+00,-1.166E-01,1.800E+00,1.467E+00,3.142E+00,1.431E-03,2.312E+00,2.333E+00,1.108E-01,2.859E+00
11,0.000E+00,8.802E-04,0.000E+00,5.204E-03,6.492E-03,5.424E-01,1.868E+00,-1.441E-01,1.900E+00,1.308E+00,3.142E+00,-4.572E-03,2.357E+00,2.292E+00,9.212E-02,2.929E+00,1.812E+00,-1.406E-01,2.017E+00,1.444E+00,3.142E+00,1.047E-03,2.323E+00,2.338E+00,1.108E-01,2.858E+00
12,0.000E+00,9.002E-04,0.000E+00,5.299E-03,6.614E-03,5.526E-01,1.863E+00,-1.670E-01,2.060E+00,1.311E+00,3.142E+00,-4.320E-03,2.354E+00,2.293E+00,9.198E-02,2.932E+00,1.808E+00,-1.647E-01,2.235E+00,1.421E+00,3.142E+00,6.641E-04,2.333E+00,2.343E+00,1.109E-01,2.857E+00
13,0.000E+00,9.202E-04,0.000E+00,5.395E-03,6.737E-03,5.629E-01,1.861E+00,-1.899E-01,2.220E+00,1.313E+00,3.142E+00,-4.069E-03,2.351E+00,2.294E+00,9.184E-02,2.936E+00,1.808E+00,-1.888E-01,2.452E+00,1.398E+00,3.142E+00,2.809E-04,2.344E+00,2.348E+00,1.109E-01,2.856E+00
14,0.000E+00,9.302E-04,0.000E+00,5.443E-03,6.798E-03,5.680E-01,1.860E+00,-2.014E-01,2.300E+00,1.315E+00,3.142E+00,-3.943E-03,2.350E+00,2.294E+00,9.177E-02,2.938E+00,1.808E+00,-2.008E-01,2.561E+00,1.387E+00,3.142E+00,8.928E-05,2.349E+00,2.350E+00,1.109E-01,2.856E+00
15,0.000E+00,9.402E-04,0.000E+00,5.490E-03,6.859E-03,5.732E-01,1.860E+00,-2.129E-01,2.380E+00,1.316E+00,3.142E+00,-3.817E-03,2.348E+00,2.295E+00,9.169E-02,2.939E+00,1.810E+00,-2.129E-01,2.670E+00,1.375E+00,3.142E+00,-1.023E-04,2.354E+00,2.353E+00,1.110E-01,2.855E+00
16,0.000E+00,9.603E-04,0.000E+00,5.586E-03,6.981E-03,5.834E-01,1.860E+00,-2.358E-01,2.540E+00,1.319E+00,3.142E+00,-3.566E-03,2.346E+00,2.295E+00,9.155E-02,2.943E+00,1.814E+00,-2.369E-01,2.887E+00,1.353E+00,3.142E+00,-4.855E-04,2.365E+00,2.358E+00,1.110E-01,2.854E+00
17,0.000E+00,9.803E-04,0.000E+00,5.681E-03,7.104E-03,5.937E-01,1.860E+00,-2.587E-01,2.700E+00,1.322E+00,3.142E+00,-3.314E-03,2.343E+00,2.296E+00,9.141E-02,2.946E+00,1.820E+00,-2.610E-01,3.105E+00,1.330E+00,3.142E+00,-8.687E-04,2.375E+00,2.362E+00,1.110E-01,2.854E+00
18,0.000E+00,1.000E-03,0.000E+00,5.776E-03,7.226E-03,6.040E-01,1.862E+00,-2.816E-01,2.860E+00,1.325E+00,3.142E+00,-3.062E-03,2.340E+00,2.297E+00,9.127E-02,2.949E+00,1.827E+00,-2.851E-01,3.322E+00,1.307E+00,3.142E+00,-1.252E-03,2.386E+00,2.367E+00,1.111E-01,2.853E+00
19,0.000E+00,1.010E-03,0.000E+00,5.824E-03,7.287E-03,6.091E-01,1.863E+00,-2.931E-01,2.940E+00,1.327E+00,3.142E+00,-2.936E-03,2.339E+00,2.297E+00,9.120E-02,2.951E+00,1.831E+00,-2.971E-01,3.431E+00,1.295E+00,3.142E+00,-1.444E-03,2.391E+00,2.370E+00,1.111E-01,2.852E+00
20,0.000E+00,1.020E-03,0.000E+00,5.872E-03,7.348E-03,6.142E-01,1.864E+00,-3.045E-01,3.020E+00,1.328E+00,3.142E+00,-2.811E-03,2.337E+00,2.298E+00,9.112E-02,2.953E+00,1.836E+00,-3.091E-01,3.540E+00,1.284E+00,3.142E+00,-1.635E-03,2.396E+00,2.372E+00,1.111E-01,2.852E+00
21,0.000E+00,1.067E-03,0.000E+00,6.051E-03,7.563E-03,6.335E-01,1.856E+00,-3.202E-01,3.223E+00,1.337E+00,3.142E+00,-2.769E-03,2.335E+00,2.296E+00,9.052E-02,2.968E+00,1.825E+00,-3.066E-01,3.471E+00,1.336E+00,3.142E+00,-1.771E-03,2.404E+00,2.378E+00,1.106E-01,2.864E+00
22,0.000E+00,1.115E-03,0.000E+00,6.229E-03,7.779E-03,6.528E-01,1.849E+00,-3.358E-01,3.426E+00,1.347E+00,3.142E+00,-2.727E-03,2.332E+00,2.294E+00,8.991E-02,2.983E+00,1.814E+00,-3.040E-01,3.403E+00,1.387E+00,3.142E+00,-1.907E-03,2.411E+00,2.383E+00,1.100E-01,2.875E+00
23,0.000E+00,1.162E-03,0.000E+00,6.408E-03,7.994E-03,6.721E-01,1.843E+00,-3.515E-01,3.629E+00,1.356E+00,3.142E+00,-2.685E-03,2.329E+00,2.292E+00,8.930E-02,2.998E+00,1.804E+00,-3.014E-01,3.334E+00,1.439E+00,3.142E+00,-2.043E-03,2.419E+00,2.389E+00,1.095E-01,2.887E+00
24,0.000E+00,1.185E-03,0.000E+00,6.497E-03,8.101E-03,6.818E-01,1.840E+00,-3.593E-01,3.730E+00,1.361E+00,3.142E+00,-2.664E-03,2.328E+00,2.291E+00,8.900E-02,3.006E+00,1.799E+00,-3.002E-01,3.300E+00,1.465E+00,3.142E+00,-2.111E-03,2.423E+00,2.392E+00,1.092E-01,2.893E+00
25,0.000E+00,1.209E-03,0.000E+00,6.587E-03,8.209E-03,6.914E-01,1.837E+00,-3.672E-01,3.832E+00,1.366E+00,3.142E+00,-2.643E-03,2.327E+00,2.290E+00,8.869E-02,3.014E+00,1.795E+00,-2.989E-01,3.266E+00,1.490E+00,3.142E+00,-2.178E-03,2.427E+00,2.394E+00,1.089E-01,2.899E+00
26,0.000E+00,1.256E-03,0.000E+00,6.765E-03,8.424E-03,7.108E-01,1.833E+00,-3.828E-01,4.035E+00,1.375E+00,3.142E+00,-2.601E-03,2.324E+00,2.288E+00,8.809E-02,3.029E+00,1.786E+00,-2.963E-01,3.197E+00,1.542E+00,3.142E+00,-2.314E-03,2.434E+00,2.400E+00,1.083E-01,2.911E+00
27,0.000E+00,1.303E-03,0.000E+00,6.944E-03,8.639E-03,7.301E-01,1.829E+00,-3.985E-01,4.238E+00,1.385E+00,3.142E+00,-2.559E-03,2.321E+00,2.286E+00,8.748E-02,3.044E+00,1.778E+00,-2.937E-01,3.129E+00,1.594E+00,3.142E+00,-2.450E-03,2.442E+00,2.405E+00,1.078E-01,2.923E+00
28,0.000E+00,1.350E-03,0.000E+00,7.123E-03,8.854E-03,7.494E-01,1.826E+00,-4.141E-01,4.441E+00,1.394E+00,3.142E+00,-2.517E-03,2.319E+00,2.284E+00,8.687E-02,3.059E+00,1.771E+00,-2.912E-01,3.060E+00,1.645E+00,3.142E+00,-2.586E-03,2.449E+00,2.411E+00,1.072E-01,2.935E+00
