alpha,H,Ca,Al,Si,O,Ca_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,0.000E+00,1.516E-03,0.000E+00,8.805E-04,1.237E-03,2.766E-04,1.238E-03,1.747E-03,4.401E-03,2.428E-01,1.706E+00,6.812E-04,1.557E+00,1.655E+00,1.710E+00,-3.607E-03,2.724E+00,2.663E+00,8.354E-02,3.698E+00,1.790E+00,3.324E-02,1.338E+00,1.468E+00,1.795E+00,-3.844E-03,2.512E+00,2.453E+00,1.027E-01,2.902E+00,1.666E+00,6.246E-03,1.620E+00,1.809E+00,1.671E+00,-4.363E-03,2.750E+00,2.675E+00,1.198E-01,2.995E+00,1.741E+00,2.223E-02,1.356E+00,1.703E+00,1.745E+00,-4.192E-03,2.506E+00,2.442E+00,7.139E-02,4.147E+00
1,0.000E+00,0.000E+00,0.000E+00,1.547E-03,0.000E+00,8.908E-04,1.256E-03,2.716E-04,1.230E-03,1.759E-03,4.436E-03,2.450E-01,1.712E+00,-1.190E-02,1.594E+00,1.654E+00,1.703E+00,-3.644E-03,2.706E+00,2.645E+00,8.392E-02,3.685E+00,1.770E+00,2.159E-02,1.378E+00,1.521E+00,1.776E+00,-2.766E-03,2.491E+00,2.448E+00,1.021E-01,2.916E+00,1.660E+00,-6.355E-03,1.681E+00,1.817E+00,1.659E+00,-4.137E-03,2.742E+00,2.671E+00,1.197E-01,2.999E+00,1.738E+00,1.477E-02,1.373E+00,1.698E+00,1.742E+00,-4.062E-03,2.511E+00,2.449E+00,7.124E-02,4.154E+00
2,0.000E+00,0.000E+00,0.000E+00,1.577E-03,0.000E+00,9.012E-04,1.275E-03,2.666E-04,1.221E-03,1.772E-03,4.471E-03,2.472E-01,1.718E+00,-2.449E-02,1.630E+00,1.653E+00,1.697E+00,-3.681E-03,2.687E+00,2.626E+00,8.430E-02,3.672E+00,1.751E+00,9.939E-03,1.418E+00,1.575E+00,1.757E+00,-1.687E-03,2.470E+00,2.444E+00,1.015E-01,2.929E+00,1.661E+00,-1.896E-02,1.741E+00,1.825E+00,1.648E+00,-3.911E-03,2.734E+00,2.667E+00,1.195E-01,3.003E+00,1.734E+00,7.305E-03,1.390E+00,1.694E+00,1.739E+00,-3.932E-03,2.516E+00,2.455E+00,7.108E-02,4.161E+00
3,0.000E+00,0.000E+00,0.000E+00,1.608E-03,0.000E+00,9.115E-04,1.294E-03,2.616E-04,1.213E-03,1.785E-03,4.506E-03,2.494E-01,1.725E+00,-3.707E-02,1.666E+00,1.653E+00,1.690E+00,-3.717E-03,2.669E+00,2.608E+00,8.467E-02,3.659E+00,1.733E+00,-1.710E-03,1.458E+00,1.628E+00,1.739E+00,-6.086E-04,2.450E+00,2.439E+00,1.009E-01,2.942E+00,1.662E+00,-3.156E-02,1.801E+00,1.833E+00,1.636E+00,-3.684E-03,2.726E+00,2.663E+00,1.193E-01,3.006E+00,1.731E+00,-1.607E-04,1.406E+00,1.689E+00,1.736E+00,-3.802E-03,2.521E+00,2.462E+00,7.093E-02,4.168E+00
4,0.000E+00,0.000E+00,0.000E+00,1.623E-03,0.000E+00,9.167E-04,1.303E-03,2.591E-04,1.209E-03,1.791E-03,4.523E-03,2.505E-01,1.728E+00,-4.337E-02,1.684E+00,1.652E+00,1.687E+00,-3.736E-03,2.660E+00,2.599E+00,8.486E-02,3.653E+00,1.731E+00,-7.534E-03,1.478E+00,1.654E+00,1.729E+00,-6.928E-05,2.439E+00,2.437E+00,1.006E-01,2.949E+00,1.663E+00,-3.786E-02,1.831E+00,1.837E+00,1.630E+00,-3.571E-03,2.722E+00,2.661E+00,1.192E-01,3.008E+00,1.734E+00,-3.893E-03,1.415E+00,1.687E+00,1.734E+00,-3.738E-03,2.523E+00,2.465E+00,7.085E-02,4.172E+00
5,0.000E+00,0.000E+00,0.000E+00,1.638E-03,0.000E+00,9.219E-04,1.312E-03,2.566E-04,1.204E-03,1.797E-03,4.541E-03,2.516E-01,1.731E+00,-4.966E-02,1.702E+00,1.652E+00,1.684E+00,-3.754E-03,2.651E+00,2.589E+00,8.505E-02,3.647E+00,1.728E+00,-1.336E-02,1.498E+00,1.681E+00,1.720E+00,4.700E-04,2.429E+00,2.435E+00,1.003E-01,2.955E+00,1.663E+00,-4.416E-02,1.861E+00,1.841E+00,1.624E+00,-3.458E-03,2.718E+00,2.659E+00,1.191E-01,3.010E+00,1.737E+00,-7.626E-03,1.423E+00,1.685E+00,1.733E+00,-3.673E-03,2.525E+00,2.469E+00,7.077E-02,4.175E+00
6,0.000E+00,0.000E+00,0.000E+00,1.669E-03,0.000E+00,9.322E-04,1.331E-03,2.517E-04,1.196E-03,1.810E-03,4.576E-03,2.538E-01,1.738E+00,-6.225E-02,1.738E+00,1.652E+00,1.678E+00,-3.791E-03,2.632E+00,2.571E+00,8.543E-02,3.634E+00,1.722E+00,-2.501E-02,1.538E+00,1.734E+00,1.701E+00,1.549E-03,2.408E+00,2.430E+00,9.976E-02,2.969E+00,1.664E+00,-5.676E-02,1.921E+00,1.850E+00,1.613E+00,-3.232E-03,2.710E+00,2.656E+00,1.189E-01,3.014E+00,1.742E+00,-1.509E-02,1.440E+00,1.680E+00,1.730E+00,-3.543E-03,2.530E+00,2.475E+00,7.062E-02,4.183E+00
7,0.000E+00,0.000E+00,0.000E+00,1.699E-03,0.000E+00,9.426E-04,1.350E-03,2.467E-04,1.187E-03,1.822E-03,4.611E-03,2.560E-01,1.744E+00,-7.483E-02,1.775E+00,1.651E+00,1.671E+00,-3.827E-03,2.614E+00,2.552E+00,8.581E-02,3.621E+00,1.717E+00,-3.665E-02,1.578E+00,1.787E+00,1.683E+00,2.627E-03,2.388E+00,2.425E+00,9.918E-02,2.982E+00,1.666E+00,-6.936E-02,1.981E+00,1.858E+00,1.601E+00,-3.006E-03,2.702E+00,2.652E+00,1.187E-01,3.018E+00,1.747E+00,-2.256E-02,1.457E+00,1.675E+00,1.727E+00,-3.413E-03,2.535E+00,2.482E+00,7.046E-02,4.190E+00
8,0.000E+00,0.000E+00,0.000E+00,1.730E-03,0.000E+00,9.529E-04,1.369E-03,2.417E-04,1.179E-03,1.835E-03,4.646E-03,2.582E-01,1.750E+00,-8.742E-02,1.811E+00,1.650E+00,1.665E+00,-3.864E-03,2.595E+00,2.534E+00,8.619E-02,3.608E+00,1.712E+00,-4.830E-02,1.618E+00,1.840E+00,1.664E+00,3.706E-03,2.367E+00,2.421E+00,9.860E-02,2.995E+00,1.667E+00,-8.196E-02,2.041E+00,1.866E+00,1.590E+00,-2.780E-03,2.694E+00,2.648E+00,1.186E-01,3.022E+00,1.753E+00,-3.002E-02,1.474E+00,1.671E+00,1.724E+00,-3.283E-03,2.540E+00,2.489E+00,7.031E-02,4.197E+00
9,0.000E+00,0.000E+00,0.000E+00,1.745E-03,0.000E+00,9.581E-04,1.379E-03,2.392E-04,1.175E-03,1.841E-03,4.663E-03,2.593E-01,1.753E+00,-9.371E-02,1.829E+00,1.650E+00,1.661E+00,-3.883E-03,2.586E+00,2.525E+00,8.637E-02,3.602E+00,1.709E+00,-5.413E-02,1.638E+00,1.867E+00,1.654E+00,4.245E-03,2.357E+00,2.419E+00,9.831E-02,3.002E+00,1.668E+00,-8.826E-02,2.071E+00,1.870E+00,1.584E+00,-2.667E-03,2.690E+00,2.646E+00,1.185E-01,3.024E+00,1.755E+00,-3.375E-02,1.482E+00,1.668E+00,1.722E+00,-3.218E-03,2.542E+00,2.492E+00,7.023E-02,4.200E+00
