alpha,H,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.227E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.648E-03,5.569E-03,3.848E-01,1.800E+00,-1.347E-02,1.439E+00,1.389E+00,3.142E+00,-6.012E-03,2.359E+00,2.275E+00,4.586E-02,4.878E+00,1.873E+00,-5.279E-02,1.601E+00,1.140E+00,3.142E+00,1.237E-02,2.043E+00,2.201E+00,6.241E-02,3.861E+00,1.818E+00,3.101E-02,1.217E+00,1.477E+00,3.142E+00,-6.083E-05,2.408E+00,2.407E+00,1.166E-01,2.743E+00
1,0.000E+00,1.238E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.671E-03,5.595E-03,3.875E-01,1.808E+00,-3.567E-02,1.536E+00,1.371E+00,3.142E+00,-5.862E-03,2.350E+00,2.268E+00,4.558E-02,4.899E+00,1.860E+00,-5.139E-02,1.555E+00,1.218E+00,3.142E+00,9.942E-03,2.083E+00,2.208E+00,6.195E-02,3.882E+00,1.793E+00,1.350E-02,1.313E+00,1.487E+00,3.142E+00,-5.282E-04,2.420E+00,2.412E+00,1.163E-01,2.751E+00
2,0.000E+00,1.249E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.695E-03,5.621E-03,3.902E-01,1.817E+00,-5.788E-02,1.634E+00,1.353E+00,3.142E+00,-5.711E-03,2.341E+00,2.262E+00,4.530E-02,4.920E+00,1.847E+00,-5.000E-02,1.509E+00,1.297E+00,3.142E+00,7.510E-03,2.123E+00,2.216E+00,6.150E-02,3.903E+00,1.773E+00,-4.000E-03,1.409E+00,1.497E+00,3.142E+00,-9.955E-04,2.433E+00,2.418E+00,1.159E-01,2.758E+00
3,0.000E+00,1.260E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.719E-03,5.648E-03,3.928E-01,1.826E+00,-8.008E-02,1.731E+00,1.335E+00,3.142E+00,-5.561E-03,2.332E+00,2.255E+00,4.502E-02,4.941E+00,1.837E+00,-4.860E-02,1.463E+00,1.376E+00,3.142E+00,5.077E-03,2.163E+00,2.224E+00,6.104E-02,3.923E+00,1.769E+00,-2.150E-02,1.505E+00,1.507E+00,3.142E+00,-1.463E-03,2.445E+00,2.423E+00,1.155E-01,2.765E+00
4,0.000E+00,1.265E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.731E-03,5.661E-03,3.942E-01,1.831E+00,-9.119E-02,1.780E+00,1.326E+00,3.142E+00,-5.486E-03,2.328E+00,2.252E+00,4.488E-02,4.951E+00,1.832E+00,-4.791E-02,1.440E+00,1.415E+00,3.142E+00,3.861E-03,2.183E+00,2.228E+00,6.081E-02,3.934E+00,1.768E+00,-3.026E-02,1.553E+00,1.512E+00,3.142E+00,-1.697E-03,2.451E+00,2.425E+00,1.153E-01,2.769E+00
5,0.000E+00,1.270E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.743E-03,5.674E-03,3.955E-01,1.836E+00,-1.023E-01,1.829E+00,1.317E+00,3.142E+00,-5.411E-03,2.323E+00,2.249E+00,4.474E-02,4.961E+00,1.827E+00,-4.721E-02,1.417E+00,1.454E+00,3.142E+00,2.645E-03,2.203E+00,2.232E+00,6.058E-02,3.944E+00,1.767E+00,-3.901E-02,1.601E+00,1.517E+00,3.142E+00,-1.930E-03,2.457E+00,2.428E+00,1.151E-01,2.772E+00
6,0.000E+00,1.281E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.767E-03,5.700E-03,3.982E-01,1.847E+00,-1.245E-01,1.926E+00,1.299E+00,3.142E+00,-5.260E-03,2.315E+00,2.242E+00,4.446E-02,4.982E+00,1.819E+00,-4.581E-02,1.372E+00,1.533E+00,3.142E+00,2.122E-04,2.243E+00,2.240E+00,6.012E-02,3.965E+00,1.765E+00,-5.651E-02,1.697E+00,1.527E+00,3.142E+00,-2.398E-03,2.470E+00,2.433E+00,1.148E-01,2.780E+00
7,0.000E+00,1.292E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.791E-03,5.726E-03,4.009E-01,1.858E+00,-1.467E-01,2.024E+00,1.281E+00,3.142E+00,-5.110E-03,2.306E+00,2.236E+00,4.419E-02,5.003E+00,1.813E+00,-4.442E-02,1.326E+00,1.612E+00,3.142E+00,-2.220E-03,2.283E+00,2.248E+00,5.966E-02,3.986E+00,1.763E+00,-7.402E-02,1.792E+00,1.537E+00,3.142E+00,-2.865E-03,2.482E+00,2.439E+00,1.144E-01,2.787E+00
8,0.000E+00,1.303E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.814E-03,5.753E-03,4.036E-01,1.869E+00,-1.689E-01,2.121E+00,1.263E+00,3.142E+00,-4.959E-03,2.297E+00,2.229E+00,4.391E-02,5.024E+00,1.807E+00,-4.303E-02,1.280E+00,1.691E+00,3.142E+00,-4.653E-03,2.323E+00,2.256E+00,5.921E-02,4.007E+00,1.762E+00,-9.152E-02,1.888E+00,1.547E+00,3.142E+00,-3.332E-03,2.495E+00,2.444E+00,1.140E-01,2.794E+00
9,0.000E+00,1.308E-03,0.000E+00,0.000E+00,0.000E+00,1.562E-06,2.826E-03,5.766E-03,4.049E-01,1.875E+00,-1.800E-01,2.170E+00,1.254E+00,3.142E+00,-4.884E-03,2.292E+00,2.226E+00,4.377E-02,5.034E+00,1.805E+00,-4.233E-02,1.257E+00,1.730E+00,3.142E+00,-5.869E-03,2.343E+00,2.259E+00,5.898E-02,4.017E+00,1.762E+00,-1.003E-01,1.936E+00,1.552E+00,3.142E+00,-3.566E-03,2.501E+00,2.446E+00,1.138E-01,2.798E+00
