alpha,H,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,1.113E-03,1.189E-03,0.000E+00,1.161E-03,1.620E-03,0.000E+00,0.000E+00,1.069E-03,4.758E-03,2.390E-01,1.745E+00,-9.126E-02,2.277E+00,1.363E+00,3.142E+00,3.105E-03,2.380E+00,2.426E+00,9.354E-02,3.119E+00,1.842E+00,3.701E-02,1.246E+00,1.334E+00,3.142E+00,-5.890E-03,2.667E+00,2.571E+00,2.430E-01,1.548E+00,1.706E+00,1.213E-02,1.491E+00,1.730E+00,3.142E+00,-2.243E-03,2.678E+00,2.641E+00,1.121E-01,3.169E+00,1.741E+00,-8.492E-03,1.430E+00,1.658E+00,3.142E+00,-8.128E-03,2.570E+00,2.445E+00,6.308E-02,4.561E+00
1,0.000E+00,0.000E+00,1.115E-03,1.202E-03,0.000E+00,1.159E-03,1.625E-03,0.000E+00,0.000E+00,1.068E-03,4.810E-03,2.403E-01,1.754E+00,-9.707E-02,2.261E+00,1.360E+00,3.142E+00,2.403E-03,2.398E+00,2.433E+00,9.435E-02,3.099E+00,1.813E+00,3.456E-02,1.250E+00,1.462E+00,3.142E+00,-4.375E-03,2.627E+00,2.555E+00,2.440E-01,1.542E+00,1.693E+00,2.474E-03,1.530E+00,1.755E+00,3.142E+00,-2.450E-03,2.680E+00,2.640E+00,1.120E-01,3.171E+00,1.742E+00,-2.293E-02,1.524E+00,1.631E+00,3.142E+00,-7.461E-03,2.555E+00,2.441E+00,6.311E-02,4.559E+00
2,0.000E+00,0.000E+00,1.116E-03,1.214E-03,0.000E+00,1.156E-03,1.631E-03,0.000E+00,0.000E+00,1.068E-03,4.862E-03,2.415E-01,1.763E+00,-1.029E-01,2.246E+00,1.356E+00,3.142E+00,1.701E-03,2.416E+00,2.441E+00,9.515E-02,3.080E+00,1.786E+00,3.211E-02,1.254E+00,1.591E+00,3.142E+00,-2.860E-03,2.587E+00,2.538E+00,2.451E-01,1.536E+00,1.689E+00,-7.183E-03,1.568E+00,1.780E+00,3.142E+00,-2.656E-03,2.682E+00,2.638E+00,1.119E-01,3.173E+00,1.744E+00,-3.736E-02,1.619E+00,1.603E+00,3.142E+00,-6.794E-03,2.541E+00,2.437E+00,6.314E-02,4.558E+00
3,0.000E+00,0.000E+00,1.118E-03,1.227E-03,0.000E+00,1.154E-03,1.636E-03,0.000E+00,0.000E+00,1.068E-03,4.915E-03,2.427E-01,1.772E+00,-1.087E-01,2.230E+00,1.353E+00,3.142E+00,9.989E-04,2.434E+00,2.448E+00,9.596E-02,3.060E+00,1.762E+00,2.967E-02,1.258E+00,1.719E+00,3.142E+00,-1.345E-03,2.547E+00,2.521E+00,2.462E-01,1.530E+00,1.687E+00,-1.684E-02,1.606E+00,1.805E+00,3.142E+00,-2.863E-03,2.684E+00,2.637E+00,1.119E-01,3.175E+00,1.746E+00,-5.179E-02,1.713E+00,1.576E+00,3.142E+00,-6.127E-03,2.527E+00,2.434E+00,6.317E-02,4.556E+00
4,0.000E+00,0.000E+00,1.118E-03,1.233E-03,0.000E+00,1.153E-03,1.639E-03,0.000E+00,0.000E+00,1.068E-03,4.941E-03,2.433E-01,1.776E+00,-1.116E-01,2.223E+00,1.352E+00,3.142E+00,6.479E-04,2.443E+00,2.452E+00,9.636E-02,3.050E+00,1.750E+00,2.844E-02,1.260E+00,1.783E+00,3.142E+00,-5.876E-04,2.527E+00,2.513E+00,2.467E-01,1.527E+00,1.686E+00,-2.167E-02,1.626E+00,1.817E+00,3.142E+00,-2.966E-03,2.685E+00,2.636E+00,1.118E-01,3.175E+00,1.748E+00,-5.901E-02,1.761E+00,1.562E+00,3.142E+00,-5.794E-03,2.520E+00,2.432E+00,6.319E-02,4.555E+00
5,0.000E+00,0.000E+00,1.119E-03,1.240E-03,0.000E+00,1.152E-03,1.642E-03,0.000E+00,0.000E+00,1.068E-03,4.967E-03,2.439E-01,1.780E+00,-1.145E-01,2.215E+00,1.350E+00,3.142E+00,2.969E-04,2.452E+00,2.455E+00,9.676E-02,3.041E+00,1.739E+00,2.722E-02,1.261E+00,1.847E+00,3.142E+00,1.699E-04,2.507E+00,2.505E+00,2.472E-01,1.525E+00,1.686E+00,-2.650E-02,1.645E+00,1.830E+00,3.142E+00,-3.069E-03,2.686E+00,2.635E+00,1.118E-01,3.176E+00,1.750E+00,-6.623E-02,1.808E+00,1.549E+00,3.142E+00,-5.460E-03,2.513E+00,2.430E+00,6.320E-02,4.554E+00
6,0.000E+00,0.000E+00,1.121E-03,1.253E-03,0.000E+00,1.150E-03,1.647E-03,0.000E+00,0.000E+00,1.067E-03,5.019E-03,2.451E-01,1.789E+00,-1.203E-01,2.199E+00,1.347E+00,3.142E+00,-4.052E-04,2.470E+00,2.463E+00,9.757E-02,3.021E+00,1.718E+00,2.477E-02,1.265E+00,1.976E+00,3.142E+00,1.685E-03,2.467E+00,2.488E+00,2.483E-01,1.519E+00,1.684E+00,-3.615E-02,1.683E+00,1.855E+00,3.142E+00,-3.276E-03,2.688E+00,2.634E+00,1.117E-01,3.178E+00,1.754E+00,-8.066E-02,1.903E+00,1.521E+00,3.142E+00,-4.793E-03,2.499E+00,2.426E+00,6.323E-02,4.553E+00
7,0.000E+00,0.000E+00,1.122E-03,1.265E-03,0.000E+00,1.147E-03,1.653E-03,0.000E+00,0.000E+00,1.067E-03,5.071E-03,2.463E-01,1.798E+00,-1.261E-01,2.184E+00,1.344E+00,3.142E+00,-1.107E-03,2.488E+00,2.470E+00,9.837E-02,3.002E+00,1.698E+00,2.232E-02,1.269E+00,2.104E+00,3.142E+00,3.200E-03,2.427E+00,2.472E+00,2.494E-01,1.513E+00,1.683E+00,-4.581E-02,1.722E+00,1.880E+00,3.142E+00,-3.483E-03,2.690E+00,2.632E+00,1.116E-01,3.180E+00,1.760E+00,-9.509E-02,1.997E+00,1.494E+00,3.142E+00,-4.126E-03,2.485E+00,2.422E+00,6.326E-02,4.551E+00
8,0.000E+00,0.000E+00,1.124E-03,1.278E-03,0.000E+00,1.145E-03,1.658E-03,0.000E+00,0.000E+00,1.067E-03,5.124E-03,2.476E-01,1.806E+00,-1.320E-01,2.169E+00,1.341E+00,3.142E+00,-1.809E-03,2.506E+00,2.477E+00,9.918E-02,2.982E+00,1.679E+00,1.988E-02,1.273E+00,2.232E+00,3.142E+00,4.715E-03,2.387E+00,2.455E+00,2.505E-01,1.507E+00,1.681E+00,-5.547E-02,1.760E+00,1.905E+00,3.142E+00,-3.689E-03,2.692E+00,2.631E+00,1.116E-01,3.182E+00,1.766E+00,-1.095E-01,2.092E+00,1.466E+00,3.142E+00,-3.459E-03,2.471E+00,2.419E+00,6.329E-02,4.550E+00
9,0.000E+00,0.000E+00,1.124E-03,1.284E-03,0.000E+00,1.144E-03,1.661E-03,0.000E+00,0.000E+00,1.067E-03,5.150E-03,2.482E-01,1.811E+00,-1.349E-01,2.161E+00,1.339E+00,3.142E+00,-2.160E-03,2.515E+00,2.481E+00,9.958E-02,2.972E+00,1.671E+00,1.865E-02,1.275E+00,2.296E+00,3.142E+00,5.473E-03,2.367E+00,2.447E+00,2.510E-01,1.504E+00,1.681E+00,-6.030E-02,1.779E+00,1.918E+00,3.142E+00,-3.792E-03,2.693E+00,2.630E+00,1.115E-01,3.183E+00,1.769E+00,-1.167E-01,2.139E+00,1.453E+00,3.142E+00,-3.126E-03,2.464E+00,2.417E+00,6.330E-02,4.549E+00
