alpha,H,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,3.563E-03,7.812E-07,0.000E+00,0.000E+00,0.000E+00,1.859E-03,7.364E-03,2.566E-01,1.773E+00,-1.955E-02,1.637E+00,1.359E+00,3.142E+00,-3.980E-03,2.591E+00,2.528E+00,2.332E-01,1.603E+00,1.717E+00,-1.608E-02,1.705E+00,1.545E+00,3.142E+00,-1.082E-03,2.538E+00,2.521E+00,1.188E-01,3.016E+00,1.741E+00,2.558E-02,1.301E+00,1.776E+00,3.142E+00,-3.896E-03,2.599E+00,2.537E+00,5.633E-02,4.970E+00
1,0.000E+00,3.575E-03,7.812E-07,0.000E+00,9.766E-08,0.000E+00,1.870E-03,7.402E-03,2.579E-01,1.773E+00,-3.081E-02,1.682E+00,1.375E+00,3.142E+00,-3.281E-03,2.572E+00,2.520E+00,2.329E-01,1.606E+00,1.709E+00,-2.452E-02,1.737E+00,1.599E+00,3.142E+00,-9.782E-04,2.541E+00,2.525E+00,1.187E-01,3.019E+00,1.723E+00,8.200E-03,1.406E+00,1.737E+00,3.142E+00,-4.169E-03,2.584E+00,2.518E+00,5.654E-02,4.956E+00
2,0.000E+00,3.587E-03,7.812E-07,0.000E+00,1.953E-07,0.000E+00,1.882E-03,7.441E-03,2.591E-01,1.774E+00,-4.208E-02,1.728E+00,1.391E+00,3.142E+00,-2.581E-03,2.553E+00,2.511E+00,2.325E-01,1.608E+00,1.701E+00,-3.296E-02,1.769E+00,1.654E+00,3.142E+00,-8.744E-04,2.543E+00,2.529E+00,1.186E-01,3.021E+00,1.718E+00,-9.176E-03,1.510E+00,1.697E+00,3.142E+00,-4.443E-03,2.569E+00,2.500E+00,5.675E-02,4.942E+00
3,0.000E+00,3.600E-03,7.812E-07,0.000E+00,2.930E-07,0.000E+00,1.894E-03,7.479E-03,2.604E-01,1.774E+00,-5.335E-02,1.774E+00,1.407E+00,3.142E+00,-1.882E-03,2.534E+00,2.503E+00,2.322E-01,1.610E+00,1.694E+00,-4.139E-02,1.802E+00,1.709E+00,3.142E+00,-7.705E-04,2.545E+00,2.533E+00,1.185E-01,3.024E+00,1.723E+00,-2.655E-02,1.614E+00,1.658E+00,3.142E+00,-4.716E-03,2.554E+00,2.481E+00,5.697E-02,4.928E+00
4,0.000E+00,3.606E-03,7.812E-07,0.000E+00,3.418E-07,0.000E+00,1.900E-03,7.498E-03,2.610E-01,1.774E+00,-5.898E-02,1.796E+00,1.415E+00,3.142E+00,-1.532E-03,2.524E+00,2.499E+00,2.320E-01,1.611E+00,1.691E+00,-4.561E-02,1.818E+00,1.736E+00,3.142E+00,-7.186E-04,2.546E+00,2.535E+00,1.184E-01,3.025E+00,1.725E+00,-3.524E-02,1.666E+00,1.639E+00,3.142E+00,-4.853E-03,2.546E+00,2.472E+00,5.707E-02,4.921E+00
5,0.000E+00,3.612E-03,7.812E-07,0.000E+00,3.906E-07,0.000E+00,1.906E-03,7.518E-03,2.616E-01,1.774E+00,-6.461E-02,1.819E+00,1.423E+00,3.142E+00,-1.182E-03,2.515E+00,2.495E+00,2.318E-01,1.612E+00,1.687E+00,-4.983E-02,1.834E+00,1.764E+00,3.142E+00,-6.667E-04,2.547E+00,2.536E+00,1.184E-01,3.026E+00,1.729E+00,-4.393E-02,1.718E+00,1.619E+00,3.142E+00,-4.990E-03,2.539E+00,2.462E+00,5.718E-02,4.914E+00
6,0.000E+00,3.625E-03,7.812E-07,0.000E+00,4.883E-07,0.000E+00,1.918E-03,7.556E-03,2.629E-01,1.774E+00,-7.588E-02,1.865E+00,1.439E+00,3.142E+00,-4.827E-04,2.495E+00,2.487E+00,2.314E-01,1.614E+00,1.680E+00,-5.827E-02,1.866E+00,1.818E+00,3.142E+00,-5.628E-04,2.549E+00,2.540E+00,1.183E-01,3.028E+00,1.736E+00,-6.130E-02,1.823E+00,1.580E+00,3.142E+00,-5.263E-03,2.524E+00,2.444E+00,5.739E-02,4.901E+00
7,0.000E+00,3.638E-03,7.812E-07,0.000E+00,5.859E-07,0.000E+00,1.929E-03,7.594E-03,2.641E-01,1.774E+00,-8.715E-02,1.910E+00,1.455E+00,3.142E+00,2.168E-04,2.476E+00,2.479E+00,2.311E-01,1.616E+00,1.674E+00,-6.670E-02,1.899E+00,1.873E+00,3.142E+00,-4.590E-04,2.551E+00,2.544E+00,1.182E-01,3.031E+00,1.744E+00,-7.868E-02,1.927E+00,1.541E+00,3.142E+00,-5.537E-03,2.508E+00,2.425E+00,5.761E-02,4.887E+00
8,0.000E+00,3.650E-03,7.812E-07,0.000E+00,6.836E-07,0.000E+00,1.941E-03,7.633E-03,2.654E-01,1.775E+00,-9.841E-02,1.956E+00,1.471E+00,3.142E+00,9.162E-04,2.457E+00,2.471E+00,2.307E-01,1.618E+00,1.668E+00,-7.514E-02,1.931E+00,1.928E+00,3.142E+00,-3.552E-04,2.553E+00,2.548E+00,1.181E-01,3.033E+00,1.754E+00,-9.605E-02,2.031E+00,1.502E+00,3.142E+00,-5.810E-03,2.493E+00,2.406E+00,5.782E-02,4.873E+00
9,0.000E+00,3.656E-03,7.812E-07,0.000E+00,7.324E-07,0.000E+00,1.947E-03,7.652E-03,2.660E-01,1.775E+00,-1.040E-01,1.979E+00,1.479E+00,3.142E+00,1.266E-03,2.448E+00,2.466E+00,2.306E-01,1.619E+00,1.665E+00,-7.936E-02,1.947E+00,1.955E+00,3.142E+00,-3.032E-04,2.554E+00,2.549E+00,1.180E-01,3.034E+00,1.759E+00,-1.047E-01,2.083E+00,1.482E+00,3.142E+00,-5.947E-03,2.486E+00,2.397E+00,5.792E-02,4.866E+00
