alpha,H,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,2.151E-03,1.584E-03,0.000E+00,0.000E+00,0.000E+00,9.297E-04,6.852E-03,3.501E-01,1.771E+00,-4.274E-03,1.406E+00,1.508E+00,3.142E+00,3.021E-04,2.468E+00,2.473E+00,6.360E-02,3.810E+00,1.641E+00,-3.283E-03,1.831E+00,1.755E+00,3.142E+00,-3.413E-03,2.814E+00,2.754E+00,1.108E-01,3.201E+00,1.800E+00,-3.548E-03,1.400E+00,1.378E+00,3.142E+00,-6.428E-03,2.581E+00,2.481E+00,4.275E-02,5.248E+00
1,0.000E+00,2.157E-03,1.576E-03,0.000E+00,0.000E+00,0.000E+00,9.439E-04,6.890E-03,3.514E-01,1.771E+00,-1.295E-02,1.462E+00,1.500E+00,3.142E+00,-2.405E-04,2.476E+00,2.472E+00,6.354E-02,3.813E+00,1.638E+00,-6.358E-03,1.841E+00,1.781E+00,3.142E+00,-3.480E-03,2.830E+00,2.768E+00,1.105E-01,3.208E+00,1.802E+00,-1.212E-02,1.439E+00,1.375E+00,3.142E+00,-6.092E-03,2.558E+00,2.463E+00,4.320E-02,5.212E+00
2,0.000E+00,2.163E-03,1.568E-03,0.000E+00,0.000E+00,0.000E+00,9.582E-04,6.928E-03,3.526E-01,1.770E+00,-2.162E-02,1.518E+00,1.491E+00,3.142E+00,-7.831E-04,2.484E+00,2.472E+00,6.349E-02,3.815E+00,1.635E+00,-9.434E-03,1.852E+00,1.807E+00,3.142E+00,-3.546E-03,2.846E+00,2.782E+00,1.102E-01,3.214E+00,1.804E+00,-2.069E-02,1.477E+00,1.372E+00,3.142E+00,-5.756E-03,2.534E+00,2.446E+00,4.365E-02,5.177E+00
3,0.000E+00,2.169E-03,1.560E-03,0.000E+00,0.000E+00,0.000E+00,9.725E-04,6.966E-03,3.539E-01,1.770E+00,-3.029E-02,1.574E+00,1.483E+00,3.142E+00,-1.326E-03,2.492E+00,2.471E+00,6.343E-02,3.818E+00,1.632E+00,-1.251E-02,1.862E+00,1.832E+00,3.142E+00,-3.612E-03,2.861E+00,2.796E+00,1.100E-01,3.221E+00,1.806E+00,-2.927E-02,1.516E+00,1.369E+00,3.142E+00,-5.420E-03,2.511E+00,2.428E+00,4.410E-02,5.142E+00
4,0.000E+00,2.172E-03,1.556E-03,0.000E+00,0.000E+00,0.000E+00,9.796E-04,6.985E-03,3.545E-01,1.770E+00,-3.462E-02,1.602E+00,1.479E+00,3.142E+00,-1.597E-03,2.496E+00,2.471E+00,6.340E-02,3.819E+00,1.631E+00,-1.405E-02,1.867E+00,1.845E+00,3.142E+00,-3.646E-03,2.869E+00,2.803E+00,1.098E-01,3.224E+00,1.807E+00,-3.355E-02,1.535E+00,1.368E+00,3.142E+00,-5.252E-03,2.499E+00,2.419E+00,4.433E-02,5.124E+00
5,0.000E+00,2.175E-03,1.552E-03,0.000E+00,0.000E+00,0.000E+00,9.867E-04,7.004E-03,3.551E-01,1.770E+00,-3.896E-02,1.630E+00,1.474E+00,3.142E+00,-1.868E-03,2.500E+00,2.471E+00,6.337E-02,3.820E+00,1.629E+00,-1.558E-02,1.873E+00,1.858E+00,3.142E+00,-3.679E-03,2.877E+00,2.810E+00,1.097E-01,3.227E+00,1.808E+00,-3.784E-02,1.554E+00,1.366E+00,3.142E+00,-5.085E-03,2.487E+00,2.410E+00,4.455E-02,5.106E+00
6,0.000E+00,2.181E-03,1.544E-03,0.000E+00,0.000E+00,0.000E+00,1.001E-03,7.042E-03,3.564E-01,1.770E+00,-4.763E-02,1.686E+00,1.466E+00,3.142E+00,-2.411E-03,2.507E+00,2.470E+00,6.331E-02,3.823E+00,1.626E+00,-1.866E-02,1.883E+00,1.884E+00,3.142E+00,-3.745E-03,2.893E+00,2.824E+00,1.095E-01,3.234E+00,1.810E+00,-4.641E-02,1.593E+00,1.363E+00,3.142E+00,-4.749E-03,2.464E+00,2.392E+00,4.500E-02,5.071E+00
7,0.000E+00,2.187E-03,1.536E-03,0.000E+00,0.000E+00,0.000E+00,1.015E-03,7.080E-03,3.576E-01,1.771E+00,-5.630E-02,1.742E+00,1.458E+00,3.142E+00,-2.953E-03,2.515E+00,2.469E+00,6.325E-02,3.825E+00,1.624E+00,-2.174E-02,1.893E+00,1.910E+00,3.142E+00,-3.812E-03,2.909E+00,2.839E+00,1.092E-01,3.240E+00,1.813E+00,-5.498E-02,1.631E+00,1.360E+00,3.142E+00,-4.413E-03,2.440E+00,2.375E+00,4.545E-02,5.036E+00
8,0.000E+00,2.193E-03,1.528E-03,0.000E+00,0.000E+00,0.000E+00,1.029E-03,7.118E-03,3.589E-01,1.772E+00,-6.498E-02,1.798E+00,1.449E+00,3.142E+00,-3.496E-03,2.523E+00,2.469E+00,6.319E-02,3.827E+00,1.621E+00,-2.481E-02,1.904E+00,1.935E+00,3.142E+00,-3.878E-03,2.924E+00,2.853E+00,1.089E-01,3.247E+00,1.815E+00,-6.356E-02,1.669E+00,1.357E+00,3.142E+00,-4.077E-03,2.417E+00,2.357E+00,4.590E-02,5.001E+00
9,0.000E+00,2.196E-03,1.524E-03,0.000E+00,0.000E+00,0.000E+00,1.037E-03,7.137E-03,3.595E-01,1.773E+00,-6.931E-02,1.826E+00,1.445E+00,3.142E+00,-3.767E-03,2.527E+00,2.469E+00,6.316E-02,3.829E+00,1.620E+00,-2.635E-02,1.909E+00,1.948E+00,3.142E+00,-3.911E-03,2.932E+00,2.860E+00,1.088E-01,3.250E+00,1.816E+00,-6.784E-02,1.689E+00,1.356E+00,3.142E+00,-3.909E-03,2.405E+00,2.348E+00,4.613E-02,4.983E+00
10,0.000E+00,2.199E-03,1.520E-03,0.000E+00,0.000E+00,0.000E+00,1.044E-03,7.155E-03,3.601E-01,1.773E+00,-7.365E-02,1.854E+00,1.441E+00,3.142E+00,-4.039E-03,2.531E+00,2.468E+00,6.313E-02,3.830E+00,1.618E+00,-2.789E-02,1.914E+00,1.961E+00,3.142E+00,-3.944E-03,2.940E+00,2.867E+00,1.087E-01,3.253E+00,1.818E+00,-7.213E-02,1.708E+00,1.354E+00,3.142E+00,-3.741E-03,2.393E+00,2.339E+00,4.635E-02,4.965E+00
11,0.000E+00,2.243E-03,1.554E-03,0.000E+00,0.000E+00,0.000E+00,1.036E-03,7.229E-03,3.650E-01,1.776E+00,-7.602E-02,1.839E+00,1.450E+00,3.142E+00,-3.985E-03,2.525E+00,2.463E+00,6.326E-02,3.825E+00,1.618E+00,-3.223E-02,1.917E+00,1.985E+00,3.142E+00,-3.783E-03,2.933E+00,2.863E+00,1.082E-01,3.265E+00,1.813E+00,-8.263E-02,1.767E+00,1.374E+00,3.142E+00,-3.556E-03,2.401E+00,2.349E+00,4.609E-02,4.985E+00
12,0.000E+00,2.288E-03,1.587E-03,0.000E+00,0.000E+00,0.000E+00,1.028E-03,7.302E-03,3.699E-01,1.779E+00,-7.839E-02,1.825E+00,1.460E+00,3.142E+00,-3.932E-03,2.519E+00,2.458E+00,6.339E-02,3.819E+00,1.618E+00,-3.657E-02,1.920E+00,2.010E+00,3.142E+00,-3.622E-03,2.926E+00,2.859E+00,1.078E-01,3.276E+00,1.809E+00,-9.313E-02,1.826E+00,1.394E+00,3.142E+00,-3.371E-03,2.408E+00,2.359E+00,4.583E-02,5.005E+00
13,0.000E+00,2.332E-03,1.620E-03,0.000E+00,0.000E+00,0.000E+00,1.021E-03,7.376E-03,3.747E-01,1.782E+00,-8.076E-02,1.810E+00,1.469E+00,3.142E+00,-3.878E-03,2.513E+00,2.453E+00,6.352E-02,3.814E+00,1.619E+00,-4.091E-02,1.923E+00,2.034E+00,3.142E+00,-3.461E-03,2.920E+00,2.856E+00,1.073E-01,3.288E+00,1.805E+00,-1.036E-01,1.884E+00,1.414E+00,3.142E+00,-3.187E-03,2.416E+00,2.370E+00,4.557E-02,5.025E+00
14,0.000E+00,2.354E-03,1.637E-03,0.000E+00,0.000E+00,0.000E+00,1.017E-03,7.413E-03,3.772E-01,1.783E+00,-8.194E-02,1.803E+00,1.474E+00,3.142E+00,-3.851E-03,2.509E+00,2.451E+00,6.359E-02,3.811E+00,1.619E+00,-4.308E-02,1.924E+00,2.046E+00,3.142E+00,-3.380E-03,2.916E+00,2.854E+00,1.071E-01,3.293E+00,1.803E+00,-1.089E-01,1.914E+00,1.424E+00,3.142E+00,-3.094E-03,2.420E+00,2.375E+00,4.544E-02,5.035E+00
15,0.000E+00,2.376E-03,1.654E-03,0.000E+00,0.000E+00,0.000E+00,1.013E-03,7.449E-03,3.796E-01,1.784E+00,-8.313E-02,1.796E+00,1.479E+00,3.142E+00,-3.825E-03,2.506E+00,2.448E+00,6.365E-02,3.808E+00,1.619E+00,-4.525E-02,1.926E+00,2.058E+00,3.142E+00,-3.300E-03,2.913E+00,2.852E+00,1.069E-01,3.299E+00,1.801E+00,-1.141E-01,1.943E+00,1.434E+00,3.142E+00,-3.002E-03,2.424E+00,2.380E+00,4.531E-02,5.045E+00
16,0.000E+00,2.420E-03,1.687E-03,0.000E+00,0.000E+00,0.000E+00,1.005E-03,7.523E-03,3.845E-01,1.787E+00,-8.550E-02,1.781E+00,1.489E+00,3.142E+00,-3.771E-03,2.500E+00,2.443E+00,6.378E-02,3.803E+00,1.619E+00,-4.959E-02,1.928E+00,2.082E+00,3.142E+00,-3.138E-03,2.906E+00,2.848E+00,1.065E-01,3.311E+00,1.797E+00,-1.246E-01,2.002E+00,1.454E+00,3.142E+00,-2.817E-03,2.431E+00,2.390E+00,4.504E-02,5.065E+00
17,0.000E+00,2.465E-03,1.720E-03,0.000E+00,0.000E+00,0.000E+00,9.975E-04,7.596E-03,3.893E-01,1.790E+00,-8.786E-02,1.767E+00,1.498E+00,3.142E+00,-3.718E-03,2.494E+00,2.438E+00,6.391E-02,3.797E+00,1.619E+00,-5.393E-02,1.931E+00,2.107E+00,3.142E+00,-2.977E-03,2.900E+00,2.845E+00,1.060E-01,3.322E+00,1.793E+00,-1.351E-01,2.061E+00,1.474E+00,3.142E+00,-2.633E-03,2.439E+00,2.400E+00,4.478E-02,5.085E+00
18,0.000E+00,2.509E-03,1.753E-03,0.000E+00,0.000E+00,0.000E+00,9.897E-04,7.670E-03,3.942E-01,1.793E+00,-9.023E-02,1.752E+00,1.508E+00,3.142E+00,-3.664E-03,2.488E+00,2.433E+00,6.404E-02,3.792E+00,1.619E+00,-5.827E-02,1.934E+00,2.131E+00,3.142E+00,-2.816E-03,2.893E+00,2.841E+00,1.056E-01,3.333E+00,1.790E+00,-1.456E-01,2.120E+00,1.494E+00,3.142E+00,-2.448E-03,2.447E+00,2.410E+00,4.452E-02,5.105E+00
19,0.000E+00,2.531E-03,1.770E-03,0.000E+00,0.000E+00,0.000E+00,9.859E-04,7.706E-03,3.967E-01,1.794E+00,-9.142E-02,1.745E+00,1.513E+00,3.142E+00,-3.637E-03,2.485E+00,2.430E+00,6.410E-02,3.789E+00,1.619E+00,-6.044E-02,1.935E+00,2.143E+00,3.142E+00,-2.735E-03,2.889E+00,2.839E+00,1.054E-01,3.339E+00,1.788E+00,-1.509E-01,2.149E+00,1.504E+00,3.142E+00,-2.355E-03,2.450E+00,2.415E+00,4.439E-02,5.115E+00
20,0.000E+00,2.553E-03,1.787E-03,0.000E+00,0.000E+00,0.000E+00,9.820E-04,7.743E-03,3.991E-01,1.796E+00,-9.260E-02,1.738E+00,1.517E+00,3.142E+00,-3.611E-03,2.482E+00,2.428E+00,6.417E-02,3.786E+00,1.619E+00,-6.261E-02,1.937E+00,2.155E+00,3.142E+00,-2.655E-03,2.886E+00,2.838E+00,1.051E-01,3.345E+00,1.787E+00,-1.561E-01,2.179E+00,1.514E+00,3.142E+00,-2.263E-03,2.454E+00,2.420E+00,4.426E-02,5.125E+00
21,0.000E+00,2.616E-03,1.841E-03,0.000E+00,0.000E+00,0.000E+00,1.016E-03,7.905E-03,4.095E-01,1.791E+00,-1.012E-01,1.784E+00,1.540E+00,3.142E+00,-3.351E-03,2.481E+00,2.430E+00,6.396E-02,3.795E+00,1.622E+00,-6.719E-02,1.940E+00,2.161E+00,3.142E+00,-2.543E-03,2.871E+00,2.825E+00,1.053E-01,3.341E+00,1.784E+00,-1.595E-01,2.182E+00,1.536E+00,3.142E+00,-2.618E-03,2.456E+00,2.417E+00,4.412E-02,5.136E+00
22,0.000E+00,2.679E-03,1.896E-03,0.000E+00,0.000E+00,0.000E+00,1.050E-03,8.068E-03,4.198E-01,1.787E+00,-1.098E-01,1.829E+00,1.563E+00,3.142E+00,-3.091E-03,2.479E+00,2.433E+00,6.375E-02,3.804E+00,1.625E+00,-7.178E-02,1.943E+00,2.167E+00,3.142E+00,-2.430E-03,2.857E+00,2.813E+00,1.054E-01,3.337E+00,1.782E+00,-1.629E-01,2.185E+00,1.558E+00,3.142E+00,-2.974E-03,2.458E+00,2.413E+00,4.398E-02,5.148E+00
23,0.000E+00,2.742E-03,1.951E-03,0.000E+00,0.000E+00,0.000E+00,1.084E-03,8.230E-03,4.302E-01,1.782E+00,-1.184E-01,1.875E+00,1.586E+00,3.142E+00,-2.831E-03,2.478E+00,2.435E+00,6.353E-02,3.813E+00,1.628E+00,-7.636E-02,1.947E+00,2.173E+00,3.142E+00,-2.318E-03,2.842E+00,2.800E+00,1.056E-01,3.333E+00,1.780E+00,-1.663E-01,2.188E+00,1.580E+00,3.142E+00,-3.329E-03,2.459E+00,2.410E+00,4.384E-02,5.159E+00
24,0.000E+00,2.774E-03,1.978E-03,0.000E+00,0.000E+00,0.000E+00,1.101E-03,8.311E-03,4.354E-01,1.780E+00,-1.227E-01,1.898E+00,1.597E+00,3.142E+00,-2.702E-03,2.477E+00,2.437E+00,6.343E-02,3.818E+00,1.630E+00,-7.865E-02,1.948E+00,2.176E+00,3.142E+00,-2.262E-03,2.835E+00,2.794E+00,1.057E-01,3.331E+00,1.779E+00,-1.680E-01,2.190E+00,1.591E+00,3.142E+00,-3.507E-03,2.460E+00,2.408E+00,4.377E-02,5.165E+00
25,0.000E+00,2.805E-03,2.005E-03,0.000E+00,0.000E+00,0.000E+00,1.118E-03,8.392E-03,4.406E-01,1.778E+00,-1.270E-01,1.921E+00,1.609E+00,3.142E+00,-2.572E-03,2.477E+00,2.438E+00,6.332E-02,3.822E+00,1.631E+00,-8.094E-02,1.950E+00,2.179E+00,3.142E+00,-2.206E-03,2.827E+00,2.788E+00,1.057E-01,3.329E+00,1.778E+00,-1.697E-01,2.191E+00,1.602E+00,3.142E+00,-3.684E-03,2.461E+00,2.406E+00,4.370E-02,5.170E+00
26,0.000E+00,2.869E-03,2.060E-03,0.000E+00,0.000E+00,0.000E+00,1.152E-03,8.554E-03,4.510E-01,1.774E+00,-1.355E-01,1.967E+00,1.632E+00,3.142E+00,-2.312E-03,2.476E+00,2.441E+00,6.311E-02,3.831E+00,1.634E+00,-8.553E-02,1.953E+00,2.185E+00,3.142E+00,-2.094E-03,2.812E+00,2.775E+00,1.059E-01,3.325E+00,1.776E+00,-1.731E-01,2.194E+00,1.624E+00,3.142E+00,-4.040E-03,2.462E+00,2.402E+00,4.356E-02,5.182E+00
