alpha,H,Ca,S,Ca_1,S_1,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,6.203E-04,4.071E-03,3.746E-03,3.032E-01,1.921E+00,-6.710E-02,1.589E+00,1.041E+00,3.142E+00,8.593E-04,2.153E+00,2.165E+00,1.126E-01,2.700E+00,1.914E+00,-3.619E-02,1.352E+00,1.118E+00,3.142E+00,-3.305E-03,2.260E+00,2.216E+00,1.078E-01,2.921E+00
1,0.000E+00,0.000E+00,6.034E-04,4.120E-03,3.797E-03,3.062E-01,1.913E+00,-8.401E-02,1.667E+00,1.077E+00,3.142E+00,1.101E-03,2.154E+00,2.169E+00,1.125E-01,2.702E+00,1.908E+00,-5.071E-02,1.403E+00,1.157E+00,3.142E+00,-3.186E-03,2.261E+00,2.218E+00,1.076E-01,2.926E+00
2,0.000E+00,0.000E+00,5.865E-04,4.168E-03,3.847E-03,3.092E-01,1.905E+00,-1.009E-01,1.744E+00,1.113E+00,3.142E+00,1.343E-03,2.155E+00,2.173E+00,1.124E-01,2.705E+00,1.902E+00,-6.524E-02,1.454E+00,1.196E+00,3.142E+00,-3.068E-03,2.261E+00,2.220E+00,1.074E-01,2.931E+00
3,0.000E+00,0.000E+00,5.696E-04,4.216E-03,3.898E-03,3.122E-01,1.899E+00,-1.178E-01,1.821E+00,1.149E+00,3.142E+00,1.585E-03,2.156E+00,2.177E+00,1.123E-01,2.707E+00,1.896E+00,-7.976E-02,1.505E+00,1.235E+00,3.142E+00,-2.949E-03,2.261E+00,2.222E+00,1.071E-01,2.936E+00
4,0.000E+00,0.000E+00,5.612E-04,4.241E-03,3.923E-03,3.137E-01,1.895E+00,-1.263E-01,1.860E+00,1.168E+00,3.142E+00,1.706E-03,2.157E+00,2.179E+00,1.122E-01,2.708E+00,1.893E+00,-8.702E-02,1.530E+00,1.255E+00,3.142E+00,-2.890E-03,2.262E+00,2.223E+00,1.070E-01,2.939E+00
5,0.000E+00,0.000E+00,5.527E-04,4.265E-03,3.948E-03,3.152E-01,1.892E+00,-1.347E-01,1.899E+00,1.186E+00,3.142E+00,1.827E-03,2.157E+00,2.181E+00,1.122E-01,2.709E+00,1.890E+00,-9.428E-02,1.556E+00,1.275E+00,3.142E+00,-2.831E-03,2.262E+00,2.224E+00,1.069E-01,2.941E+00
6,0.000E+00,0.000E+00,5.358E-04,4.313E-03,3.999E-03,3.182E-01,1.886E+00,-1.516E-01,1.976E+00,1.222E+00,3.142E+00,2.069E-03,2.158E+00,2.185E+00,1.120E-01,2.711E+00,1.884E+00,-1.088E-01,1.607E+00,1.314E+00,3.142E+00,-2.713E-03,2.262E+00,2.226E+00,1.067E-01,2.947E+00
7,0.000E+00,0.000E+00,5.189E-04,4.362E-03,4.049E-03,3.213E-01,1.880E+00,-1.685E-01,2.053E+00,1.258E+00,3.142E+00,2.311E-03,2.159E+00,2.190E+00,1.119E-01,2.714E+00,1.879E+00,-1.233E-01,1.658E+00,1.353E+00,3.142E+00,-2.594E-03,2.263E+00,2.228E+00,1.064E-01,2.952E+00
8,0.000E+00,0.000E+00,5.021E-04,4.410E-03,4.100E-03,3.243E-01,1.874E+00,-1.854E-01,2.131E+00,1.294E+00,3.142E+00,2.553E-03,2.160E+00,2.194E+00,1.118E-01,2.716E+00,1.873E+00,-1.379E-01,1.709E+00,1.392E+00,3.142E+00,-2.476E-03,2.263E+00,2.230E+00,1.062E-01,2.957E+00
9,0.000E+00,0.000E+00,4.936E-04,4.434E-03,4.125E-03,3.258E-01,1.872E+00,-1.939E-01,2.170E+00,1.312E+00,3.142E+00,2.673E-03,2.161E+00,2.196E+00,1.117E-01,2.717E+00,1.871E+00,-1.451E-01,1.734E+00,1.411E+00,3.142E+00,-2.416E-03,2.263E+00,2.231E+00,1.061E-01,2.959E+00
