alpha,H,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,1.749E-03,1.065E-03,0.000E+00,0.000E+00,0.000E+00,3.695E-03,8.743E-03,3.108E-01,1.740E+00,-4.118E-02,1.772E+00,1.502E+00,3.142E+00,-3.572E-03,2.595E+00,2.538E+00,9.615E-02,3.307E+00,1.858E+00,5.427E-02,1.142E+00,1.377E+00,3.142E+00,2.355E-03,2.406E+00,2.442E+00,2.283E-01,1.633E+00,1.685E+00,-4.873E-02,2.065E+00,1.573E+00,3.142E+00,-3.332E-03,2.694E+00,2.638E+00,1.283E-01,2.826E+00
1,0.000E+00,1.740E-03,1.064E-03,0.000E+00,0.000E+00,0.000E+00,3.727E-03,8.817E-03,3.126E-01,1.736E+00,-4.546E-02,1.778E+00,1.540E+00,3.142E+00,-3.839E-03,2.599E+00,2.537E+00,9.594E-02,3.313E+00,1.806E+00,2.137E-02,1.387E+00,1.347E+00,3.142E+00,1.113E-03,2.448E+00,2.463E+00,2.267E-01,1.644E+00,1.680E+00,-6.031E-02,2.135E+00,1.605E+00,3.142E+00,-3.000E-03,2.696E+00,2.646E+00,1.282E-01,2.828E+00
2,0.000E+00,1.732E-03,1.064E-03,0.000E+00,0.000E+00,0.000E+00,3.759E-03,8.890E-03,3.145E-01,1.731E+00,-4.974E-02,1.784E+00,1.578E+00,3.142E+00,-4.105E-03,2.603E+00,2.537E+00,9.573E-02,3.319E+00,1.775E+00,-1.152E-02,1.633E+00,1.317E+00,3.142E+00,-1.288E-04,2.489E+00,2.484E+00,2.250E-01,1.655E+00,1.676E+00,-7.189E-02,2.205E+00,1.637E+00,3.142E+00,-2.668E-03,2.698E+00,2.653E+00,1.281E-01,2.829E+00
3,0.000E+00,1.723E-03,1.064E-03,0.000E+00,0.000E+00,0.000E+00,3.791E-03,8.964E-03,3.163E-01,1.727E+00,-5.402E-02,1.790E+00,1.616E+00,3.142E+00,-4.372E-03,2.607E+00,2.537E+00,9.551E-02,3.325E+00,1.775E+00,-4.442E-02,1.878E+00,1.286E+00,3.142E+00,-1.371E-03,2.530E+00,2.505E+00,2.234E-01,1.665E+00,1.671E+00,-8.347E-02,2.276E+00,1.669E+00,3.142E+00,-2.337E-03,2.700E+00,2.661E+00,1.281E-01,2.830E+00
4,0.000E+00,1.718E-03,1.063E-03,0.000E+00,0.000E+00,0.000E+00,3.806E-03,9.000E-03,3.172E-01,1.725E+00,-5.616E-02,1.793E+00,1.635E+00,3.142E+00,-4.505E-03,2.609E+00,2.536E+00,9.541E-02,3.328E+00,1.777E+00,-6.087E-02,2.000E+00,1.271E+00,3.142E+00,-1.992E-03,2.551E+00,2.515E+00,2.226E-01,1.671E+00,1.669E+00,-8.926E-02,2.311E+00,1.685E+00,3.142E+00,-2.171E-03,2.701E+00,2.664E+00,1.280E-01,2.831E+00
5,0.000E+00,1.714E-03,1.063E-03,0.000E+00,0.000E+00,0.000E+00,3.822E-03,9.037E-03,3.181E-01,1.723E+00,-5.830E-02,1.796E+00,1.654E+00,3.142E+00,-4.638E-03,2.610E+00,2.536E+00,9.530E-02,3.331E+00,1.779E+00,-7.732E-02,2.123E+00,1.256E+00,3.142E+00,-2.613E-03,2.572E+00,2.526E+00,2.218E-01,1.676E+00,1.667E+00,-9.505E-02,2.346E+00,1.700E+00,3.142E+00,-2.005E-03,2.702E+00,2.668E+00,1.280E-01,2.832E+00
6,0.000E+00,1.705E-03,1.063E-03,0.000E+00,0.000E+00,0.000E+00,3.854E-03,9.111E-03,3.199E-01,1.719E+00,-6.258E-02,1.802E+00,1.692E+00,3.142E+00,-4.905E-03,2.614E+00,2.536E+00,9.509E-02,3.337E+00,1.788E+00,-1.102E-01,2.368E+00,1.226E+00,3.142E+00,-3.855E-03,2.613E+00,2.547E+00,2.201E-01,1.686E+00,1.663E+00,-1.066E-01,2.416E+00,1.732E+00,3.142E+00,-1.673E-03,2.704E+00,2.676E+00,1.279E-01,2.833E+00
7,0.000E+00,1.696E-03,1.063E-03,0.000E+00,0.000E+00,0.000E+00,3.886E-03,9.184E-03,3.217E-01,1.715E+00,-6.685E-02,1.808E+00,1.730E+00,3.142E+00,-5.171E-03,2.618E+00,2.535E+00,9.488E-02,3.342E+00,1.799E+00,-1.431E-01,2.613E+00,1.196E+00,3.142E+00,-5.097E-03,2.655E+00,2.568E+00,2.185E-01,1.697E+00,1.659E+00,-1.182E-01,2.487E+00,1.764E+00,3.142E+00,-1.341E-03,2.706E+00,2.683E+00,1.278E-01,2.834E+00
8,0.000E+00,1.688E-03,1.062E-03,0.000E+00,0.000E+00,0.000E+00,3.917E-03,9.258E-03,3.235E-01,1.711E+00,-7.113E-02,1.814E+00,1.768E+00,3.142E+00,-5.437E-03,2.622E+00,2.535E+00,9.466E-02,3.348E+00,1.813E+00,-1.760E-01,2.858E+00,1.165E+00,3.142E+00,-6.339E-03,2.696E+00,2.589E+00,2.169E-01,1.708E+00,1.655E+00,-1.298E-01,2.557E+00,1.796E+00,3.142E+00,-1.009E-03,2.708E+00,2.691E+00,1.278E-01,2.836E+00
9,0.000E+00,1.683E-03,1.062E-03,0.000E+00,0.000E+00,0.000E+00,3.933E-03,9.294E-03,3.244E-01,1.709E+00,-7.327E-02,1.817E+00,1.787E+00,3.142E+00,-5.571E-03,2.624E+00,2.535E+00,9.456E-02,3.351E+00,1.821E+00,-1.925E-01,2.981E+00,1.150E+00,3.142E+00,-6.960E-03,2.717E+00,2.600E+00,2.161E-01,1.713E+00,1.653E+00,-1.356E-01,2.592E+00,1.812E+00,3.142E+00,-8.431E-04,2.709E+00,2.695E+00,1.277E-01,2.836E+00
