alpha,H,Ti,S,Ti_1,S_1,amu/ion,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,1.807E-03,0.000E+00,1.196E-03,3.414E-03,2.533E-01,1.828E+00,1.299E-02,1.253E+00,1.389E+00,3.142E+00,-4.464E-04,2.313E+00,2.307E+00,1.164E-01,2.748E+00,1.924E+00,-1.565E-02,1.278E+00,1.062E+00,3.142E+00,-4.032E-07,2.147E+00,2.147E+00,4.269E-02,5.252E+00
1,0.000E+00,1.823E-03,0.000E+00,1.207E-03,3.433E-03,2.552E-01,1.812E+00,-7.439E-03,1.356E+00,1.391E+00,3.142E+00,-1.110E-04,2.308E+00,2.306E+00,1.161E-01,2.755E+00,1.918E+00,-3.370E-02,1.352E+00,1.094E+00,3.142E+00,-2.943E-04,2.166E+00,2.162E+00,4.261E-02,5.259E+00
2,0.000E+00,1.839E-03,0.000E+00,1.218E-03,3.452E-03,2.571E-01,1.811E+00,-2.787E-02,1.459E+00,1.393E+00,3.142E+00,2.244E-04,2.302E+00,2.305E+00,1.157E-01,2.761E+00,1.913E+00,-5.175E-02,1.425E+00,1.127E+00,3.142E+00,-5.881E-04,2.184E+00,2.176E+00,4.253E-02,5.266E+00
3,0.000E+00,1.855E-03,0.000E+00,1.228E-03,3.470E-03,2.590E-01,1.811E+00,-4.829E-02,1.562E+00,1.395E+00,3.142E+00,5.597E-04,2.296E+00,2.304E+00,1.154E-01,2.768E+00,1.907E+00,-6.981E-02,1.499E+00,1.159E+00,3.142E+00,-8.820E-04,2.202E+00,2.190E+00,4.245E-02,5.273E+00
4,0.000E+00,1.863E-03,0.000E+00,1.234E-03,3.480E-03,2.599E-01,1.812E+00,-5.851E-02,1.613E+00,1.396E+00,3.142E+00,7.274E-04,2.294E+00,2.304E+00,1.152E-01,2.772E+00,1.905E+00,-7.884E-02,1.536E+00,1.175E+00,3.142E+00,-1.029E-03,2.211E+00,2.197E+00,4.241E-02,5.276E+00
5,0.000E+00,1.871E-03,0.000E+00,1.239E-03,3.489E-03,2.608E-01,1.812E+00,-6.872E-02,1.665E+00,1.397E+00,3.142E+00,8.951E-04,2.291E+00,2.303E+00,1.150E-01,2.775E+00,1.902E+00,-8.786E-02,1.572E+00,1.192E+00,3.142E+00,-1.176E-03,2.220E+00,2.204E+00,4.237E-02,5.280E+00
6,0.000E+00,1.887E-03,0.000E+00,1.250E-03,3.508E-03,2.627E-01,1.814E+00,-8.915E-02,1.768E+00,1.399E+00,3.142E+00,1.230E-03,2.285E+00,2.302E+00,1.146E-01,2.782E+00,1.897E+00,-1.059E-01,1.646E+00,1.224E+00,3.142E+00,-1.470E-03,2.238E+00,2.218E+00,4.228E-02,5.286E+00
7,0.000E+00,1.903E-03,0.000E+00,1.261E-03,3.527E-03,2.646E-01,1.816E+00,-1.096E-01,1.871E+00,1.401E+00,3.142E+00,1.566E-03,2.279E+00,2.301E+00,1.143E-01,2.789E+00,1.893E+00,-1.240E-01,1.719E+00,1.257E+00,3.142E+00,-1.764E-03,2.256E+00,2.232E+00,4.220E-02,5.293E+00
8,0.000E+00,1.919E-03,0.000E+00,1.271E-03,3.545E-03,2.665E-01,1.818E+00,-1.300E-01,1.974E+00,1.403E+00,3.142E+00,1.901E-03,2.274E+00,2.300E+00,1.139E-01,2.796E+00,1.888E+00,-1.420E-01,1.793E+00,1.289E+00,3.142E+00,-2.057E-03,2.274E+00,2.246E+00,4.212E-02,5.300E+00
9,0.000E+00,1.927E-03,0.000E+00,1.277E-03,3.555E-03,2.674E-01,1.820E+00,-1.402E-01,2.025E+00,1.404E+00,3.142E+00,2.069E-03,2.271E+00,2.300E+00,1.138E-01,2.799E+00,1.886E+00,-1.511E-01,1.830E+00,1.306E+00,3.142E+00,-2.204E-03,2.283E+00,2.253E+00,4.208E-02,5.304E+00
10,0.000E+00,1.935E-03,0.000E+00,1.282E-03,3.564E-03,2.684E-01,1.822E+00,-1.504E-01,2.077E+00,1.405E+00,3.142E+00,2.236E-03,2.268E+00,2.299E+00,1.136E-01,2.803E+00,1.884E+00,-1.601E-01,1.866E+00,1.322E+00,3.142E+00,-2.351E-03,2.292E+00,2.260E+00,4.204E-02,5.307E+00
11,0.000E+00,1.992E-03,0.000E+00,1.318E-03,3.650E-03,2.755E-01,1.813E+00,-1.758E-01,2.305E+00,1.405E+00,3.142E+00,1.857E-03,2.279E+00,2.304E+00,1.133E-01,2.809E+00,1.877E+00,-1.938E-01,2.133E+00,1.310E+00,3.142E+00,-2.109E-03,2.283E+00,2.254E+00,4.174E-02,5.334E+00
12,0.000E+00,2.048E-03,0.000E+00,1.353E-03,3.735E-03,2.827E-01,1.808E+00,-2.012E-01,2.533E+00,1.404E+00,3.142E+00,1.478E-03,2.289E+00,2.310E+00,1.130E-01,2.815E+00,1.875E+00,-2.276E-01,2.400E+00,1.299E+00,3.142E+00,-1.866E-03,2.274E+00,2.249E+00,4.144E-02,5.361E+00
13,0.000E+00,2.104E-03,0.000E+00,1.389E-03,3.821E-03,2.898E-01,1.804E+00,-2.266E-01,2.762E+00,1.404E+00,3.142E+00,1.099E-03,2.300E+00,2.315E+00,1.127E-01,2.821E+00,1.876E+00,-2.613E-01,2.666E+00,1.288E+00,3.142E+00,-1.623E-03,2.266E+00,2.243E+00,4.113E-02,5.388E+00
14,0.000E+00,2.132E-03,0.000E+00,1.407E-03,3.864E-03,2.934E-01,1.804E+00,-2.393E-01,2.876E+00,1.404E+00,3.142E+00,9.097E-04,2.305E+00,2.317E+00,1.125E-01,2.824E+00,1.877E+00,-2.782E-01,2.800E+00,1.282E+00,3.142E+00,-1.502E-03,2.261E+00,2.241E+00,4.098E-02,5.401E+00
15,0.000E+00,2.161E-03,0.000E+00,1.425E-03,3.907E-03,2.970E-01,1.803E+00,-2.519E-01,2.990E+00,1.404E+00,3.142E+00,7.201E-04,2.310E+00,2.320E+00,1.124E-01,2.827E+00,1.880E+00,-2.951E-01,2.933E+00,1.276E+00,3.142E+00,-1.380E-03,2.257E+00,2.238E+00,4.083E-02,5.415E+00
16,0.000E+00,2.217E-03,0.000E+00,1.460E-03,3.992E-03,3.041E-01,1.803E+00,-2.773E-01,3.218E+00,1.403E+00,3.142E+00,3.410E-04,2.321E+00,2.325E+00,1.121E-01,2.833E+00,1.886E+00,-3.288E-01,3.200E+00,1.265E+00,3.142E+00,-1.138E-03,2.248E+00,2.233E+00,4.053E-02,5.442E+00
17,0.000E+00,2.273E-03,0.000E+00,1.496E-03,4.078E-03,3.113E-01,1.805E+00,-3.027E-01,3.447E+00,1.403E+00,3.142E+00,-3.806E-05,2.331E+00,2.330E+00,1.118E-01,2.839E+00,1.894E+00,-3.626E-01,3.466E+00,1.253E+00,3.142E+00,-8.948E-04,2.239E+00,2.227E+00,4.023E-02,5.469E+00
18,0.000E+00,2.330E-03,0.000E+00,1.532E-03,4.164E-03,3.184E-01,1.808E+00,-3.281E-01,3.675E+00,1.402E+00,3.142E+00,-4.172E-04,2.342E+00,2.336E+00,1.115E-01,2.845E+00,1.903E+00,-3.964E-01,3.733E+00,1.242E+00,3.142E+00,-6.520E-04,2.230E+00,2.222E+00,3.993E-02,5.496E+00
19,0.000E+00,2.358E-03,0.000E+00,1.549E-03,4.206E-03,3.220E-01,1.810E+00,-3.408E-01,3.789E+00,1.402E+00,3.142E+00,-6.067E-04,2.347E+00,2.338E+00,1.113E-01,2.848E+00,1.908E+00,-4.132E-01,3.866E+00,1.236E+00,3.142E+00,-5.306E-04,2.226E+00,2.219E+00,3.978E-02,5.509E+00
20,0.000E+00,2.386E-03,0.000E+00,1.567E-03,4.249E-03,3.256E-01,1.811E+00,-3.535E-01,3.903E+00,1.402E+00,3.142E+00,-7.962E-04,2.352E+00,2.341E+00,1.112E-01,2.851E+00,1.914E+00,-4.301E-01,4.000E+00,1.230E+00,3.142E+00,-4.093E-04,2.222E+00,2.216E+00,3.963E-02,5.522E+00
21,0.000E+00,2.452E-03,0.000E+00,1.629E-03,4.381E-03,3.360E-01,1.802E+00,-3.524E-01,3.881E+00,1.439E+00,3.142E+00,-9.487E-04,2.364E+00,2.350E+00,1.106E-01,2.862E+00,1.904E+00,-4.444E-01,4.241E+00,1.247E+00,3.142E+00,-7.161E-04,2.227E+00,2.218E+00,3.931E-02,5.554E+00
22,0.000E+00,2.518E-03,0.000E+00,1.692E-03,4.513E-03,3.464E-01,1.793E+00,-3.513E-01,3.858E+00,1.475E+00,3.142E+00,-1.101E-03,2.376E+00,2.359E+00,1.101E-01,2.874E+00,1.895E+00,-4.588E-01,4.482E+00,1.263E+00,3.142E+00,-1.023E-03,2.233E+00,2.219E+00,3.899E-02,5.585E+00
23,0.000E+00,2.584E-03,0.000E+00,1.754E-03,4.646E-03,3.567E-01,1.785E+00,-3.503E-01,3.835E+00,1.512E+00,3.142E+00,-1.254E-03,2.387E+00,2.369E+00,1.096E-01,2.885E+00,1.887E+00,-4.731E-01,4.723E+00,1.279E+00,3.142E+00,-1.330E-03,2.239E+00,2.221E+00,3.867E-02,5.616E+00
24,0.000E+00,2.617E-03,0.000E+00,1.785E-03,4.712E-03,3.619E-01,1.781E+00,-3.497E-01,3.824E+00,1.531E+00,3.142E+00,-1.330E-03,2.393E+00,2.373E+00,1.093E-01,2.891E+00,1.883E+00,-4.803E-01,4.844E+00,1.288E+00,3.142E+00,-1.483E-03,2.242E+00,2.222E+00,3.851E-02,5.632E+00
25,0.000E+00,2.650E-03,0.000E+00,1.816E-03,4.778E-03,3.671E-01,1.777E+00,-3.492E-01,3.813E+00,1.549E+00,3.142E+00,-1.406E-03,2.399E+00,2.378E+00,1.090E-01,2.896E+00,1.879E+00,-4.874E-01,4.964E+00,1.296E+00,3.142E+00,-1.637E-03,2.245E+00,2.223E+00,3.835E-02,5.648E+00
