alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,6.523E-03,0.000E+00,9.349E-03,0.000E+00,0.000E+00,0.000E+00,9.861E-03,3.724E-02,6.418E-03,1.402E-02,1.683E+00,1.806E+00,-1.137E-01,2.312E+00,1.200E+00,3.142E+00,4.191E-03,2.224E+00,2.281E+00,1.086E-01,4.044E+00,1.750E+00,-9.937E-02,2.472E+00,1.275E+00,3.142E+00,2.506E-02,2.213E+00,2.587E+00,3.299E-01,1.411E+00,1.760E+00,1.724E-02,1.414E+00,1.535E+00,3.142E+00,6.053E-03,2.361E+00,2.450E+00,1.315E-01,3.442E+00,1.949E+00,6.265E-02,8.733E-01,1.322E+00,3.142E+00,7.443E-04,2.206E+00,2.216E+00,8.948E-02,4.835E+00
1,0.000E+00,6.550E-03,0.000E+00,9.376E-03,0.000E+00,0.000E+00,1.221E-07,9.971E-03,3.752E-02,6.466E-03,1.412E-02,1.695E+00,1.805E+00,-1.358E-01,2.474E+00,1.209E+00,3.142E+00,8.141E-03,2.172E+00,2.276E+00,1.084E-01,4.051E+00,1.735E+00,-9.893E-02,2.440E+00,1.348E+00,3.142E+00,2.196E-02,2.262E+00,2.590E+00,3.311E-01,1.406E+00,1.735E+00,-3.902E-03,1.553E+00,1.534E+00,3.142E+00,5.686E-03,2.371E+00,2.455E+00,1.319E-01,3.432E+00,1.901E+00,2.673E-02,1.064E+00,1.295E+00,3.142E+00,7.823E-04,2.199E+00,2.210E+00,8.919E-02,4.850E+00
2,0.000E+00,6.576E-03,0.000E+00,9.403E-03,0.000E+00,0.000E+00,2.441E-07,1.008E-02,3.779E-02,6.514E-03,1.422E-02,1.706E+00,1.804E+00,-1.579E-01,2.636E+00,1.218E+00,3.142E+00,1.209E-02,2.120E+00,2.272E+00,1.082E-01,4.058E+00,1.721E+00,-9.850E-02,2.409E+00,1.421E+00,3.142E+00,1.886E-02,2.311E+00,2.593E+00,3.323E-01,1.401E+00,1.731E+00,-2.504E-02,1.691E+00,1.532E+00,3.142E+00,5.318E-03,2.381E+00,2.460E+00,1.323E-01,3.422E+00,1.867E+00,-9.193E-03,1.255E+00,1.268E+00,3.142E+00,8.202E-04,2.193E+00,2.204E+00,8.890E-02,4.865E+00
3,0.000E+00,6.603E-03,0.000E+00,9.431E-03,0.000E+00,0.000E+00,3.662E-07,1.019E-02,3.807E-02,6.562E-03,1.431E-02,1.718E+00,1.805E+00,-1.800E-01,2.798E+00,1.227E+00,3.142E+00,1.604E-02,2.069E+00,2.267E+00,1.080E-01,4.065E+00,1.708E+00,-9.807E-02,2.377E+00,1.494E+00,3.142E+00,1.576E-02,2.360E+00,2.595E+00,3.334E-01,1.397E+00,1.729E+00,-4.618E-02,1.830E+00,1.531E+00,3.142E+00,4.950E-03,2.391E+00,2.465E+00,1.327E-01,3.413E+00,1.870E+00,-4.511E-02,1.446E+00,1.241E+00,3.142E+00,8.582E-04,2.187E+00,2.198E+00,8.861E-02,4.880E+00
4,0.000E+00,6.616E-03,0.000E+00,9.444E-03,0.000E+00,0.000E+00,4.272E-07,1.024E-02,3.821E-02,6.585E-03,1.436E-02,1.724E+00,1.806E+00,-1.910E-01,2.879E+00,1.232E+00,3.142E+00,1.802E-02,2.043E+00,2.265E+00,1.079E-01,4.069E+00,1.702E+00,-9.785E-02,2.362E+00,1.530E+00,3.142E+00,1.421E-02,2.385E+00,2.597E+00,3.340E-01,1.394E+00,1.728E+00,-5.675E-02,1.900E+00,1.531E+00,3.142E+00,4.766E-03,2.397E+00,2.467E+00,1.329E-01,3.408E+00,1.872E+00,-6.307E-02,1.542E+00,1.227E+00,3.142E+00,8.772E-04,2.184E+00,2.195E+00,8.846E-02,4.887E+00
5,0.000E+00,6.629E-03,0.000E+00,9.458E-03,0.000E+00,0.000E+00,4.883E-07,1.030E-02,3.834E-02,6.609E-03,1.441E-02,1.730E+00,1.806E+00,-2.020E-01,2.960E+00,1.236E+00,3.142E+00,1.999E-02,2.017E+00,2.262E+00,1.078E-01,4.073E+00,1.696E+00,-9.764E-02,2.346E+00,1.566E+00,3.142E+00,1.266E-02,2.409E+00,2.598E+00,3.346E-01,1.392E+00,1.728E+00,-6.732E-02,1.969E+00,1.530E+00,3.142E+00,4.582E-03,2.402E+00,2.470E+00,1.331E-01,3.403E+00,1.876E+00,-8.103E-02,1.637E+00,1.214E+00,3.142E+00,8.962E-04,2.180E+00,2.192E+00,8.831E-02,4.895E+00
6,0.000E+00,6.655E-03,0.000E+00,9.485E-03,0.000E+00,0.000E+00,6.104E-07,1.041E-02,3.862E-02,6.657E-03,1.451E-02,1.741E+00,1.809E+00,-2.241E-01,3.122E+00,1.245E+00,3.142E+00,2.394E-02,1.965E+00,2.258E+00,1.075E-01,4.080E+00,1.685E+00,-9.721E-02,2.314E+00,1.639E+00,3.142E+00,9.557E-03,2.459E+00,2.601E+00,3.358E-01,1.387E+00,1.728E+00,-8.845E-02,2.108E+00,1.529E+00,3.142E+00,4.214E-03,2.412E+00,2.475E+00,1.335E-01,3.393E+00,1.886E+00,-1.170E-01,1.828E+00,1.187E+00,3.142E+00,9.342E-04,2.174E+00,2.186E+00,8.802E-02,4.910E+00
7,0.000E+00,6.682E-03,0.000E+00,9.513E-03,0.000E+00,0.000E+00,7.324E-07,1.052E-02,3.889E-02,6.705E-03,1.461E-02,1.753E+00,1.811E+00,-2.462E-01,3.284E+00,1.254E+00,3.142E+00,2.789E-02,1.913E+00,2.253E+00,1.073E-01,4.087E+00,1.675E+00,-9.677E-02,2.283E+00,1.712E+00,3.142E+00,6.457E-03,2.508E+00,2.604E+00,3.369E-01,1.383E+00,1.730E+00,-1.096E-01,2.247E+00,1.528E+00,3.142E+00,3.846E-03,2.422E+00,2.480E+00,1.339E-01,3.384E+00,1.898E+00,-1.529E-01,2.019E+00,1.160E+00,3.142E+00,9.722E-04,2.168E+00,2.180E+00,8.773E-02,4.925E+00
8,0.000E+00,6.708E-03,0.000E+00,9.540E-03,0.000E+00,0.000E+00,8.545E-07,1.063E-02,3.917E-02,6.753E-03,1.471E-02,1.765E+00,1.814E+00,-2.683E-01,3.446E+00,1.264E+00,3.142E+00,3.184E-02,1.861E+00,2.248E+00,1.071E-01,4.095E+00,1.665E+00,-9.634E-02,2.252E+00,1.785E+00,3.142E+00,3.357E-03,2.557E+00,2.607E+00,3.381E-01,1.378E+00,1.732E+00,-1.307E-01,2.386E+00,1.527E+00,3.142E+00,3.479E-03,2.433E+00,2.485E+00,1.343E-01,3.374E+00,1.913E+00,-1.888E-01,2.210E+00,1.133E+00,3.142E+00,1.010E-03,2.161E+00,2.175E+00,8.744E-02,4.940E+00
9,0.000E+00,6.721E-03,0.000E+00,9.554E-03,0.000E+00,0.000E+00,9.155E-07,1.068E-02,3.931E-02,6.777E-03,1.476E-02,1.771E+00,1.816E+00,-2.793E-01,3.527E+00,1.268E+00,3.142E+00,3.382E-02,1.835E+00,2.246E+00,1.070E-01,4.098E+00,1.660E+00,-9.612E-02,2.236E+00,1.821E+00,3.142E+00,1.807E-03,2.581E+00,2.609E+00,3.387E-01,1.376E+00,1.733E+00,-1.413E-01,2.455E+00,1.526E+00,3.142E+00,3.295E-03,2.438E+00,2.488E+00,1.344E-01,3.369E+00,1.921E+00,-2.068E-01,2.306E+00,1.119E+00,3.142E+00,1.029E-03,2.158E+00,2.172E+00,8.729E-02,4.948E+00
10,0.000E+00,6.734E-03,0.000E+00,9.567E-03,0.000E+00,0.000E+00,9.766E-07,1.074E-02,3.944E-02,6.801E-03,1.481E-02,1.777E+00,1.818E+00,-2.904E-01,3.608E+00,1.273E+00,3.142E+00,3.579E-02,1.809E+00,2.244E+00,1.069E-01,4.102E+00,1.656E+00,-9.591E-02,2.220E+00,1.858E+00,3.142E+00,2.565E-04,2.606E+00,2.610E+00,3.393E-01,1.373E+00,1.735E+00,-1.519E-01,2.525E+00,1.525E+00,3.142E+00,3.111E-03,2.443E+00,2.490E+00,1.346E-01,3.364E+00,1.929E+00,-2.247E-01,2.401E+00,1.106E+00,3.142E+00,1.048E-03,2.155E+00,2.169E+00,8.715E-02,4.955E+00
11,0.000E+00,6.876E-03,0.000E+00,9.753E-03,0.000E+00,0.000E+00,8.545E-07,1.095E-02,4.016E-02,6.939E-03,1.504E-02,1.810E+00,1.824E+00,-3.009E-01,3.676E+00,1.265E+00,3.142E+00,3.185E-02,1.869E+00,2.257E+00,1.074E-01,4.087E+00,1.653E+00,-9.548E-02,2.186E+00,1.902E+00,3.142E+00,-6.760E-04,2.657E+00,2.644E+00,3.395E-01,1.372E+00,1.733E+00,-1.610E-01,2.594E+00,1.532E+00,3.142E+00,2.825E-03,2.450E+00,2.493E+00,1.342E-01,3.374E+00,1.918E+00,-2.346E-01,2.457E+00,1.149E+00,3.142E+00,9.905E-04,2.180E+00,2.193E+00,8.693E-02,4.967E+00
