alpha,He,Ca,Al,Si,O,Ca_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,0.000E+00,9.594E-03,0.000E+00,7.094E-03,9.185E-03,4.611E-03,1.683E-02,1.431E-02,3.115E-02,1.984E+00,1.813E+00,4.922E-02,1.089E+00,1.682E+00,1.814E+00,-1.268E-03,2.475E+00,2.456E+00,1.065E-01,4.117E+00,1.796E+00,-1.005E-02,1.448E+00,1.383E+00,1.784E+00,9.299E-03,2.219E+00,2.348E+00,1.345E-01,3.244E+00,1.715E+00,5.190E-03,1.553E+00,1.612E+00,1.715E+00,1.245E-03,2.582E+00,2.602E+00,1.351E-01,3.352E+00,1.830E+00,-1.092E-02,1.424E+00,1.265E+00,1.817E+00,2.717E-03,2.236E+00,2.273E+00,9.305E-02,4.662E+00
1,0.000E+00,0.000E+00,0.000E+00,9.695E-03,0.000E+00,7.168E-03,9.299E-03,4.616E-03,1.691E-02,1.444E-02,3.132E-02,1.999E+00,1.768E+00,1.805E-02,1.290E+00,1.638E+00,1.788E+00,-8.508E-04,2.465E+00,2.452E+00,1.064E-01,4.120E+00,1.779E+00,-4.656E-03,1.394E+00,1.484E+00,1.780E+00,8.626E-03,2.240E+00,2.360E+00,1.340E-01,3.255E+00,1.709E+00,-7.022E-03,1.617E+00,1.619E+00,1.703E+00,1.150E-03,2.580E+00,2.599E+00,1.348E-01,3.360E+00,1.826E+00,-4.483E-02,1.660E+00,1.240E+00,1.793E+00,2.374E-03,2.242E+00,2.274E+00,9.265E-02,4.681E+00
2,0.000E+00,0.000E+00,0.000E+00,9.795E-03,0.000E+00,7.242E-03,9.413E-03,4.620E-03,1.698E-02,1.457E-02,3.150E-02,2.014E+00,1.745E+00,-1.313E-02,1.491E+00,1.595E+00,1.762E+00,-4.332E-04,2.455E+00,2.449E+00,1.064E-01,4.123E+00,1.766E+00,7.392E-04,1.340E+00,1.585E+00,1.777E+00,7.953E-03,2.261E+00,2.372E+00,1.336E-01,3.266E+00,1.709E+00,-1.923E-02,1.680E+00,1.625E+00,1.691E+00,1.055E-03,2.578E+00,2.595E+00,1.345E-01,3.369E+00,1.827E+00,-7.874E-02,1.895E+00,1.215E+00,1.768E+00,2.031E-03,2.249E+00,2.276E+00,9.225E-02,4.700E+00
3,0.000E+00,0.000E+00,0.000E+00,9.896E-03,0.000E+00,7.316E-03,9.527E-03,4.625E-03,1.705E-02,1.470E-02,3.167E-02,2.030E+00,1.748E+00,-4.430E-02,1.692E+00,1.552E+00,1.736E+00,-1.560E-05,2.446E+00,2.445E+00,1.063E-01,4.125E+00,1.760E+00,6.134E-03,1.285E+00,1.686E+00,1.773E+00,7.280E-03,2.282E+00,2.384E+00,1.331E-01,3.277E+00,1.708E+00,-3.145E-02,1.744E+00,1.632E+00,1.678E+00,9.597E-04,2.577E+00,2.592E+00,1.341E-01,3.377E+00,1.833E+00,-1.126E-01,2.130E+00,1.190E+00,1.743E+00,1.688E-03,2.255E+00,2.278E+00,9.185E-02,4.720E+00
4,0.000E+00,0.000E+00,0.000E+00,9.947E-03,0.000E+00,7.354E-03,9.584E-03,4.627E-03,1.709E-02,1.477E-02,3.176E-02,2.037E+00,1.750E+00,-5.989E-02,1.793E+00,1.530E+00,1.723E+00,1.932E-04,2.441E+00,2.443E+00,1.062E-01,4.127E+00,1.758E+00,8.831E-03,1.258E+00,1.737E+00,1.771E+00,6.944E-03,2.292E+00,2.390E+00,1.329E-01,3.282E+00,1.709E+00,-3.755E-02,1.776E+00,1.635E+00,1.672E+00,9.121E-04,2.576E+00,2.590E+00,1.340E-01,3.381E+00,1.837E+00,-1.296E-01,2.248E+00,1.177E+00,1.731E+00,1.516E-03,2.258E+00,2.279E+00,9.165E-02,4.729E+00
5,0.000E+00,0.000E+00,0.000E+00,9.997E-03,0.000E+00,7.391E-03,9.642E-03,4.629E-03,1.712E-02,1.483E-02,3.185E-02,2.045E+00,1.754E+00,-7.547E-02,1.893E+00,1.508E+00,1.710E+00,4.020E-04,2.436E+00,2.442E+00,1.062E-01,4.128E+00,1.756E+00,1.153E-02,1.231E+00,1.787E+00,1.769E+00,6.608E-03,2.302E+00,2.395E+00,1.326E-01,3.288E+00,1.709E+00,-4.366E-02,1.808E+00,1.639E+00,1.666E+00,8.645E-04,2.575E+00,2.589E+00,1.338E-01,3.385E+00,1.842E+00,-1.466E-01,2.365E+00,1.165E+00,1.719E+00,1.344E-03,2.261E+00,2.280E+00,9.145E-02,4.739E+00
6,0.000E+00,0.000E+00,0.000E+00,1.010E-02,0.000E+00,7.465E-03,9.756E-03,4.633E-03,1.720E-02,1.496E-02,3.203E-02,2.060E+00,1.763E+00,-1.066E-01,2.095E+00,1.465E+00,1.684E+00,8.196E-04,2.426E+00,2.438E+00,1.061E-01,4.131E+00,1.754E+00,1.692E-02,1.177E+00,1.888E+00,1.765E+00,5.935E-03,2.323E+00,2.407E+00,1.322E-01,3.299E+00,1.709E+00,-5.587E-02,1.871E+00,1.645E+00,1.654E+00,7.692E-04,2.573E+00,2.586E+00,1.335E-01,3.393E+00,1.853E+00,-1.805E-01,2.601E+00,1.140E+00,1.694E+00,1.001E-03,2.268E+00,2.281E+00,9.105E-02,4.758E+00
7,0.000E+00,0.000E+00,0.000E+00,1.020E-02,0.000E+00,7.539E-03,9.870E-03,4.638E-03,1.727E-02,1.509E-02,3.220E-02,2.075E+00,1.775E+00,-1.378E-01,2.296E+00,1.421E+00,1.659E+00,1.237E-03,2.416E+00,2.435E+00,1.061E-01,4.134E+00,1.753E+00,2.232E-02,1.123E+00,1.990E+00,1.762E+00,5.262E-03,2.344E+00,2.419E+00,1.317E-01,3.310E+00,1.710E+00,-6.808E-02,1.935E+00,1.652E+00,1.642E+00,6.740E-04,2.571E+00,2.582E+00,1.331E-01,3.401E+00,1.867E+00,-2.144E-01,2.836E+00,1.115E+00,1.670E+00,6.576E-04,2.274E+00,2.283E+00,9.065E-02,4.778E+00
8,0.000E+00,0.000E+00,0.000E+00,1.030E-02,0.000E+00,7.613E-03,9.984E-03,4.642E-03,1.734E-02,1.522E-02,3.238E-02,2.091E+00,1.789E+00,-1.690E-01,2.497E+00,1.378E+00,1.633E+00,1.655E-03,2.407E+00,2.431E+00,1.060E-01,4.136E+00,1.754E+00,2.771E-02,1.069E+00,2.091E+00,1.758E+00,4.589E-03,2.365E+00,2.431E+00,1.312E-01,3.321E+00,1.710E+00,-8.029E-02,1.999E+00,1.658E+00,1.630E+00,5.787E-04,2.570E+00,2.579E+00,1.328E-01,3.409E+00,1.883E+00,-2.483E-01,3.071E+00,1.090E+00,1.645E+00,3.143E-04,2.281E+00,2.285E+00,9.025E-02,4.797E+00
9,0.000E+00,0.000E+00,0.000E+00,1.035E-02,0.000E+00,7.650E-03,1.004E-02,4.644E-03,1.738E-02,1.529E-02,3.247E-02,2.098E+00,1.797E+00,-1.846E-01,2.598E+00,1.356E+00,1.620E+00,1.864E-03,2.402E+00,2.429E+00,1.059E-01,4.138E+00,1.755E+00,3.041E-02,1.041E+00,2.141E+00,1.756E+00,4.253E-03,2.375E+00,2.437E+00,1.310E-01,3.326E+00,1.711E+00,-8.640E-02,2.031E+00,1.662E+00,1.624E+00,5.311E-04,2.569E+00,2.577E+00,1.326E-01,3.413E+00,1.892E+00,-2.652E-01,3.189E+00,1.077E+00,1.633E+00,1.426E-04,2.284E+00,2.286E+00,9.005E-02,4.807E+00
