alpha,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,2.239E-02,0.000E+00,7.812E-07,9.375E-06,2.453E-04,2.241E-02,6.711E-02,3.494E+00,1.785E+00,2.309E-02,1.253E+00,1.601E+00,3.142E+00,-5.332E-03,2.510E+00,2.429E+00,7.248E-02,5.632E+00,1.868E+00,1.501E-03,1.302E+00,1.175E+00,3.142E+00,-6.112E-03,2.380E+00,2.293E+00,1.068E-01,3.936E+00,1.683E+00,-3.717E-02,2.009E+00,1.567E+00,3.142E+00,-1.262E-03,2.760E+00,2.738E+00,1.470E-01,3.095E+00
1,0.000E+00,2.248E-02,0.000E+00,6.836E-07,9.570E-06,2.451E-04,2.250E-02,6.739E-02,3.508E+00,1.755E+00,3.029E-03,1.366E+00,1.610E+00,3.142E+00,-4.896E-03,2.484E+00,2.410E+00,7.259E-02,5.624E+00,1.863E+00,-2.406E-02,1.457E+00,1.169E+00,3.142E+00,-4.533E-03,2.351E+00,2.286E+00,1.062E-01,3.955E+00,1.679E+00,-3.955E-02,2.008E+00,1.600E+00,3.142E+00,-1.190E-03,2.754E+00,2.733E+00,1.471E-01,3.092E+00
2,0.000E+00,2.256E-02,0.000E+00,5.859E-07,9.766E-06,2.449E-04,2.259E-02,6.767E-02,3.522E+00,1.747E+00,-1.703E-02,1.480E+00,1.618E+00,3.142E+00,-4.460E-03,2.457E+00,2.390E+00,7.270E-02,5.617E+00,1.861E+00,-4.962E-02,1.612E+00,1.163E+00,3.142E+00,-2.954E-03,2.323E+00,2.279E+00,1.057E-01,3.973E+00,1.675E+00,-4.193E-02,2.008E+00,1.634E+00,3.142E+00,-1.118E-03,2.748E+00,2.728E+00,1.473E-01,3.089E+00
3,0.000E+00,2.265E-02,0.000E+00,4.883E-07,9.961E-06,2.447E-04,2.268E-02,6.795E-02,3.536E+00,1.744E+00,-3.709E-02,1.593E+00,1.627E+00,3.142E+00,-4.024E-03,2.430E+00,2.370E+00,7.280E-02,5.609E+00,1.862E+00,-7.518E-02,1.767E+00,1.156E+00,3.142E+00,-1.376E-03,2.294E+00,2.272E+00,1.052E-01,3.992E+00,1.671E+00,-4.430E-02,2.007E+00,1.667E+00,3.142E+00,-1.046E-03,2.742E+00,2.724E+00,1.474E-01,3.086E+00
4,0.000E+00,2.269E-02,0.000E+00,4.395E-07,1.006E-05,2.446E-04,2.273E-02,6.809E-02,3.543E+00,1.743E+00,-4.712E-02,1.650E+00,1.631E+00,3.142E+00,-3.806E-03,2.417E+00,2.361E+00,7.286E-02,5.606E+00,1.863E+00,-8.796E-02,1.844E+00,1.153E+00,3.142E+00,-5.864E-04,2.280E+00,2.269E+00,1.049E-01,4.002E+00,1.669E+00,-4.549E-02,2.007E+00,1.684E+00,3.142E+00,-1.011E-03,2.739E+00,2.721E+00,1.475E-01,3.085E+00
5,0.000E+00,2.274E-02,0.000E+00,3.906E-07,1.016E-05,2.445E-04,2.277E-02,6.823E-02,3.550E+00,1.741E+00,-5.714E-02,1.707E+00,1.635E+00,3.142E+00,-3.588E-03,2.404E+00,2.351E+00,7.291E-02,5.602E+00,1.864E+00,-1.007E-01,1.922E+00,1.150E+00,3.142E+00,2.029E-04,2.266E+00,2.266E+00,1.046E-01,4.011E+00,1.667E+00,-4.668E-02,2.006E+00,1.701E+00,3.142E+00,-9.746E-04,2.736E+00,2.719E+00,1.476E-01,3.083E+00
6,0.000E+00,2.282E-02,0.000E+00,2.930E-07,1.035E-05,2.443E-04,2.286E-02,6.851E-02,3.564E+00,1.740E+00,-7.720E-02,1.820E+00,1.644E+00,3.142E+00,-3.152E-03,2.377E+00,2.331E+00,7.302E-02,5.595E+00,1.868E+00,-1.263E-01,2.077E+00,1.144E+00,3.142E+00,1.782E-03,2.237E+00,2.259E+00,1.041E-01,4.030E+00,1.664E+00,-4.906E-02,2.006E+00,1.734E+00,3.142E+00,-9.029E-04,2.730E+00,2.714E+00,1.477E-01,3.080E+00
7,0.000E+00,2.291E-02,0.000E+00,1.953E-07,1.055E-05,2.441E-04,2.295E-02,6.878E-02,3.578E+00,1.739E+00,-9.726E-02,1.934E+00,1.652E+00,3.142E+00,-2.716E-03,2.351E+00,2.312E+00,7.312E-02,5.587E+00,1.873E+00,-1.519E-01,2.232E+00,1.138E+00,3.142E+00,3.360E-03,2.209E+00,2.252E+00,1.036E-01,4.049E+00,1.660E+00,-5.144E-02,2.005E+00,1.768E+00,3.142E+00,-8.312E-04,2.724E+00,2.709E+00,1.479E-01,3.077E+00
8,0.000E+00,2.299E-02,0.000E+00,9.766E-08,1.074E-05,2.439E-04,2.304E-02,6.906E-02,3.591E+00,1.738E+00,-1.173E-01,2.047E+00,1.661E+00,3.142E+00,-2.280E-03,2.324E+00,2.292E+00,7.323E-02,5.580E+00,1.879E+00,-1.774E-01,2.387E+00,1.131E+00,3.142E+00,4.939E-03,2.181E+00,2.245E+00,1.030E-01,4.067E+00,1.657E+00,-5.382E-02,2.004E+00,1.801E+00,3.142E+00,-7.594E-04,2.717E+00,2.704E+00,1.480E-01,3.074E+00
9,0.000E+00,2.304E-02,0.000E+00,4.883E-08,1.084E-05,2.438E-04,2.308E-02,6.920E-02,3.598E+00,1.739E+00,-1.273E-01,2.104E+00,1.665E+00,3.142E+00,-2.062E-03,2.311E+00,2.282E+00,7.328E-02,5.576E+00,1.883E+00,-1.902E-01,2.464E+00,1.128E+00,3.142E+00,5.728E-03,2.166E+00,2.242E+00,1.028E-01,4.077E+00,1.655E+00,-5.501E-02,2.004E+00,1.818E+00,3.142E+00,-7.236E-04,2.714E+00,2.702E+00,1.481E-01,3.072E+00
