alpha,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,8.611E-03,6.730E-03,0.000E+00,8.856E-03,1.186E-02,0.000E+00,7.812E-07,1.093E-02,4.020E-02,1.893E+00,1.842E+00,2.770E-02,1.250E+00,1.332E+00,3.142E+00,-2.350E-03,2.452E+00,2.417E+00,1.250E-01,3.473E+00,1.728E+00,-7.336E-02,2.183E+00,1.414E+00,3.142E+00,8.430E-04,2.549E+00,2.562E+00,2.571E-01,1.791E+00,1.775E+00,-3.879E-02,1.768E+00,1.339E+00,3.142E+00,-1.118E-03,2.558E+00,2.541E+00,1.284E-01,3.519E+00,1.930E+00,-5.902E-02,1.639E+00,9.520E-01,3.142E+00,5.231E-03,2.134E+00,2.202E+00,8.141E-02,5.279E+00
1,0.000E+00,0.000E+00,8.664E-03,6.697E-03,0.000E+00,8.879E-03,1.187E-02,0.000E+00,9.766E-07,1.103E-02,4.045E-02,1.901E+00,1.807E+00,-5.121E-03,1.421E+00,1.333E+00,3.142E+00,-2.604E-03,2.452E+00,2.414E+00,1.250E-01,3.475E+00,1.724E+00,-8.147E-02,2.231E+00,1.437E+00,3.142E+00,3.555E-04,2.571E+00,2.576E+00,2.580E-01,1.785E+00,1.765E+00,-4.719E-02,1.808E+00,1.390E+00,3.142E+00,-6.167E-04,2.547E+00,2.537E+00,1.285E-01,3.517E+00,1.913E+00,-8.766E-02,1.854E+00,9.830E-01,3.142E+00,4.159E-03,2.162E+00,2.216E+00,8.188E-02,5.251E+00
2,0.000E+00,0.000E+00,8.716E-03,6.664E-03,0.000E+00,8.901E-03,1.188E-02,0.000E+00,1.172E-06,1.113E-02,4.069E-02,1.909E+00,1.808E+00,-3.794E-02,1.592E+00,1.334E+00,3.142E+00,-2.858E-03,2.452E+00,2.410E+00,1.249E-01,3.476E+00,1.721E+00,-8.958E-02,2.280E+00,1.459E+00,3.142E+00,-1.320E-04,2.592E+00,2.589E+00,2.588E-01,1.780E+00,1.756E+00,-5.559E-02,1.848E+00,1.440E+00,3.142E+00,-1.150E-04,2.536E+00,2.534E+00,1.286E-01,3.515E+00,1.899E+00,-1.163E-01,2.068E+00,1.014E+00,3.142E+00,3.088E-03,2.190E+00,2.229E+00,8.236E-02,5.224E+00
3,0.000E+00,0.000E+00,8.769E-03,6.631E-03,0.000E+00,8.923E-03,1.189E-02,0.000E+00,1.367E-06,1.122E-02,4.094E-02,1.917E+00,1.811E+00,-7.077E-02,1.763E+00,1.335E+00,3.142E+00,-3.112E-03,2.452E+00,2.406E+00,1.248E-01,3.478E+00,1.717E+00,-9.769E-02,2.329E+00,1.481E+00,3.142E+00,-6.195E-04,2.613E+00,2.602E+00,2.596E-01,1.775E+00,1.746E+00,-6.398E-02,1.888E+00,1.491E+00,3.142E+00,3.867E-04,2.525E+00,2.530E+00,1.287E-01,3.512E+00,1.888E+00,-1.449E-01,2.283E+00,1.045E+00,3.142E+00,2.016E-03,2.218E+00,2.243E+00,8.283E-02,5.197E+00
4,0.000E+00,0.000E+00,8.795E-03,6.615E-03,0.000E+00,8.935E-03,1.190E-02,0.000E+00,1.465E-06,1.127E-02,4.106E-02,1.921E+00,1.813E+00,-8.718E-02,1.849E+00,1.335E+00,3.142E+00,-3.239E-03,2.453E+00,2.404E+00,1.248E-01,3.479E+00,1.715E+00,-1.017E-01,2.353E+00,1.492E+00,3.142E+00,-8.632E-04,2.624E+00,2.609E+00,2.600E-01,1.772E+00,1.742E+00,-6.818E-02,1.908E+00,1.516E+00,3.142E+00,6.376E-04,2.519E+00,2.529E+00,1.287E-01,3.511E+00,1.883E+00,-1.593E-01,2.390E+00,1.060E+00,3.142E+00,1.480E-03,2.232E+00,2.250E+00,8.307E-02,5.183E+00
5,0.000E+00,0.000E+00,8.821E-03,6.598E-03,0.000E+00,8.946E-03,1.190E-02,0.000E+00,1.562E-06,1.132E-02,4.119E-02,1.926E+00,1.815E+00,-1.036E-01,1.934E+00,1.336E+00,3.142E+00,-3.366E-03,2.453E+00,2.403E+00,1.248E-01,3.480E+00,1.714E+00,-1.058E-01,2.378E+00,1.503E+00,3.142E+00,-1.107E-03,2.635E+00,2.616E+00,2.604E-01,1.769E+00,1.738E+00,-7.238E-02,1.928E+00,1.541E+00,3.142E+00,8.884E-04,2.514E+00,2.527E+00,1.288E-01,3.510E+00,1.879E+00,-1.736E-01,2.497E+00,1.076E+00,3.142E+00,9.447E-04,2.246E+00,2.256E+00,8.331E-02,5.169E+00
6,0.000E+00,0.000E+00,8.874E-03,6.566E-03,0.000E+00,8.968E-03,1.191E-02,0.000E+00,1.758E-06,1.141E-02,4.143E-02,1.934E+00,1.821E+00,-1.364E-01,2.106E+00,1.337E+00,3.142E+00,-3.620E-03,2.453E+00,2.399E+00,1.247E-01,3.482E+00,1.711E+00,-1.139E-01,2.427E+00,1.526E+00,3.142E+00,-1.594E-03,2.656E+00,2.629E+00,2.612E-01,1.764E+00,1.729E+00,-8.078E-02,1.968E+00,1.591E+00,3.142E+00,1.390E-03,2.502E+00,2.523E+00,1.289E-01,3.508E+00,1.872E+00,-2.022E-01,2.711E+00,1.107E+00,3.142E+00,-1.268E-04,2.274E+00,2.270E+00,8.379E-02,5.142E+00
7,0.000E+00,0.000E+00,8.927E-03,6.533E-03,0.000E+00,8.990E-03,1.192E-02,0.000E+00,1.953E-06,1.151E-02,4.168E-02,1.942E+00,1.828E+00,-1.692E-01,2.277E+00,1.338E+00,3.142E+00,-3.874E-03,2.453E+00,2.395E+00,1.246E-01,3.484E+00,1.707E+00,-1.220E-01,2.475E+00,1.548E+00,3.142E+00,-2.082E-03,2.678E+00,2.642E+00,2.620E-01,1.759E+00,1.721E+00,-8.918E-02,2.008E+00,1.642E+00,3.142E+00,1.892E-03,2.491E+00,2.520E+00,1.289E-01,3.506E+00,1.866E+00,-2.309E-01,2.926E+00,1.138E+00,3.142E+00,-1.198E-03,2.302E+00,2.283E+00,8.426E-02,5.114E+00
8,0.000E+00,0.000E+00,8.979E-03,6.500E-03,0.000E+00,9.013E-03,1.194E-02,0.000E+00,2.148E-06,1.160E-02,4.192E-02,1.950E+00,1.836E+00,-2.021E-01,2.448E+00,1.338E+00,3.142E+00,-4.128E-03,2.453E+00,2.392E+00,1.246E-01,3.486E+00,1.704E+00,-1.301E-01,2.524E+00,1.570E+00,3.142E+00,-2.569E-03,2.699E+00,2.656E+00,2.628E-01,1.754E+00,1.713E+00,-9.757E-02,2.048E+00,1.692E+00,3.142E+00,2.394E-03,2.480E+00,2.517E+00,1.290E-01,3.504E+00,1.862E+00,-2.595E-01,3.140E+00,1.169E+00,3.142E+00,-2.270E-03,2.330E+00,2.297E+00,8.474E-02,5.087E+00
9,0.000E+00,0.000E+00,9.006E-03,6.484E-03,0.000E+00,9.024E-03,1.194E-02,0.000E+00,2.246E-06,1.165E-02,4.205E-02,1.954E+00,1.840E+00,-2.185E-01,2.533E+00,1.339E+00,3.142E+00,-4.255E-03,2.453E+00,2.390E+00,1.245E-01,3.486E+00,1.703E+00,-1.342E-01,2.549E+00,1.581E+00,3.142E+00,-2.813E-03,2.710E+00,2.662E+00,2.632E-01,1.751E+00,1.709E+00,-1.018E-01,2.069E+00,1.718E+00,3.142E+00,2.644E-03,2.474E+00,2.515E+00,1.291E-01,3.503E+00,1.860E+00,-2.738E-01,3.248E+00,1.184E+00,3.142E+00,-2.805E-03,2.343E+00,2.303E+00,8.498E-02,5.073E+00
10,0.000E+00,0.000E+00,9.032E-03,6.467E-03,0.000E+00,9.035E-03,1.195E-02,0.000E+00,2.344E-06,1.170E-02,4.217E-02,1.958E+00,1.844E+00,-2.349E-01,2.619E+00,1.339E+00,3.142E+00,-4.382E-03,2.453E+00,2.388E+00,1.245E-01,3.487E+00,1.702E+00,-1.382E-01,2.573E+00,1.592E+00,3.142E+00,-3.057E-03,2.721E+00,2.669E+00,2.636E-01,1.748E+00,1.705E+00,-1.060E-01,2.089E+00,1.743E+00,3.142E+00,2.895E-03,2.469E+00,2.513E+00,1.291E-01,3.502E+00,1.858E+00,-2.882E-01,3.355E+00,1.200E+00,3.142E+00,-3.341E-03,2.357E+00,2.310E+00,8.521E-02,5.060E+00
11,0.000E+00,0.000E+00,9.246E-03,6.583E-03,0.000E+00,9.230E-03,1.217E-02,0.000E+00,2.539E-06,1.197E-02,4.308E-02,2.000E+00,1.837E+00,-2.400E-01,2.663E+00,1.365E+00,3.142E+00,-7.489E-04,2.400E+00,2.384E+00,1.246E-01,3.484E+00,1.706E+00,-1.451E-01,2.610E+00,1.581E+00,3.142E+00,-9.267E-04,2.664E+00,2.644E+00,2.655E-01,1.737E+00,1.704E+00,-1.132E-01,2.127E+00,1.756E+00,3.142E+00,2.388E-03,2.486E+00,2.523E+00,1.291E-01,3.503E+00,1.852E+00,-3.004E-01,3.460E+00,1.226E+00,3.142E+00,-2.695E-03,2.337E+00,2.299E+00,8.439E-02,5.109E+00
