alpha,He,Fe,Si,O,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,3.182E-02,1.565E-02,6.264E-02,3.219E+00,1.889E+00,3.059E-02,1.033E+00,1.385E+00,3.142E+00,1.604E-03,2.153E+00,2.174E+00,1.051E-01,3.994E+00,1.774E+00,-1.620E-02,1.564E+00,1.402E+00,3.142E+00,1.813E-03,2.428E+00,2.455E+00,2.074E-01,2.225E+00,1.858E+00,-1.579E-01,2.578E+00,1.063E+00,3.142E+00,-7.502E-03,2.483E+00,2.372E+00,9.822E-02,4.432E+00
1,0.000E+00,3.197E-02,1.573E-02,6.296E-02,3.235E+00,1.840E+00,-1.181E-02,1.333E+00,1.313E+00,3.142E+00,3.479E-03,2.125E+00,2.168E+00,1.041E-01,4.029E+00,1.769E+00,-1.691E-02,1.547E+00,1.446E+00,3.142E+00,1.747E-03,2.423E+00,2.449E+00,2.074E-01,2.226E+00,1.845E+00,-1.523E-01,2.480E+00,1.122E+00,3.142E+00,-6.580E-03,2.458E+00,2.360E+00,9.814E-02,4.436E+00
2,0.000E+00,3.212E-02,1.581E-02,6.329E-02,3.251E+00,1.841E+00,-5.422E-02,1.634E+00,1.241E+00,3.142E+00,5.355E-03,2.096E+00,2.162E+00,1.032E-01,4.063E+00,1.764E+00,-1.762E-02,1.529E+00,1.490E+00,3.142E+00,1.681E-03,2.419E+00,2.444E+00,2.074E-01,2.226E+00,1.834E+00,-1.467E-01,2.383E+00,1.182E+00,3.142E+00,-5.657E-03,2.433E+00,2.349E+00,9.805E-02,4.440E+00
3,0.000E+00,3.227E-02,1.588E-02,6.362E-02,3.266E+00,1.852E+00,-9.663E-02,1.934E+00,1.169E+00,3.142E+00,7.230E-03,2.067E+00,2.155E+00,1.023E-01,4.098E+00,1.759E+00,-1.834E-02,1.511E+00,1.534E+00,3.142E+00,1.615E-03,2.414E+00,2.438E+00,2.074E-01,2.226E+00,1.825E+00,-1.410E-01,2.286E+00,1.242E+00,3.142E+00,-4.735E-03,2.407E+00,2.337E+00,9.796E-02,4.443E+00
4,0.000E+00,3.235E-02,1.592E-02,6.378E-02,3.274E+00,1.861E+00,-1.178E-01,2.085E+00,1.133E+00,3.142E+00,8.168E-03,2.053E+00,2.152E+00,1.018E-01,4.115E+00,1.757E+00,-1.869E-02,1.502E+00,1.556E+00,3.142E+00,1.582E-03,2.412E+00,2.436E+00,2.074E-01,2.226E+00,1.821E+00,-1.382E-01,2.237E+00,1.272E+00,3.142E+00,-4.273E-03,2.395E+00,2.332E+00,9.792E-02,4.445E+00
5,0.000E+00,3.242E-02,1.596E-02,6.394E-02,3.282E+00,1.872E+00,-1.390E-01,2.235E+00,1.097E+00,3.142E+00,9.106E-03,2.038E+00,2.149E+00,1.014E-01,4.132E+00,1.754E+00,-1.905E-02,1.493E+00,1.578E+00,3.142E+00,1.549E-03,2.410E+00,2.433E+00,2.074E-01,2.226E+00,1.817E+00,-1.354E-01,2.188E+00,1.301E+00,3.142E+00,-3.812E-03,2.382E+00,2.326E+00,9.788E-02,4.447E+00
6,0.000E+00,3.257E-02,1.604E-02,6.427E-02,3.298E+00,1.899E+00,-1.814E-01,2.536E+00,1.025E+00,3.142E+00,1.098E-02,2.010E+00,2.143E+00,1.004E-01,4.167E+00,1.750E+00,-1.976E-02,1.476E+00,1.622E+00,3.142E+00,1.484E-03,2.405E+00,2.427E+00,2.074E-01,2.226E+00,1.811E+00,-1.298E-01,2.091E+00,1.361E+00,3.142E+00,-2.889E-03,2.357E+00,2.314E+00,9.779E-02,4.451E+00
7,0.000E+00,3.272E-02,1.611E-02,6.460E-02,3.314E+00,1.931E+00,-2.238E-01,2.836E+00,9.532E-01,3.142E+00,1.286E-02,1.981E+00,2.137E+00,9.952E-02,4.201E+00,1.747E+00,-2.048E-02,1.458E+00,1.667E+00,3.142E+00,1.418E-03,2.401E+00,2.422E+00,2.073E-01,2.226E+00,1.805E+00,-1.241E-01,1.994E+00,1.421E+00,3.142E+00,-1.967E-03,2.332E+00,2.303E+00,9.771E-02,4.454E+00
8,0.000E+00,3.287E-02,1.619E-02,6.492E-02,3.329E+00,1.969E+00,-2.662E-01,3.137E+00,8.812E-01,3.142E+00,1.473E-02,1.952E+00,2.130E+00,9.859E-02,4.236E+00,1.743E+00,-2.119E-02,1.440E+00,1.711E+00,3.142E+00,1.352E-03,2.396E+00,2.416E+00,2.073E-01,2.226E+00,1.802E+00,-1.185E-01,1.896E+00,1.481E+00,3.142E+00,-1.044E-03,2.307E+00,2.292E+00,9.762E-02,4.458E+00
9,0.000E+00,3.295E-02,1.623E-02,6.509E-02,3.337E+00,1.991E+00,-2.875E-01,3.287E+00,8.453E-01,3.142E+00,1.567E-02,1.938E+00,2.127E+00,9.813E-02,4.253E+00,1.741E+00,-2.155E-02,1.431E+00,1.733E+00,3.142E+00,1.319E-03,2.394E+00,2.414E+00,2.073E-01,2.226E+00,1.800E+00,-1.157E-01,1.848E+00,1.510E+00,3.142E+00,-5.829E-04,2.294E+00,2.286E+00,9.758E-02,4.460E+00
