alpha,He,Mg,Si,O,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,3.225E-02,1.624E-02,6.440E-02,2.270E+00,1.798E+00,-4.282E-03,1.419E+00,1.373E+00,3.142E+00,1.775E-03,2.410E+00,2.436E+00,3.758E-01,1.242E+00,1.870E+00,3.628E-02,1.069E+00,1.421E+00,3.142E+00,7.984E-04,2.292E+00,2.303E+00,2.018E-01,2.284E+00,2.072E+00,5.994E-02,7.449E-01,1.020E+00,3.142E+00,-4.033E-03,2.233E+00,2.180E+00,9.815E-02,4.436E+00
1,0.000E+00,3.248E-02,1.630E-02,6.481E-02,2.284E+00,1.793E+00,-3.206E-02,1.612E+00,1.353E+00,3.142E+00,1.217E-03,2.411E+00,2.430E+00,3.756E-01,1.243E+00,1.839E+00,1.428E-02,1.188E+00,1.414E+00,3.142E+00,1.211E-03,2.287E+00,2.304E+00,2.021E-01,2.281E+00,2.022E+00,2.496E-02,9.175E-01,1.011E+00,3.142E+00,-4.188E-03,2.224E+00,2.169E+00,9.788E-02,4.447E+00
2,0.000E+00,3.272E-02,1.637E-02,6.522E-02,2.298E+00,1.793E+00,-5.983E-02,1.805E+00,1.333E+00,3.142E+00,6.594E-04,2.413E+00,2.423E+00,3.753E-01,1.244E+00,1.820E+00,-7.734E-03,1.307E+00,1.407E+00,3.142E+00,1.623E-03,2.283E+00,2.305E+00,2.025E-01,2.278E+00,1.985E+00,-1.003E-02,1.090E+00,1.002E+00,3.142E+00,-4.343E-03,2.214E+00,2.157E+00,9.761E-02,4.459E+00
3,0.000E+00,3.295E-02,1.644E-02,6.563E-02,2.312E+00,1.795E+00,-8.760E-02,1.998E+00,1.313E+00,3.142E+00,1.015E-04,2.414E+00,2.416E+00,3.751E-01,1.245E+00,1.819E+00,-2.974E-02,1.426E+00,1.400E+00,3.142E+00,2.036E-03,2.278E+00,2.306E+00,2.028E-01,2.274E+00,1.984E+00,-4.501E-02,1.263E+00,9.925E-01,3.142E+00,-4.497E-03,2.204E+00,2.146E+00,9.734E-02,4.471E+00
4,0.000E+00,3.307E-02,1.647E-02,6.583E-02,2.320E+00,1.796E+00,-1.015E-01,2.095E+00,1.303E+00,3.142E+00,-1.774E-04,2.414E+00,2.412E+00,3.750E-01,1.245E+00,1.819E+00,-4.075E-02,1.486E+00,1.396E+00,3.142E+00,2.242E-03,2.275E+00,2.306E+00,2.029E-01,2.273E+00,1.984E+00,-6.250E-02,1.349E+00,9.880E-01,3.142E+00,-4.574E-03,2.200E+00,2.140E+00,9.720E-02,4.476E+00
5,0.000E+00,3.318E-02,1.650E-02,6.604E-02,2.327E+00,1.799E+00,-1.154E-01,2.191E+00,1.293E+00,3.142E+00,-4.563E-04,2.415E+00,2.409E+00,3.748E-01,1.246E+00,1.819E+00,-5.175E-02,1.545E+00,1.393E+00,3.142E+00,2.448E-03,2.273E+00,2.307E+00,2.031E-01,2.271E+00,1.985E+00,-8.000E-02,1.435E+00,9.834E-01,3.142E+00,-4.652E-03,2.195E+00,2.135E+00,9.707E-02,4.482E+00
6,0.000E+00,3.342E-02,1.657E-02,6.644E-02,2.341E+00,1.806E+00,-1.431E-01,2.385E+00,1.273E+00,3.142E+00,-1.014E-03,2.416E+00,2.402E+00,3.746E-01,1.246E+00,1.820E+00,-7.376E-02,1.664E+00,1.386E+00,3.142E+00,2.860E-03,2.268E+00,2.308E+00,2.034E-01,2.268E+00,1.989E+00,-1.150E-01,1.608E+00,9.743E-01,3.142E+00,-4.806E-03,2.185E+00,2.123E+00,9.679E-02,4.494E+00
7,0.000E+00,3.365E-02,1.664E-02,6.685E-02,2.355E+00,1.814E+00,-1.709E-01,2.578E+00,1.253E+00,3.142E+00,-1.572E-03,2.418E+00,2.395E+00,3.743E-01,1.247E+00,1.822E+00,-9.577E-02,1.783E+00,1.379E+00,3.142E+00,3.273E-03,2.264E+00,2.309E+00,2.037E-01,2.265E+00,1.996E+00,-1.500E-01,1.780E+00,9.651E-01,3.142E+00,-4.961E-03,2.176E+00,2.112E+00,9.652E-02,4.506E+00
8,0.000E+00,3.389E-02,1.670E-02,6.726E-02,2.369E+00,1.824E+00,-1.987E-01,2.771E+00,1.233E+00,3.142E+00,-2.130E-03,2.419E+00,2.388E+00,3.741E-01,1.248E+00,1.826E+00,-1.178E-01,1.902E+00,1.372E+00,3.142E+00,3.685E-03,2.259E+00,2.310E+00,2.040E-01,2.261E+00,2.005E+00,-1.849E-01,1.953E+00,9.560E-01,3.142E+00,-5.115E-03,2.166E+00,2.101E+00,9.625E-02,4.517E+00
9,0.000E+00,3.400E-02,1.674E-02,6.747E-02,2.376E+00,1.830E+00,-2.126E-01,2.867E+00,1.223E+00,3.142E+00,-2.409E-03,2.420E+00,2.384E+00,3.740E-01,1.248E+00,1.828E+00,-1.288E-01,1.962E+00,1.368E+00,3.142E+00,3.891E-03,2.256E+00,2.310E+00,2.041E-01,2.260E+00,2.010E+00,-2.024E-01,2.039E+00,9.514E-01,3.142E+00,-5.193E-03,2.161E+00,2.095E+00,9.612E-02,4.523E+00
