alpha,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,1.876E-02,6.336E-03,0.000E+00,0.000E+00,2.097E-05,1.270E-02,5.708E-02,2.873E+00,1.861E+00,5.317E-02,1.039E+00,1.500E+00,3.142E+00,-2.357E-03,2.333E+00,2.300E+00,1.023E-01,4.093E+00,1.711E+00,-5.659E-02,2.164E+00,1.424E+00,3.142E+00,9.963E-04,2.673E+00,2.690E+00,1.291E-01,3.501E+00,1.868E+00,6.352E-02,9.785E-01,1.551E+00,3.142E+00,7.476E-04,2.262E+00,2.272E+00,6.917E-02,5.915E+00
1,0.000E+00,1.889E-02,6.339E-03,0.000E+00,0.000E+00,2.102E-05,1.282E-02,5.743E-02,2.892E+00,1.823E+00,2.121E-02,1.214E+00,1.458E+00,3.142E+00,-2.166E-03,2.329E+00,2.299E+00,1.021E-01,4.101E+00,1.708E+00,-6.193E-02,2.178E+00,1.454E+00,3.142E+00,1.004E-03,2.672E+00,2.689E+00,1.288E-01,3.510E+00,1.807E+00,2.750E-02,1.218E+00,1.529E+00,3.142E+00,1.209E-03,2.258E+00,2.275E+00,6.897E-02,5.930E+00
2,0.000E+00,1.902E-02,6.342E-03,0.000E+00,0.000E+00,2.107E-05,1.295E-02,5.778E-02,2.912E+00,1.802E+00,-1.076E-02,1.390E+00,1.416E+00,3.142E+00,-1.974E-03,2.326E+00,2.298E+00,1.019E-01,4.109E+00,1.705E+00,-6.728E-02,2.192E+00,1.483E+00,3.142E+00,1.011E-03,2.672E+00,2.689E+00,1.285E-01,3.518E+00,1.765E+00,-8.522E-03,1.457E+00,1.508E+00,3.142E+00,1.670E-03,2.254E+00,2.277E+00,6.878E-02,5.945E+00
3,0.000E+00,1.916E-02,6.345E-03,0.000E+00,0.000E+00,2.112E-05,1.308E-02,5.814E-02,2.931E+00,1.809E+00,-4.272E-02,1.566E+00,1.374E+00,3.142E+00,-1.783E-03,2.322E+00,2.297E+00,1.017E-01,4.117E+00,1.702E+00,-7.262E-02,2.206E+00,1.513E+00,3.142E+00,1.019E-03,2.672E+00,2.689E+00,1.282E-01,3.526E+00,1.761E+00,-4.454E-02,1.697E+00,1.486E+00,3.142E+00,2.131E-03,2.250E+00,2.279E+00,6.859E-02,5.960E+00
4,0.000E+00,1.922E-02,6.346E-03,0.000E+00,0.000E+00,2.115E-05,1.314E-02,5.831E-02,2.941E+00,1.814E+00,-5.870E-02,1.654E+00,1.352E+00,3.142E+00,-1.687E-03,2.321E+00,2.297E+00,1.016E-01,4.121E+00,1.700E+00,-7.529E-02,2.213E+00,1.528E+00,3.142E+00,1.023E-03,2.671E+00,2.689E+00,1.280E-01,3.531E+00,1.760E+00,-6.255E-02,1.817E+00,1.476E+00,3.142E+00,2.362E-03,2.248E+00,2.280E+00,6.849E-02,5.968E+00
5,0.000E+00,1.929E-02,6.348E-03,0.000E+00,0.000E+00,2.118E-05,1.321E-02,5.849E-02,2.950E+00,1.820E+00,-7.469E-02,1.742E+00,1.331E+00,3.142E+00,-1.591E-03,2.319E+00,2.297E+00,1.014E-01,4.125E+00,1.699E+00,-7.796E-02,2.221E+00,1.542E+00,3.142E+00,1.027E-03,2.671E+00,2.688E+00,1.278E-01,3.535E+00,1.761E+00,-8.056E-02,1.936E+00,1.465E+00,3.142E+00,2.593E-03,2.246E+00,2.281E+00,6.840E-02,5.975E+00
6,0.000E+00,1.942E-02,6.351E-03,0.000E+00,0.000E+00,2.123E-05,1.334E-02,5.884E-02,2.970E+00,1.833E+00,-1.067E-01,1.917E+00,1.289E+00,3.142E+00,-1.400E-03,2.316E+00,2.296E+00,1.012E-01,4.133E+00,1.696E+00,-8.331E-02,2.235E+00,1.572E+00,3.142E+00,1.034E-03,2.671E+00,2.688E+00,1.275E-01,3.543E+00,1.766E+00,-1.166E-01,2.176E+00,1.443E+00,3.142E+00,3.054E-03,2.242E+00,2.283E+00,6.820E-02,5.991E+00
7,0.000E+00,1.956E-02,6.353E-03,0.000E+00,0.000E+00,2.128E-05,1.346E-02,5.920E-02,2.989E+00,1.849E+00,-1.386E-01,2.093E+00,1.247E+00,3.142E+00,-1.208E-03,2.312E+00,2.295E+00,1.010E-01,4.141E+00,1.693E+00,-8.865E-02,2.249E+00,1.602E+00,3.142E+00,1.042E-03,2.670E+00,2.688E+00,1.272E-01,3.552E+00,1.773E+00,-1.526E-01,2.415E+00,1.422E+00,3.142E+00,3.515E-03,2.238E+00,2.286E+00,6.801E-02,6.006E+00
8,0.000E+00,1.969E-02,6.356E-03,0.000E+00,0.000E+00,2.133E-05,1.359E-02,5.955E-02,3.008E+00,1.866E+00,-1.706E-01,2.269E+00,1.204E+00,3.142E+00,-1.017E-03,2.309E+00,2.295E+00,1.008E-01,4.149E+00,1.691E+00,-9.400E-02,2.263E+00,1.631E+00,3.142E+00,1.049E-03,2.670E+00,2.688E+00,1.269E-01,3.560E+00,1.783E+00,-1.886E-01,2.655E+00,1.400E+00,3.142E+00,3.976E-03,2.234E+00,2.288E+00,6.782E-02,6.021E+00
9,0.000E+00,1.976E-02,6.358E-03,0.000E+00,0.000E+00,2.136E-05,1.366E-02,5.973E-02,3.018E+00,1.876E+00,-1.866E-01,2.357E+00,1.183E+00,3.142E+00,-9.212E-04,2.307E+00,2.294E+00,1.007E-01,4.153E+00,1.689E+00,-9.667E-02,2.270E+00,1.646E+00,3.142E+00,1.053E-03,2.670E+00,2.687E+00,1.267E-01,3.564E+00,1.789E+00,-2.066E-01,2.775E+00,1.389E+00,3.142E+00,4.207E-03,2.232E+00,2.289E+00,6.772E-02,6.029E+00
