alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.243E-02,0.000E+00,6.534E-03,0.000E+00,0.000E+00,0.000E+00,5.750E-03,2.173E-02,1.234E-02,2.728E-02,1.748E+00,1.869E+00,2.061E-02,1.202E+00,1.268E+00,3.142E+00,2.810E-03,2.326E+00,2.367E+00,1.007E-01,4.338E+00,1.741E+00,-8.507E-02,2.243E+00,1.375E+00,3.142E+00,6.986E-03,2.497E+00,2.608E+00,3.631E-01,1.286E+00,1.769E+00,-1.563E-02,1.642E+00,1.353E+00,3.142E+00,2.604E-03,2.491E+00,2.532E+00,1.376E-01,3.296E+00,1.979E+00,6.138E-02,8.870E-01,1.178E+00,3.142E+00,-3.393E-03,2.327E+00,2.280E+00,9.373E-02,4.630E+00
1,0.000E+00,1.252E-02,0.000E+00,6.580E-03,0.000E+00,9.766E-08,1.953E-07,5.809E-03,2.193E-02,1.244E-02,2.744E-02,1.761E+00,1.850E+00,2.418E-02,1.152E+00,1.410E+00,3.142E+00,2.137E-03,2.336E+00,2.367E+00,1.012E-01,4.319E+00,1.715E+00,-7.209E-02,2.139E+00,1.496E+00,3.142E+00,5.960E-03,2.515E+00,2.609E+00,3.606E-01,1.295E+00,1.761E+00,-3.750E-02,1.796E+00,1.371E+00,3.142E+00,2.277E-03,2.496E+00,2.531E+00,1.372E-01,3.305E+00,1.929E+00,2.967E-02,1.052E+00,1.194E+00,3.142E+00,-2.897E-03,2.307E+00,2.267E+00,9.295E-02,4.669E+00
2,0.000E+00,1.260E-02,0.000E+00,6.625E-03,0.000E+00,1.953E-07,3.906E-07,5.868E-03,2.213E-02,1.254E-02,2.760E-02,1.775E+00,1.834E+00,2.776E-02,1.102E+00,1.552E+00,3.142E+00,1.464E-03,2.346E+00,2.367E+00,1.017E-01,4.299E+00,1.692E+00,-5.911E-02,2.036E+00,1.617E+00,3.142E+00,4.934E-03,2.532E+00,2.610E+00,3.581E-01,1.304E+00,1.754E+00,-5.937E-02,1.950E+00,1.389E+00,3.142E+00,1.949E-03,2.500E+00,2.530E+00,1.368E-01,3.314E+00,1.883E+00,-2.037E-03,1.217E+00,1.211E+00,3.142E+00,-2.401E-03,2.288E+00,2.254E+00,9.216E-02,4.707E+00
3,0.000E+00,1.269E-02,0.000E+00,6.670E-03,0.000E+00,2.930E-07,5.859E-07,5.928E-03,2.233E-02,1.263E-02,2.776E-02,1.788E+00,1.822E+00,3.133E-02,1.052E+00,1.694E+00,3.142E+00,7.913E-04,2.356E+00,2.368E+00,1.022E-01,4.280E+00,1.672E+00,-4.613E-02,1.932E+00,1.738E+00,3.142E+00,3.908E-03,2.549E+00,2.611E+00,3.556E-01,1.313E+00,1.749E+00,-8.124E-02,2.104E+00,1.407E+00,3.142E+00,1.622E-03,2.504E+00,2.529E+00,1.364E-01,3.323E+00,1.875E+00,-3.374E-02,1.382E+00,1.227E+00,3.142E+00,-1.905E-03,2.268E+00,2.241E+00,9.138E-02,4.746E+00
4,0.000E+00,1.274E-02,0.000E+00,6.693E-03,0.000E+00,3.418E-07,6.836E-07,5.957E-03,2.243E-02,1.268E-02,2.784E-02,1.794E+00,1.817E+00,3.312E-02,1.026E+00,1.765E+00,3.142E+00,4.549E-04,2.362E+00,2.368E+00,1.025E-01,4.271E+00,1.663E+00,-3.964E-02,1.880E+00,1.798E+00,3.142E+00,3.395E-03,2.558E+00,2.612E+00,3.544E-01,1.318E+00,1.747E+00,-9.217E-02,2.181E+00,1.416E+00,3.142E+00,1.458E-03,2.506E+00,2.529E+00,1.362E-01,3.327E+00,1.872E+00,-4.960E-02,1.464E+00,1.235E+00,3.142E+00,-1.657E-03,2.258E+00,2.235E+00,9.098E-02,4.765E+00
5,0.000E+00,1.278E-02,0.000E+00,6.715E-03,0.000E+00,3.906E-07,7.812E-07,5.987E-03,2.253E-02,1.273E-02,2.792E-02,1.801E+00,1.813E+00,3.491E-02,1.001E+00,1.836E+00,3.142E+00,1.184E-04,2.367E+00,2.368E+00,1.027E-01,4.261E+00,1.655E+00,-3.315E-02,1.828E+00,1.859E+00,3.142E+00,2.882E-03,2.567E+00,2.612E+00,3.531E-01,1.322E+00,1.745E+00,-1.031E-01,2.258E+00,1.425E+00,3.142E+00,1.294E-03,2.508E+00,2.528E+00,1.360E-01,3.332E+00,1.870E+00,-6.545E-02,1.547E+00,1.243E+00,3.142E+00,-1.410E-03,2.249E+00,2.229E+00,9.059E-02,4.785E+00
6,0.000E+00,1.287E-02,0.000E+00,6.760E-03,0.000E+00,4.883E-07,9.766E-07,6.046E-03,2.273E-02,1.283E-02,2.807E-02,1.814E+00,1.806E+00,3.848E-02,9.512E-01,1.978E+00,3.142E+00,-5.544E-04,2.377E+00,2.368E+00,1.032E-01,4.242E+00,1.640E+00,-2.017E-02,1.725E+00,1.980E+00,3.142E+00,1.856E-03,2.584E+00,2.613E+00,3.506E-01,1.331E+00,1.742E+00,-1.250E-01,2.412E+00,1.443E+00,3.142E+00,9.669E-04,2.512E+00,2.527E+00,1.357E-01,3.341E+00,1.867E+00,-9.716E-02,1.712E+00,1.260E+00,3.142E+00,-9.136E-04,2.229E+00,2.216E+00,8.981E-02,4.823E+00
7,0.000E+00,1.296E-02,0.000E+00,6.806E-03,0.000E+00,5.859E-07,1.172E-06,6.105E-03,2.293E-02,1.292E-02,2.823E-02,1.828E+00,1.802E+00,4.206E-02,9.010E-01,2.119E+00,3.142E+00,-1.227E-03,2.387E+00,2.369E+00,1.037E-01,4.223E+00,1.628E+00,-7.187E-03,1.621E+00,2.101E+00,3.142E+00,8.302E-04,2.601E+00,2.614E+00,3.481E-01,1.340E+00,1.740E+00,-1.468E-01,2.566E+00,1.461E+00,3.142E+00,6.394E-04,2.517E+00,2.526E+00,1.353E-01,3.350E+00,1.865E+00,-1.289E-01,1.877E+00,1.276E+00,3.142E+00,-4.177E-04,2.209E+00,2.203E+00,8.902E-02,4.862E+00
8,0.000E+00,1.305E-02,0.000E+00,6.851E-03,0.000E+00,6.836E-07,1.367E-06,6.164E-03,2.313E-02,1.302E-02,2.839E-02,1.841E+00,1.800E+00,4.563E-02,8.508E-01,2.261E+00,3.142E+00,-1.900E-03,2.397E+00,2.369E+00,1.042E-01,4.204E+00,1.625E+00,5.794E-03,1.517E+00,2.222E+00,3.142E+00,-1.959E-04,2.619E+00,2.615E+00,3.456E-01,1.349E+00,1.738E+00,-1.687E-01,2.720E+00,1.479E+00,3.142E+00,3.120E-04,2.521E+00,2.526E+00,1.349E-01,3.359E+00,1.865E+00,-1.606E-01,2.042E+00,1.292E+00,3.142E+00,7.815E-05,2.190E+00,2.190E+00,8.824E-02,4.900E+00
9,0.000E+00,1.310E-02,0.000E+00,6.873E-03,0.000E+00,7.324E-07,1.465E-06,6.194E-03,2.323E-02,1.307E-02,2.847E-02,1.848E+00,1.800E+00,4.742E-02,8.257E-01,2.332E+00,3.142E+00,-2.237E-03,2.402E+00,2.369E+00,1.044E-01,4.195E+00,1.628E+00,1.228E-02,1.465E+00,2.282E+00,3.142E+00,-7.089E-04,2.627E+00,2.616E+00,3.444E-01,1.354E+00,1.738E+00,-1.796E-01,2.797E+00,1.488E+00,3.142E+00,1.483E-04,2.523E+00,2.525E+00,1.347E-01,3.364E+00,1.865E+00,-1.764E-01,2.124E+00,1.300E+00,3.142E+00,3.261E-04,2.180E+00,2.184E+00,8.785E-02,4.920E+00
