alpha,He,K,Al,Si,O,K_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_K,phiTilt_K,phiM_K,phiN_K,thetaK_K,thetaTilt_K,thetaM_K,thetaN_K,energyK_K,energyE_K,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,6.318E-03,0.000E+00,8.851E-03,0.000E+00,0.000E+00,0.000E+00,9.849E-03,3.651E-02,6.347E-03,1.381E-02,1.749E+00,2.024E+00,7.312E-02,8.161E-01,1.087E+00,2.036E+00,3.787E-03,2.232E+00,2.284E+00,9.839E-02,4.434E+00,1.777E+00,5.041E-02,1.173E+00,1.758E+00,1.777E+00,1.876E-02,2.189E+00,2.457E+00,3.819E-01,1.207E+00,1.792E+00,7.610E-03,1.430E+00,1.367E+00,1.792E+00,9.508E-04,2.496E+00,2.511E+00,1.331E-01,3.401E+00,1.948E+00,-1.831E-02,1.271E+00,9.982E-01,1.926E+00,3.283E-03,2.130E+00,2.172E+00,8.612E-02,5.010E+00
1,0.000E+00,6.363E-03,0.000E+00,8.868E-03,0.000E+00,0.000E+00,0.000E+00,9.974E-03,3.685E-02,6.383E-03,1.384E-02,1.761E+00,1.963E+00,4.216E-02,9.913E-01,1.129E+00,1.987E+00,3.898E-03,2.238E+00,2.291E+00,9.855E-02,4.427E+00,1.751E+00,2.931E-02,1.292E+00,1.734E+00,1.758E+00,1.654E-02,2.225E+00,2.461E+00,3.836E-01,1.202E+00,1.773E+00,-1.293E-02,1.568E+00,1.387E+00,1.766E+00,1.061E-03,2.493E+00,2.509E+00,1.329E-01,3.406E+00,1.941E+00,-3.822E-02,1.358E+00,1.030E+00,1.900E+00,3.048E-03,2.136E+00,2.175E+00,8.565E-02,5.036E+00
2,0.000E+00,6.407E-03,0.000E+00,8.886E-03,0.000E+00,0.000E+00,0.000E+00,1.010E-02,3.720E-02,6.419E-03,1.386E-02,1.774E+00,1.904E+00,1.119E-02,1.166E+00,1.170E+00,1.938E+00,4.009E-03,2.243E+00,2.298E+00,9.872E-02,4.421E+00,1.727E+00,8.216E-03,1.411E+00,1.710E+00,1.739E+00,1.433E-02,2.260E+00,2.465E+00,3.854E-01,1.197E+00,1.765E+00,-3.347E-02,1.706E+00,1.407E+00,1.740E+00,1.172E-03,2.489E+00,2.507E+00,1.327E-01,3.410E+00,1.934E+00,-5.813E-02,1.445E+00,1.062E+00,1.875E+00,2.813E-03,2.141E+00,2.178E+00,8.519E-02,5.063E+00
3,0.000E+00,6.452E-03,0.000E+00,8.904E-03,0.000E+00,0.000E+00,0.000E+00,1.023E-02,3.755E-02,6.455E-03,1.388E-02,1.787E+00,1.873E+00,-1.978E-02,1.342E+00,1.211E+00,1.889E+00,4.121E-03,2.249E+00,2.306E+00,9.888E-02,4.414E+00,1.719E+00,-1.288E-02,1.530E+00,1.687E+00,1.721E+00,1.211E-02,2.295E+00,2.468E+00,3.872E-01,1.192E+00,1.757E+00,-5.401E-02,1.844E+00,1.428E+00,1.713E+00,1.283E-03,2.486E+00,2.506E+00,1.326E-01,3.415E+00,1.928E+00,-7.805E-02,1.532E+00,1.094E+00,1.849E+00,2.578E-03,2.147E+00,2.181E+00,8.472E-02,5.089E+00
4,0.000E+00,6.474E-03,0.000E+00,8.913E-03,0.000E+00,0.000E+00,0.000E+00,1.029E-02,3.772E-02,6.473E-03,1.389E-02,1.793E+00,1.865E+00,-3.526E-02,1.429E+00,1.232E+00,1.865E+00,4.176E-03,2.252E+00,2.309E+00,9.897E-02,4.410E+00,1.721E+00,-2.343E-02,1.590E+00,1.675E+00,1.711E+00,1.100E-02,2.313E+00,2.470E+00,3.880E-01,1.189E+00,1.754E+00,-6.428E-02,1.913E+00,1.438E+00,1.700E+00,1.338E-03,2.484E+00,2.505E+00,1.325E-01,3.417E+00,1.925E+00,-8.801E-02,1.575E+00,1.110E+00,1.836E+00,2.460E-03,2.150E+00,2.182E+00,8.448E-02,5.102E+00
5,0.000E+00,6.497E-03,0.000E+00,8.922E-03,0.000E+00,0.000E+00,0.000E+00,1.035E-02,3.789E-02,6.491E-03,1.390E-02,1.799E+00,1.858E+00,-5.074E-02,1.517E+00,1.252E+00,1.841E+00,4.232E-03,2.255E+00,2.313E+00,9.905E-02,4.407E+00,1.723E+00,-3.398E-02,1.649E+00,1.663E+00,1.702E+00,9.895E-03,2.330E+00,2.472E+00,3.889E-01,1.187E+00,1.751E+00,-7.455E-02,1.982E+00,1.448E+00,1.687E+00,1.393E-03,2.482E+00,2.504E+00,1.324E-01,3.419E+00,1.922E+00,-9.796E-02,1.618E+00,1.126E+00,1.823E+00,2.342E-03,2.153E+00,2.183E+00,8.425E-02,5.115E+00
6,0.000E+00,6.541E-03,0.000E+00,8.940E-03,0.000E+00,0.000E+00,0.000E+00,1.048E-02,3.824E-02,6.527E-03,1.392E-02,1.812E+00,1.846E+00,-8.171E-02,1.692E+00,1.294E+00,1.792E+00,4.343E-03,2.260E+00,2.321E+00,9.922E-02,4.400E+00,1.727E+00,-5.508E-02,1.768E+00,1.639E+00,1.683E+00,7.680E-03,2.365E+00,2.476E+00,3.907E-01,1.181E+00,1.747E+00,-9.509E-02,2.120E+00,1.469E+00,1.661E+00,1.504E-03,2.479E+00,2.502E+00,1.322E-01,3.423E+00,1.917E+00,-1.179E-01,1.705E+00,1.158E+00,1.798E+00,2.107E-03,2.159E+00,2.186E+00,8.378E-02,5.142E+00
7,0.000E+00,6.586E-03,0.000E+00,8.958E-03,0.000E+00,0.000E+00,0.000E+00,1.060E-02,3.859E-02,6.563E-03,1.395E-02,1.824E+00,1.836E+00,-1.127E-01,1.867E+00,1.335E+00,1.743E+00,4.455E-03,2.266E+00,2.328E+00,9.938E-02,4.393E+00,1.733E+00,-7.618E-02,1.888E+00,1.615E+00,1.665E+00,5.464E-03,2.400E+00,2.479E+00,3.924E-01,1.176E+00,1.743E+00,-1.156E-01,2.258E+00,1.489E+00,1.635E+00,1.614E-03,2.476E+00,2.500E+00,1.320E-01,3.428E+00,1.912E+00,-1.378E-01,1.792E+00,1.190E+00,1.772E+00,1.872E-03,2.165E+00,2.189E+00,8.331E-02,5.168E+00
8,0.000E+00,6.630E-03,0.000E+00,8.975E-03,0.000E+00,0.000E+00,0.000E+00,1.073E-02,3.893E-02,6.599E-03,1.397E-02,1.837E+00,1.828E+00,-1.436E-01,2.042E+00,1.376E+00,1.694E+00,4.566E-03,2.271E+00,2.335E+00,9.955E-02,4.386E+00,1.739E+00,-9.728E-02,2.007E+00,1.592E+00,1.646E+00,3.249E-03,2.436E+00,2.483E+00,3.942E-01,1.171E+00,1.740E+00,-1.362E-01,2.396E+00,1.509E+00,1.609E+00,1.725E-03,2.472E+00,2.499E+00,1.319E-01,3.432E+00,1.907E+00,-1.577E-01,1.879E+00,1.222E+00,1.746E+00,1.637E-03,2.170E+00,2.192E+00,8.285E-02,5.195E+00
9,0.000E+00,6.653E-03,0.000E+00,8.984E-03,0.000E+00,0.000E+00,0.000E+00,1.079E-02,3.911E-02,6.617E-03,1.398E-02,1.843E+00,1.824E+00,-1.591E-01,2.130E+00,1.397E+00,1.670E+00,4.622E-03,2.274E+00,2.339E+00,9.963E-02,4.383E+00,1.743E+00,-1.078E-01,2.066E+00,1.580E+00,1.637E+00,2.141E-03,2.453E+00,2.485E+00,3.951E-01,1.168E+00,1.738E+00,-1.464E-01,2.464E+00,1.520E+00,1.596E+00,1.780E-03,2.471E+00,2.498E+00,1.318E-01,3.434E+00,1.905E+00,-1.677E-01,1.922E+00,1.238E+00,1.733E+00,1.520E-03,2.173E+00,2.193E+00,8.261E-02,5.208E+00
10,0.000E+00,6.675E-03,0.000E+00,8.993E-03,0.000E+00,0.000E+00,0.000E+00,1.086E-02,3.928E-02,6.635E-03,1.399E-02,1.850E+00,1.821E+00,-1.746E-01,2.218E+00,1.417E+00,1.646E+00,4.677E-03,2.277E+00,2.343E+00,9.971E-02,4.379E+00,1.747E+00,-1.184E-01,2.126E+00,1.568E+00,1.627E+00,1.033E-03,2.471E+00,2.487E+00,3.960E-01,1.166E+00,1.737E+00,-1.567E-01,2.533E+00,1.530E+00,1.583E+00,1.836E-03,2.469E+00,2.497E+00,1.317E-01,3.436E+00,1.903E+00,-1.776E-01,1.966E+00,1.254E+00,1.720E+00,1.402E-03,2.176E+00,2.194E+00,8.238E-02,5.221E+00
11,0.000E+00,6.803E-03,0.000E+00,9.182E-03,0.000E+00,0.000E+00,0.000E+00,1.107E-02,4.005E-02,6.756E-03,1.423E-02,1.886E+00,1.819E+00,-1.962E-01,2.425E+00,1.395E+00,1.631E+00,4.069E-03,2.287E+00,2.344E+00,9.994E-02,4.370E+00,1.735E+00,-1.196E-01,2.132E+00,1.626E+00,1.616E+00,8.082E-04,2.470E+00,2.482E+00,3.946E-01,1.170E+00,1.735E+00,-1.613E-01,2.546E+00,1.553E+00,1.577E+00,1.545E-03,2.480E+00,2.503E+00,1.314E-01,3.443E+00,1.894E+00,-1.877E-01,2.027E+00,1.284E+00,1.705E+00,1.415E-03,2.178E+00,2.197E+00,8.218E-02,5.233E+00
12,0.000E+00,6.931E-03,0.000E+00,9.370E-03,0.000E+00,0.000E+00,0.000E+00,1.129E-02,4.082E-02,6.878E-03,1.448E-02,1.921E+00,1.819E+00,-2.178E-01,2.632E+00,1.373E+00,1.617E+00,3.461E-03,2.296E+00,2.345E+00,1.002E-01,4.361E+00,1.723E+00,-1.209E-01,2.139E+00,1.685E+00,1.605E+00,5.833E-04,2.469E+00,2.478E+00,3.932E-01,1.174E+00,1.732E+00,-1.659E-01,2.560E+00,1.576E+00,1.571E+00,1.255E-03,2.490E+00,2.509E+00,1.312E-01,3.449E+00,1.886E+00,-1.978E-01,2.089E+00,1.315E+00,1.690E+00,1.428E-03,2.181E+00,2.200E+00,8.197E-02,5.245E+00
13,0.000E+00,7.059E-03,0.000E+00,9.559E-03,0.000E+00,0.000E+00,0.000E+00,1.150E-02,4.159E-02,7.000E-03,1.472E-02,1.957E+00,1.821E+00,-2.394E-01,2.839E+00,1.350E+00,1.603E+00,2.852E-03,2.306E+00,2.346E+00,1.004E-01,4.352E+00,1.712E+00,-1.222E-01,2.146E+00,1.744E+00,1.595E+00,3.585E-04,2.468E+00,2.473E+00,3.918E-01,1.178E+00,1.730E+00,-1.705E-01,2.573E+00,1.599E+00,1.565E+00,9.641E-04,2.501E+00,2.516E+00,1.309E-01,3.455E+00,1.878E+00,-2.080E-01,2.150E+00,1.345E+00,1.675E+00,1.441E-03,2.183E+00,2.202E+00,8.177E-02,5.257E+00
