alpha,He,Ti,S,Ti_1,S_1,amu/ion,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,2.727E-02,0.000E+00,2.452E-02,5.167E-02,4.138E+00,1.736E+00,-2.102E-02,1.659E+00,1.516E+00,3.142E+00,5.425E-03,2.354E+00,2.434E+00,1.547E-01,2.877E+00,1.891E+00,3.267E-02,1.086E+00,1.309E+00,3.142E+00,-3.730E-03,2.266E+00,2.216E+00,7.991E-02,5.188E+00
1,0.000E+00,2.742E-02,0.000E+00,2.465E-02,5.193E-02,4.159E+00,1.736E+00,-2.240E-02,1.639E+00,1.543E+00,3.142E+00,4.898E-03,2.364E+00,2.436E+00,1.545E-01,2.880E+00,1.869E+00,1.697E-02,1.153E+00,1.325E+00,3.142E+00,-3.288E-03,2.271E+00,2.226E+00,7.983E-02,5.192E+00
2,0.000E+00,2.756E-02,0.000E+00,2.478E-02,5.219E-02,4.181E+00,1.736E+00,-2.378E-02,1.619E+00,1.571E+00,3.142E+00,4.371E-03,2.375E+00,2.439E+00,1.543E-01,2.884E+00,1.847E+00,1.274E-03,1.221E+00,1.341E+00,3.142E+00,-2.845E-03,2.275E+00,2.237E+00,7.975E-02,5.197E+00
3,0.000E+00,2.771E-02,0.000E+00,2.491E-02,5.245E-02,4.202E+00,1.736E+00,-2.516E-02,1.600E+00,1.598E+00,3.142E+00,3.843E-03,2.385E+00,2.442E+00,1.541E-01,2.887E+00,1.843E+00,-1.443E-02,1.288E+00,1.357E+00,3.142E+00,-2.402E-03,2.280E+00,2.248E+00,7.968E-02,5.202E+00
4,0.000E+00,2.779E-02,0.000E+00,2.497E-02,5.258E-02,4.213E+00,1.736E+00,-2.585E-02,1.590E+00,1.612E+00,3.142E+00,3.580E-03,2.390E+00,2.443E+00,1.540E-01,2.889E+00,1.842E+00,-2.228E-02,1.322E+00,1.365E+00,3.142E+00,-2.181E-03,2.282E+00,2.253E+00,7.964E-02,5.204E+00
5,0.000E+00,2.786E-02,0.000E+00,2.504E-02,5.271E-02,4.224E+00,1.736E+00,-2.654E-02,1.580E+00,1.626E+00,3.142E+00,3.316E-03,2.395E+00,2.444E+00,1.539E-01,2.891E+00,1.841E+00,-3.013E-02,1.356E+00,1.373E+00,3.142E+00,-1.960E-03,2.285E+00,2.258E+00,7.960E-02,5.206E+00
6,0.000E+00,2.801E-02,0.000E+00,2.517E-02,5.297E-02,4.245E+00,1.736E+00,-2.792E-02,1.560E+00,1.653E+00,3.142E+00,2.789E-03,2.406E+00,2.447E+00,1.537E-01,2.894E+00,1.839E+00,-4.583E-02,1.423E+00,1.389E+00,3.142E+00,-1.517E-03,2.289E+00,2.269E+00,7.952E-02,5.211E+00
7,0.000E+00,2.815E-02,0.000E+00,2.529E-02,5.323E-02,4.267E+00,1.736E+00,-2.930E-02,1.540E+00,1.681E+00,3.142E+00,2.262E-03,2.416E+00,2.450E+00,1.535E-01,2.898E+00,1.838E+00,-6.153E-02,1.490E+00,1.405E+00,3.142E+00,-1.075E-03,2.294E+00,2.279E+00,7.944E-02,5.216E+00
8,0.000E+00,2.830E-02,0.000E+00,2.542E-02,5.349E-02,4.288E+00,1.736E+00,-3.068E-02,1.521E+00,1.708E+00,3.142E+00,1.735E-03,2.427E+00,2.452E+00,1.533E-01,2.902E+00,1.836E+00,-7.723E-02,1.558E+00,1.421E+00,3.142E+00,-6.321E-04,2.298E+00,2.290E+00,7.937E-02,5.220E+00
9,0.000E+00,2.837E-02,0.000E+00,2.549E-02,5.362E-02,4.299E+00,1.737E+00,-3.137E-02,1.511E+00,1.722E+00,3.142E+00,1.471E-03,2.432E+00,2.454E+00,1.532E-01,2.903E+00,1.836E+00,-8.508E-02,1.592E+00,1.429E+00,3.142E+00,-4.108E-04,2.301E+00,2.295E+00,7.933E-02,5.222E+00
