alpha,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,9.415E-03,0.000E+00,1.711E-02,2.267E-02,7.792E-03,2.815E-02,1.982E+00,1.849E+00,-3.940E-02,1.581E+00,1.189E+00,3.142E+00,1.152E-02,2.135E+00,2.289E+00,1.279E-01,3.399E+00,1.732E+00,-1.230E-02,1.613E+00,1.532E+00,3.142E+00,2.964E-03,2.477E+00,2.523E+00,1.307E-01,3.460E+00,1.838E+00,2.572E-02,1.107E+00,1.527E+00,3.142E+00,-7.645E-04,2.208E+00,2.197E+00,8.590E-02,5.022E+00
1,0.000E+00,0.000E+00,9.423E-03,0.000E+00,1.723E-02,2.272E-02,7.890E-03,2.844E-02,1.995E+00,1.838E+00,-5.459E-02,1.657E+00,1.236E+00,3.142E+00,9.778E-03,2.174E+00,2.304E+00,1.269E-01,3.427E+00,1.733E+00,-3.106E-02,1.742E+00,1.510E+00,3.142E+00,2.589E-03,2.483E+00,2.523E+00,1.304E-01,3.468E+00,1.824E+00,4.256E-03,1.190E+00,1.486E+00,3.142E+00,-7.890E-04,2.220E+00,2.209E+00,8.599E-02,5.017E+00
2,0.000E+00,0.000E+00,9.432E-03,0.000E+00,1.735E-02,2.277E-02,7.989E-03,2.873E-02,2.009E+00,1.828E+00,-6.978E-02,1.733E+00,1.283E+00,3.142E+00,8.037E-03,2.213E+00,2.319E+00,1.259E-01,3.455E+00,1.736E+00,-4.982E-02,1.870E+00,1.487E+00,3.142E+00,2.214E-03,2.490E+00,2.524E+00,1.301E-01,3.476E+00,1.831E+00,-1.720E-02,1.272E+00,1.444E+00,3.142E+00,-8.136E-04,2.232E+00,2.221E+00,8.607E-02,5.013E+00
3,0.000E+00,0.000E+00,9.440E-03,0.000E+00,1.747E-02,2.282E-02,8.087E-03,2.902E-02,2.022E+00,1.819E+00,-8.497E-02,1.809E+00,1.330E+00,3.142E+00,6.295E-03,2.252E+00,2.334E+00,1.248E-01,3.482E+00,1.739E+00,-6.858E-02,1.998E+00,1.464E+00,3.142E+00,1.839E-03,2.497E+00,2.525E+00,1.298E-01,3.484E+00,1.844E+00,-3.866E-02,1.354E+00,1.403E+00,3.142E+00,-8.382E-04,2.244E+00,2.233E+00,8.615E-02,5.008E+00
4,0.000E+00,0.000E+00,9.445E-03,0.000E+00,1.754E-02,2.284E-02,8.136E-03,2.917E-02,2.029E+00,1.814E+00,-9.256E-02,1.848E+00,1.353E+00,3.142E+00,5.424E-03,2.271E+00,2.342E+00,1.243E-01,3.496E+00,1.741E+00,-7.796E-02,2.062E+00,1.453E+00,3.142E+00,1.652E-03,2.500E+00,2.525E+00,1.297E-01,3.488E+00,1.851E+00,-4.940E-02,1.395E+00,1.382E+00,3.142E+00,-8.505E-04,2.250E+00,2.239E+00,8.620E-02,5.006E+00
5,0.000E+00,0.000E+00,9.449E-03,0.000E+00,1.760E-02,2.287E-02,8.185E-03,2.931E-02,2.035E+00,1.810E+00,-1.002E-01,1.886E+00,1.376E+00,3.142E+00,4.553E-03,2.290E+00,2.349E+00,1.238E-01,3.510E+00,1.744E+00,-8.734E-02,2.127E+00,1.441E+00,3.142E+00,1.464E-03,2.503E+00,2.526E+00,1.295E-01,3.492E+00,1.858E+00,-6.013E-02,1.437E+00,1.361E+00,3.142E+00,-8.627E-04,2.256E+00,2.244E+00,8.624E-02,5.004E+00
6,0.000E+00,0.000E+00,9.457E-03,0.000E+00,1.772E-02,2.292E-02,8.283E-03,2.960E-02,2.049E+00,1.801E+00,-1.153E-01,1.962E+00,1.423E+00,3.142E+00,2.812E-03,2.329E+00,2.364E+00,1.227E-01,3.537E+00,1.750E+00,-1.061E-01,2.255E+00,1.419E+00,3.142E+00,1.089E-03,2.510E+00,2.526E+00,1.292E-01,3.499E+00,1.873E+00,-8.159E-02,1.519E+00,1.320E+00,3.142E+00,-8.873E-04,2.268E+00,2.256E+00,8.632E-02,4.999E+00
7,0.000E+00,0.000E+00,9.466E-03,0.000E+00,1.784E-02,2.297E-02,8.382E-03,2.989E-02,2.062E+00,1.793E+00,-1.305E-01,2.038E+00,1.470E+00,3.142E+00,1.070E-03,2.368E+00,2.379E+00,1.217E-01,3.565E+00,1.757E+00,-1.249E-01,2.383E+00,1.396E+00,3.142E+00,7.145E-04,2.516E+00,2.527E+00,1.289E-01,3.507E+00,1.889E+00,-1.030E-01,1.601E+00,1.278E+00,3.142E+00,-9.119E-04,2.281E+00,2.268E+00,8.640E-02,4.995E+00
8,0.000E+00,0.000E+00,9.474E-03,0.000E+00,1.797E-02,2.302E-02,8.480E-03,3.019E-02,2.076E+00,1.786E+00,-1.457E-01,2.114E+00,1.517E+00,3.142E+00,-6.714E-04,2.406E+00,2.394E+00,1.206E-01,3.593E+00,1.764E+00,-1.436E-01,2.511E+00,1.373E+00,3.142E+00,3.396E-04,2.523E+00,2.528E+00,1.286E-01,3.515E+00,1.905E+00,-1.245E-01,1.684E+00,1.237E+00,3.142E+00,-9.364E-04,2.293E+00,2.280E+00,8.649E-02,4.990E+00
9,0.000E+00,0.000E+00,9.479E-03,0.000E+00,1.803E-02,2.305E-02,8.529E-03,3.033E-02,2.082E+00,1.782E+00,-1.533E-01,2.153E+00,1.541E+00,3.142E+00,-1.542E-03,2.426E+00,2.402E+00,1.201E-01,3.606E+00,1.768E+00,-1.530E-01,2.576E+00,1.362E+00,3.142E+00,1.521E-04,2.526E+00,2.528E+00,1.284E-01,3.519E+00,1.914E+00,-1.352E-01,1.725E+00,1.216E+00,3.142E+00,-9.487E-04,2.299E+00,2.286E+00,8.653E-02,4.988E+00
