alpha,H,He,Cr,S,Cr_1,S_1,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,3.351E-03,9.766E-07,4.560E-03,1.044E-02,7.465E-01,1.780E+00,-3.922E-03,1.427E+00,1.442E+00,3.142E+00,-3.424E-05,2.349E+00,2.349E+00,5.061E-02,4.561E+00,1.700E+00,-4.931E-02,1.952E+00,1.590E+00,3.142E+00,-3.065E-03,2.620E+00,2.570E+00,1.274E-01,2.555E+00
1,0.000E+00,0.000E+00,3.351E-03,8.545E-07,4.584E-03,1.049E-02,7.495E-01,1.778E+00,-9.634E-03,1.444E+00,1.464E+00,3.142E+00,-7.822E-04,2.363E+00,2.351E+00,5.082E-02,4.548E+00,1.698E+00,-4.801E-02,1.928E+00,1.615E+00,3.142E+00,-3.221E-03,2.631E+00,2.578E+00,1.269E-01,2.564E+00
2,0.000E+00,0.000E+00,3.351E-03,7.324E-07,4.608E-03,1.055E-02,7.525E-01,1.776E+00,-1.535E-02,1.461E+00,1.486E+00,3.142E+00,-1.530E-03,2.376E+00,2.354E+00,5.103E-02,4.536E+00,1.695E+00,-4.671E-02,1.904E+00,1.640E+00,3.142E+00,-3.378E-03,2.642E+00,2.587E+00,1.264E-01,2.572E+00
3,0.000E+00,0.000E+00,3.351E-03,6.104E-07,4.632E-03,1.060E-02,7.556E-01,1.774E+00,-2.106E-02,1.478E+00,1.507E+00,3.142E+00,-2.278E-03,2.390E+00,2.357E+00,5.124E-02,4.523E+00,1.693E+00,-4.541E-02,1.879E+00,1.666E+00,3.142E+00,-3.534E-03,2.653E+00,2.595E+00,1.259E-01,2.580E+00
4,0.000E+00,0.000E+00,3.351E-03,5.493E-07,4.644E-03,1.063E-02,7.571E-01,1.773E+00,-2.391E-02,1.486E+00,1.518E+00,3.142E+00,-2.652E-03,2.397E+00,2.358E+00,5.134E-02,4.517E+00,1.692E+00,-4.476E-02,1.867E+00,1.678E+00,3.142E+00,-3.612E-03,2.658E+00,2.599E+00,1.256E-01,2.585E+00
5,0.000E+00,0.000E+00,3.352E-03,4.883E-07,4.656E-03,1.066E-02,7.586E-01,1.773E+00,-2.677E-02,1.495E+00,1.529E+00,3.142E+00,-3.026E-03,2.404E+00,2.359E+00,5.145E-02,4.510E+00,1.691E+00,-4.411E-02,1.855E+00,1.691E+00,3.142E+00,-3.690E-03,2.664E+00,2.603E+00,1.254E-01,2.589E+00
6,0.000E+00,0.000E+00,3.352E-03,3.662E-07,4.680E-03,1.071E-02,7.616E-01,1.771E+00,-3.248E-02,1.512E+00,1.551E+00,3.142E+00,-3.774E-03,2.417E+00,2.362E+00,5.166E-02,4.498E+00,1.689E+00,-4.281E-02,1.831E+00,1.716E+00,3.142E+00,-3.846E-03,2.675E+00,2.611E+00,1.249E-01,2.597E+00
7,0.000E+00,0.000E+00,3.352E-03,2.441E-07,4.705E-03,1.077E-02,7.646E-01,1.769E+00,-3.820E-02,1.529E+00,1.573E+00,3.142E+00,-4.522E-03,2.431E+00,2.364E+00,5.187E-02,4.485E+00,1.687E+00,-4.150E-02,1.806E+00,1.741E+00,3.142E+00,-4.002E-03,2.686E+00,2.619E+00,1.244E-01,2.606E+00
8,0.000E+00,0.000E+00,3.352E-03,1.221E-07,4.729E-03,1.082E-02,7.677E-01,1.767E+00,-4.391E-02,1.546E+00,1.595E+00,3.142E+00,-5.270E-03,2.445E+00,2.367E+00,5.208E-02,4.472E+00,1.686E+00,-4.020E-02,1.782E+00,1.766E+00,3.142E+00,-4.158E-03,2.697E+00,2.628E+00,1.239E-01,2.614E+00
9,0.000E+00,0.000E+00,3.352E-03,6.104E-08,4.741E-03,1.085E-02,7.692E-01,1.766E+00,-4.676E-02,1.554E+00,1.606E+00,3.142E+00,-5.644E-03,2.451E+00,2.368E+00,5.218E-02,4.466E+00,1.685E+00,-3.955E-02,1.770E+00,1.779E+00,3.142E+00,-4.237E-03,2.703E+00,2.632E+00,1.236E-01,2.618E+00
10,0.000E+00,0.000E+00,3.353E-03,0.000E+00,4.753E-03,1.088E-02,7.707E-01,1.765E+00,-4.962E-02,1.563E+00,1.617E+00,3.142E+00,-6.018E-03,2.458E+00,2.369E+00,5.229E-02,4.460E+00,1.684E+00,-3.890E-02,1.757E+00,1.791E+00,3.142E+00,-4.315E-03,2.708E+00,2.636E+00,1.234E-01,2.622E+00
11,0.000E+00,0.000E+00,3.409E-03,0.000E+00,4.803E-03,1.101E-02,7.805E-01,1.767E+00,-5.309E-02,1.559E+00,1.628E+00,3.142E+00,-5.581E-03,2.452E+00,2.370E+00,5.207E-02,4.473E+00,1.683E+00,-4.545E-02,1.775E+00,1.819E+00,3.142E+00,-3.920E-03,2.689E+00,2.624E+00,1.237E-01,2.616E+00
12,0.000E+00,0.000E+00,3.465E-03,0.000E+00,4.854E-03,1.115E-02,7.902E-01,1.770E+00,-5.656E-02,1.555E+00,1.639E+00,3.142E+00,-5.145E-03,2.446E+00,2.371E+00,5.185E-02,4.486E+00,1.682E+00,-5.200E-02,1.793E+00,1.847E+00,3.142E+00,-3.525E-03,2.670E+00,2.611E+00,1.241E-01,2.610E+00
13,0.000E+00,0.000E+00,3.521E-03,0.000E+00,4.905E-03,1.128E-02,7.999E-01,1.772E+00,-6.003E-02,1.551E+00,1.650E+00,3.142E+00,-4.708E-03,2.440E+00,2.371E+00,5.164E-02,4.499E+00,1.681E+00,-5.855E-02,1.811E+00,1.874E+00,3.142E+00,-3.130E-03,2.651E+00,2.599E+00,1.245E-01,2.603E+00
