alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,4.557E-03,0.000E+00,0.000E+00,5.664E-05,2.197E-04,2.288E-03,9.019E-03,4.703E-01,1.836E+00,5.640E-03,1.262E+00,1.343E+00,3.142E+00,-3.177E-03,2.427E+00,2.381E+00,5.878E-02,4.026E+00,1.637E+00,-1.315E-02,1.897E+00,1.774E+00,3.142E+00,-3.458E-03,2.815E+00,2.754E+00,1.099E-01,3.223E+00,1.724E+00,4.067E-02,1.299E+00,1.886E+00,3.142E+00,9.967E-04,2.442E+00,2.457E+00,5.250E-02,5.239E+00
1,0.000E+00,0.000E+00,4.576E-03,0.000E+00,0.000E+00,5.444E-05,2.089E-04,2.295E-03,9.085E-03,4.722E-01,1.819E+00,-5.177E-03,1.337E+00,1.368E+00,3.142E+00,-2.925E-03,2.416E+00,2.373E+00,5.871E-02,4.030E+00,1.639E+00,-1.509E-02,1.882E+00,1.792E+00,3.142E+00,-3.373E-03,2.806E+00,2.747E+00,1.096E-01,3.229E+00,1.727E+00,3.987E-02,1.278E+00,1.900E+00,3.142E+00,7.613E-04,2.449E+00,2.461E+00,5.282E-02,5.216E+00
2,0.000E+00,0.000E+00,4.595E-03,0.000E+00,0.000E+00,5.225E-05,1.980E-04,2.301E-03,9.152E-03,4.740E-01,1.808E+00,-1.599E-02,1.412E+00,1.392E+00,3.142E+00,-2.673E-03,2.405E+00,2.366E+00,5.863E-02,4.033E+00,1.640E+00,-1.704E-02,1.867E+00,1.809E+00,3.142E+00,-3.287E-03,2.797E+00,2.740E+00,1.094E-01,3.235E+00,1.730E+00,3.907E-02,1.258E+00,1.915E+00,3.142E+00,5.260E-04,2.456E+00,2.464E+00,5.315E-02,5.192E+00
3,0.000E+00,0.000E+00,4.615E-03,0.000E+00,0.000E+00,5.005E-05,1.871E-04,2.308E-03,9.219E-03,4.759E-01,1.799E+00,-2.681E-02,1.487E+00,1.416E+00,3.142E+00,-2.421E-03,2.394E+00,2.358E+00,5.856E-02,4.037E+00,1.642E+00,-1.898E-02,1.851E+00,1.827E+00,3.142E+00,-3.202E-03,2.789E+00,2.733E+00,1.092E-01,3.241E+00,1.732E+00,3.827E-02,1.237E+00,1.929E+00,3.142E+00,2.907E-04,2.464E+00,2.468E+00,5.347E-02,5.169E+00
4,0.000E+00,0.000E+00,4.624E-03,0.000E+00,0.000E+00,4.895E-05,1.817E-04,2.311E-03,9.252E-03,4.769E-01,1.794E+00,-3.222E-02,1.524E+00,1.428E+00,3.142E+00,-2.294E-03,2.388E+00,2.354E+00,5.852E-02,4.038E+00,1.642E+00,-1.996E-02,1.844E+00,1.836E+00,3.142E+00,-3.160E-03,2.784E+00,2.729E+00,1.090E-01,3.244E+00,1.734E+00,3.787E-02,1.227E+00,1.937E+00,3.142E+00,1.730E-04,2.467E+00,2.470E+00,5.363E-02,5.158E+00
5,0.000E+00,0.000E+00,4.634E-03,0.000E+00,0.000E+00,4.785E-05,1.763E-04,2.314E-03,9.285E-03,4.778E-01,1.790E+00,-3.763E-02,1.562E+00,1.440E+00,3.142E+00,-2.168E-03,2.382E+00,2.351E+00,5.849E-02,4.040E+00,1.643E+00,-2.093E-02,1.836E+00,1.845E+00,3.142E+00,-3.117E-03,2.780E+00,2.726E+00,1.089E-01,3.247E+00,1.736E+00,3.747E-02,1.216E+00,1.944E+00,3.142E+00,5.532E-05,2.471E+00,2.471E+00,5.380E-02,5.146E+00
6,0.000E+00,0.000E+00,4.653E-03,0.000E+00,0.000E+00,4.565E-05,1.654E-04,2.321E-03,9.352E-03,4.797E-01,1.781E+00,-4.844E-02,1.637E+00,1.464E+00,3.142E+00,-1.916E-03,2.371E+00,2.343E+00,5.841E-02,4.044E+00,1.645E+00,-2.288E-02,1.821E+00,1.862E+00,3.142E+00,-3.032E-03,2.771E+00,2.719E+00,1.087E-01,3.254E+00,1.739E+00,3.666E-02,1.195E+00,1.958E+00,3.142E+00,-1.800E-04,2.478E+00,2.475E+00,5.412E-02,5.123E+00
7,0.000E+00,0.000E+00,4.672E-03,0.000E+00,0.000E+00,4.346E-05,1.545E-04,2.328E-03,9.418E-03,4.816E-01,1.773E+00,-5.926E-02,1.711E+00,1.488E+00,3.142E+00,-1.664E-03,2.360E+00,2.336E+00,5.834E-02,4.047E+00,1.646E+00,-2.482E-02,1.805E+00,1.880E+00,3.142E+00,-2.947E-03,2.762E+00,2.711E+00,1.084E-01,3.260E+00,1.742E+00,3.586E-02,1.175E+00,1.973E+00,3.142E+00,-4.154E-04,2.485E+00,2.479E+00,5.444E-02,5.100E+00
8,0.000E+00,0.000E+00,4.692E-03,0.000E+00,0.000E+00,4.126E-05,1.437E-04,2.334E-03,9.485E-03,4.835E-01,1.765E+00,-7.007E-02,1.786E+00,1.513E+00,3.142E+00,-1.412E-03,2.348E+00,2.328E+00,5.827E-02,4.051E+00,1.648E+00,-2.677E-02,1.790E+00,1.898E+00,3.142E+00,-2.862E-03,2.754E+00,2.704E+00,1.082E-01,3.266E+00,1.745E+00,3.506E-02,1.154E+00,1.987E+00,3.142E+00,-6.507E-04,2.492E+00,2.482E+00,5.477E-02,5.076E+00
9,0.000E+00,0.000E+00,4.701E-03,0.000E+00,0.000E+00,4.016E-05,1.382E-04,2.338E-03,9.518E-03,4.845E-01,1.762E+00,-7.548E-02,1.824E+00,1.525E+00,3.142E+00,-1.286E-03,2.343E+00,2.324E+00,5.823E-02,4.052E+00,1.649E+00,-2.774E-02,1.782E+00,1.907E+00,3.142E+00,-2.819E-03,2.749E+00,2.701E+00,1.080E-01,3.269E+00,1.747E+00,3.466E-02,1.144E+00,1.994E+00,3.142E+00,-7.684E-04,2.496E+00,2.484E+00,5.493E-02,5.065E+00
10,0.000E+00,0.000E+00,4.711E-03,0.000E+00,0.000E+00,3.906E-05,1.328E-04,2.341E-03,9.552E-03,4.854E-01,1.758E+00,-8.089E-02,1.861E+00,1.537E+00,3.142E+00,-1.159E-03,2.337E+00,2.321E+00,5.819E-02,4.054E+00,1.650E+00,-2.871E-02,1.775E+00,1.916E+00,3.142E+00,-2.777E-03,2.745E+00,2.697E+00,1.079E-01,3.272E+00,1.749E+00,3.426E-02,1.133E+00,2.001E+00,3.142E+00,-8.860E-04,2.500E+00,2.486E+00,5.509E-02,5.053E+00
11,0.000E+00,0.000E+00,4.782E-03,0.000E+00,0.000E+00,3.650E-05,1.255E-04,2.390E-03,9.672E-03,4.926E-01,1.765E+00,-9.103E-02,1.887E+00,1.535E+00,3.142E+00,-1.941E-03,2.368E+00,2.339E+00,5.820E-02,4.054E+00,1.649E+00,-4.062E-02,1.853E+00,1.916E+00,3.142E+00,-2.865E-03,2.753E+00,2.704E+00,1.077E-01,3.278E+00,1.744E+00,2.942E-02,1.146E+00,2.008E+00,3.142E+00,-1.223E-03,2.496E+00,2.478E+00,5.479E-02,5.074E+00
12,0.000E+00,0.000E+00,4.854E-03,0.000E+00,0.000E+00,3.394E-05,1.182E-04,2.439E-03,9.793E-03,4.998E-01,1.771E+00,-1.012E-01,1.912E+00,1.533E+00,3.142E+00,-2.722E-03,2.399E+00,2.357E+00,5.821E-02,4.053E+00,1.647E+00,-5.252E-02,1.931E+00,1.916E+00,3.142E+00,-2.954E-03,2.761E+00,2.710E+00,1.074E-01,3.284E+00,1.740E+00,2.458E-02,1.158E+00,2.015E+00,3.142E+00,-1.559E-03,2.493E+00,2.469E+00,5.450E-02,5.096E+00
13,0.000E+00,0.000E+00,4.926E-03,0.000E+00,0.000E+00,3.137E-05,1.108E-04,2.489E-03,9.913E-03,5.070E-01,1.777E+00,-1.113E-01,1.938E+00,1.531E+00,3.142E+00,-3.504E-03,2.429E+00,2.376E+00,5.822E-02,4.053E+00,1.647E+00,-6.442E-02,2.009E+00,1.916E+00,3.142E+00,-3.042E-03,2.769E+00,2.717E+00,1.072E-01,3.291E+00,1.735E+00,1.974E-02,1.171E+00,2.021E+00,3.142E+00,-1.896E-03,2.490E+00,2.461E+00,5.420E-02,5.117E+00
14,0.000E+00,0.000E+00,4.961E-03,0.000E+00,0.000E+00,3.009E-05,1.072E-04,2.513E-03,9.973E-03,5.106E-01,1.780E+00,-1.164E-01,1.950E+00,1.530E+00,3.142E+00,-3.895E-03,2.445E+00,2.385E+00,5.823E-02,4.053E+00,1.647E+00,-7.038E-02,2.048E+00,1.916E+00,3.142E+00,-3.087E-03,2.774E+00,2.720E+00,1.071E-01,3.294E+00,1.733E+00,1.732E-02,1.177E+00,2.025E+00,3.142E+00,-2.064E-03,2.488E+00,2.457E+00,5.405E-02,5.128E+00
15,0.000E+00,0.000E+00,4.997E-03,0.000E+00,0.000E+00,2.881E-05,1.035E-04,2.538E-03,1.003E-02,5.142E-01,1.783E+00,-1.215E-01,1.963E+00,1.529E+00,3.142E+00,-4.285E-03,2.460E+00,2.394E+00,5.823E-02,4.052E+00,1.646E+00,-7.633E-02,2.087E+00,1.916E+00,3.142E+00,-3.131E-03,2.778E+00,2.723E+00,1.070E-01,3.297E+00,1.730E+00,1.490E-02,1.183E+00,2.028E+00,3.142E+00,-2.232E-03,2.486E+00,2.453E+00,5.390E-02,5.138E+00
16,0.000E+00,0.000E+00,5.069E-03,0.000E+00,0.000E+00,2.625E-05,9.619E-05,2.587E-03,1.015E-02,5.214E-01,1.789E+00,-1.316E-01,1.989E+00,1.527E+00,3.142E+00,-5.067E-03,2.491E+00,2.413E+00,5.824E-02,4.052E+00,1.646E+00,-8.823E-02,2.165E+00,1.916E+00,3.142E+00,-3.219E-03,2.786E+00,2.730E+00,1.067E-01,3.303E+00,1.726E+00,1.006E-02,1.196E+00,2.035E+00,3.142E+00,-2.569E-03,2.483E+00,2.444E+00,5.360E-02,5.160E+00
17,0.000E+00,0.000E+00,5.140E-03,0.000E+00,0.000E+00,2.368E-05,8.887E-05,2.637E-03,1.027E-02,5.286E-01,1.795E+00,-1.417E-01,2.014E+00,1.526E+00,3.142E+00,-5.848E-03,2.522E+00,2.431E+00,5.825E-02,4.051E+00,1.647E+00,-1.001E-01,2.244E+00,1.916E+00,3.142E+00,-3.308E-03,2.794E+00,2.736E+00,1.065E-01,3.309E+00,1.721E+00,5.213E-03,1.209E+00,2.041E+00,3.142E+00,-2.905E-03,2.480E+00,2.436E+00,5.330E-02,5.181E+00
