alpha,H,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,2.613E-03,0.000E+00,1.894E-03,8.346E-03,2.601E-01,1.735E+00,-4.203E-02,1.880E+00,1.445E+00,3.142E+00,-2.222E-04,2.556E+00,2.552E+00,1.144E-01,3.116E+00,1.793E+00,1.840E-02,1.251E+00,1.559E+00,3.142E+00,-3.702E-03,2.447E+00,2.392E+00,6.159E-02,4.645E+00
1,0.000E+00,0.000E+00,2.617E-03,0.000E+00,1.918E-03,8.392E-03,2.617E-01,1.733E+00,-5.078E-02,1.909E+00,1.474E+00,3.142E+00,-6.626E-04,2.570E+00,2.559E+00,1.141E-01,3.121E+00,1.774E+00,7.115E-04,1.339E+00,1.545E+00,3.142E+00,-3.305E-03,2.442E+00,2.393E+00,6.128E-02,4.663E+00
2,0.000E+00,0.000E+00,2.621E-03,0.000E+00,1.942E-03,8.438E-03,2.632E-01,1.731E+00,-5.954E-02,1.939E+00,1.503E+00,3.142E+00,-1.103E-03,2.585E+00,2.567E+00,1.139E-01,3.126E+00,1.776E+00,-1.698E-02,1.428E+00,1.530E+00,3.142E+00,-2.908E-03,2.437E+00,2.394E+00,6.096E-02,4.682E+00
3,0.000E+00,0.000E+00,2.625E-03,0.000E+00,1.967E-03,8.484E-03,2.647E-01,1.729E+00,-6.829E-02,1.968E+00,1.532E+00,3.142E+00,-1.543E-03,2.599E+00,2.574E+00,1.137E-01,3.132E+00,1.779E+00,-3.467E-02,1.516E+00,1.516E+00,3.142E+00,-2.511E-03,2.433E+00,2.395E+00,6.065E-02,4.701E+00
4,0.000E+00,0.000E+00,2.627E-03,0.000E+00,1.979E-03,8.508E-03,2.655E-01,1.728E+00,-7.267E-02,1.983E+00,1.546E+00,3.142E+00,-1.764E-03,2.607E+00,2.578E+00,1.136E-01,3.134E+00,1.781E+00,-4.351E-02,1.560E+00,1.509E+00,3.142E+00,-2.313E-03,2.430E+00,2.396E+00,6.049E-02,4.710E+00
5,0.000E+00,0.000E+00,2.629E-03,0.000E+00,1.991E-03,8.531E-03,2.662E-01,1.727E+00,-7.704E-02,1.997E+00,1.561E+00,3.142E+00,-1.984E-03,2.614E+00,2.581E+00,1.135E-01,3.137E+00,1.783E+00,-5.236E-02,1.604E+00,1.502E+00,3.142E+00,-2.114E-03,2.428E+00,2.396E+00,6.034E-02,4.719E+00
6,0.000E+00,0.000E+00,2.633E-03,0.000E+00,2.016E-03,8.577E-03,2.678E-01,1.725E+00,-8.580E-02,2.027E+00,1.590E+00,3.142E+00,-2.424E-03,2.628E+00,2.588E+00,1.132E-01,3.142E+00,1.788E+00,-7.005E-02,1.693E+00,1.487E+00,3.142E+00,-1.717E-03,2.423E+00,2.397E+00,6.002E-02,4.738E+00
7,0.000E+00,0.000E+00,2.637E-03,0.000E+00,2.040E-03,8.623E-03,2.693E-01,1.724E+00,-9.455E-02,2.056E+00,1.619E+00,3.142E+00,-2.865E-03,2.643E+00,2.596E+00,1.130E-01,3.147E+00,1.793E+00,-8.774E-02,1.781E+00,1.473E+00,3.142E+00,-1.320E-03,2.418E+00,2.398E+00,5.971E-02,4.756E+00
8,0.000E+00,0.000E+00,2.641E-03,0.000E+00,2.064E-03,8.670E-03,2.708E-01,1.722E+00,-1.033E-01,2.086E+00,1.648E+00,3.142E+00,-3.305E-03,2.657E+00,2.603E+00,1.128E-01,3.152E+00,1.798E+00,-1.054E-01,1.869E+00,1.459E+00,3.142E+00,-9.232E-04,2.413E+00,2.400E+00,5.940E-02,4.775E+00
9,0.000E+00,0.000E+00,2.643E-03,0.000E+00,2.077E-03,8.693E-03,2.716E-01,1.721E+00,-1.077E-01,2.100E+00,1.662E+00,3.142E+00,-3.525E-03,2.665E+00,2.606E+00,1.127E-01,3.155E+00,1.801E+00,-1.143E-01,1.914E+00,1.452E+00,3.142E+00,-7.247E-04,2.411E+00,2.400E+00,5.924E-02,4.784E+00
