alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,0.000E+00,2.758E-03,3.828E-04,0.000E+00,0.000E+00,0.000E+00,5.360E-03,1.117E-02,4.014E-01,1.763E+00,-1.848E-02,1.567E+00,1.463E+00,3.142E+00,-1.091E-03,2.520E+00,2.503E+00,8.930E-02,3.508E+00,1.699E+00,-3.014E-02,1.764E+00,1.655E+00,3.142E+00,-7.452E-03,2.819E+00,2.690E+00,2.116E-01,1.744E+00,1.720E+00,2.536E-02,1.467E+00,1.684E+00,3.142E+00,-3.743E-03,2.726E+00,2.663E+00,1.226E-01,2.937E+00
1,0.000E+00,0.000E+00,2.776E-03,3.885E-04,0.000E+00,0.000E+00,2.441E-07,5.401E-03,1.127E-02,4.045E-01,1.762E+00,-2.832E-02,1.615E+00,1.471E+00,3.142E+00,-1.494E-03,2.531E+00,2.508E+00,8.948E-02,3.502E+00,1.693E+00,-2.946E-02,1.748E+00,1.700E+00,3.142E+00,-6.544E-03,2.792E+00,2.678E+00,2.109E-01,1.749E+00,1.697E+00,1.137E-02,1.547E+00,1.716E+00,3.142E+00,-3.515E-03,2.716E+00,2.657E+00,1.228E-01,2.934E+00
2,0.000E+00,0.000E+00,2.794E-03,3.943E-04,0.000E+00,0.000E+00,4.883E-07,5.441E-03,1.136E-02,4.076E-01,1.762E+00,-3.817E-02,1.664E+00,1.479E+00,3.142E+00,-1.897E-03,2.543E+00,2.513E+00,8.966E-02,3.496E+00,1.687E+00,-2.877E-02,1.731E+00,1.744E+00,3.142E+00,-5.635E-03,2.765E+00,2.667E+00,2.103E-01,1.753E+00,1.678E+00,-2.618E-03,1.628E+00,1.749E+00,3.142E+00,-3.287E-03,2.707E+00,2.651E+00,1.229E-01,2.931E+00
3,0.000E+00,0.000E+00,2.813E-03,4.000E-04,0.000E+00,0.000E+00,7.324E-07,5.482E-03,1.146E-02,4.108E-01,1.761E+00,-4.801E-02,1.713E+00,1.488E+00,3.142E+00,-2.300E-03,2.554E+00,2.518E+00,8.984E-02,3.491E+00,1.681E+00,-2.809E-02,1.715E+00,1.789E+00,3.142E+00,-4.727E-03,2.738E+00,2.655E+00,2.097E-01,1.758E+00,1.672E+00,-1.661E-02,1.709E+00,1.781E+00,3.142E+00,-3.059E-03,2.697E+00,2.645E+00,1.231E-01,2.927E+00
4,0.000E+00,0.000E+00,2.822E-03,4.029E-04,0.000E+00,0.000E+00,8.545E-07,5.502E-03,1.151E-02,4.124E-01,1.761E+00,-5.293E-02,1.737E+00,1.492E+00,3.142E+00,-2.501E-03,2.560E+00,2.520E+00,8.993E-02,3.488E+00,1.679E+00,-2.775E-02,1.707E+00,1.812E+00,3.142E+00,-4.273E-03,2.724E+00,2.650E+00,2.094E-01,1.760E+00,1.669E+00,-2.360E-02,1.749E+00,1.798E+00,3.142E+00,-2.945E-03,2.692E+00,2.642E+00,1.232E-01,2.926E+00
5,0.000E+00,0.000E+00,2.831E-03,4.058E-04,0.000E+00,0.000E+00,9.766E-07,5.522E-03,1.156E-02,4.139E-01,1.761E+00,-5.785E-02,1.762E+00,1.496E+00,3.142E+00,-2.703E-03,2.566E+00,2.523E+00,9.003E-02,3.485E+00,1.676E+00,-2.741E-02,1.698E+00,1.834E+00,3.142E+00,-3.819E-03,2.710E+00,2.644E+00,2.091E-01,1.762E+00,1.666E+00,-3.060E-02,1.789E+00,1.814E+00,3.142E+00,-2.831E-03,2.687E+00,2.640E+00,1.232E-01,2.924E+00
6,0.000E+00,0.000E+00,2.849E-03,4.115E-04,0.000E+00,0.000E+00,1.221E-06,5.562E-03,1.165E-02,4.171E-01,1.761E+00,-6.769E-02,1.810E+00,1.504E+00,3.142E+00,-3.106E-03,2.577E+00,2.527E+00,9.021E-02,3.480E+00,1.671E+00,-2.672E-02,1.682E+00,1.879E+00,3.142E+00,-2.910E-03,2.683E+00,2.633E+00,2.084E-01,1.767E+00,1.661E+00,-4.459E-02,1.870E+00,1.846E+00,3.142E+00,-2.603E-03,2.677E+00,2.634E+00,1.234E-01,2.921E+00
7,0.000E+00,0.000E+00,2.868E-03,4.172E-04,0.000E+00,0.000E+00,1.465E-06,5.603E-03,1.175E-02,4.202E-01,1.760E+00,-7.753E-02,1.859E+00,1.512E+00,3.142E+00,-3.508E-03,2.588E+00,2.532E+00,9.039E-02,3.474E+00,1.666E+00,-2.604E-02,1.665E+00,1.924E+00,3.142E+00,-2.002E-03,2.656E+00,2.621E+00,2.078E-01,1.771E+00,1.656E+00,-5.857E-02,1.951E+00,1.879E+00,3.142E+00,-2.375E-03,2.667E+00,2.628E+00,1.236E-01,2.918E+00
8,0.000E+00,0.000E+00,2.886E-03,4.230E-04,0.000E+00,0.000E+00,1.709E-06,5.643E-03,1.185E-02,4.234E-01,1.760E+00,-8.738E-02,1.908E+00,1.521E+00,3.142E+00,-3.911E-03,2.600E+00,2.537E+00,9.057E-02,3.469E+00,1.661E+00,-2.535E-02,1.649E+00,1.969E+00,3.142E+00,-1.093E-03,2.629E+00,2.610E+00,2.072E-01,1.776E+00,1.652E+00,-7.256E-02,2.032E+00,1.912E+00,3.142E+00,-2.148E-03,2.658E+00,2.622E+00,1.237E-01,2.915E+00
9,0.000E+00,0.000E+00,2.895E-03,4.258E-04,0.000E+00,0.000E+00,1.831E-06,5.663E-03,1.190E-02,4.249E-01,1.760E+00,-9.230E-02,1.932E+00,1.525E+00,3.142E+00,-4.113E-03,2.605E+00,2.540E+00,9.066E-02,3.466E+00,1.659E+00,-2.501E-02,1.641E+00,1.991E+00,3.142E+00,-6.389E-04,2.615E+00,2.604E+00,2.069E-01,1.778E+00,1.650E+00,-7.956E-02,2.072E+00,1.928E+00,3.142E+00,-2.034E-03,2.653E+00,2.619E+00,1.238E-01,2.913E+00
