alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,5.257E-03,0.000E+00,5.320E-03,1.081E-02,9.381E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.782E+00,-9.782E-03,1.455E+00,1.439E+00,6.665E-02,3.686E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.736E+00,-3.634E-03,1.563E+00,1.514E+00,1.319E-01,2.484E+00
1,0.000E+00,0.000E+00,5.272E-03,0.000E+00,5.364E-03,1.086E-02,9.429E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+00,-1.238E-02,1.455E+00,1.464E+00,6.643E-02,3.695E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.734E+00,-1.101E-02,1.600E+00,1.530E+00,1.319E-01,2.484E+00
2,0.000E+00,0.000E+00,5.288E-03,0.000E+00,5.407E-03,1.091E-02,9.476E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.777E+00,-1.497E-02,1.454E+00,1.489E+00,6.622E-02,3.704E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.732E+00,-1.839E-02,1.637E+00,1.545E+00,1.319E-01,2.484E+00
3,0.000E+00,0.000E+00,5.304E-03,0.000E+00,5.451E-03,1.096E-02,9.524E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.774E+00,-1.756E-02,1.454E+00,1.514E+00,6.601E-02,3.712E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.729E+00,-2.576E-02,1.674E+00,1.560E+00,1.319E-01,2.484E+00
4,0.000E+00,0.000E+00,5.312E-03,0.000E+00,5.473E-03,1.099E-02,9.547E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.773E+00,-1.886E-02,1.454E+00,1.527E+00,6.590E-02,3.716E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.728E+00,-2.945E-02,1.693E+00,1.568E+00,1.319E-01,2.484E+00
5,0.000E+00,0.000E+00,5.319E-03,0.000E+00,5.495E-03,1.101E-02,9.571E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.772E+00,-2.016E-02,1.454E+00,1.539E+00,6.579E-02,3.721E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.727E+00,-3.314E-02,1.711E+00,1.576E+00,1.319E-01,2.484E+00
6,0.000E+00,0.000E+00,5.335E-03,0.000E+00,5.538E-03,1.106E-02,9.619E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.770E+00,-2.275E-02,1.453E+00,1.564E+00,6.558E-02,3.729E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.725E+00,-4.052E-02,1.748E+00,1.591E+00,1.319E-01,2.485E+00
7,0.000E+00,0.000E+00,5.351E-03,0.000E+00,5.582E-03,1.111E-02,9.666E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.768E+00,-2.534E-02,1.453E+00,1.589E+00,6.536E-02,3.738E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.723E+00,-4.789E-02,1.785E+00,1.607E+00,1.319E-01,2.485E+00
8,0.000E+00,0.000E+00,5.366E-03,0.000E+00,5.625E-03,1.116E-02,9.713E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.766E+00,-2.794E-02,1.453E+00,1.614E+00,6.515E-02,3.746E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.721E+00,-5.527E-02,1.822E+00,1.622E+00,1.318E-01,2.485E+00
9,0.000E+00,0.000E+00,5.374E-03,0.000E+00,5.647E-03,1.119E-02,9.737E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.765E+00,-2.923E-02,1.452E+00,1.627E+00,6.504E-02,3.751E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.720E+00,-5.896E-02,1.841E+00,1.630E+00,1.318E-01,2.485E+00
10,0.000E+00,0.000E+00,5.382E-03,0.000E+00,5.669E-03,1.121E-02,9.761E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.764E+00,-3.053E-02,1.452E+00,1.639E+00,6.493E-02,3.755E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.719E+00,-6.264E-02,1.859E+00,1.638E+00,1.318E-01,2.485E+00
11,0.000E+00,0.000E+00,5.493E-03,0.000E+00,5.727E-03,1.135E-02,9.899E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.765E+00,-4.526E-02,1.541E+00,1.615E+00,6.490E-02,3.756E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.719E+00,-6.465E-02,1.849E+00,1.659E+00,1.315E-01,2.490E+00
12,0.000E+00,0.000E+00,5.604E-03,0.000E+00,5.785E-03,1.149E-02,1.004E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.768E+00,-5.999E-02,1.629E+00,1.590E+00,6.486E-02,3.758E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.719E+00,-6.665E-02,1.839E+00,1.681E+00,1.311E-01,2.496E+00
13,0.000E+00,0.000E+00,5.716E-03,0.000E+00,5.843E-03,1.162E-02,1.018E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.771E+00,-7.471E-02,1.718E+00,1.565E+00,6.483E-02,3.759E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E+00,-6.865E-02,1.829E+00,1.702E+00,1.308E-01,2.501E+00
14,0.000E+00,0.000E+00,5.771E-03,0.000E+00,5.872E-03,1.169E-02,1.025E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.773E+00,-8.208E-02,1.762E+00,1.553E+00,6.481E-02,3.760E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E+00,-6.965E-02,1.824E+00,1.713E+00,1.306E-01,2.504E+00
15,0.000E+00,0.000E+00,5.827E-03,0.000E+00,5.901E-03,1.176E-02,1.032E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-8.944E-02,1.806E+00,1.541E+00,6.479E-02,3.761E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E+00,-7.065E-02,1.819E+00,1.724E+00,1.304E-01,2.507E+00
16,0.000E+00,0.000E+00,5.938E-03,0.000E+00,5.959E-03,1.190E-02,1.045E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.780E+00,-1.042E-01,1.895E+00,1.516E+00,6.476E-02,3.762E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E+00,-7.265E-02,1.809E+00,1.746E+00,1.301E-01,2.512E+00
17,0.000E+00,0.000E+00,6.050E-03,0.000E+00,6.018E-03,1.203E-02,1.059E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.786E+00,-1.189E-01,1.983E+00,1.491E+00,6.472E-02,3.764E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-7.465E-02,1.799E+00,1.767E+00,1.297E-01,2.518E+00
18,0.000E+00,0.000E+00,6.161E-03,0.000E+00,6.076E-03,1.217E-02,1.073E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.792E+00,-1.336E-01,2.072E+00,1.466E+00,6.469E-02,3.765E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-7.665E-02,1.789E+00,1.789E+00,1.294E-01,2.523E+00
19,0.000E+00,0.000E+00,6.217E-03,0.000E+00,6.105E-03,1.224E-02,1.080E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.795E+00,-1.410E-01,2.116E+00,1.454E+00,6.467E-02,3.766E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-7.766E-02,1.784E+00,1.800E+00,1.292E-01,2.526E+00
