alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
0,0.000E+00,0.000E+00,4.094E-03,0.000E+00,2.491E-03,6.532E-03,5.254E-01,1.745E+00,2.814E-03,1.517E+00,1.498E+00,3.142E+00,-2.970E-03,2.616E+00,2.569E+00,1.196E-01,2.690E+00,1.854E+00,3.143E-02,1.114E+00,1.437E+00,3.142E+00,2.725E-03,2.224E+00,2.261E+00,4.464E-02,5.095E+00
1,0.000E+00,0.000E+00,4.099E-03,0.000E+00,2.516E-03,6.570E-03,5.280E-01,1.745E+00,-7.544E-03,1.559E+00,1.497E+00,3.142E+00,-3.187E-03,2.616E+00,2.565E+00,1.195E-01,2.690E+00,1.846E+00,2.522E-02,1.138E+00,1.446E+00,3.142E+00,1.930E-03,2.238E+00,2.264E+00,4.479E-02,5.084E+00
2,0.000E+00,0.000E+00,4.104E-03,0.000E+00,2.540E-03,6.609E-03,5.306E-01,1.748E+00,-1.790E-02,1.601E+00,1.495E+00,3.142E+00,-3.405E-03,2.616E+00,2.561E+00,1.195E-01,2.690E+00,1.837E+00,1.902E-02,1.162E+00,1.456E+00,3.142E+00,1.134E-03,2.251E+00,2.266E+00,4.493E-02,5.073E+00
3,0.000E+00,0.000E+00,4.109E-03,0.000E+00,2.564E-03,6.647E-03,5.332E-01,1.752E+00,-2.826E-02,1.643E+00,1.494E+00,3.142E+00,-3.622E-03,2.615E+00,2.557E+00,1.195E-01,2.690E+00,1.829E+00,1.281E-02,1.186E+00,1.466E+00,3.142E+00,3.389E-04,2.265E+00,2.269E+00,4.507E-02,5.062E+00
4,0.000E+00,0.000E+00,4.111E-03,0.000E+00,2.577E-03,6.666E-03,5.345E-01,1.754E+00,-3.344E-02,1.664E+00,1.493E+00,3.142E+00,-3.731E-03,2.615E+00,2.555E+00,1.195E-01,2.690E+00,1.825E+00,9.706E-03,1.197E+00,1.471E+00,3.142E+00,-5.883E-05,2.272E+00,2.270E+00,4.514E-02,5.057E+00
5,0.000E+00,0.000E+00,4.114E-03,0.000E+00,2.589E-03,6.685E-03,5.358E-01,1.755E+00,-3.862E-02,1.685E+00,1.492E+00,3.142E+00,-3.840E-03,2.615E+00,2.553E+00,1.195E-01,2.690E+00,1.820E+00,6.603E-03,1.209E+00,1.476E+00,3.142E+00,-4.566E-04,2.279E+00,2.272E+00,4.521E-02,5.051E+00
6,0.000E+00,0.000E+00,4.119E-03,0.000E+00,2.613E-03,6.723E-03,5.384E-01,1.759E+00,-4.897E-02,1.727E+00,1.491E+00,3.142E+00,-4.057E-03,2.614E+00,2.549E+00,1.195E-01,2.691E+00,1.812E+00,3.965E-04,1.233E+00,1.486E+00,3.142E+00,-1.252E-03,2.292E+00,2.274E+00,4.536E-02,5.040E+00
7,0.000E+00,0.000E+00,4.124E-03,0.000E+00,2.638E-03,6.761E-03,5.410E-01,1.762E+00,-5.933E-02,1.770E+00,1.490E+00,3.142E+00,-4.275E-03,2.614E+00,2.546E+00,1.195E-01,2.691E+00,1.811E+00,-5.810E-03,1.257E+00,1.496E+00,3.142E+00,-2.047E-03,2.306E+00,2.277E+00,4.550E-02,5.030E+00
8,0.000E+00,0.000E+00,4.129E-03,0.000E+00,2.662E-03,6.800E-03,5.436E-01,1.766E+00,-6.969E-02,1.812E+00,1.488E+00,3.142E+00,-4.492E-03,2.614E+00,2.542E+00,1.195E-01,2.691E+00,1.810E+00,-1.202E-02,1.281E+00,1.506E+00,3.142E+00,-2.843E-03,2.319E+00,2.279E+00,4.564E-02,5.019E+00
9,0.000E+00,0.000E+00,4.131E-03,0.000E+00,2.674E-03,6.819E-03,5.449E-01,1.768E+00,-7.487E-02,1.833E+00,1.488E+00,3.142E+00,-4.601E-03,2.614E+00,2.540E+00,1.195E-01,2.691E+00,1.809E+00,-1.512E-02,1.292E+00,1.511E+00,3.142E+00,-3.241E-03,2.326E+00,2.281E+00,4.571E-02,5.013E+00
