alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,0.000E+00,0.000E+00,1.659E-03,0.000E+00,2.707E-03,3.813E-03,9.453E-04,4.083E-03,3.073E-01,1.745E+00,1.385E-03,1.513E+00,1.504E+00,3.142E+00,-2.479E-03,2.534E+00,2.495E+00,8.495E-02,3.357E+00,1.699E+00,8.685E-03,1.588E+00,1.658E+00,3.142E+00,-1.356E-03,2.589E+00,2.567E+00,1.062E-01,3.316E+00,1.757E+00,-2.305E-02,1.579E+00,1.500E+00,3.142E+00,-5.285E-03,2.615E+00,2.531E+00,5.685E-02,4.935E+00
1,0.000E+00,0.000E+00,0.000E+00,1.684E-03,0.000E+00,2.724E-03,3.869E-03,9.540E-04,4.111E-03,3.103E-01,1.734E+00,-1.572E-03,1.501E+00,1.577E+00,3.142E+00,-2.894E-03,2.555E+00,2.509E+00,8.537E-02,3.345E+00,1.693E+00,-7.265E-03,1.670E+00,1.648E+00,3.142E+00,-1.380E-03,2.592E+00,2.570E+00,1.065E-01,3.310E+00,1.758E+00,-3.130E-02,1.616E+00,1.505E+00,3.142E+00,-5.139E-03,2.603E+00,2.521E+00,5.754E-02,4.893E+00
2,0.000E+00,0.000E+00,0.000E+00,1.708E-03,0.000E+00,2.741E-03,3.925E-03,9.626E-04,4.140E-03,3.133E-01,1.725E+00,-4.529E-03,1.489E+00,1.651E+00,3.142E+00,-3.309E-03,2.576E+00,2.523E+00,8.579E-02,3.332E+00,1.697E+00,-2.321E-02,1.751E+00,1.637E+00,3.142E+00,-1.405E-03,2.595E+00,2.572E+00,1.067E-01,3.303E+00,1.759E+00,-3.956E-02,1.654E+00,1.509E+00,3.142E+00,-4.993E-03,2.591E+00,2.512E+00,5.823E-02,4.852E+00
3,0.000E+00,0.000E+00,0.000E+00,1.733E-03,0.000E+00,2.758E-03,3.981E-03,9.713E-04,4.168E-03,3.163E-01,1.718E+00,-7.486E-03,1.477E+00,1.724E+00,3.142E+00,-3.725E-03,2.597E+00,2.537E+00,8.621E-02,3.320E+00,1.702E+00,-3.916E-02,1.833E+00,1.627E+00,3.142E+00,-1.430E-03,2.597E+00,2.574E+00,1.070E-01,3.296E+00,1.759E+00,-4.782E-02,1.691E+00,1.514E+00,3.142E+00,-4.847E-03,2.578E+00,2.502E+00,5.892E-02,4.810E+00
4,0.000E+00,0.000E+00,0.000E+00,1.745E-03,0.000E+00,2.767E-03,4.009E-03,9.756E-04,4.183E-03,3.178E-01,1.714E+00,-8.964E-03,1.471E+00,1.761E+00,3.142E+00,-3.932E-03,2.608E+00,2.544E+00,8.642E-02,3.314E+00,1.704E+00,-4.714E-02,1.873E+00,1.622E+00,3.142E+00,-1.442E-03,2.599E+00,2.575E+00,1.071E-01,3.293E+00,1.760E+00,-5.195E-02,1.710E+00,1.516E+00,3.142E+00,-4.774E-03,2.572E+00,2.497E+00,5.926E-02,4.789E+00
5,0.000E+00,0.000E+00,0.000E+00,1.758E-03,0.000E+00,2.775E-03,4.037E-03,9.800E-04,4.197E-03,3.193E-01,1.710E+00,-1.044E-02,1.465E+00,1.798E+00,3.142E+00,-4.140E-03,2.619E+00,2.551E+00,8.663E-02,3.308E+00,1.707E+00,-5.511E-02,1.914E+00,1.617E+00,3.142E+00,-1.454E-03,2.600E+00,2.577E+00,1.073E-01,3.289E+00,1.760E+00,-5.608E-02,1.729E+00,1.518E+00,3.142E+00,-4.701E-03,2.566E+00,2.492E+00,5.961E-02,4.768E+00
6,0.000E+00,0.000E+00,0.000E+00,1.782E-03,0.000E+00,2.792E-03,4.092E-03,9.886E-04,4.225E-03,3.222E-01,1.704E+00,-1.340E-02,1.453E+00,1.872E+00,3.142E+00,-4.555E-03,2.640E+00,2.565E+00,8.705E-02,3.296E+00,1.712E+00,-7.106E-02,1.995E+00,1.607E+00,3.142E+00,-1.479E-03,2.603E+00,2.579E+00,1.075E-01,3.282E+00,1.761E+00,-6.433E-02,1.766E+00,1.523E+00,3.142E+00,-4.555E-03,2.553E+00,2.482E+00,6.029E-02,4.726E+00
7,0.000E+00,0.000E+00,0.000E+00,1.807E-03,0.000E+00,2.810E-03,4.148E-03,9.973E-04,4.254E-03,3.252E-01,1.698E+00,-1.636E-02,1.441E+00,1.945E+00,3.142E+00,-4.970E-03,2.661E+00,2.579E+00,8.747E-02,3.284E+00,1.718E+00,-8.701E-02,2.077E+00,1.596E+00,3.142E+00,-1.504E-03,2.606E+00,2.581E+00,1.078E-01,3.276E+00,1.762E+00,-7.259E-02,1.804E+00,1.527E+00,3.142E+00,-4.409E-03,2.541E+00,2.473E+00,6.098E-02,4.685E+00
8,0.000E+00,0.000E+00,0.000E+00,1.832E-03,0.000E+00,2.827E-03,4.204E-03,1.006E-03,4.282E-03,3.282E-01,1.692E+00,-1.931E-02,1.429E+00,2.019E+00,3.142E+00,-5.386E-03,2.682E+00,2.593E+00,8.789E-02,3.271E+00,1.723E+00,-1.030E-01,2.158E+00,1.586E+00,3.142E+00,-1.529E-03,2.608E+00,2.584E+00,1.081E-01,3.269E+00,1.763E+00,-8.085E-02,1.841E+00,1.532E+00,3.142E+00,-4.263E-03,2.529E+00,2.463E+00,6.167E-02,4.643E+00
9,0.000E+00,0.000E+00,0.000E+00,1.844E-03,0.000E+00,2.835E-03,4.232E-03,1.010E-03,4.296E-03,3.297E-01,1.689E+00,-2.079E-02,1.423E+00,2.056E+00,3.142E+00,-5.593E-03,2.693E+00,2.600E+00,8.810E-02,3.265E+00,1.726E+00,-1.109E-01,2.199E+00,1.581E+00,3.142E+00,-1.541E-03,2.610E+00,2.585E+00,1.082E-01,3.265E+00,1.763E+00,-8.498E-02,1.860E+00,1.534E+00,3.142E+00,-4.190E-03,2.522E+00,2.458E+00,6.201E-02,4.622E+00
