alpha,H,Fe,S,Fe_1,S_1,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.603E-02,1.641E-04,0.000E+00,0.000E+00,1.428E+00,1.762E+00,-2.502E-02,1.624E+00,1.448E+00,1.740E+00,-5.130E-03,2.550E+00,2.470E+00,8.104E-02,3.204E+00,1.547E+00,2.652E-02,2.009E+00,2.159E+00,1.553E+00,-7.150E-03,3.540E+00,3.373E+00,1.644E-01,2.074E+00
1,0.000E+00,1.607E-02,1.659E-04,0.000E+00,0.000E+00,1.432E+00,1.758E+00,-2.430E-02,1.610E+00,1.476E+00,1.737E+00,-5.195E-03,2.553E+00,2.472E+00,8.095E-02,3.207E+00,1.546E+00,3.218E-02,1.951E+00,2.261E+00,1.551E+00,-6.775E-03,3.504E+00,3.347E+00,1.656E-01,2.062E+00
2,0.000E+00,1.610E-02,1.678E-04,0.000E+00,0.000E+00,1.435E+00,1.754E+00,-2.357E-02,1.596E+00,1.505E+00,1.734E+00,-5.260E-03,2.556E+00,2.474E+00,8.086E-02,3.209E+00,1.545E+00,3.783E-02,1.893E+00,2.362E+00,1.550E+00,-6.400E-03,3.468E+00,3.321E+00,1.668E-01,2.050E+00
3,0.000E+00,1.614E-02,1.696E-04,0.000E+00,0.000E+00,1.439E+00,1.750E+00,-2.284E-02,1.583E+00,1.533E+00,1.731E+00,-5.325E-03,2.559E+00,2.476E+00,8.078E-02,3.212E+00,1.544E+00,4.349E-02,1.835E+00,2.463E+00,1.548E+00,-6.025E-03,3.432E+00,3.294E+00,1.679E-01,2.038E+00
4,0.000E+00,1.616E-02,1.706E-04,0.000E+00,0.000E+00,1.441E+00,1.749E+00,-2.248E-02,1.576E+00,1.548E+00,1.730E+00,-5.357E-03,2.561E+00,2.477E+00,8.073E-02,3.213E+00,1.544E+00,4.632E-02,1.806E+00,2.513E+00,1.547E+00,-5.837E-03,3.414E+00,3.281E+00,1.685E-01,2.032E+00
5,0.000E+00,1.618E-02,1.715E-04,0.000E+00,0.000E+00,1.443E+00,1.747E+00,-2.211E-02,1.569E+00,1.562E+00,1.728E+00,-5.390E-03,2.562E+00,2.478E+00,8.069E-02,3.214E+00,1.544E+00,4.915E-02,1.777E+00,2.564E+00,1.546E+00,-5.650E-03,3.396E+00,3.268E+00,1.691E-01,2.027E+00
6,0.000E+00,1.622E-02,1.733E-04,0.000E+00,0.000E+00,1.446E+00,1.743E+00,-2.138E-02,1.555E+00,1.591E+00,1.726E+00,-5.455E-03,2.565E+00,2.480E+00,8.060E-02,3.217E+00,1.543E+00,5.481E-02,1.719E+00,2.665E+00,1.544E+00,-5.274E-03,3.360E+00,3.242E+00,1.703E-01,2.015E+00
7,0.000E+00,1.625E-02,1.752E-04,0.000E+00,0.000E+00,1.450E+00,1.739E+00,-2.065E-02,1.542E+00,1.619E+00,1.723E+00,-5.520E-03,2.568E+00,2.482E+00,8.051E-02,3.220E+00,1.542E+00,6.047E-02,1.661E+00,2.766E+00,1.542E+00,-4.899E-03,3.324E+00,3.216E+00,1.715E-01,2.003E+00
8,0.000E+00,1.629E-02,1.771E-04,0.000E+00,0.000E+00,1.453E+00,1.735E+00,-1.993E-02,1.528E+00,1.648E+00,1.720E+00,-5.585E-03,2.572E+00,2.484E+00,8.042E-02,3.222E+00,1.541E+00,6.613E-02,1.603E+00,2.867E+00,1.540E+00,-4.524E-03,3.288E+00,3.190E+00,1.727E-01,1.991E+00
9,0.000E+00,1.631E-02,1.780E-04,0.000E+00,0.000E+00,1.455E+00,1.733E+00,-1.956E-02,1.521E+00,1.662E+00,1.718E+00,-5.617E-03,2.573E+00,2.485E+00,8.037E-02,3.223E+00,1.541E+00,6.896E-02,1.574E+00,2.918E+00,1.539E+00,-4.337E-03,3.270E+00,3.177E+00,1.733E-01,1.985E+00
10,0.000E+00,1.633E-02,1.789E-04,0.000E+00,0.000E+00,1.457E+00,1.731E+00,-1.920E-02,1.514E+00,1.676E+00,1.717E+00,-5.650E-03,2.575E+00,2.486E+00,8.033E-02,3.225E+00,1.541E+00,7.179E-02,1.545E+00,2.969E+00,1.538E+00,-4.149E-03,3.252E+00,3.164E+00,1.739E-01,1.979E+00
11,0.000E+00,1.655E-02,1.829E-04,0.000E+00,0.000E+00,1.475E+00,1.734E+00,-2.304E-02,1.517E+00,1.679E+00,1.716E+00,-5.603E-03,2.572E+00,2.484E+00,8.023E-02,3.227E+00,1.532E+00,5.884E-02,1.610E+00,2.974E+00,1.527E+00,-4.587E-03,3.284E+00,3.185E+00,1.746E-01,1.972E+00
12,0.000E+00,1.676E-02,1.869E-04,0.000E+00,0.000E+00,1.492E+00,1.737E+00,-2.688E-02,1.519E+00,1.682E+00,1.714E+00,-5.555E-03,2.569E+00,2.482E+00,8.014E-02,3.230E+00,1.523E+00,4.589E-02,1.675E+00,2.980E+00,1.516E+00,-5.024E-03,3.316E+00,3.206E+00,1.754E-01,1.965E+00
13,0.000E+00,1.698E-02,1.909E-04,0.000E+00,0.000E+00,1.510E+00,1.740E+00,-3.072E-02,1.522E+00,1.685E+00,1.713E+00,-5.508E-03,2.566E+00,2.480E+00,8.005E-02,3.233E+00,1.514E+00,3.294E-02,1.739E+00,2.985E+00,1.505E+00,-5.462E-03,3.348E+00,3.227E+00,1.762E-01,1.958E+00
14,0.000E+00,1.709E-02,1.929E-04,0.000E+00,0.000E+00,1.518E+00,1.742E+00,-3.264E-02,1.523E+00,1.687E+00,1.713E+00,-5.485E-03,2.565E+00,2.480E+00,8.000E-02,3.234E+00,1.510E+00,2.646E-02,1.771E+00,2.988E+00,1.499E+00,-5.680E-03,3.364E+00,3.237E+00,1.766E-01,1.955E+00
15,0.000E+00,1.720E-02,1.949E-04,0.000E+00,0.000E+00,1.527E+00,1.743E+00,-3.456E-02,1.525E+00,1.688E+00,1.712E+00,-5.461E-03,2.564E+00,2.479E+00,7.995E-02,3.236E+00,1.506E+00,1.999E-02,1.804E+00,2.991E+00,1.493E+00,-5.899E-03,3.380E+00,3.248E+00,1.770E-01,1.951E+00
