alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,3.346E-02,3.184E-04,0.000E+00,0.000E+00,2.910E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.748E+00,-1.365E-02,1.591E+00,1.482E+00,1.302E-01,2.255E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.546E+00,7.812E-02,1.472E+00,3.083E+00,1.754E-01,1.965E+00
1,0.000E+00,0.000E+00,3.363E-02,3.256E-04,0.000E+00,0.000E+00,2.925E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.748E+00,-1.447E-02,1.572E+00,1.507E+00,1.304E-01,2.253E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.538E+00,7.027E-02,1.512E+00,3.077E+00,1.735E-01,1.984E+00
2,0.000E+00,0.000E+00,3.380E-02,3.328E-04,0.000E+00,0.000E+00,2.940E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.529E-02,1.553E+00,1.532E+00,1.305E-01,2.251E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.530E+00,6.241E-02,1.553E+00,3.071E+00,1.716E-01,2.003E+00
3,0.000E+00,0.000E+00,3.397E-02,3.400E-04,0.000E+00,0.000E+00,2.955E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.612E-02,1.534E+00,1.557E+00,1.307E-01,2.249E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.522E+00,5.456E-02,1.593E+00,3.065E+00,1.697E-01,2.022E+00
4,0.000E+00,0.000E+00,3.405E-02,3.436E-04,0.000E+00,0.000E+00,2.962E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.653E-02,1.525E+00,1.569E+00,1.308E-01,2.248E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.518E+00,5.063E-02,1.613E+00,3.062E+00,1.688E-01,2.032E+00
5,0.000E+00,0.000E+00,3.414E-02,3.472E-04,0.000E+00,0.000E+00,2.970E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.694E-02,1.515E+00,1.581E+00,1.308E-01,2.247E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.514E+00,4.670E-02,1.634E+00,3.059E+00,1.679E-01,2.041E+00
6,0.000E+00,0.000E+00,3.431E-02,3.544E-04,0.000E+00,0.000E+00,2.985E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.776E-02,1.496E+00,1.606E+00,1.310E-01,2.245E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.506E+00,3.885E-02,1.674E+00,3.054E+00,1.660E-01,2.060E+00
7,0.000E+00,0.000E+00,3.447E-02,3.616E-04,0.000E+00,0.000E+00,3.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.858E-02,1.477E+00,1.631E+00,1.311E-01,2.243E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.498E+00,3.099E-02,1.715E+00,3.048E+00,1.641E-01,2.079E+00
8,0.000E+00,0.000E+00,3.464E-02,3.688E-04,0.000E+00,0.000E+00,3.015E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-1.941E-02,1.458E+00,1.656E+00,1.313E-01,2.241E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.490E+00,2.314E-02,1.755E+00,3.042E+00,1.622E-01,2.098E+00
9,0.000E+00,0.000E+00,3.473E-02,3.724E-04,0.000E+00,0.000E+00,3.022E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.748E+00,-1.982E-02,1.449E+00,1.668E+00,1.314E-01,2.240E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.487E+00,1.921E-02,1.775E+00,3.039E+00,1.613E-01,2.107E+00
