alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,5.345E-03,1.093E-02,2.402E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.557E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.766E+00,-1.402E-02,1.519E+00,1.471E+00,5.867E-02,4.116E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.741E+00,-1.083E-02,1.494E+00,1.603E+00,7.672E-02,3.334E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.506E+00,-6.141E-02,2.554E+00,2.349E+00,1.821E-01,1.905E+00
1,0.000E+00,0.000E+00,5.342E-03,1.097E-02,2.478E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.562E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.767E+00,-1.813E-02,1.528E+00,1.479E+00,5.857E-02,4.121E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.737E+00,-1.006E-02,1.477E+00,1.636E+00,7.676E-02,3.332E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.495E+00,-5.926E-02,2.563E+00,2.413E+00,1.806E-01,1.918E+00
2,0.000E+00,0.000E+00,5.340E-03,1.101E-02,2.554E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.566E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.768E+00,-2.223E-02,1.538E+00,1.487E+00,5.847E-02,4.126E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.734E+00,-9.298E-03,1.460E+00,1.669E+00,7.681E-02,3.331E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.484E+00,-5.710E-02,2.571E+00,2.477E+00,1.792E-01,1.931E+00
3,0.000E+00,0.000E+00,5.337E-03,1.105E-02,2.629E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.571E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.768E+00,-2.634E-02,1.547E+00,1.495E+00,5.836E-02,4.131E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.730E+00,-8.535E-03,1.443E+00,1.702E+00,7.686E-02,3.329E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.474E+00,-5.495E-02,2.580E+00,2.540E+00,1.778E-01,1.945E+00
4,0.000E+00,0.000E+00,5.336E-03,1.107E-02,2.667E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.573E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.769E+00,-2.840E-02,1.552E+00,1.499E+00,5.831E-02,4.134E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.729E+00,-8.153E-03,1.435E+00,1.718E+00,7.688E-02,3.329E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.468E+00,-5.387E-02,2.584E+00,2.572E+00,1.770E-01,1.951E+00
5,0.000E+00,0.000E+00,5.335E-03,1.109E-02,2.705E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.576E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.769E+00,-3.045E-02,1.557E+00,1.503E+00,5.826E-02,4.136E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.727E+00,-7.771E-03,1.426E+00,1.735E+00,7.691E-02,3.328E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.463E+00,-5.280E-02,2.589E+00,2.604E+00,1.763E-01,1.958E+00
6,0.000E+00,0.000E+00,5.333E-03,1.112E-02,2.781E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.580E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.770E+00,-3.456E-02,1.566E+00,1.511E+00,5.816E-02,4.141E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.724E+00,-7.008E-03,1.409E+00,1.768E+00,7.695E-02,3.326E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-5.065E-02,2.597E+00,2.667E+00,1.749E-01,1.971E+00
7,0.000E+00,0.000E+00,5.330E-03,1.116E-02,2.856E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.585E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.771E+00,-3.867E-02,1.576E+00,1.519E+00,5.805E-02,4.147E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.722E+00,-6.244E-03,1.392E+00,1.801E+00,7.700E-02,3.325E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.443E+00,-4.849E-02,2.606E+00,2.731E+00,1.734E-01,1.985E+00
8,0.000E+00,0.000E+00,5.328E-03,1.120E-02,2.932E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.589E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.772E+00,-4.278E-02,1.585E+00,1.527E+00,5.795E-02,4.152E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.719E+00,-5.481E-03,1.375E+00,1.834E+00,7.705E-02,3.323E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.434E+00,-4.634E-02,2.615E+00,2.794E+00,1.720E-01,1.998E+00
9,0.000E+00,0.000E+00,5.326E-03,1.122E-02,2.970E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.592E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.772E+00,-4.483E-02,1.590E+00,1.531E+00,5.790E-02,4.154E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.718E+00,-5.099E-03,1.366E+00,1.850E+00,7.707E-02,3.323E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.429E+00,-4.526E-02,2.619E+00,2.826E+00,1.713E-01,2.005E+00
10,0.000E+00,0.000E+00,5.325E-03,1.124E-02,3.008E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.594E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.772E+00,-4.688E-02,1.595E+00,1.535E+00,5.784E-02,4.157E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-4.717E-03,1.358E+00,1.867E+00,7.710E-02,3.322E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.424E+00,-4.419E-02,2.623E+00,2.858E+00,1.706E-01,2.011E+00
11,0.000E+00,0.000E+00,5.408E-03,1.140E-02,3.063E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.617E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.773E+00,-6.025E-02,1.670E+00,1.528E+00,5.786E-02,4.156E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.725E+00,-1.902E-02,1.428E+00,1.817E+00,7.687E-02,3.329E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.440E+00,-4.540E-02,2.579E+00,2.762E+00,1.697E-01,2.020E+00
