alpha,H,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,8.687E-04,0.000E+00,1.766E-03,0.000E+00,0.000E+00,0.000E+00,9.812E-04,4.466E-03,8.805E-04,2.155E-03,2.268E-01,1.755E+00,-3.194E-02,1.691E+00,1.456E+00,1.724E+00,-4.046E-03,2.509E+00,2.448E+00,8.102E-02,3.788E+00,1.651E+00,-1.882E-03,1.587E+00,1.952E+00,1.655E+00,-5.347E-03,2.721E+00,2.631E+00,3.171E-01,1.233E+00,1.696E+00,-6.535E-03,1.681E+00,1.619E+00,1.692E+00,-2.871E-03,2.622E+00,2.576E+00,1.202E-01,2.988E+00,1.778E+00,-2.111E-02,1.498E+00,1.469E+00,1.758E+00,-3.012E-03,2.449E+00,2.404E+00,6.482E-02,4.467E+00
1,0.000E+00,8.802E-04,0.000E+00,1.763E-03,0.000E+00,0.000E+00,0.000E+00,9.896E-04,4.502E-03,8.884E-04,2.169E-03,2.282E-01,1.750E+00,-3.012E-02,1.649E+00,1.505E+00,1.724E+00,-4.110E-03,2.519E+00,2.456E+00,8.106E-02,3.787E+00,1.647E+00,-5.362E-05,1.558E+00,2.001E+00,1.654E+00,-4.991E-03,2.706E+00,2.622E+00,3.174E-01,1.232E+00,1.697E+00,-1.633E-02,1.714E+00,1.639E+00,1.683E+00,-2.920E-03,2.628E+00,2.581E+00,1.199E-01,2.993E+00,1.780E+00,-3.391E-02,1.565E+00,1.464E+00,1.748E+00,-3.207E-03,2.455E+00,2.407E+00,6.491E-02,4.462E+00
2,0.000E+00,8.916E-04,0.000E+00,1.760E-03,0.000E+00,0.000E+00,0.000E+00,9.980E-04,4.537E-03,8.963E-04,2.183E-03,2.297E-01,1.746E+00,-2.829E-02,1.606E+00,1.555E+00,1.724E+00,-4.173E-03,2.529E+00,2.465E+00,8.110E-02,3.785E+00,1.646E+00,1.775E-03,1.530E+00,2.051E+00,1.652E+00,-4.636E-03,2.691E+00,2.613E+00,3.178E-01,1.230E+00,1.697E+00,-2.612E-02,1.747E+00,1.658E+00,1.674E+00,-2.969E-03,2.634E+00,2.586E+00,1.197E-01,2.997E+00,1.781E+00,-4.670E-02,1.632E+00,1.460E+00,1.737E+00,-3.401E-03,2.461E+00,2.410E+00,6.501E-02,4.457E+00
3,0.000E+00,9.030E-04,0.000E+00,1.757E-03,0.000E+00,0.000E+00,0.000E+00,1.006E-03,4.573E-03,9.042E-04,2.197E-03,2.311E-01,1.743E+00,-2.647E-02,1.563E+00,1.604E+00,1.723E+00,-4.237E-03,2.539E+00,2.474E+00,8.114E-02,3.784E+00,1.645E+00,3.603E-03,1.501E+00,2.100E+00,1.651E+00,-4.280E-03,2.675E+00,2.604E+00,3.182E-01,1.229E+00,1.698E+00,-3.591E-02,1.780E+00,1.678E+00,1.665E+00,-3.017E-03,2.640E+00,2.591E+00,1.195E-01,3.002E+00,1.783E+00,-5.950E-02,1.699E+00,1.456E+00,1.726E+00,-3.595E-03,2.467E+00,2.413E+00,6.511E-02,4.452E+00
4,0.000E+00,9.087E-04,0.000E+00,1.755E-03,0.000E+00,0.000E+00,0.000E+00,1.011E-03,4.590E-03,9.082E-04,2.204E-03,2.318E-01,1.742E+00,-2.555E-02,1.542E+00,1.629E+00,1.723E+00,-4.268E-03,2.544E+00,2.478E+00,8.116E-02,3.783E+00,1.644E+00,4.517E-03,1.487E+00,2.125E+00,1.651E+00,-4.102E-03,2.668E+00,2.600E+00,3.184E-01,1.228E+00,1.698E+00,-4.081E-02,1.797E+00,1.688E+00,1.660E+00,-3.042E-03,2.643E+00,2.594E+00,1.194E-01,3.005E+00,1.784E+00,-6.589E-02,1.732E+00,1.454E+00,1.721E+00,-3.692E-03,2.470E+00,2.414E+00,6.515E-02,4.450E+00
5,0.000E+00,9.145E-04,0.000E+00,1.754E-03,0.000E+00,0.000E+00,0.000E+00,1.015E-03,4.608E-03,9.121E-04,2.211E-03,2.325E-01,1.740E+00,-2.464E-02,1.520E+00,1.654E+00,1.723E+00,-4.300E-03,2.549E+00,2.483E+00,8.118E-02,3.782E+00,1.644E+00,5.432E-03,1.472E+00,2.150E+00,1.650E+00,-3.924E-03,2.660E+00,2.595E+00,3.186E-01,1.228E+00,1.698E+00,-4.570E-02,1.813E+00,1.698E+00,1.655E+00,-3.066E-03,2.646E+00,2.596E+00,1.193E-01,3.007E+00,1.785E+00,-7.229E-02,1.765E+00,1.451E+00,1.716E+00,-3.790E-03,2.473E+00,2.416E+00,6.520E-02,4.447E+00
6,0.000E+00,9.259E-04,0.000E+00,1.751E-03,0.000E+00,0.000E+00,0.000E+00,1.023E-03,4.644E-03,9.200E-04,2.225E-03,2.339E-01,1.738E+00,-2.281E-02,1.478E+00,1.703E+00,1.722E+00,-4.364E-03,2.559E+00,2.491E+00,8.122E-02,3.781E+00,1.643E+00,7.260E-03,1.444E+00,2.199E+00,1.649E+00,-3.568E-03,2.645E+00,2.586E+00,3.190E-01,1.227E+00,1.699E+00,-5.550E-02,1.846E+00,1.718E+00,1.646E+00,-3.115E-03,2.653E+00,2.601E+00,1.190E-01,3.012E+00,1.787E+00,-8.508E-02,1.832E+00,1.447E+00,1.705E+00,-3.984E-03,2.479E+00,2.419E+00,6.530E-02,4.442E+00
7,0.000E+00,9.373E-04,0.000E+00,1.748E-03,0.000E+00,0.000E+00,0.000E+00,1.032E-03,4.679E-03,9.279E-04,2.240E-03,2.353E-01,1.736E+00,-2.099E-02,1.435E+00,1.753E+00,1.722E+00,-4.427E-03,2.569E+00,2.500E+00,8.126E-02,3.780E+00,1.643E+00,9.088E-03,1.415E+00,2.249E+00,1.648E+00,-3.212E-03,2.630E+00,2.577E+00,3.194E-01,1.225E+00,1.700E+00,-6.529E-02,1.880E+00,1.737E+00,1.637E+00,-3.163E-03,2.659E+00,2.606E+00,1.188E-01,3.017E+00,1.790E+00,-9.788E-02,1.899E+00,1.443E+00,1.695E+00,-4.178E-03,2.485E+00,2.422E+00,6.540E-02,4.437E+00
8,0.000E+00,9.487E-04,0.000E+00,1.745E-03,0.000E+00,0.000E+00,0.000E+00,1.040E-03,4.715E-03,9.358E-04,2.254E-03,2.368E-01,1.735E+00,-1.916E-02,1.392E+00,1.802E+00,1.721E+00,-4.491E-03,2.579E+00,2.509E+00,8.130E-02,3.778E+00,1.643E+00,1.092E-02,1.386E+00,2.298E+00,1.646E+00,-2.856E-03,2.614E+00,2.568E+00,3.197E-01,1.224E+00,1.700E+00,-7.508E-02,1.913E+00,1.757E+00,1.628E+00,-3.212E-03,2.665E+00,2.612E+00,1.186E-01,3.022E+00,1.793E+00,-1.107E-01,1.966E+00,1.439E+00,1.684E+00,-4.373E-03,2.491E+00,2.425E+00,6.549E-02,4.432E+00
9,0.000E+00,9.544E-04,0.000E+00,1.743E-03,0.000E+00,0.000E+00,0.000E+00,1.044E-03,4.732E-03,9.398E-04,2.261E-03,2.375E-01,1.735E+00,-1.825E-02,1.371E+00,1.827E+00,1.721E+00,-4.522E-03,2.584E+00,2.513E+00,8.132E-02,3.777E+00,1.643E+00,1.183E-02,1.372E+00,2.323E+00,1.646E+00,-2.678E-03,2.607E+00,2.564E+00,3.199E-01,1.223E+00,1.701E+00,-7.998E-02,1.929E+00,1.767E+00,1.623E+00,-3.237E-03,2.668E+00,2.614E+00,1.185E-01,3.024E+00,1.794E+00,-1.171E-01,1.999E+00,1.437E+00,1.679E+00,-4.470E-03,2.494E+00,2.426E+00,6.554E-02,4.429E+00
