alpha,H,Cr,S,Cr_1,S_1,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.416E-03,0.000E+00,2.245E-03,5.208E-03,3.573E-01,1.821E+00,4.353E-04,1.279E+00,1.392E+00,3.142E+00,7.943E-04,2.193E+00,2.203E+00,4.751E-02,4.762E+00,1.812E+00,-3.629E-03,1.406E+00,1.320E+00,3.142E+00,1.761E-03,2.331E+00,2.356E+00,1.168E-01,2.740E+00
1,0.000E+00,1.427E-03,0.000E+00,2.261E-03,5.250E-03,3.601E-01,1.820E+00,-1.183E-02,1.324E+00,1.410E+00,3.142E+00,2.515E-04,2.206E+00,2.209E+00,4.735E-02,4.773E+00,1.808E+00,-1.588E-02,1.458E+00,1.348E+00,3.142E+00,1.545E-03,2.337E+00,2.359E+00,1.170E-01,2.736E+00
2,0.000E+00,1.438E-03,0.000E+00,2.276E-03,5.292E-03,3.628E-01,1.819E+00,-2.409E-02,1.369E+00,1.428E+00,3.142E+00,-2.913E-04,2.220E+00,2.216E+00,4.719E-02,4.785E+00,1.804E+00,-2.814E-02,1.510E+00,1.376E+00,3.142E+00,1.328E-03,2.343E+00,2.362E+00,1.172E-01,2.732E+00
3,0.000E+00,1.450E-03,0.000E+00,2.292E-03,5.335E-03,3.656E-01,1.818E+00,-3.635E-02,1.413E+00,1.446E+00,3.142E+00,-8.341E-04,2.233E+00,2.222E+00,4.703E-02,4.796E+00,1.801E+00,-4.039E-02,1.562E+00,1.404E+00,3.142E+00,1.112E-03,2.349E+00,2.365E+00,1.175E-01,2.728E+00
4,0.000E+00,1.455E-03,0.000E+00,2.299E-03,5.356E-03,3.669E-01,1.818E+00,-4.249E-02,1.436E+00,1.455E+00,3.142E+00,-1.106E-03,2.240E+00,2.225E+00,4.695E-02,4.801E+00,1.799E+00,-4.652E-02,1.588E+00,1.418E+00,3.142E+00,1.004E-03,2.352E+00,2.366E+00,1.176E-01,2.726E+00
5,0.000E+00,1.461E-03,0.000E+00,2.307E-03,5.377E-03,3.683E-01,1.818E+00,-4.862E-02,1.458E+00,1.464E+00,3.142E+00,-1.377E-03,2.247E+00,2.228E+00,4.687E-02,4.807E+00,1.797E+00,-5.265E-02,1.614E+00,1.432E+00,3.142E+00,8.958E-04,2.355E+00,2.368E+00,1.177E-01,2.724E+00
6,0.000E+00,1.472E-03,0.000E+00,2.322E-03,5.419E-03,3.711E-01,1.817E+00,-6.088E-02,1.503E+00,1.482E+00,3.142E+00,-1.920E-03,2.260E+00,2.234E+00,4.671E-02,4.818E+00,1.794E+00,-6.490E-02,1.666E+00,1.460E+00,3.142E+00,6.795E-04,2.361E+00,2.371E+00,1.179E-01,2.721E+00
7,0.000E+00,1.484E-03,0.000E+00,2.338E-03,5.462E-03,3.738E-01,1.816E+00,-7.315E-02,1.548E+00,1.500E+00,3.142E+00,-2.463E-03,2.274E+00,2.240E+00,4.654E-02,4.830E+00,1.790E+00,-7.716E-02,1.718E+00,1.488E+00,3.142E+00,4.632E-04,2.367E+00,2.374E+00,1.181E-01,2.717E+00
8,0.000E+00,1.495E-03,0.000E+00,2.353E-03,5.504E-03,3.765E-01,1.816E+00,-8.541E-02,1.592E+00,1.518E+00,3.142E+00,-3.005E-03,2.288E+00,2.246E+00,4.638E-02,4.841E+00,1.787E+00,-8.941E-02,1.770E+00,1.516E+00,3.142E+00,2.469E-04,2.373E+00,2.377E+00,1.183E-01,2.713E+00
9,0.000E+00,1.501E-03,0.000E+00,2.361E-03,5.525E-03,3.779E-01,1.816E+00,-9.154E-02,1.615E+00,1.527E+00,3.142E+00,-3.277E-03,2.294E+00,2.249E+00,4.630E-02,4.846E+00,1.786E+00,-9.554E-02,1.796E+00,1.530E+00,3.142E+00,1.387E-04,2.376E+00,2.378E+00,1.184E-01,2.711E+00
10,0.000E+00,1.506E-03,0.000E+00,2.369E-03,5.546E-03,3.793E-01,1.815E+00,-9.767E-02,1.637E+00,1.536E+00,3.142E+00,-3.548E-03,2.301E+00,2.252E+00,4.622E-02,4.852E+00,1.784E+00,-1.017E-01,1.822E+00,1.544E+00,3.142E+00,3.058E-05,2.379E+00,2.380E+00,1.185E-01,2.709E+00
11,0.000E+00,1.534E-03,0.000E+00,2.433E-03,5.675E-03,3.882E-01,1.821E+00,-1.232E-01,1.769E+00,1.510E+00,3.142E+00,-3.812E-03,2.302E+00,2.250E+00,4.600E-02,4.868E+00,1.778E+00,-1.210E-01,1.968E+00,1.546E+00,3.142E+00,-2.151E-04,2.390E+00,2.387E+00,1.181E-01,2.716E+00
12,0.000E+00,1.562E-03,0.000E+00,2.496E-03,5.803E-03,3.971E-01,1.829E+00,-1.487E-01,1.901E+00,1.483E+00,3.142E+00,-4.075E-03,2.303E+00,2.247E+00,4.578E-02,4.884E+00,1.774E+00,-1.404E-01,2.115E+00,1.548E+00,3.142E+00,-4.609E-04,2.402E+00,2.395E+00,1.177E-01,2.723E+00
13,0.000E+00,1.590E-03,0.000E+00,2.560E-03,5.932E-03,4.060E-01,1.838E+00,-1.742E-01,2.033E+00,1.456E+00,3.142E+00,-4.338E-03,2.304E+00,2.245E+00,4.556E-02,4.901E+00,1.770E+00,-1.597E-01,2.262E+00,1.550E+00,3.142E+00,-7.066E-04,2.413E+00,2.402E+00,1.174E-01,2.730E+00
14,0.000E+00,1.604E-03,0.000E+00,2.592E-03,5.996E-03,4.104E-01,1.842E+00,-1.870E-01,2.099E+00,1.443E+00,3.142E+00,-4.470E-03,2.305E+00,2.244E+00,4.545E-02,4.909E+00,1.769E+00,-1.694E-01,2.335E+00,1.551E+00,3.142E+00,-8.294E-04,2.418E+00,2.406E+00,1.172E-01,2.733E+00
15,0.000E+00,1.618E-03,0.000E+00,2.624E-03,6.060E-03,4.149E-01,1.847E+00,-1.997E-01,2.165E+00,1.430E+00,3.142E+00,-4.602E-03,2.306E+00,2.242E+00,4.534E-02,4.917E+00,1.768E+00,-1.790E-01,2.408E+00,1.552E+00,3.142E+00,-9.523E-04,2.424E+00,2.409E+00,1.170E-01,2.737E+00
16,0.000E+00,1.646E-03,0.000E+00,2.688E-03,6.189E-03,4.238E-01,1.858E+00,-2.253E-01,2.297E+00,1.403E+00,3.142E+00,-4.865E-03,2.307E+00,2.240E+00,4.511E-02,4.933E+00,1.767E+00,-1.984E-01,2.555E+00,1.554E+00,3.142E+00,-1.198E-03,2.435E+00,2.417E+00,1.166E-01,2.744E+00
17,0.000E+00,1.674E-03,0.000E+00,2.751E-03,6.317E-03,4.327E-01,1.870E+00,-2.508E-01,2.429E+00,1.376E+00,3.142E+00,-5.129E-03,2.308E+00,2.237E+00,4.489E-02,4.949E+00,1.767E+00,-2.177E-01,2.702E+00,1.556E+00,3.142E+00,-1.444E-03,2.446E+00,2.424E+00,1.163E-01,2.751E+00
