alpha,H,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,1.642E-03,3.056E-03,0.000E+00,0.000E+00,0.000E+00,1.595E-03,7.496E-03,4.535E-01,1.759E+00,-1.349E-02,1.507E+00,1.512E+00,3.142E+00,-1.258E-03,2.464E+00,2.445E+00,5.133E-02,4.517E+00,1.730E+00,5.896E-02,1.199E+00,2.012E+00,3.142E+00,-6.452E-03,2.604E+00,2.502E+00,7.257E-02,3.470E+00,1.621E+00,1.495E-02,1.705E+00,1.997E+00,3.142E+00,-1.871E-03,2.857E+00,2.823E+00,1.319E-01,2.760E+00
1,0.000E+00,1.657E-03,3.061E-03,0.000E+00,0.000E+00,0.000E+00,1.596E-03,7.501E-03,4.547E-01,1.760E+00,-1.910E-02,1.529E+00,1.516E+00,3.142E+00,-1.201E-03,2.460E+00,2.442E+00,5.122E-02,4.523E+00,1.731E+00,4.651E-02,1.240E+00,1.936E+00,3.142E+00,-6.273E-03,2.600E+00,2.501E+00,7.267E-02,3.466E+00,1.610E+00,5.473E-03,1.776E+00,1.983E+00,3.142E+00,-2.146E-03,2.869E+00,2.830E+00,1.320E-01,2.758E+00
2,0.000E+00,1.671E-03,3.067E-03,0.000E+00,0.000E+00,0.000E+00,1.596E-03,7.507E-03,4.559E-01,1.761E+00,-2.472E-02,1.552E+00,1.519E+00,3.142E+00,-1.143E-03,2.456E+00,2.439E+00,5.111E-02,4.530E+00,1.732E+00,3.407E-02,1.282E+00,1.860E+00,3.142E+00,-6.093E-03,2.596E+00,2.500E+00,7.276E-02,3.463E+00,1.604E+00,-4.007E-03,1.847E+00,1.969E+00,3.142E+00,-2.420E-03,2.881E+00,2.837E+00,1.321E-01,2.756E+00
3,0.000E+00,1.686E-03,3.072E-03,0.000E+00,0.000E+00,0.000E+00,1.597E-03,7.512E-03,4.571E-01,1.761E+00,-3.034E-02,1.575E+00,1.523E+00,3.142E+00,-1.085E-03,2.453E+00,2.436E+00,5.101E-02,4.536E+00,1.735E+00,2.163E-02,1.323E+00,1.784E+00,3.142E+00,-5.914E-03,2.591E+00,2.498E+00,7.286E-02,3.460E+00,1.604E+00,-1.349E-02,1.918E+00,1.955E+00,3.142E+00,-2.695E-03,2.893E+00,2.843E+00,1.322E-01,2.754E+00
4,0.000E+00,1.693E-03,3.074E-03,0.000E+00,0.000E+00,0.000E+00,1.598E-03,7.515E-03,4.577E-01,1.762E+00,-3.315E-02,1.586E+00,1.525E+00,3.142E+00,-1.056E-03,2.451E+00,2.435E+00,5.095E-02,4.540E+00,1.736E+00,1.541E-02,1.344E+00,1.746E+00,3.142E+00,-5.824E-03,2.589E+00,2.498E+00,7.290E-02,3.458E+00,1.604E+00,-1.823E-02,1.954E+00,1.948E+00,3.142E+00,-2.832E-03,2.899E+00,2.846E+00,1.323E-01,2.753E+00
5,0.000E+00,1.700E-03,3.077E-03,0.000E+00,0.000E+00,0.000E+00,1.598E-03,7.517E-03,4.583E-01,1.762E+00,-3.596E-02,1.597E+00,1.527E+00,3.142E+00,-1.027E-03,2.449E+00,2.433E+00,5.090E-02,4.543E+00,1.738E+00,9.185E-03,1.364E+00,1.708E+00,3.142E+00,-5.735E-03,2.587E+00,2.497E+00,7.295E-02,3.457E+00,1.605E+00,-2.297E-02,1.989E+00,1.941E+00,3.142E+00,-2.970E-03,2.905E+00,2.850E+00,1.324E-01,2.752E+00
6,0.000E+00,1.714E-03,3.082E-03,0.000E+00,0.000E+00,0.000E+00,1.599E-03,7.522E-03,4.595E-01,1.763E+00,-4.158E-02,1.620E+00,1.531E+00,3.142E+00,-9.697E-04,2.445E+00,2.431E+00,5.079E-02,4.550E+00,1.746E+00,-3.258E-03,1.406E+00,1.632E+00,3.142E+00,-5.555E-03,2.583E+00,2.496E+00,7.304E-02,3.454E+00,1.606E+00,-3.245E-02,2.060E+00,1.927E+00,3.142E+00,-3.244E-03,2.916E+00,2.856E+00,1.325E-01,2.750E+00
7,0.000E+00,1.729E-03,3.087E-03,0.000E+00,0.000E+00,0.000E+00,1.600E-03,7.528E-03,4.607E-01,1.763E+00,-4.720E-02,1.643E+00,1.535E+00,3.142E+00,-9.120E-04,2.441E+00,2.428E+00,5.069E-02,4.556E+00,1.765E+00,-1.570E-02,1.447E+00,1.556E+00,3.142E+00,-5.376E-03,2.579E+00,2.494E+00,7.314E-02,3.450E+00,1.607E+00,-4.193E-02,2.131E+00,1.913E+00,3.142E+00,-3.519E-03,2.928E+00,2.863E+00,1.326E-01,2.747E+00
8,0.000E+00,1.743E-03,3.092E-03,0.000E+00,0.000E+00,0.000E+00,1.601E-03,7.533E-03,4.619E-01,1.764E+00,-5.282E-02,1.665E+00,1.539E+00,3.142E+00,-8.543E-04,2.438E+00,2.425E+00,5.058E-02,4.563E+00,1.786E+00,-2.814E-02,1.489E+00,1.480E+00,3.142E+00,-5.197E-03,2.575E+00,2.493E+00,7.323E-02,3.447E+00,1.608E+00,-5.141E-02,2.202E+00,1.899E+00,3.142E+00,-3.793E-03,2.940E+00,2.869E+00,1.327E-01,2.745E+00
9,0.000E+00,1.751E-03,3.095E-03,0.000E+00,0.000E+00,0.000E+00,1.602E-03,7.536E-03,4.626E-01,1.764E+00,-5.563E-02,1.677E+00,1.541E+00,3.142E+00,-8.254E-04,2.436E+00,2.423E+00,5.053E-02,4.566E+00,1.796E+00,-3.436E-02,1.509E+00,1.442E+00,3.142E+00,-5.107E-03,2.572E+00,2.492E+00,7.328E-02,3.446E+00,1.609E+00,-5.614E-02,2.238E+00,1.892E+00,3.142E+00,-3.930E-03,2.946E+00,2.872E+00,1.328E-01,2.744E+00
