alpha,H,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.923E-03,6.867E-04,0.000E+00,0.000E+00,0.000E+00,1.614E-03,7.244E-03,2.272E-01,1.749E+00,-2.513E-03,1.595E+00,1.420E+00,3.142E+00,-1.911E-03,2.471E+00,2.442E+00,2.394E-01,1.567E+00,1.729E+00,-3.644E-02,1.862E+00,1.459E+00,3.142E+00,-9.573E-04,2.650E+00,2.634E+00,1.158E-01,3.083E+00,1.777E+00,2.145E-02,1.266E+00,1.624E+00,3.142E+00,-4.596E-03,2.474E+00,2.405E+00,5.819E-02,4.849E+00
1,0.000E+00,1.925E-03,7.130E-04,0.000E+00,0.000E+00,0.000E+00,1.622E-03,7.313E-03,2.294E-01,1.739E+00,2.137E-03,1.521E+00,1.525E+00,3.142E+00,-1.867E-03,2.476E+00,2.447E+00,2.394E-01,1.567E+00,1.726E+00,-4.706E-02,1.909E+00,1.488E+00,3.142E+00,-1.149E-03,2.652E+00,2.633E+00,1.158E-01,3.084E+00,1.764E+00,1.112E-02,1.297E+00,1.653E+00,3.142E+00,-3.935E-03,2.479E+00,2.420E+00,5.837E-02,4.838E+00
2,0.000E+00,1.928E-03,7.393E-04,0.000E+00,0.000E+00,0.000E+00,1.630E-03,7.383E-03,2.315E-01,1.734E+00,6.788E-03,1.448E+00,1.629E+00,3.142E+00,-1.823E-03,2.480E+00,2.453E+00,2.394E-01,1.568E+00,1.723E+00,-5.768E-02,1.956E+00,1.518E+00,3.142E+00,-1.341E-03,2.655E+00,2.633E+00,1.157E-01,3.085E+00,1.751E+00,7.868E-04,1.328E+00,1.681E+00,3.142E+00,-3.274E-03,2.483E+00,2.434E+00,5.856E-02,4.826E+00
3,0.000E+00,1.931E-03,7.655E-04,0.000E+00,0.000E+00,0.000E+00,1.638E-03,7.453E-03,2.337E-01,1.731E+00,1.144E-02,1.374E+00,1.733E+00,3.142E+00,-1.779E-03,2.485E+00,2.458E+00,2.393E-01,1.568E+00,1.720E+00,-6.830E-02,2.003E+00,1.547E+00,3.142E+00,-1.533E-03,2.658E+00,2.633E+00,1.156E-01,3.087E+00,1.749E+00,-9.546E-03,1.359E+00,1.710E+00,3.142E+00,-2.613E-03,2.487E+00,2.448E+00,5.875E-02,4.815E+00
4,0.000E+00,1.933E-03,7.787E-04,0.000E+00,0.000E+00,0.000E+00,1.642E-03,7.488E-03,2.347E-01,1.731E+00,1.376E-02,1.337E+00,1.785E+00,3.142E+00,-1.757E-03,2.487E+00,2.460E+00,2.393E-01,1.568E+00,1.719E+00,-7.361E-02,2.026E+00,1.562E+00,3.142E+00,-1.629E-03,2.660E+00,2.633E+00,1.156E-01,3.087E+00,1.748E+00,-1.471E-02,1.374E+00,1.724E+00,3.142E+00,-2.282E-03,2.489E+00,2.455E+00,5.884E-02,4.809E+00
5,0.000E+00,1.934E-03,7.918E-04,0.000E+00,0.000E+00,0.000E+00,1.646E-03,7.523E-03,2.358E-01,1.731E+00,1.609E-02,1.300E+00,1.837E+00,3.142E+00,-1.735E-03,2.490E+00,2.463E+00,2.393E-01,1.568E+00,1.718E+00,-7.892E-02,2.050E+00,1.576E+00,3.142E+00,-1.725E-03,2.661E+00,2.633E+00,1.156E-01,3.088E+00,1.748E+00,-1.988E-02,1.389E+00,1.738E+00,3.142E+00,-1.952E-03,2.491E+00,2.462E+00,5.893E-02,4.803E+00
6,0.000E+00,1.937E-03,8.181E-04,0.000E+00,0.000E+00,0.000E+00,1.654E-03,7.592E-03,2.380E-01,1.733E+00,2.074E-02,1.227E+00,1.942E+00,3.142E+00,-1.691E-03,2.494E+00,2.468E+00,2.393E-01,1.568E+00,1.715E+00,-8.954E-02,2.097E+00,1.606E+00,3.142E+00,-1.917E-03,2.664E+00,2.632E+00,1.155E-01,3.089E+00,1.747E+00,-3.021E-02,1.420E+00,1.767E+00,3.142E+00,-1.291E-03,2.495E+00,2.476E+00,5.912E-02,4.792E+00
7,0.000E+00,1.940E-03,8.443E-04,0.000E+00,0.000E+00,0.000E+00,1.662E-03,7.662E-03,2.401E-01,1.737E+00,2.539E-02,1.153E+00,2.046E+00,3.142E+00,-1.647E-03,2.499E+00,2.474E+00,2.392E-01,1.568E+00,1.713E+00,-1.002E-01,2.144E+00,1.635E+00,3.142E+00,-2.109E-03,2.667E+00,2.632E+00,1.155E-01,3.091E+00,1.746E+00,-4.055E-02,1.451E+00,1.795E+00,3.142E+00,-6.294E-04,2.500E+00,2.490E+00,5.930E-02,4.780E+00
8,0.000E+00,1.942E-03,8.706E-04,0.000E+00,0.000E+00,0.000E+00,1.669E-03,7.732E-03,2.423E-01,1.743E+00,3.004E-02,1.079E+00,2.150E+00,3.142E+00,-1.602E-03,2.503E+00,2.479E+00,2.392E-01,1.569E+00,1.710E+00,-1.108E-01,2.191E+00,1.665E+00,3.142E+00,-2.301E-03,2.670E+00,2.632E+00,1.154E-01,3.092E+00,1.745E+00,-5.088E-02,1.482E+00,1.824E+00,3.142E+00,3.179E-05,2.504E+00,2.505E+00,5.949E-02,4.769E+00
9,0.000E+00,1.944E-03,8.837E-04,0.000E+00,0.000E+00,0.000E+00,1.673E-03,7.767E-03,2.433E-01,1.747E+00,3.236E-02,1.043E+00,2.202E+00,3.142E+00,-1.580E-03,2.506E+00,2.481E+00,2.392E-01,1.569E+00,1.709E+00,-1.161E-01,2.214E+00,1.679E+00,3.142E+00,-2.396E-03,2.672E+00,2.632E+00,1.154E-01,3.093E+00,1.744E+00,-5.604E-02,1.498E+00,1.838E+00,3.142E+00,3.624E-04,2.506E+00,2.512E+00,5.958E-02,4.763E+00
10,0.000E+00,1.945E-03,8.969E-04,0.000E+00,0.000E+00,0.000E+00,1.677E-03,7.802E-03,2.444E-01,1.751E+00,3.469E-02,1.006E+00,2.254E+00,3.142E+00,-1.558E-03,2.508E+00,2.484E+00,2.391E-01,1.569E+00,1.708E+00,-1.214E-01,2.237E+00,1.694E+00,3.142E+00,-2.492E-03,2.673E+00,2.632E+00,1.153E-01,3.093E+00,1.744E+00,-6.121E-02,1.513E+00,1.853E+00,3.142E+00,6.929E-04,2.508E+00,2.519E+00,5.967E-02,4.758E+00
11,0.000E+00,2.025E-03,9.136E-04,0.000E+00,0.000E+00,0.000E+00,1.713E-03,7.940E-03,2.500E-01,1.691E+00,2.899E-03,1.234E+00,2.207E+00,3.142E+00,-1.563E-03,2.518E+00,2.494E+00,2.389E-01,1.570E+00,1.708E+00,-1.338E-01,2.303E+00,1.706E+00,3.142E+00,-2.373E-03,2.667E+00,2.628E+00,1.150E-01,3.101E+00,1.751E+00,-6.415E-02,1.505E+00,1.838E+00,3.142E+00,-1.126E-04,2.513E+00,2.511E+00,5.975E-02,4.753E+00
12,0.000E+00,2.104E-03,9.303E-04,0.000E+00,0.000E+00,0.000E+00,1.748E-03,8.078E-03,2.556E-01,1.674E+00,-2.889E-02,1.461E+00,2.160E+00,3.142E+00,-1.568E-03,2.528E+00,2.503E+00,2.387E-01,1.572E+00,1.709E+00,-1.462E-01,2.368E+00,1.718E+00,3.142E+00,-2.253E-03,2.661E+00,2.624E+00,1.147E-01,3.109E+00,1.758E+00,-6.709E-02,1.497E+00,1.824E+00,3.142E+00,-9.182E-04,2.518E+00,2.503E+00,5.982E-02,4.749E+00
