alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,3.955E-03,0.000E+00,0.000E+00,7.500E-05,2.445E-04,1.591E-03,6.998E-03,3.857E-01,1.735E+00,-1.619E-02,1.539E+00,1.614E+00,3.142E+00,-5.611E-03,2.624E+00,2.534E+00,6.199E-02,3.879E+00,1.646E+00,-1.789E-03,1.768E+00,1.781E+00,3.142E+00,-3.972E-03,2.810E+00,2.740E+00,1.115E-01,3.183E+00,1.664E+00,-1.183E-02,1.805E+00,1.699E+00,3.142E+00,-7.462E-03,2.735E+00,2.610E+00,5.241E-02,5.246E+00
1,0.000E+00,3.968E-03,0.000E+00,0.000E+00,7.822E-05,2.550E-04,1.603E-03,7.019E-03,3.874E-01,1.743E+00,-2.034E-02,1.548E+00,1.585E+00,3.142E+00,-5.481E-03,2.599E+00,2.512E+00,6.237E-02,3.863E+00,1.644E+00,-1.662E-03,1.749E+00,1.813E+00,3.142E+00,-3.838E-03,2.811E+00,2.743E+00,1.114E-01,3.185E+00,1.675E+00,-2.346E-02,1.853E+00,1.666E+00,3.142E+00,-7.413E-03,2.726E+00,2.603E+00,5.316E-02,5.195E+00
2,0.000E+00,3.981E-03,0.000E+00,0.000E+00,8.145E-05,2.654E-04,1.615E-03,7.040E-03,3.891E-01,1.752E+00,-2.450E-02,1.557E+00,1.555E+00,3.142E+00,-5.351E-03,2.574E+00,2.489E+00,6.275E-02,3.847E+00,1.641E+00,-1.536E-03,1.730E+00,1.845E+00,3.142E+00,-3.704E-03,2.812E+00,2.747E+00,1.114E-01,3.186E+00,1.685E+00,-3.509E-02,1.901E+00,1.632E+00,3.142E+00,-7.364E-03,2.718E+00,2.595E+00,5.390E-02,5.143E+00
3,0.000E+00,3.994E-03,0.000E+00,0.000E+00,8.467E-05,2.759E-04,1.627E-03,7.062E-03,3.909E-01,1.761E+00,-2.866E-02,1.566E+00,1.526E+00,3.142E+00,-5.221E-03,2.549E+00,2.467E+00,6.314E-02,3.831E+00,1.640E+00,-1.409E-03,1.711E+00,1.876E+00,3.142E+00,-3.571E-03,2.813E+00,2.750E+00,1.113E-01,3.188E+00,1.696E+00,-4.672E-02,1.949E+00,1.598E+00,3.142E+00,-7.315E-03,2.709E+00,2.588E+00,5.465E-02,5.092E+00
4,0.000E+00,4.001E-03,0.000E+00,0.000E+00,8.628E-05,2.811E-04,1.633E-03,7.073E-03,3.918E-01,1.765E+00,-3.074E-02,1.571E+00,1.511E+00,3.142E+00,-5.156E-03,2.536E+00,2.456E+00,6.333E-02,3.823E+00,1.639E+00,-1.346E-03,1.701E+00,1.892E+00,3.142E+00,-3.504E-03,2.814E+00,2.752E+00,1.113E-01,3.189E+00,1.702E+00,-5.253E-02,1.973E+00,1.581E+00,3.142E+00,-7.291E-03,2.705E+00,2.584E+00,5.502E-02,5.067E+00
5,0.000E+00,4.007E-03,0.000E+00,0.000E+00,8.789E-05,2.863E-04,1.639E-03,7.083E-03,3.926E-01,1.769E+00,-3.282E-02,1.575E+00,1.497E+00,3.142E+00,-5.091E-03,2.524E+00,2.445E+00,6.352E-02,3.815E+00,1.638E+00,-1.283E-03,1.692E+00,1.908E+00,3.142E+00,-3.437E-03,2.815E+00,2.754E+00,1.112E-01,3.190E+00,1.707E+00,-5.835E-02,1.998E+00,1.564E+00,3.142E+00,-7.266E-03,2.700E+00,2.580E+00,5.540E-02,5.041E+00
6,0.000E+00,4.020E-03,0.000E+00,0.000E+00,9.111E-05,2.968E-04,1.651E-03,7.105E-03,3.944E-01,1.778E+00,-3.698E-02,1.584E+00,1.467E+00,3.142E+00,-4.961E-03,2.499E+00,2.423E+00,6.390E-02,3.799E+00,1.636E+00,-1.156E-03,1.673E+00,1.940E+00,3.142E+00,-3.303E-03,2.816E+00,2.758E+00,1.112E-01,3.192E+00,1.719E+00,-6.997E-02,2.046E+00,1.531E+00,3.142E+00,-7.217E-03,2.692E+00,2.573E+00,5.614E-02,4.990E+00
7,0.000E+00,4.033E-03,0.000E+00,0.000E+00,9.434E-05,3.072E-04,1.663E-03,7.126E-03,3.961E-01,1.787E+00,-4.114E-02,1.593E+00,1.438E+00,3.142E+00,-4.831E-03,2.473E+00,2.401E+00,6.428E-02,3.783E+00,1.635E+00,-1.030E-03,1.653E+00,1.972E+00,3.142E+00,-3.169E-03,2.817E+00,2.761E+00,1.111E-01,3.193E+00,1.731E+00,-8.160E-02,2.094E+00,1.497E+00,3.142E+00,-7.168E-03,2.683E+00,2.566E+00,5.689E-02,4.939E+00
8,0.000E+00,4.046E-03,0.000E+00,0.000E+00,9.756E-05,3.177E-04,1.675E-03,7.147E-03,3.979E-01,1.797E+00,-4.530E-02,1.602E+00,1.409E+00,3.142E+00,-4.701E-03,2.448E+00,2.379E+00,6.466E-02,3.766E+00,1.633E+00,-9.035E-04,1.634E+00,2.004E+00,3.142E+00,-3.035E-03,2.818E+00,2.765E+00,1.110E-01,3.195E+00,1.743E+00,-9.323E-02,2.142E+00,1.463E+00,3.142E+00,-7.119E-03,2.674E+00,2.558E+00,5.764E-02,4.888E+00
9,0.000E+00,4.052E-03,0.000E+00,0.000E+00,9.917E-05,3.229E-04,1.681E-03,7.158E-03,3.988E-01,1.801E+00,-4.738E-02,1.607E+00,1.394E+00,3.142E+00,-4.636E-03,2.436E+00,2.368E+00,6.486E-02,3.758E+00,1.633E+00,-8.403E-04,1.625E+00,2.020E+00,3.142E+00,-2.968E-03,2.819E+00,2.766E+00,1.110E-01,3.196E+00,1.749E+00,-9.904E-02,2.166E+00,1.447E+00,3.142E+00,-7.095E-03,2.670E+00,2.554E+00,5.801E-02,4.863E+00
