alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,2.332E-03,6.898E-04,0.000E+00,0.000E+00,0.000E+00,1.656E-03,6.963E-03,3.075E-01,1.830E+00,3.692E-02,1.162E+00,1.488E+00,3.142E+00,1.120E-03,2.389E+00,2.405E+00,6.219E-02,3.871E+00,1.684E+00,-6.866E-02,2.322E+00,1.504E+00,3.142E+00,-2.511E-03,2.711E+00,2.669E+00,1.126E-01,3.157E+00,1.728E+00,-3.870E-02,1.874E+00,1.466E+00,3.142E+00,-3.594E-03,2.463E+00,2.409E+00,6.040E-02,4.714E+00
1,0.000E+00,2.355E-03,7.031E-04,0.000E+00,0.000E+00,0.000E+00,1.660E-03,6.996E-03,3.098E-01,1.809E+00,1.975E-02,1.256E+00,1.477E+00,3.142E+00,3.956E-04,2.404E+00,2.410E+00,6.260E-02,3.853E+00,1.679E+00,-6.691E-02,2.276E+00,1.546E+00,3.142E+00,-2.568E-03,2.724E+00,2.680E+00,1.124E-01,3.162E+00,1.722E+00,-3.056E-02,1.791E+00,1.517E+00,3.142E+00,-3.688E-03,2.469E+00,2.414E+00,6.057E-02,4.704E+00
2,0.000E+00,2.378E-03,7.164E-04,0.000E+00,0.000E+00,0.000E+00,1.664E-03,7.028E-03,3.121E-01,1.788E+00,2.585E-03,1.350E+00,1.465E+00,3.142E+00,-3.289E-04,2.420E+00,2.415E+00,6.301E-02,3.836E+00,1.675E+00,-6.515E-02,2.231E+00,1.587E+00,3.142E+00,-2.626E-03,2.737E+00,2.692E+00,1.122E-01,3.167E+00,1.718E+00,-2.242E-02,1.707E+00,1.568E+00,3.142E+00,-3.782E-03,2.476E+00,2.419E+00,6.074E-02,4.694E+00
3,0.000E+00,2.401E-03,7.297E-04,0.000E+00,0.000E+00,0.000E+00,1.668E-03,7.061E-03,3.144E-01,1.786E+00,-1.458E-02,1.444E+00,1.453E+00,3.142E+00,-1.053E-03,2.436E+00,2.419E+00,6.342E-02,3.819E+00,1.672E+00,-6.340E-02,2.186E+00,1.629E+00,3.142E+00,-2.683E-03,2.750E+00,2.703E+00,1.120E-01,3.173E+00,1.715E+00,-1.428E-02,1.624E+00,1.619E+00,3.142E+00,-3.876E-03,2.482E+00,2.423E+00,6.091E-02,4.684E+00
4,0.000E+00,2.412E-03,7.363E-04,0.000E+00,0.000E+00,0.000E+00,1.670E-03,7.077E-03,3.155E-01,1.787E+00,-2.316E-02,1.491E+00,1.447E+00,3.142E+00,-1.416E-03,2.443E+00,2.422E+00,6.363E-02,3.810E+00,1.670E+00,-6.252E-02,2.163E+00,1.649E+00,3.142E+00,-2.712E-03,2.756E+00,2.709E+00,1.118E-01,3.175E+00,1.714E+00,-1.021E-02,1.582E+00,1.645E+00,3.142E+00,-3.923E-03,2.485E+00,2.426E+00,6.100E-02,4.679E+00
5,0.000E+00,2.423E-03,7.430E-04,0.000E+00,0.000E+00,0.000E+00,1.671E-03,7.093E-03,3.166E-01,1.788E+00,-3.175E-02,1.538E+00,1.442E+00,3.142E+00,-1.778E-03,2.451E+00,2.424E+00,6.384E-02,3.802E+00,1.668E+00,-6.165E-02,2.141E+00,1.670E+00,3.142E+00,-2.741E-03,2.762E+00,2.715E+00,1.117E-01,3.178E+00,1.713E+00,-6.141E-03,1.541E+00,1.670E+00,3.142E+00,-3.970E-03,2.488E+00,2.428E+00,6.108E-02,4.674E+00
6,0.000E+00,2.446E-03,7.562E-04,0.000E+00,0.000E+00,0.000E+00,1.675E-03,7.126E-03,3.189E-01,1.790E+00,-4.891E-02,1.632E+00,1.430E+00,3.142E+00,-2.502E-03,2.467E+00,2.429E+00,6.425E-02,3.784E+00,1.665E+00,-5.989E-02,2.095E+00,1.712E+00,3.142E+00,-2.798E-03,2.775E+00,2.726E+00,1.115E-01,3.183E+00,1.714E+00,1.999E-03,1.458E+00,1.721E+00,3.142E+00,-4.064E-03,2.494E+00,2.433E+00,6.125E-02,4.664E+00
7,0.000E+00,2.469E-03,7.695E-04,0.000E+00,0.000E+00,0.000E+00,1.679E-03,7.158E-03,3.212E-01,1.793E+00,-6.608E-02,1.726E+00,1.418E+00,3.142E+00,-3.227E-03,2.483E+00,2.433E+00,6.466E-02,3.767E+00,1.663E+00,-5.814E-02,2.050E+00,1.753E+00,3.142E+00,-2.856E-03,2.788E+00,2.738E+00,1.113E-01,3.188E+00,1.724E+00,1.014E-02,1.374E+00,1.772E+00,3.142E+00,-4.158E-03,2.501E+00,2.437E+00,6.142E-02,4.655E+00
8,0.000E+00,2.492E-03,7.828E-04,0.000E+00,0.000E+00,0.000E+00,1.683E-03,7.191E-03,3.235E-01,1.797E+00,-8.324E-02,1.820E+00,1.407E+00,3.142E+00,-3.951E-03,2.498E+00,2.438E+00,6.507E-02,3.750E+00,1.660E+00,-5.639E-02,2.005E+00,1.795E+00,3.142E+00,-2.913E-03,2.801E+00,2.749E+00,1.111E-01,3.194E+00,1.735E+00,1.828E-02,1.291E+00,1.823E+00,3.142E+00,-4.252E-03,2.507E+00,2.442E+00,6.159E-02,4.645E+00
9,0.000E+00,2.503E-03,7.895E-04,0.000E+00,0.000E+00,0.000E+00,1.685E-03,7.207E-03,3.246E-01,1.799E+00,-9.183E-02,1.867E+00,1.401E+00,3.142E+00,-4.313E-03,2.506E+00,2.440E+00,6.528E-02,3.741E+00,1.659E+00,-5.551E-02,1.982E+00,1.815E+00,3.142E+00,-2.942E-03,2.807E+00,2.755E+00,1.110E-01,3.196E+00,1.742E+00,2.235E-02,1.250E+00,1.849E+00,3.142E+00,-4.298E-03,2.510E+00,2.444E+00,6.168E-02,4.640E+00
10,0.000E+00,2.515E-03,7.961E-04,0.000E+00,0.000E+00,0.000E+00,1.687E-03,7.223E-03,3.257E-01,1.801E+00,-1.004E-01,1.914E+00,1.395E+00,3.142E+00,-4.676E-03,2.514E+00,2.443E+00,6.548E-02,3.733E+00,1.658E+00,-5.463E-02,1.959E+00,1.836E+00,3.142E+00,-2.971E-03,2.814E+00,2.761E+00,1.109E-01,3.199E+00,1.748E+00,2.642E-02,1.208E+00,1.875E+00,3.142E+00,-4.345E-03,2.513E+00,2.447E+00,6.176E-02,4.635E+00
11,0.000E+00,2.548E-03,8.125E-04,0.000E+00,0.000E+00,0.000E+00,1.717E-03,7.371E-03,3.313E-01,1.797E+00,-1.025E-01,1.905E+00,1.426E+00,3.142E+00,-4.129E-03,2.494E+00,2.431E+00,6.539E-02,3.736E+00,1.657E+00,-5.664E-02,1.944E+00,1.874E+00,3.142E+00,-2.694E-03,2.805E+00,2.757E+00,1.108E-01,3.199E+00,1.731E+00,9.828E-03,1.286E+00,1.858E+00,3.142E+00,-4.303E-03,2.513E+00,2.447E+00,6.175E-02,4.636E+00
12,0.000E+00,2.582E-03,8.289E-04,0.000E+00,0.000E+00,0.000E+00,1.746E-03,7.518E-03,3.368E-01,1.794E+00,-1.047E-01,1.896E+00,1.457E+00,3.142E+00,-3.582E-03,2.473E+00,2.419E+00,6.529E-02,3.740E+00,1.655E+00,-5.865E-02,1.928E+00,1.912E+00,3.142E+00,-2.417E-03,2.796E+00,2.753E+00,1.108E-01,3.200E+00,1.722E+00,-6.764E-03,1.364E+00,1.842E+00,3.142E+00,-4.260E-03,2.512E+00,2.447E+00,6.173E-02,4.637E+00
