alpha,H,Mg,S,Mg_1,S_1,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,2.783E-03,5.966E-03,2.985E-03,3.299E-01,1.782E+00,-6.486E-03,1.422E+00,1.450E+00,3.142E+00,1.672E-04,2.395E+00,2.398E+00,2.236E-01,1.663E+00,1.944E+00,-2.606E-02,1.299E+00,1.022E+00,3.142E+00,6.784E-03,2.065E+00,2.150E+00,1.194E-01,2.692E+00
1,0.000E+00,0.000E+00,2.789E-03,6.033E-03,3.023E-03,3.330E-01,1.778E+00,-2.934E-02,1.563E+00,1.449E+00,3.142E+00,5.042E-04,2.384E+00,2.391E+00,2.238E-01,1.661E+00,1.932E+00,-5.265E-02,1.445E+00,1.051E+00,3.142E+00,6.868E-03,2.060E+00,2.146E+00,1.194E-01,2.692E+00
2,0.000E+00,0.000E+00,2.796E-03,6.101E-03,3.061E-03,3.361E-01,1.776E+00,-5.220E-02,1.703E+00,1.448E+00,3.142E+00,8.412E-04,2.372E+00,2.384E+00,2.240E-01,1.660E+00,1.922E+00,-7.924E-02,1.591E+00,1.079E+00,3.142E+00,6.953E-03,2.055E+00,2.142E+00,1.194E-01,2.693E+00
3,0.000E+00,0.000E+00,2.802E-03,6.168E-03,3.099E-03,3.391E-01,1.775E+00,-7.505E-02,1.844E+00,1.446E+00,3.142E+00,1.178E-03,2.360E+00,2.377E+00,2.243E-01,1.659E+00,1.913E+00,-1.058E-01,1.737E+00,1.108E+00,3.142E+00,7.038E-03,2.050E+00,2.138E+00,1.194E-01,2.693E+00
4,0.000E+00,0.000E+00,2.806E-03,6.202E-03,3.118E-03,3.407E-01,1.775E+00,-8.648E-02,1.914E+00,1.446E+00,3.142E+00,1.347E-03,2.354E+00,2.373E+00,2.244E-01,1.658E+00,1.910E+00,-1.191E-01,1.810E+00,1.123E+00,3.142E+00,7.080E-03,2.048E+00,2.136E+00,1.194E-01,2.693E+00
5,0.000E+00,0.000E+00,2.809E-03,6.236E-03,3.137E-03,3.422E-01,1.776E+00,-9.791E-02,1.984E+00,1.445E+00,3.142E+00,1.515E-03,2.348E+00,2.370E+00,2.245E-01,1.657E+00,1.906E+00,-1.324E-01,1.883E+00,1.137E+00,3.142E+00,7.122E-03,2.045E+00,2.134E+00,1.193E-01,2.693E+00
6,0.000E+00,0.000E+00,2.816E-03,6.303E-03,3.175E-03,3.453E-01,1.777E+00,-1.208E-01,2.125E+00,1.444E+00,3.142E+00,1.852E-03,2.337E+00,2.363E+00,2.247E-01,1.656E+00,1.901E+00,-1.590E-01,2.029E+00,1.166E+00,3.142E+00,7.207E-03,2.040E+00,2.129E+00,1.193E-01,2.694E+00
7,0.000E+00,0.000E+00,2.822E-03,6.371E-03,3.213E-03,3.483E-01,1.779E+00,-1.436E-01,2.265E+00,1.442E+00,3.142E+00,2.189E-03,2.325E+00,2.356E+00,2.249E-01,1.655E+00,1.896E+00,-1.856E-01,2.175E+00,1.195E+00,3.142E+00,7.292E-03,2.035E+00,2.125E+00,1.193E-01,2.694E+00
8,0.000E+00,0.000E+00,2.829E-03,6.438E-03,3.251E-03,3.514E-01,1.783E+00,-1.665E-01,2.406E+00,1.441E+00,3.142E+00,2.526E-03,2.313E+00,2.349E+00,2.251E-01,1.653E+00,1.892E+00,-2.122E-01,2.321E+00,1.224E+00,3.142E+00,7.376E-03,2.030E+00,2.121E+00,1.193E-01,2.694E+00
9,0.000E+00,0.000E+00,2.832E-03,6.472E-03,3.270E-03,3.529E-01,1.785E+00,-1.779E-01,2.476E+00,1.440E+00,3.142E+00,2.695E-03,2.307E+00,2.345E+00,2.252E-01,1.653E+00,1.891E+00,-2.255E-01,2.394E+00,1.238E+00,3.142E+00,7.419E-03,2.028E+00,2.119E+00,1.193E-01,2.694E+00
10,0.000E+00,0.000E+00,2.835E-03,6.505E-03,3.289E-03,3.545E-01,1.787E+00,-1.893E-01,2.546E+00,1.440E+00,3.142E+00,2.863E-03,2.301E+00,2.341E+00,2.253E-01,1.652E+00,1.889E+00,-2.388E-01,2.467E+00,1.252E+00,3.142E+00,7.461E-03,2.025E+00,2.117E+00,1.193E-01,2.695E+00
11,0.000E+00,0.000E+00,2.917E-03,6.619E-03,3.340E-03,3.615E-01,1.785E+00,-2.057E-01,2.706E+00,1.432E+00,3.142E+00,2.529E-03,2.305E+00,2.341E+00,2.240E-01,1.660E+00,1.876E+00,-2.671E-01,2.817E+00,1.249E+00,3.142E+00,6.460E-03,2.051E+00,2.130E+00,1.186E-01,2.708E+00
12,0.000E+00,0.000E+00,2.999E-03,6.732E-03,3.391E-03,3.685E-01,1.784E+00,-2.220E-01,2.866E+00,1.425E+00,3.142E+00,2.195E-03,2.309E+00,2.340E+00,2.227E-01,1.669E+00,1.867E+00,-2.954E-01,3.166E+00,1.246E+00,3.142E+00,5.458E-03,2.076E+00,2.143E+00,1.178E-01,2.722E+00
13,0.000E+00,0.000E+00,3.082E-03,6.846E-03,3.442E-03,3.755E-01,1.784E+00,-2.383E-01,3.026E+00,1.418E+00,3.142E+00,1.861E-03,2.313E+00,2.340E+00,2.215E-01,1.677E+00,1.862E+00,-3.237E-01,3.516E+00,1.243E+00,3.142E+00,4.456E-03,2.101E+00,2.156E+00,1.171E-01,2.735E+00
14,0.000E+00,0.000E+00,3.123E-03,6.903E-03,3.467E-03,3.790E-01,1.785E+00,-2.465E-01,3.106E+00,1.414E+00,3.142E+00,1.694E-03,2.315E+00,2.339E+00,2.208E-01,1.682E+00,1.861E+00,-3.378E-01,3.691E+00,1.241E+00,3.142E+00,3.955E-03,2.114E+00,2.162E+00,1.168E-01,2.742E+00
15,0.000E+00,0.000E+00,3.164E-03,6.959E-03,3.493E-03,3.825E-01,1.785E+00,-2.546E-01,3.186E+00,1.410E+00,3.142E+00,1.527E-03,2.317E+00,2.339E+00,2.202E-01,1.686E+00,1.860E+00,-3.520E-01,3.865E+00,1.240E+00,3.142E+00,3.455E-03,2.127E+00,2.169E+00,1.164E-01,2.749E+00
16,0.000E+00,0.000E+00,3.246E-03,7.073E-03,3.543E-03,3.896E-01,1.787E+00,-2.710E-01,3.346E+00,1.403E+00,3.142E+00,1.193E-03,2.321E+00,2.338E+00,2.189E-01,1.694E+00,1.860E+00,-3.803E-01,4.215E+00,1.236E+00,3.142E+00,2.453E-03,2.152E+00,2.182E+00,1.157E-01,2.763E+00
17,0.000E+00,0.000E+00,3.328E-03,7.186E-03,3.594E-03,3.966E-01,1.789E+00,-2.873E-01,3.506E+00,1.396E+00,3.142E+00,8.587E-04,2.326E+00,2.338E+00,2.176E-01,1.703E+00,1.862E+00,-4.086E-01,4.564E+00,1.233E+00,3.142E+00,1.451E-03,2.177E+00,2.195E+00,1.150E-01,2.776E+00
18,0.000E+00,0.000E+00,3.410E-03,7.300E-03,3.645E-03,4.036E-01,1.792E+00,-3.036E-01,3.666E+00,1.388E+00,3.142E+00,5.246E-04,2.330E+00,2.337E+00,2.163E-01,1.711E+00,1.866E+00,-4.369E-01,4.914E+00,1.230E+00,3.142E+00,4.496E-04,2.203E+00,2.208E+00,1.143E-01,2.790E+00
19,0.000E+00,0.000E+00,3.451E-03,7.357E-03,3.671E-03,4.071E-01,1.794E+00,-3.118E-01,3.746E+00,1.385E+00,3.142E+00,3.575E-04,2.332E+00,2.337E+00,2.157E-01,1.716E+00,1.868E+00,-4.510E-01,5.089E+00,1.228E+00,3.142E+00,-5.123E-05,2.215E+00,2.214E+00,1.139E-01,2.796E+00
20,0.000E+00,0.000E+00,3.492E-03,7.413E-03,3.696E-03,4.106E-01,1.796E+00,-3.200E-01,3.826E+00,1.381E+00,3.142E+00,1.905E-04,2.334E+00,2.336E+00,2.150E-01,1.720E+00,1.871E+00,-4.652E-01,5.263E+00,1.227E+00,3.142E+00,-5.521E-04,2.228E+00,2.221E+00,1.135E-01,2.803E+00
21,0.000E+00,0.000E+00,3.586E-03,7.667E-03,3.877E-03,4.256E-01,1.781E+00,-3.204E-01,3.840E+00,1.433E+00,3.142E+00,3.067E-04,2.344E+00,2.349E+00,2.146E-01,1.723E+00,1.859E+00,-4.632E-01,5.183E+00,1.271E+00,3.142E+00,-6.578E-04,2.228E+00,2.220E+00,1.130E-01,2.815E+00
22,0.000E+00,0.000E+00,3.680E-03,7.920E-03,4.058E-03,4.406E-01,1.767E+00,-3.209E-01,3.855E+00,1.485E+00,3.142E+00,4.228E-04,2.355E+00,2.361E+00,2.142E-01,1.725E+00,1.848E+00,-4.613E-01,5.102E+00,1.315E+00,3.142E+00,-7.635E-04,2.229E+00,2.218E+00,1.124E-01,2.826E+00
23,0.000E+00,0.000E+00,3.774E-03,8.174E-03,4.239E-03,4.556E-01,1.754E+00,-3.214E-01,3.869E+00,1.537E+00,3.142E+00,5.390E-04,2.366E+00,2.374E+00,2.138E-01,1.728E+00,1.837E+00,-4.594E-01,5.021E+00,1.359E+00,3.142E+00,-8.692E-04,2.229E+00,2.217E+00,1.119E-01,2.837E+00
24,0.000E+00,0.000E+00,3.821E-03,8.300E-03,4.329E-03,4.631E-01,1.747E+00,-3.216E-01,3.877E+00,1.563E+00,3.142E+00,5.970E-04,2.371E+00,2.380E+00,2.136E-01,1.730E+00,1.832E+00,-4.584E-01,4.981E+00,1.381E+00,3.142E+00,-9.220E-04,2.229E+00,2.217E+00,1.116E-01,2.843E+00
25,0.000E+00,0.000E+00,3.868E-03,8.427E-03,4.420E-03,4.705E-01,1.740E+00,-3.218E-01,3.884E+00,1.588E+00,3.142E+00,6.551E-04,2.376E+00,2.386E+00,2.134E-01,1.731E+00,1.827E+00,-4.574E-01,4.941E+00,1.403E+00,3.142E+00,-9.749E-04,2.229E+00,2.216E+00,1.113E-01,2.848E+00
26,0.000E+00,0.000E+00,3.962E-03,8.680E-03,4.601E-03,4.855E-01,1.728E+00,-3.223E-01,3.898E+00,1.640E+00,3.142E+00,7.713E-04,2.387E+00,2.398E+00,2.131E-01,1.734E+00,1.818E+00,-4.555E-01,4.860E+00,1.447E+00,3.142E+00,-1.081E-03,2.229E+00,2.215E+00,1.108E-01,2.860E+00
27,0.000E+00,0.000E+00,4.056E-03,8.934E-03,4.782E-03,5.005E-01,1.715E+00,-3.228E-01,3.913E+00,1.692E+00,3.142E+00,8.874E-04,2.398E+00,2.411E+00,2.127E-01,1.736E+00,1.808E+00,-4.535E-01,4.779E+00,1.491E+00,3.142E+00,-1.186E-03,2.230E+00,2.214E+00,1.102E-01,2.871E+00
28,0.000E+00,0.000E+00,4.150E-03,9.187E-03,4.963E-03,5.155E-01,1.704E+00,-3.232E-01,3.927E+00,1.744E+00,3.142E+00,1.004E-03,2.408E+00,2.423E+00,2.123E-01,1.739E+00,1.800E+00,-4.516E-01,4.699E+00,1.535E+00,3.142E+00,-1.292E-03,2.230E+00,2.213E+00,1.097E-01,2.882E+00
29,0.000E+00,0.000E+00,4.198E-03,9.314E-03,5.053E-03,5.230E-01,1.698E+00,-3.235E-01,3.934E+00,1.770E+00,3.142E+00,1.062E-03,2.414E+00,2.429E+00,2.121E-01,1.741E+00,1.795E+00,-4.506E-01,4.658E+00,1.557E+00,3.142E+00,-1.345E-03,2.230E+00,2.212E+00,1.094E-01,2.888E+00
30,0.000E+00,0.000E+00,4.245E-03,9.441E-03,5.144E-03,5.304E-01,1.692E+00,-3.237E-01,3.942E+00,1.796E+00,3.142E+00,1.120E-03,2.419E+00,2.436E+00,2.119E-01,1.742E+00,1.791E+00,-4.496E-01,4.618E+00,1.579E+00,3.142E+00,-1.398E-03,2.230E+00,2.212E+00,1.091E-01,2.893E+00
31,0.000E+00,0.000E+00,4.544E-03,1.018E-02,5.573E-03,5.718E-01,1.694E+00,-3.256E-01,3.939E+00,1.795E+00,3.142E+00,7.948E-04,2.439E+00,2.450E+00,2.114E-01,1.745E+00,1.790E+00,-4.491E-01,4.570E+00,1.592E+00,3.142E+00,-1.104E-03,2.240E+00,2.226E+00,1.084E-01,2.910E+00
32,0.000E+00,0.000E+00,4.694E-03,1.055E-02,5.788E-03,5.925E-01,1.695E+00,-3.266E-01,3.937E+00,1.794E+00,3.142E+00,6.324E-04,2.449E+00,2.458E+00,2.112E-01,1.747E+00,1.790E+00,-4.489E-01,4.546E+00,1.598E+00,3.142E+00,-9.571E-04,2.246E+00,2.233E+00,1.080E-01,2.918E+00
33,0.000E+00,0.000E+00,4.844E-03,1.092E-02,6.002E-03,6.132E-01,1.696E+00,-3.276E-01,3.936E+00,1.793E+00,3.142E+00,4.699E-04,2.459E+00,2.465E+00,2.109E-01,1.749E+00,1.790E+00,-4.486E-01,4.522E+00,1.605E+00,3.142E+00,-8.103E-04,2.251E+00,2.240E+00,1.077E-01,2.926E+00
34,0.000E+00,0.000E+00,4.994E-03,1.129E-02,6.217E-03,6.338E-01,1.697E+00,-3.285E-01,3.934E+00,1.792E+00,3.142E+00,3.075E-04,2.468E+00,2.473E+00,2.107E-01,1.750E+00,1.789E+00,-4.483E-01,4.498E+00,1.611E+00,3.142E+00,-6.634E-04,2.256E+00,2.247E+00,1.073E-01,2.934E+00
35,0.000E+00,0.000E+00,5.144E-03,1.166E-02,6.432E-03,6.545E-01,1.698E+00,-3.295E-01,3.932E+00,1.792E+00,3.142E+00,1.450E-04,2.478E+00,2.480E+00,2.104E-01,1.752E+00,1.789E+00,-4.481E-01,4.473E+00,1.618E+00,3.142E+00,-5.165E-04,2.261E+00,2.254E+00,1.069E-01,2.942E+00
36,0.000E+00,0.000E+00,5.294E-03,1.203E-02,6.646E-03,6.752E-01,1.699E+00,-3.305E-01,3.931E+00,1.791E+00,3.142E+00,-1.744E-05,2.488E+00,2.487E+00,2.102E-01,1.754E+00,1.788E+00,-4.478E-01,4.449E+00,1.624E+00,3.142E+00,-3.697E-04,2.266E+00,2.261E+00,1.066E-01,2.950E+00
37,0.000E+00,0.000E+00,5.444E-03,1.240E-02,6.861E-03,6.959E-01,1.700E+00,-3.314E-01,3.929E+00,1.790E+00,3.142E+00,-1.799E-04,2.498E+00,2.495E+00,2.100E-01,1.756E+00,1.788E+00,-4.476E-01,4.425E+00,1.630E+00,3.142E+00,-2.228E-04,2.271E+00,2.268E+00,1.062E-01,2.958E+00
38,0.000E+00,0.000E+00,5.594E-03,1.277E-02,7.076E-03,7.165E-01,1.701E+00,-3.324E-01,3.928E+00,1.790E+00,3.142E+00,-3.423E-04,2.508E+00,2.502E+00,2.097E-01,1.757E+00,1.788E+00,-4.473E-01,4.401E+00,1.637E+00,3.142E+00,-7.595E-05,2.276E+00,2.275E+00,1.059E-01,2.966E+00
39,0.000E+00,0.000E+00,5.744E-03,1.314E-02,7.290E-03,7.372E-01,1.702E+00,-3.334E-01,3.926E+00,1.789E+00,3.142E+00,-5.048E-04,2.518E+00,2.509E+00,2.095E-01,1.759E+00,1.787E+00,-4.471E-01,4.377E+00,1.643E+00,3.142E+00,7.091E-05,2.281E+00,2.282E+00,1.055E-01,2.974E+00
40,0.000E+00,0.000E+00,5.894E-03,1.351E-02,7.505E-03,7.579E-01,1.703E+00,-3.343E-01,3.925E+00,1.788E+00,3.142E+00,-6.673E-04,2.528E+00,2.517E+00,2.093E-01,1.761E+00,1.787E+00,-4.468E-01,4.353E+00,1.650E+00,3.142E+00,2.178E-04,2.286E+00,2.290E+00,1.051E-01,2.982E+00
41,0.000E+00,0.000E+00,6.044E-03,1.388E-02,7.720E-03,7.786E-01,1.704E+00,-3.353E-01,3.923E+00,1.787E+00,3.142E+00,-8.297E-04,2.538E+00,2.524E+00,2.090E-01,1.762E+00,1.787E+00,-4.465E-01,4.329E+00,1.656E+00,3.142E+00,3.646E-04,2.291E+00,2.297E+00,1.048E-01,2.990E+00
42,0.000E+00,0.000E+00,6.194E-03,1.425E-02,7.934E-03,7.993E-01,1.705E+00,-3.363E-01,3.922E+00,1.787E+00,3.142E+00,-9.922E-04,2.548E+00,2.532E+00,2.088E-01,1.764E+00,1.786E+00,-4.463E-01,4.305E+00,1.663E+00,3.142E+00,5.115E-04,2.296E+00,2.304E+00,1.044E-01,2.998E+00
43,0.000E+00,0.000E+00,6.344E-03,1.462E-02,8.149E-03,8.199E-01,1.706E+00,-3.372E-01,3.920E+00,1.786E+00,3.142E+00,-1.155E-03,2.558E+00,2.539E+00,2.086E-01,1.766E+00,1.786E+00,-4.460E-01,4.281E+00,1.669E+00,3.142E+00,6.583E-04,2.301E+00,2.311E+00,1.040E-01,3.007E+00
44,0.000E+00,0.000E+00,6.494E-03,1.499E-02,8.363E-03,8.406E-01,1.707E+00,-3.382E-01,3.919E+00,1.785E+00,3.142E+00,-1.317E-03,2.568E+00,2.546E+00,2.083E-01,1.768E+00,1.786E+00,-4.458E-01,4.257E+00,1.675E+00,3.142E+00,8.052E-04,2.306E+00,2.318E+00,1.037E-01,3.015E+00
45,0.000E+00,0.000E+00,6.644E-03,1.536E-02,8.578E-03,8.613E-01,1.708E+00,-3.392E-01,3.917E+00,1.785E+00,3.142E+00,-1.480E-03,2.577E+00,2.554E+00,2.081E-01,1.769E+00,1.785E+00,-4.455E-01,4.233E+00,1.682E+00,3.142E+00,9.521E-04,2.312E+00,2.325E+00,1.033E-01,3.023E+00
46,0.000E+00,0.000E+00,6.970E-03,1.609E-02,9.039E-03,9.044E-01,1.698E+00,-3.275E-01,3.768E+00,1.843E+00,3.142E+00,-1.247E-03,2.585E+00,2.565E+00,2.074E-01,1.775E+00,1.779E+00,-4.655E-01,4.675E+00,1.660E+00,3.142E+00,3.092E-04,2.331E+00,2.335E+00,1.034E-01,3.020E+00
47,0.000E+00,0.000E+00,7.295E-03,1.683E-02,9.500E-03,9.476E-01,1.689E+00,-3.159E-01,3.619E+00,1.901E+00,3.142E+00,-1.014E-03,2.593E+00,2.577E+00,2.066E-01,1.780E+00,1.775E+00,-4.856E-01,5.117E+00,1.638E+00,3.142E+00,-3.336E-04,2.351E+00,2.346E+00,1.036E-01,3.016E+00
48,0.000E+00,0.000E+00,7.621E-03,1.757E-02,9.961E-03,9.907E-01,1.681E+00,-3.043E-01,3.470E+00,1.960E+00,3.142E+00,-7.810E-04,2.601E+00,2.588E+00,2.059E-01,1.785E+00,1.774E+00,-5.056E-01,5.559E+00,1.616E+00,3.142E+00,-9.765E-04,2.371E+00,2.356E+00,1.037E-01,3.013E+00
49,0.000E+00,0.000E+00,7.784E-03,1.794E-02,1.019E-02,1.012E+00,1.677E+00,-2.985E-01,3.395E+00,1.989E+00,3.142E+00,-6.645E-04,2.605E+00,2.594E+00,2.055E-01,1.788E+00,1.774E+00,-5.156E-01,5.780E+00,1.605E+00,3.142E+00,-1.298E-03,2.380E+00,2.362E+00,1.038E-01,3.012E+00
50,0.000E+00,0.000E+00,7.947E-03,1.831E-02,1.042E-02,1.034E+00,1.674E+00,-2.927E-01,3.321E+00,2.018E+00,3.142E+00,-5.481E-04,2.609E+00,2.600E+00,2.052E-01,1.791E+00,1.774E+00,-5.256E-01,6.001E+00,1.594E+00,3.142E+00,-1.619E-03,2.390E+00,2.367E+00,1.038E-01,3.010E+00
51,0.000E+00,0.000E+00,8.441E-03,1.948E-02,1.113E-02,1.101E+00,1.654E+00,-3.132E-01,3.873E+00,1.976E+00,3.142E+00,-1.303E-04,2.598E+00,2.596E+00,2.052E-01,1.790E+00,1.730E+00,-5.530E-01,8.189E+00,1.556E+00,3.142E+00,-1.680E-03,2.395E+00,2.370E+00,1.035E-01,3.019E+00
52,0.000E+00,0.000E+00,8.935E-03,2.066E-02,1.184E-02,1.168E+00,1.640E+00,-3.337E-01,4.425E+00,1.933E+00,3.142E+00,2.874E-04,2.588E+00,2.592E+00,2.053E-01,1.790E+00,1.705E+00,-5.803E-01,1.038E+01,1.519E+00,3.142E+00,-1.741E-03,2.399E+00,2.373E+00,1.031E-01,3.028E+00
53,0.000E+00,0.000E+00,9.429E-03,2.183E-02,1.254E-02,1.235E+00,1.632E+00,-3.542E-01,4.977E+00,1.891E+00,3.142E+00,7.052E-04,2.577E+00,2.588E+00,2.054E-01,1.789E+00,1.694E+00,-6.076E-01,1.257E+01,1.481E+00,3.142E+00,-1.803E-03,2.403E+00,2.377E+00,1.027E-01,3.037E+00
54,0.000E+00,0.000E+00,9.676E-03,2.242E-02,1.290E-02,1.269E+00,1.630E+00,-3.645E-01,5.252E+00,1.870E+00,3.142E+00,9.141E-04,2.572E+00,2.586E+00,2.054E-01,1.789E+00,1.692E+00,-6.212E-01,1.366E+01,1.463E+00,3.142E+00,-1.833E-03,2.405E+00,2.378E+00,1.025E-01,3.041E+00
55,0.000E+00,0.000E+00,9.923E-03,2.301E-02,1.325E-02,1.302E+00,1.628E+00,-3.748E-01,5.528E+00,1.848E+00,3.142E+00,1.123E-03,2.566E+00,2.584E+00,2.055E-01,1.789E+00,1.691E+00,-6.349E-01,1.475E+01,1.444E+00,3.142E+00,-1.864E-03,2.407E+00,2.380E+00,1.023E-01,3.046E+00
56,0.000E+00,0.000E+00,1.042E-02,2.418E-02,1.396E-02,1.369E+00,1.628E+00,-3.953E-01,6.080E+00,1.806E+00,3.142E+00,1.541E-03,2.556E+00,2.580E+00,2.055E-01,1.788E+00,1.695E+00,-6.622E-01,1.694E+01,1.407E+00,3.142E+00,-1.925E-03,2.411E+00,2.383E+00,1.020E-01,3.055E+00
57,0.000E+00,0.000E+00,1.091E-02,2.536E-02,1.467E-02,1.436E+00,1.630E+00,-4.158E-01,6.632E+00,1.763E+00,3.142E+00,1.958E-03,2.545E+00,2.576E+00,2.056E-01,1.787E+00,1.704E+00,-6.895E-01,1.913E+01,1.369E+00,3.142E+00,-1.986E-03,2.415E+00,2.386E+00,1.016E-01,3.064E+00
58,0.000E+00,0.000E+00,1.141E-02,2.653E-02,1.538E-02,1.503E+00,1.635E+00,-4.363E-01,7.184E+00,1.721E+00,3.142E+00,2.376E-03,2.535E+00,2.572E+00,2.057E-01,1.787E+00,1.716E+00,-7.168E-01,2.132E+01,1.332E+00,3.142E+00,-2.047E-03,2.420E+00,2.390E+00,1.012E-01,3.072E+00
59,0.000E+00,0.000E+00,1.165E-02,2.712E-02,1.573E-02,1.537E+00,1.638E+00,-4.466E-01,7.460E+00,1.700E+00,3.142E+00,2.585E-03,2.529E+00,2.570E+00,2.057E-01,1.787E+00,1.723E+00,-7.305E-01,2.241E+01,1.313E+00,3.142E+00,-2.077E-03,2.422E+00,2.391E+00,1.010E-01,3.077E+00
60,0.000E+00,0.000E+00,1.190E-02,2.771E-02,1.608E-02,1.571E+00,1.642E+00,-4.569E-01,7.736E+00,1.678E+00,3.142E+00,2.794E-03,2.524E+00,2.568E+00,2.058E-01,1.786E+00,1.731E+00,-7.442E-01,2.351E+01,1.294E+00,3.142E+00,-2.108E-03,2.424E+00,2.393E+00,1.008E-01,3.081E+00
61,0.000E+00,0.000E+00,1.250E-02,2.965E-02,1.736E-02,1.678E+00,1.636E+00,-4.743E-01,8.734E+00,1.638E+00,3.142E+00,1.894E-03,2.538E+00,2.568E+00,2.044E-01,1.797E+00,1.702E+00,-7.230E-01,2.200E+01,1.369E+00,3.142E+00,-2.002E-03,2.406E+00,2.377E+00,1.007E-01,3.085E+00
62,0.000E+00,0.000E+00,1.310E-02,3.159E-02,1.864E-02,1.786E+00,1.634E+00,-4.918E-01,9.731E+00,1.597E+00,3.142E+00,9.946E-04,2.553E+00,2.568E+00,2.030E-01,1.807E+00,1.676E+00,-7.019E-01,2.049E+01,1.443E+00,3.142E+00,-1.896E-03,2.388E+00,2.360E+00,1.006E-01,3.088E+00
63,0.000E+00,0.000E+00,1.370E-02,3.354E-02,1.992E-02,1.893E+00,1.635E+00,-5.092E-01,1.073E+01,1.556E+00,3.142E+00,9.487E-05,2.567E+00,2.568E+00,2.017E-01,1.818E+00,1.653E+00,-6.808E-01,1.898E+01,1.517E+00,3.142E+00,-1.791E-03,2.370E+00,2.344E+00,1.004E-01,3.091E+00
64,0.000E+00,0.000E+00,1.400E-02,3.451E-02,2.056E-02,1.947E+00,1.637E+00,-5.180E-01,1.123E+01,1.535E+00,3.142E+00,-3.550E-04,2.574E+00,2.568E+00,2.010E-01,1.823E+00,1.643E+00,-6.702E-01,1.822E+01,1.554E+00,3.142E+00,-1.738E-03,2.361E+00,2.336E+00,1.004E-01,3.093E+00
