alpha,H,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,2.127E-03,0.000E+00,1.191E-03,0.000E+00,0.000E+00,0.000E+00,4.578E-04,2.087E-03,1.847E-03,4.748E-03,2.544E-01,1.692E+00,5.943E-03,1.488E+00,1.817E+00,3.142E+00,8.194E-04,2.416E+00,2.428E+00,8.163E-02,3.766E+00,1.763E+00,-1.759E-02,1.555E+00,1.467E+00,3.142E+00,-5.029E-03,2.714E+00,2.631E+00,3.069E-01,1.269E+00,1.700E+00,2.009E-02,1.485E+00,1.776E+00,3.142E+00,-2.783E-03,2.648E+00,2.602E+00,1.175E-01,3.046E+00,1.829E+00,2.364E-02,1.220E+00,1.423E+00,3.142E+00,-1.675E-03,2.407E+00,2.383E+00,6.716E-02,4.347E+00
1,0.000E+00,2.133E-03,0.000E+00,1.194E-03,0.000E+00,0.000E+00,0.000E+00,4.603E-04,2.125E-03,1.864E-03,4.778E-03,2.563E-01,1.696E+00,1.868E-03,1.487E+00,1.792E+00,3.142E+00,7.317E-06,2.435E+00,2.435E+00,8.144E-02,3.773E+00,1.751E+00,-2.590E-02,1.612E+00,1.513E+00,3.142E+00,-4.982E-03,2.710E+00,2.627E+00,3.058E-01,1.273E+00,1.685E+00,7.407E-03,1.540E+00,1.790E+00,3.142E+00,-2.750E-03,2.647E+00,2.602E+00,1.177E-01,3.042E+00,1.823E+00,2.168E-02,1.218E+00,1.452E+00,3.142E+00,-2.409E-03,2.425E+00,2.389E+00,6.740E-02,4.336E+00
2,0.000E+00,2.140E-03,0.000E+00,1.197E-03,0.000E+00,0.000E+00,0.000E+00,4.627E-04,2.164E-03,1.882E-03,4.807E-03,2.581E-01,1.703E+00,-2.206E-03,1.486E+00,1.767E+00,3.142E+00,-8.048E-04,2.454E+00,2.441E+00,8.125E-02,3.780E+00,1.740E+00,-3.422E-02,1.668E+00,1.560E+00,3.142E+00,-4.935E-03,2.705E+00,2.623E+00,3.046E-01,1.278E+00,1.678E+00,-5.276E-03,1.595E+00,1.804E+00,3.142E+00,-2.717E-03,2.647E+00,2.602E+00,1.178E-01,3.038E+00,1.818E+00,1.973E-02,1.215E+00,1.482E+00,3.142E+00,-3.143E-03,2.442E+00,2.395E+00,6.764E-02,4.324E+00
3,0.000E+00,2.147E-03,0.000E+00,1.200E-03,0.000E+00,0.000E+00,0.000E+00,4.651E-04,2.202E-03,1.899E-03,4.837E-03,2.600E-01,1.712E+00,-6.280E-03,1.485E+00,1.742E+00,3.142E+00,-1.617E-03,2.474E+00,2.448E+00,8.106E-02,3.787E+00,1.728E+00,-4.253E-02,1.725E+00,1.607E+00,3.142E+00,-4.888E-03,2.701E+00,2.619E+00,3.034E-01,1.282E+00,1.678E+00,-1.796E-02,1.650E+00,1.817E+00,3.142E+00,-2.683E-03,2.646E+00,2.602E+00,1.180E-01,3.034E+00,1.813E+00,1.778E-02,1.212E+00,1.512E+00,3.142E+00,-3.878E-03,2.460E+00,2.401E+00,6.788E-02,4.312E+00
4,0.000E+00,2.151E-03,0.000E+00,1.202E-03,0.000E+00,0.000E+00,0.000E+00,4.664E-04,2.221E-03,1.908E-03,4.852E-03,2.610E-01,1.716E+00,-8.317E-03,1.484E+00,1.730E+00,3.142E+00,-2.023E-03,2.483E+00,2.451E+00,8.097E-02,3.790E+00,1.723E+00,-4.669E-02,1.753E+00,1.631E+00,3.142E+00,-4.864E-03,2.698E+00,2.617E+00,3.028E-01,1.285E+00,1.678E+00,-2.430E-02,1.677E+00,1.824E+00,3.142E+00,-2.667E-03,2.646E+00,2.602E+00,1.181E-01,3.032E+00,1.810E+00,1.680E-02,1.211E+00,1.526E+00,3.142E+00,-4.245E-03,2.469E+00,2.405E+00,6.800E-02,4.306E+00
5,0.000E+00,2.154E-03,0.000E+00,1.204E-03,0.000E+00,0.000E+00,0.000E+00,4.676E-04,2.241E-03,1.917E-03,4.867E-03,2.619E-01,1.721E+00,-1.035E-02,1.484E+00,1.718E+00,3.142E+00,-2.429E-03,2.493E+00,2.454E+00,8.087E-02,3.794E+00,1.718E+00,-5.084E-02,1.781E+00,1.654E+00,3.142E+00,-4.841E-03,2.696E+00,2.616E+00,3.022E-01,1.287E+00,1.679E+00,-3.064E-02,1.705E+00,1.831E+00,3.142E+00,-2.650E-03,2.645E+00,2.602E+00,1.182E-01,3.030E+00,1.807E+00,1.583E-02,1.210E+00,1.541E+00,3.142E+00,-4.612E-03,2.478E+00,2.408E+00,6.812E-02,4.300E+00
6,0.000E+00,2.161E-03,0.000E+00,1.207E-03,0.000E+00,0.000E+00,0.000E+00,4.700E-04,2.279E-03,1.934E-03,4.897E-03,2.638E-01,1.730E+00,-1.443E-02,1.483E+00,1.693E+00,3.142E+00,-3.241E-03,2.512E+00,2.461E+00,8.068E-02,3.801E+00,1.707E+00,-5.915E-02,1.838E+00,1.701E+00,3.142E+00,-4.793E-03,2.691E+00,2.612E+00,3.010E-01,1.291E+00,1.679E+00,-4.333E-02,1.760E+00,1.845E+00,3.142E+00,-2.617E-03,2.645E+00,2.602E+00,1.184E-01,3.026E+00,1.802E+00,1.387E-02,1.207E+00,1.571E+00,3.142E+00,-5.346E-03,2.495E+00,2.414E+00,6.836E-02,4.289E+00
7,0.000E+00,2.168E-03,0.000E+00,1.210E-03,0.000E+00,0.000E+00,0.000E+00,4.725E-04,2.318E-03,1.952E-03,4.927E-03,2.657E-01,1.739E+00,-1.850E-02,1.482E+00,1.668E+00,3.142E+00,-4.053E-03,2.531E+00,2.467E+00,8.049E-02,3.808E+00,1.698E+00,-6.747E-02,1.894E+00,1.748E+00,3.142E+00,-4.746E-03,2.687E+00,2.608E+00,2.998E-01,1.296E+00,1.680E+00,-5.601E-02,1.815E+00,1.859E+00,3.142E+00,-2.584E-03,2.644E+00,2.602E+00,1.186E-01,3.022E+00,1.797E+00,1.192E-02,1.204E+00,1.600E+00,3.142E+00,-6.080E-03,2.513E+00,2.420E+00,6.861E-02,4.277E+00
8,0.000E+00,2.175E-03,0.000E+00,1.213E-03,0.000E+00,0.000E+00,0.000E+00,4.749E-04,2.356E-03,1.969E-03,4.957E-03,2.675E-01,1.748E+00,-2.258E-02,1.481E+00,1.643E+00,3.142E+00,-4.865E-03,2.550E+00,2.474E+00,8.030E-02,3.815E+00,1.688E+00,-7.578E-02,1.951E+00,1.795E+00,3.142E+00,-4.699E-03,2.682E+00,2.604E+00,2.986E-01,1.300E+00,1.681E+00,-6.869E-02,1.870E+00,1.872E+00,3.142E+00,-2.551E-03,2.644E+00,2.602E+00,1.188E-01,3.018E+00,1.792E+00,9.970E-03,1.202E+00,1.630E+00,3.142E+00,-6.814E-03,2.530E+00,2.426E+00,6.885E-02,4.265E+00
9,0.000E+00,2.179E-03,0.000E+00,1.214E-03,0.000E+00,0.000E+00,0.000E+00,4.761E-04,2.375E-03,1.978E-03,4.972E-03,2.685E-01,1.753E+00,-2.461E-02,1.480E+00,1.631E+00,3.142E+00,-5.271E-03,2.560E+00,2.477E+00,8.020E-02,3.819E+00,1.683E+00,-7.994E-02,1.979E+00,1.818E+00,3.142E+00,-4.676E-03,2.680E+00,2.602E+00,2.980E-01,1.303E+00,1.681E+00,-7.503E-02,1.897E+00,1.879E+00,3.142E+00,-2.534E-03,2.643E+00,2.602E+00,1.188E-01,3.016E+00,1.789E+00,8.994E-03,1.200E+00,1.645E+00,3.142E+00,-7.181E-03,2.539E+00,2.430E+00,6.897E-02,4.259E+00
