alpha,He,Mn,S,Mn_1,S_1,amu/ion,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,energyK_Mn,energyE_Mn,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.302E-02,0.000E+00,6.114E-02,7.391E-02,6.444E+00,1.792E+00,-5.696E-03,1.418E+00,1.407E+00,3.142E+00,-1.238E-04,2.390E+00,2.388E+00,1.521E-01,2.842E+00,1.820E+00,4.268E-02,1.183E+00,1.509E+00,3.142E+00,-1.617E-03,2.500E+00,2.475E+00,1.612E-01,2.767E+00
1,0.000E+00,1.294E-02,0.000E+00,6.157E-02,7.428E-02,6.475E+00,1.790E+00,-2.934E-02,1.582E+00,1.379E+00,3.142E+00,3.421E-04,2.381E+00,2.385E+00,1.521E-01,2.842E+00,1.803E+00,3.241E-02,1.232E+00,1.531E+00,3.142E+00,-1.614E-03,2.499E+00,2.474E+00,1.604E-01,2.779E+00
2,0.000E+00,1.287E-02,0.000E+00,6.200E-02,7.465E-02,6.506E+00,1.791E+00,-5.298E-02,1.747E+00,1.350E+00,3.142E+00,8.080E-04,2.371E+00,2.382E+00,1.521E-01,2.842E+00,1.787E+00,2.215E-02,1.281E+00,1.552E+00,3.142E+00,-1.612E-03,2.499E+00,2.474E+00,1.597E-01,2.792E+00
3,0.000E+00,1.279E-02,0.000E+00,6.243E-02,7.502E-02,6.538E+00,1.795E+00,-7.662E-02,1.911E+00,1.321E+00,3.142E+00,1.274E-03,2.361E+00,2.379E+00,1.521E-01,2.841E+00,1.771E+00,1.188E-02,1.331E+00,1.574E+00,3.142E+00,-1.609E-03,2.498E+00,2.473E+00,1.590E-01,2.804E+00
4,0.000E+00,1.275E-02,0.000E+00,6.265E-02,7.520E-02,6.553E+00,1.798E+00,-8.844E-02,1.993E+00,1.307E+00,3.142E+00,1.507E-03,2.357E+00,2.378E+00,1.521E-01,2.841E+00,1.763E+00,6.752E-03,1.355E+00,1.585E+00,3.142E+00,-1.608E-03,2.498E+00,2.473E+00,1.586E-01,2.810E+00
5,0.000E+00,1.271E-02,0.000E+00,6.286E-02,7.539E-02,6.569E+00,1.801E+00,-1.003E-01,2.075E+00,1.292E+00,3.142E+00,1.740E-03,2.352E+00,2.376E+00,1.521E-01,2.841E+00,1.755E+00,1.619E-03,1.380E+00,1.596E+00,3.142E+00,-1.607E-03,2.498E+00,2.473E+00,1.582E-01,2.816E+00
6,0.000E+00,1.263E-02,0.000E+00,6.329E-02,7.576E-02,6.600E+00,1.809E+00,-1.239E-01,2.239E+00,1.264E+00,3.142E+00,2.206E-03,2.342E+00,2.374E+00,1.521E-01,2.841E+00,1.749E+00,-8.646E-03,1.429E+00,1.617E+00,3.142E+00,-1.604E-03,2.497E+00,2.473E+00,1.575E-01,2.828E+00
7,0.000E+00,1.256E-02,0.000E+00,6.372E-02,7.613E-02,6.631E+00,1.818E+00,-1.475E-01,2.403E+00,1.235E+00,3.142E+00,2.671E-03,2.332E+00,2.371E+00,1.521E-01,2.841E+00,1.746E+00,-1.891E-02,1.478E+00,1.639E+00,3.142E+00,-1.602E-03,2.497E+00,2.472E+00,1.568E-01,2.841E+00
8,0.000E+00,1.248E-02,0.000E+00,6.415E-02,7.650E-02,6.662E+00,1.829E+00,-1.712E-01,2.567E+00,1.206E+00,3.142E+00,3.137E-03,2.323E+00,2.368E+00,1.521E-01,2.841E+00,1.742E+00,-2.918E-02,1.528E+00,1.661E+00,3.142E+00,-1.599E-03,2.496E+00,2.472E+00,1.560E-01,2.853E+00
9,0.000E+00,1.244E-02,0.000E+00,6.437E-02,7.668E-02,6.678E+00,1.835E+00,-1.830E-01,2.649E+00,1.192E+00,3.142E+00,3.370E-03,2.318E+00,2.366E+00,1.521E-01,2.841E+00,1.741E+00,-3.431E-02,1.552E+00,1.672E+00,3.142E+00,-1.598E-03,2.496E+00,2.471E+00,1.557E-01,2.859E+00
10,0.000E+00,1.240E-02,0.000E+00,6.458E-02,7.686E-02,6.694E+00,1.841E+00,-1.948E-01,2.731E+00,1.177E+00,3.142E+00,3.603E-03,2.313E+00,2.365E+00,1.522E-01,2.840E+00,1.739E+00,-3.944E-02,1.577E+00,1.682E+00,3.142E+00,-1.596E-03,2.496E+00,2.471E+00,1.553E-01,2.865E+00
11,0.000E+00,1.258E-02,0.000E+00,6.551E-02,7.795E-02,6.789E+00,1.827E+00,-1.854E-01,2.617E+00,1.240E+00,3.142E+00,3.333E-03,2.318E+00,2.366E+00,1.517E-01,2.849E+00,1.738E+00,-4.868E-02,1.627E+00,1.687E+00,3.142E+00,-1.682E-03,2.500E+00,2.475E+00,1.555E-01,2.863E+00
12,0.000E+00,1.276E-02,0.000E+00,6.643E-02,7.903E-02,6.884E+00,1.814E+00,-1.759E-01,2.503E+00,1.303E+00,3.142E+00,3.062E-03,2.323E+00,2.367E+00,1.512E-01,2.857E+00,1.737E+00,-5.792E-02,1.678E+00,1.692E+00,3.142E+00,-1.768E-03,2.505E+00,2.478E+00,1.556E-01,2.860E+00
13,0.000E+00,1.294E-02,0.000E+00,6.735E-02,8.012E-02,6.979E+00,1.803E+00,-1.665E-01,2.389E+00,1.366E+00,3.142E+00,2.791E-03,2.328E+00,2.368E+00,1.508E-01,2.865E+00,1.736E+00,-6.715E-02,1.728E+00,1.697E+00,3.142E+00,-1.853E-03,2.510E+00,2.481E+00,1.557E-01,2.858E+00
14,0.000E+00,1.303E-02,0.000E+00,6.781E-02,8.066E-02,7.027E+00,1.799E+00,-1.618E-01,2.332E+00,1.397E+00,3.142E+00,2.656E-03,2.330E+00,2.368E+00,1.505E-01,2.869E+00,1.735E+00,-7.177E-02,1.754E+00,1.700E+00,3.142E+00,-1.896E-03,2.512E+00,2.483E+00,1.558E-01,2.856E+00
15,0.000E+00,1.312E-02,0.000E+00,6.827E-02,8.120E-02,7.075E+00,1.794E+00,-1.570E-01,2.275E+00,1.428E+00,3.142E+00,2.521E-03,2.333E+00,2.369E+00,1.503E-01,2.873E+00,1.735E+00,-7.639E-02,1.779E+00,1.702E+00,3.142E+00,-1.939E-03,2.515E+00,2.485E+00,1.559E-01,2.855E+00
16,0.000E+00,1.330E-02,0.000E+00,6.919E-02,8.229E-02,7.170E+00,1.786E+00,-1.476E-01,2.160E+00,1.491E+00,3.142E+00,2.250E-03,2.338E+00,2.370E+00,1.498E-01,2.882E+00,1.734E+00,-8.563E-02,1.829E+00,1.707E+00,3.142E+00,-2.024E-03,2.519E+00,2.488E+00,1.560E-01,2.853E+00
17,0.000E+00,1.347E-02,0.000E+00,7.012E-02,8.337E-02,7.265E+00,1.780E+00,-1.382E-01,2.046E+00,1.554E+00,3.142E+00,1.980E-03,2.342E+00,2.371E+00,1.494E-01,2.890E+00,1.734E+00,-9.487E-02,1.880E+00,1.712E+00,3.142E+00,-2.110E-03,2.524E+00,2.491E+00,1.562E-01,2.850E+00
18,0.000E+00,1.365E-02,0.000E+00,7.104E-02,8.446E-02,7.360E+00,1.776E+00,-1.287E-01,1.932E+00,1.617E+00,3.142E+00,1.709E-03,2.347E+00,2.372E+00,1.489E-01,2.898E+00,1.733E+00,-1.041E-01,1.931E+00,1.717E+00,3.142E+00,-2.195E-03,2.529E+00,2.495E+00,1.563E-01,2.848E+00
19,0.000E+00,1.374E-02,0.000E+00,7.150E-02,8.500E-02,7.408E+00,1.775E+00,-1.240E-01,1.875E+00,1.648E+00,3.142E+00,1.574E-03,2.350E+00,2.372E+00,1.487E-01,2.902E+00,1.733E+00,-1.087E-01,1.956E+00,1.720E+00,3.142E+00,-2.238E-03,2.531E+00,2.496E+00,1.564E-01,2.847E+00
20,0.000E+00,1.383E-02,0.000E+00,7.196E-02,8.554E-02,7.456E+00,1.774E+00,-1.193E-01,1.818E+00,1.680E+00,3.142E+00,1.438E-03,2.352E+00,2.373E+00,1.484E-01,2.906E+00,1.733E+00,-1.133E-01,1.981E+00,1.722E+00,3.142E+00,-2.281E-03,2.534E+00,2.498E+00,1.565E-01,2.845E+00
21,0.000E+00,1.404E-02,0.000E+00,7.377E-02,8.760E-02,7.632E+00,1.771E+00,-1.328E-01,1.926E+00,1.667E+00,3.142E+00,1.169E-03,2.360E+00,2.377E+00,1.481E-01,2.913E+00,1.731E+00,-1.172E-01,2.005E+00,1.733E+00,3.142E+00,-1.907E-03,2.528E+00,2.499E+00,1.558E-01,2.858E+00
22,0.000E+00,1.425E-02,0.000E+00,7.557E-02,8.966E-02,7.809E+00,1.769E+00,-1.463E-01,2.035E+00,1.654E+00,3.142E+00,8.988E-04,2.368E+00,2.381E+00,1.477E-01,2.919E+00,1.729E+00,-1.211E-01,2.029E+00,1.744E+00,3.142E+00,-1.533E-03,2.523E+00,2.499E+00,1.551E-01,2.870E+00
23,0.000E+00,1.446E-02,0.000E+00,7.738E-02,9.172E-02,7.986E+00,1.768E+00,-1.598E-01,2.143E+00,1.641E+00,3.142E+00,6.290E-04,2.376E+00,2.385E+00,1.474E-01,2.926E+00,1.726E+00,-1.249E-01,2.053E+00,1.755E+00,3.142E+00,-1.159E-03,2.518E+00,2.500E+00,1.544E-01,2.883E+00
24,0.000E+00,1.456E-02,0.000E+00,7.828E-02,9.275E-02,8.074E+00,1.767E+00,-1.665E-01,2.197E+00,1.634E+00,3.142E+00,4.942E-04,2.380E+00,2.387E+00,1.472E-01,2.929E+00,1.725E+00,-1.269E-01,2.065E+00,1.760E+00,3.142E+00,-9.726E-04,2.516E+00,2.500E+00,1.540E-01,2.889E+00
25,0.000E+00,1.467E-02,0.000E+00,7.918E-02,9.378E-02,8.163E+00,1.767E+00,-1.732E-01,2.251E+00,1.628E+00,3.142E+00,3.593E-04,2.384E+00,2.389E+00,1.470E-01,2.932E+00,1.724E+00,-1.288E-01,2.077E+00,1.766E+00,3.142E+00,-7.857E-04,2.513E+00,2.501E+00,1.537E-01,2.895E+00
26,0.000E+00,1.488E-02,0.000E+00,8.099E-02,9.584E-02,8.339E+00,1.768E+00,-1.867E-01,2.359E+00,1.614E+00,3.142E+00,8.949E-05,2.392E+00,2.393E+00,1.467E-01,2.939E+00,1.722E+00,-1.327E-01,2.100E+00,1.777E+00,3.142E+00,-4.118E-04,2.508E+00,2.502E+00,1.530E-01,2.908E+00
27,0.000E+00,1.508E-02,0.000E+00,8.279E-02,9.791E-02,8.516E+00,1.769E+00,-2.002E-01,2.467E+00,1.601E+00,3.142E+00,-1.803E-04,2.400E+00,2.397E+00,1.463E-01,2.945E+00,1.720E+00,-1.366E-01,2.124E+00,1.787E+00,3.142E+00,-3.800E-05,2.503E+00,2.502E+00,1.523E-01,2.920E+00
28,0.000E+00,1.529E-02,0.000E+00,8.460E-02,9.997E-02,8.693E+00,1.770E+00,-2.137E-01,2.575E+00,1.588E+00,3.142E+00,-4.501E-04,2.408E+00,2.401E+00,1.460E-01,2.952E+00,1.718E+00,-1.404E-01,2.148E+00,1.798E+00,3.142E+00,3.358E-04,2.498E+00,2.503E+00,1.516E-01,2.933E+00
29,0.000E+00,1.540E-02,0.000E+00,8.550E-02,1.010E-01,8.781E+00,1.771E+00,-2.205E-01,2.629E+00,1.582E+00,3.142E+00,-5.850E-04,2.412E+00,2.403E+00,1.458E-01,2.955E+00,1.717E+00,-1.424E-01,2.160E+00,1.804E+00,3.142E+00,5.227E-04,2.495E+00,2.503E+00,1.512E-01,2.939E+00
30,0.000E+00,1.550E-02,0.000E+00,8.641E-02,1.020E-01,8.870E+00,1.772E+00,-2.272E-01,2.684E+00,1.575E+00,3.142E+00,-7.198E-04,2.416E+00,2.405E+00,1.456E-01,2.958E+00,1.716E+00,-1.443E-01,2.172E+00,1.809E+00,3.142E+00,7.097E-04,2.493E+00,2.504E+00,1.509E-01,2.945E+00
31,0.000E+00,1.613E-02,0.000E+00,9.145E-02,1.077E-01,9.363E+00,1.767E+00,-2.294E-01,2.688E+00,1.605E+00,3.142E+00,-4.531E-04,2.411E+00,2.405E+00,1.453E-01,2.965E+00,1.715E+00,-1.522E-01,2.230E+00,1.812E+00,3.142E+00,7.526E-04,2.492E+00,2.503E+00,1.509E-01,2.944E+00
32,0.000E+00,1.644E-02,0.000E+00,9.397E-02,1.105E-01,9.610E+00,1.764E+00,-2.304E-01,2.690E+00,1.620E+00,3.142E+00,-3.198E-04,2.409E+00,2.405E+00,1.451E-01,2.968E+00,1.714E+00,-1.562E-01,2.259E+00,1.813E+00,3.142E+00,7.741E-04,2.491E+00,2.503E+00,1.510E-01,2.943E+00
33,0.000E+00,1.675E-02,0.000E+00,9.650E-02,1.134E-01,9.856E+00,1.762E+00,-2.315E-01,2.692E+00,1.635E+00,3.142E+00,-1.864E-04,2.407E+00,2.404E+00,1.450E-01,2.971E+00,1.714E+00,-1.601E-01,2.288E+00,1.814E+00,3.142E+00,7.956E-04,2.491E+00,2.503E+00,1.510E-01,2.943E+00
34,0.000E+00,1.707E-02,0.000E+00,9.902E-02,1.162E-01,1.010E+01,1.759E+00,-2.326E-01,2.694E+00,1.650E+00,3.142E+00,-5.304E-05,2.405E+00,2.404E+00,1.448E-01,2.975E+00,1.713E+00,-1.641E-01,2.317E+00,1.816E+00,3.142E+00,8.171E-04,2.490E+00,2.503E+00,1.510E-01,2.942E+00
35,0.000E+00,1.738E-02,0.000E+00,1.015E-01,1.190E-01,1.035E+01,1.757E+00,-2.337E-01,2.696E+00,1.666E+00,3.142E+00,8.032E-05,2.403E+00,2.404E+00,1.446E-01,2.978E+00,1.712E+00,-1.681E-01,2.346E+00,1.817E+00,3.142E+00,8.386E-04,2.490E+00,2.503E+00,1.511E-01,2.941E+00
