alpha,He,Cr,S,Cr_1,S_1,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,1.694E-02,3.125E-06,3.684E-02,7.099E-02,5.072E+00,1.865E+00,2.591E-02,1.173E+00,1.319E+00,3.142E+00,-3.603E-03,2.376E+00,2.324E+00,8.765E-02,4.739E+00,1.776E+00,-3.699E-02,1.788E+00,1.313E+00,3.142E+00,6.121E-04,2.505E+00,2.515E+00,1.586E-01,2.809E+00
1,0.000E+00,1.685E-02,3.125E-06,3.719E-02,7.145E-02,5.101E+00,1.841E+00,1.315E-02,1.225E+00,1.365E+00,3.142E+00,-3.343E-03,2.369E+00,2.321E+00,8.781E-02,4.732E+00,1.762E+00,-3.721E-02,1.774E+00,1.382E+00,3.142E+00,2.643E-04,2.515E+00,2.519E+00,1.586E-01,2.809E+00
2,0.000E+00,1.676E-02,3.125E-06,3.754E-02,7.190E-02,5.129E+00,1.818E+00,3.863E-04,1.277E+00,1.410E+00,3.142E+00,-3.084E-03,2.363E+00,2.318E+00,8.797E-02,4.724E+00,1.750E+00,-3.743E-02,1.760E+00,1.450E+00,3.142E+00,-8.348E-05,2.525E+00,2.524E+00,1.586E-01,2.809E+00
3,0.000E+00,1.667E-02,3.125E-06,3.790E-02,7.236E-02,5.157E+00,1.809E+00,-1.238E-02,1.329E+00,1.455E+00,3.142E+00,-2.825E-03,2.356E+00,2.315E+00,8.812E-02,4.716E+00,1.738E+00,-3.765E-02,1.746E+00,1.518E+00,3.142E+00,-4.313E-04,2.535E+00,2.528E+00,1.586E-01,2.810E+00
4,0.000E+00,1.662E-02,3.125E-06,3.808E-02,7.259E-02,5.171E+00,1.805E+00,-1.876E-02,1.355E+00,1.478E+00,3.142E+00,-2.695E-03,2.353E+00,2.314E+00,8.820E-02,4.712E+00,1.732E+00,-3.776E-02,1.738E+00,1.552E+00,3.142E+00,-6.051E-04,2.540E+00,2.530E+00,1.586E-01,2.810E+00
5,0.000E+00,1.658E-02,3.125E-06,3.825E-02,7.281E-02,5.186E+00,1.802E+00,-2.514E-02,1.381E+00,1.501E+00,3.142E+00,-2.565E-03,2.349E+00,2.313E+00,8.828E-02,4.708E+00,1.727E+00,-3.787E-02,1.731E+00,1.586E+00,3.142E+00,-7.790E-04,2.545E+00,2.533E+00,1.585E-01,2.810E+00
6,0.000E+00,1.649E-02,3.125E-06,3.861E-02,7.327E-02,5.214E+00,1.794E+00,-3.790E-02,1.433E+00,1.546E+00,3.142E+00,-2.306E-03,2.343E+00,2.310E+00,8.844E-02,4.701E+00,1.716E+00,-3.810E-02,1.717E+00,1.654E+00,3.142E+00,-1.127E-03,2.555E+00,2.537E+00,1.585E-01,2.810E+00
7,0.000E+00,1.640E-02,3.125E-06,3.896E-02,7.373E-02,5.242E+00,1.787E+00,-5.066E-02,1.485E+00,1.592E+00,3.142E+00,-2.047E-03,2.336E+00,2.307E+00,8.860E-02,4.693E+00,1.706E+00,-3.832E-02,1.703E+00,1.722E+00,3.142E+00,-1.475E-03,2.565E+00,2.541E+00,1.585E-01,2.811E+00
8,0.000E+00,1.631E-02,3.125E-06,3.931E-02,7.418E-02,5.271E+00,1.780E+00,-6.343E-02,1.537E+00,1.637E+00,3.142E+00,-1.787E-03,2.329E+00,2.304E+00,8.876E-02,4.685E+00,1.697E+00,-3.854E-02,1.689E+00,1.791E+00,3.142E+00,-1.822E-03,2.575E+00,2.546E+00,1.585E-01,2.811E+00
9,0.000E+00,1.626E-02,3.125E-06,3.949E-02,7.441E-02,5.285E+00,1.777E+00,-6.981E-02,1.563E+00,1.660E+00,3.142E+00,-1.658E-03,2.326E+00,2.303E+00,8.884E-02,4.681E+00,1.692E+00,-3.865E-02,1.682E+00,1.825E+00,3.142E+00,-1.996E-03,2.580E+00,2.548E+00,1.585E-01,2.811E+00
