alpha,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.765E-02,2.215E-03,0.000E+00,1.094E-05,3.672E-05,1.537E-02,5.280E-02,1.769E+00,1.783E+00,-3.931E-02,1.731E+00,1.335E+00,3.142E+00,-3.093E-03,2.638E+00,2.588E+00,2.774E-01,1.665E+00,1.772E+00,-3.201E-02,1.713E+00,1.365E+00,3.142E+00,3.130E-04,2.513E+00,2.518E+00,1.335E-01,3.392E+00,1.870E+00,1.165E-02,1.181E+00,1.289E+00,3.142E+00,1.125E-03,2.236E+00,2.251E+00,8.059E-02,5.328E+00
1,0.000E+00,1.781E-02,2.167E-03,0.000E+00,1.201E-05,3.896E-05,1.556E-02,5.325E-02,1.784E+00,1.773E+00,-5.032E-02,1.805E+00,1.374E+00,3.142E+00,-2.926E-03,2.622E+00,2.574E+00,2.776E-01,1.664E+00,1.764E+00,-3.747E-02,1.718E+00,1.417E+00,3.142E+00,7.342E-04,2.501E+00,2.512E+00,1.336E-01,3.390E+00,1.831E+00,-3.380E-02,1.555E+00,1.255E+00,3.142E+00,2.460E-03,2.211E+00,2.243E+00,8.074E-02,5.319E+00
2,0.000E+00,1.797E-02,2.120E-03,0.000E+00,1.309E-05,4.121E-05,1.574E-02,5.369E-02,1.798E+00,1.762E+00,-6.133E-02,1.879E+00,1.413E+00,3.142E+00,-2.758E-03,2.606E+00,2.561E+00,2.779E-01,1.662E+00,1.758E+00,-4.293E-02,1.724E+00,1.469E+00,3.142E+00,1.155E-03,2.489E+00,2.506E+00,1.337E-01,3.388E+00,1.821E+00,-7.926E-02,1.928E+00,1.222E+00,3.142E+00,3.796E-03,2.186E+00,2.234E+00,8.089E-02,5.310E+00
3,0.000E+00,1.814E-02,2.072E-03,0.000E+00,1.416E-05,4.346E-05,1.592E-02,5.414E-02,1.813E+00,1.753E+00,-7.234E-02,1.953E+00,1.452E+00,3.142E+00,-2.591E-03,2.589E+00,2.548E+00,2.782E-01,1.660E+00,1.751E+00,-4.839E-02,1.730E+00,1.522E+00,3.142E+00,1.576E-03,2.476E+00,2.500E+00,1.337E-01,3.386E+00,1.822E+00,-1.247E-01,2.302E+00,1.188E+00,3.142E+00,5.131E-03,2.160E+00,2.226E+00,8.105E-02,5.301E+00
4,0.000E+00,1.822E-02,2.048E-03,0.000E+00,1.470E-05,4.458E-05,1.601E-02,5.436E-02,1.821E+00,1.748E+00,-7.785E-02,1.990E+00,1.472E+00,3.142E+00,-2.507E-03,2.581E+00,2.541E+00,2.783E-01,1.660E+00,1.748E+00,-5.112E-02,1.733E+00,1.548E+00,3.142E+00,1.787E-03,2.470E+00,2.497E+00,1.338E-01,3.385E+00,1.825E+00,-1.474E-01,2.488E+00,1.171E+00,3.142E+00,5.799E-03,2.148E+00,2.221E+00,8.112E-02,5.296E+00
5,0.000E+00,1.830E-02,2.025E-03,0.000E+00,1.523E-05,4.570E-05,1.610E-02,5.458E-02,1.828E+00,1.744E+00,-8.336E-02,2.027E+00,1.491E+00,3.142E+00,-2.424E-03,2.573E+00,2.534E+00,2.784E-01,1.659E+00,1.745E+00,-5.385E-02,1.736E+00,1.574E+00,3.142E+00,1.998E-03,2.464E+00,2.494E+00,1.338E-01,3.384E+00,1.830E+00,-1.702E-01,2.675E+00,1.155E+00,3.142E+00,6.466E-03,2.135E+00,2.217E+00,8.120E-02,5.292E+00
6,0.000E+00,1.846E-02,1.977E-03,0.000E+00,1.631E-05,4.795E-05,1.628E-02,5.503E-02,1.843E+00,1.735E+00,-9.437E-02,2.101E+00,1.531E+00,3.142E+00,-2.257E-03,2.556E+00,2.521E+00,2.787E-01,1.657E+00,1.739E+00,-5.931E-02,1.742E+00,1.626E+00,3.142E+00,2.419E-03,2.452E+00,2.489E+00,1.339E-01,3.382E+00,1.845E+00,-2.156E-01,3.049E+00,1.121E+00,3.142E+00,7.802E-03,2.110E+00,2.208E+00,8.135E-02,5.282E+00
7,0.000E+00,1.862E-02,1.929E-03,0.000E+00,1.738E-05,5.020E-05,1.646E-02,5.547E-02,1.858E+00,1.727E+00,-1.054E-01,2.175E+00,1.570E+00,3.142E+00,-2.089E-03,2.540E+00,2.507E+00,2.790E-01,1.656E+00,1.733E+00,-6.477E-02,1.748E+00,1.678E+00,3.142E+00,2.840E-03,2.440E+00,2.483E+00,1.340E-01,3.379E+00,1.864E+00,-2.611E-01,3.422E+00,1.088E+00,3.142E+00,9.137E-03,2.084E+00,2.200E+00,8.150E-02,5.273E+00
8,0.000E+00,1.878E-02,1.882E-03,0.000E+00,1.846E-05,5.244E-05,1.664E-02,5.592E-02,1.873E+00,1.719E+00,-1.164E-01,2.249E+00,1.609E+00,3.142E+00,-1.922E-03,2.524E+00,2.494E+00,2.792E-01,1.654E+00,1.728E+00,-7.023E-02,1.754E+00,1.731E+00,3.142E+00,3.261E-03,2.428E+00,2.477E+00,1.341E-01,3.377E+00,1.887E+00,-3.065E-01,3.795E+00,1.054E+00,3.142E+00,1.047E-02,2.059E+00,2.191E+00,8.166E-02,5.264E+00
9,0.000E+00,1.886E-02,1.858E-03,0.000E+00,1.899E-05,5.356E-05,1.673E-02,5.614E-02,1.880E+00,1.715E+00,-1.219E-01,2.286E+00,1.629E+00,3.142E+00,-1.839E-03,2.516E+00,2.487E+00,2.794E-01,1.654E+00,1.725E+00,-7.297E-02,1.757E+00,1.757E+00,3.142E+00,3.472E-03,2.422E+00,2.474E+00,1.341E-01,3.376E+00,1.900E+00,-3.292E-01,3.982E+00,1.037E+00,3.142E+00,1.114E-02,2.046E+00,2.187E+00,8.173E-02,5.259E+00
