alpha,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,1.886E-02,1.219E-04,0.000E+00,1.250E-05,1.414E-04,1.831E-02,5.579E-02,2.466E+00,1.929E+00,-1.065E-01,1.979E+00,9.343E-01,3.142E+00,-2.106E-03,2.172E+00,2.145E+00,1.032E-01,4.062E+00,1.693E+00,2.636E-02,1.474E+00,1.828E+00,3.142E+00,-6.175E-04,2.644E+00,2.634E+00,1.323E-01,3.421E+00,1.819E+00,1.975E-02,1.273E+00,1.408E+00,3.142E+00,5.100E-04,2.485E+00,2.492E+00,8.200E-02,5.243E+00
1,0.000E+00,1.893E-02,1.276E-04,0.000E+00,1.152E-05,1.396E-04,1.845E-02,5.603E-02,2.478E+00,1.920E+00,-1.158E-01,2.008E+00,9.776E-01,3.142E+00,-1.509E-03,2.178E+00,2.159E+00,1.029E-01,4.070E+00,1.685E+00,1.796E-02,1.507E+00,1.833E+00,3.142E+00,-6.645E-04,2.652E+00,2.641E+00,1.321E-01,3.426E+00,1.793E+00,-2.949E-03,1.390E+00,1.414E+00,3.142E+00,2.117E-04,2.480E+00,2.483E+00,8.211E-02,5.237E+00
2,0.000E+00,1.900E-02,1.334E-04,0.000E+00,1.055E-05,1.377E-04,1.859E-02,5.627E-02,2.490E+00,1.911E+00,-1.251E-01,2.037E+00,1.021E+00,3.142E+00,-9.133E-04,2.184E+00,2.173E+00,1.027E-01,4.078E+00,1.677E+00,9.552E-03,1.541E+00,1.839E+00,3.142E+00,-7.116E-04,2.660E+00,2.648E+00,1.319E-01,3.430E+00,1.792E+00,-2.565E-02,1.507E+00,1.420E+00,3.142E+00,-8.658E-05,2.475E+00,2.474E+00,8.222E-02,5.231E+00
3,0.000E+00,1.908E-02,1.392E-04,0.000E+00,9.570E-06,1.358E-04,1.873E-02,5.652E-02,2.502E+00,1.902E+00,-1.343E-01,2.066E+00,1.064E+00,3.142E+00,-3.172E-04,2.190E+00,2.187E+00,1.025E-01,4.086E+00,1.669E+00,1.149E-03,1.574E+00,1.844E+00,3.142E+00,-7.586E-04,2.668E+00,2.655E+00,1.317E-01,3.435E+00,1.792E+00,-4.835E-02,1.624E+00,1.426E+00,3.142E+00,-3.849E-04,2.471E+00,2.465E+00,8.233E-02,5.224E+00
4,0.000E+00,1.911E-02,1.420E-04,0.000E+00,9.082E-06,1.349E-04,1.880E-02,5.664E-02,2.508E+00,1.898E+00,-1.390E-01,2.080E+00,1.086E+00,3.142E+00,-1.907E-05,2.193E+00,2.194E+00,1.024E-01,4.090E+00,1.669E+00,-3.053E-03,1.591E+00,1.847E+00,3.142E+00,-7.821E-04,2.671E+00,2.658E+00,1.317E-01,3.437E+00,1.792E+00,-5.970E-02,1.683E+00,1.429E+00,3.142E+00,-5.340E-04,2.468E+00,2.460E+00,8.238E-02,5.221E+00
5,0.000E+00,1.915E-02,1.449E-04,0.000E+00,8.594E-06,1.340E-04,1.887E-02,5.676E-02,2.514E+00,1.893E+00,-1.436E-01,2.095E+00,1.107E+00,3.142E+00,2.790E-04,2.197E+00,2.201E+00,1.023E-01,4.094E+00,1.669E+00,-7.255E-03,1.608E+00,1.850E+00,3.142E+00,-8.056E-04,2.675E+00,2.662E+00,1.316E-01,3.439E+00,1.792E+00,-7.105E-02,1.742E+00,1.432E+00,3.142E+00,-6.832E-04,2.466E+00,2.456E+00,8.243E-02,5.218E+00
6,0.000E+00,1.922E-02,1.507E-04,0.000E+00,7.617E-06,1.321E-04,1.901E-02,5.701E-02,2.526E+00,1.885E+00,-1.529E-01,2.124E+00,1.151E+00,3.142E+00,8.752E-04,2.203E+00,2.215E+00,1.021E-01,4.102E+00,1.671E+00,-1.566E-02,1.642E+00,1.856E+00,3.142E+00,-8.526E-04,2.683E+00,2.669E+00,1.314E-01,3.444E+00,1.794E+00,-9.375E-02,1.859E+00,1.437E+00,3.142E+00,-9.815E-04,2.461E+00,2.447E+00,8.254E-02,5.211E+00
7,0.000E+00,1.930E-02,1.564E-04,0.000E+00,6.641E-06,1.303E-04,1.915E-02,5.725E-02,2.538E+00,1.877E+00,-1.621E-01,2.153E+00,1.194E+00,3.142E+00,1.471E-03,2.209E+00,2.229E+00,1.019E-01,4.110E+00,1.672E+00,-2.406E-02,1.675E+00,1.861E+00,3.142E+00,-8.996E-04,2.691E+00,2.676E+00,1.312E-01,3.449E+00,1.796E+00,-1.164E-01,1.976E+00,1.443E+00,3.142E+00,-1.280E-03,2.457E+00,2.438E+00,8.265E-02,5.205E+00
8,0.000E+00,1.937E-02,1.622E-04,0.000E+00,5.664E-06,1.284E-04,1.929E-02,5.750E-02,2.550E+00,1.870E+00,-1.714E-01,2.182E+00,1.237E+00,3.142E+00,2.067E-03,2.215E+00,2.243E+00,1.016E-01,4.118E+00,1.674E+00,-3.246E-02,1.709E+00,1.867E+00,3.142E+00,-9.466E-04,2.699E+00,2.683E+00,1.310E-01,3.453E+00,1.798E+00,-1.391E-01,2.093E+00,1.449E+00,3.142E+00,-1.578E-03,2.452E+00,2.429E+00,8.276E-02,5.199E+00
9,0.000E+00,1.940E-02,1.651E-04,0.000E+00,5.176E-06,1.275E-04,1.936E-02,5.762E-02,2.556E+00,1.866E+00,-1.761E-01,2.196E+00,1.259E+00,3.142E+00,2.366E-03,2.218E+00,2.250E+00,1.015E-01,4.122E+00,1.674E+00,-3.667E-02,1.725E+00,1.870E+00,3.142E+00,-9.701E-04,2.703E+00,2.686E+00,1.309E-01,3.455E+00,1.800E+00,-1.505E-01,2.151E+00,1.452E+00,3.142E+00,-1.727E-03,2.450E+00,2.424E+00,8.282E-02,5.195E+00
10,0.000E+00,1.944E-02,1.680E-04,0.000E+00,4.688E-06,1.266E-04,1.943E-02,5.774E-02,2.562E+00,1.863E+00,-1.807E-01,2.211E+00,1.280E+00,3.142E+00,2.664E-03,2.221E+00,2.257E+00,1.014E-01,4.126E+00,1.675E+00,-4.087E-02,1.742E+00,1.872E+00,3.142E+00,-9.936E-04,2.707E+00,2.690E+00,1.308E-01,3.458E+00,1.801E+00,-1.618E-01,2.210E+00,1.455E+00,3.142E+00,-1.876E-03,2.447E+00,2.419E+00,8.287E-02,5.192E+00
11,0.000E+00,1.978E-02,1.474E-04,0.000E+00,6.055E-06,1.421E-04,1.981E-02,5.886E-02,2.610E+00,1.862E+00,-1.906E-01,2.240E+00,1.300E+00,3.142E+00,2.669E-03,2.230E+00,2.266E+00,1.008E-01,4.151E+00,1.674E+00,-5.185E-02,1.808E+00,1.878E+00,3.142E+00,-8.170E-04,2.701E+00,2.688E+00,1.305E-01,3.466E+00,1.801E+00,-1.690E-01,2.243E+00,1.465E+00,3.142E+00,-1.505E-03,2.438E+00,2.416E+00,8.219E-02,5.235E+00
