alpha,He,Mg,S,Mg_1,S_1,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_S,phiTilt_S,phiM_S,phiN_S,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,energyK_S,energyE_S
0,0.000E+00,0.000E+00,3.393E-02,7.677E-02,4.301E-02,4.333E+00,1.724E+00,-6.573E-03,1.625E+00,1.532E+00,3.142E+00,2.572E-03,2.525E+00,2.566E+00,2.708E-01,1.704E+00,1.838E+00,4.718E-03,1.305E+00,1.292E+00,3.142E+00,2.886E-03,2.322E+00,2.363E+00,1.637E-01,2.726E+00
1,0.000E+00,0.000E+00,3.395E-02,7.726E-02,4.343E-02,4.359E+00,1.723E+00,-1.017E-02,1.627E+00,1.553E+00,3.142E+00,2.444E-03,2.522E+00,2.561E+00,2.702E-01,1.707E+00,1.830E+00,-1.037E-02,1.382E+00,1.300E+00,3.142E+00,2.629E-03,2.322E+00,2.359E+00,1.634E-01,2.731E+00
2,0.000E+00,0.000E+00,3.398E-02,7.774E-02,4.386E-02,4.385E+00,1.722E+00,-1.378E-02,1.629E+00,1.575E+00,3.142E+00,2.315E-03,2.520E+00,2.556E+00,2.697E-01,1.711E+00,1.828E+00,-2.546E-02,1.459E+00,1.308E+00,3.142E+00,2.372E-03,2.322E+00,2.356E+00,1.631E-01,2.736E+00
3,0.000E+00,0.000E+00,3.400E-02,7.823E-02,4.428E-02,4.411E+00,1.721E+00,-1.738E-02,1.632E+00,1.596E+00,3.142E+00,2.187E-03,2.517E+00,2.551E+00,2.691E-01,1.714E+00,1.827E+00,-4.055E-02,1.535E+00,1.316E+00,3.142E+00,2.115E-03,2.322E+00,2.352E+00,1.628E-01,2.740E+00
4,0.000E+00,0.000E+00,3.401E-02,7.847E-02,4.449E-02,4.424E+00,1.721E+00,-1.918E-02,1.633E+00,1.607E+00,3.142E+00,2.123E-03,2.516E+00,2.549E+00,2.689E-01,1.716E+00,1.826E+00,-4.809E-02,1.574E+00,1.319E+00,3.142E+00,1.987E-03,2.322E+00,2.350E+00,1.627E-01,2.742E+00
5,0.000E+00,0.000E+00,3.402E-02,7.871E-02,4.470E-02,4.437E+00,1.721E+00,-2.098E-02,1.634E+00,1.617E+00,3.142E+00,2.058E-03,2.514E+00,2.547E+00,2.686E-01,1.717E+00,1.826E+00,-5.564E-02,1.612E+00,1.323E+00,3.142E+00,1.858E-03,2.322E+00,2.348E+00,1.626E-01,2.745E+00
6,0.000E+00,0.000E+00,3.405E-02,7.920E-02,4.512E-02,4.463E+00,1.720E+00,-2.458E-02,1.636E+00,1.639E+00,3.142E+00,1.930E-03,2.512E+00,2.542E+00,2.680E-01,1.721E+00,1.825E+00,-7.073E-02,1.689E+00,1.331E+00,3.142E+00,1.601E-03,2.322E+00,2.345E+00,1.623E-01,2.749E+00
7,0.000E+00,0.000E+00,3.407E-02,7.968E-02,4.554E-02,4.489E+00,1.719E+00,-2.819E-02,1.638E+00,1.660E+00,3.142E+00,1.801E-03,2.509E+00,2.537E+00,2.675E-01,1.724E+00,1.825E+00,-8.581E-02,1.766E+00,1.339E+00,3.142E+00,1.344E-03,2.322E+00,2.341E+00,1.620E-01,2.754E+00
8,0.000E+00,0.000E+00,3.409E-02,8.017E-02,4.596E-02,4.515E+00,1.719E+00,-3.179E-02,1.641E+00,1.682E+00,3.142E+00,1.673E-03,2.506E+00,2.532E+00,2.669E-01,1.728E+00,1.825E+00,-1.009E-01,1.843E+00,1.347E+00,3.142E+00,1.087E-03,2.322E+00,2.338E+00,1.617E-01,2.758E+00
9,0.000E+00,0.000E+00,3.410E-02,8.041E-02,4.617E-02,4.528E+00,1.718E+00,-3.359E-02,1.642E+00,1.693E+00,3.142E+00,1.609E-03,2.505E+00,2.530E+00,2.667E-01,1.729E+00,1.825E+00,-1.084E-01,1.881E+00,1.351E+00,3.142E+00,9.585E-04,2.322E+00,2.336E+00,1.616E-01,2.761E+00
10,0.000E+00,0.000E+00,3.411E-02,8.065E-02,4.638E-02,4.541E+00,1.718E+00,-3.539E-02,1.643E+00,1.703E+00,3.142E+00,1.544E-03,2.503E+00,2.528E+00,2.664E-01,1.731E+00,1.825E+00,-1.160E-01,1.919E+00,1.355E+00,3.142E+00,8.300E-04,2.322E+00,2.334E+00,1.614E-01,2.763E+00
11,0.000E+00,0.000E+00,3.456E-02,8.188E-02,4.719E-02,4.611E+00,1.715E+00,-4.688E-02,1.723E+00,1.700E+00,3.142E+00,1.233E-03,2.516E+00,2.536E+00,2.661E-01,1.732E+00,1.828E+00,-1.227E-01,1.930E+00,1.365E+00,3.142E+00,7.237E-04,2.332E+00,2.343E+00,1.619E-01,2.756E+00
12,0.000E+00,0.000E+00,3.501E-02,8.311E-02,4.800E-02,4.681E+00,1.713E+00,-5.837E-02,1.803E+00,1.697E+00,3.142E+00,9.221E-04,2.529E+00,2.544E+00,2.659E-01,1.734E+00,1.830E+00,-1.294E-01,1.941E+00,1.376E+00,3.142E+00,6.175E-04,2.342E+00,2.351E+00,1.623E-01,2.749E+00
13,0.000E+00,0.000E+00,3.545E-02,8.433E-02,4.881E-02,4.751E+00,1.712E+00,-6.986E-02,1.883E+00,1.694E+00,3.142E+00,6.110E-04,2.542E+00,2.552E+00,2.657E-01,1.735E+00,1.832E+00,-1.360E-01,1.952E+00,1.386E+00,3.142E+00,5.112E-04,2.353E+00,2.360E+00,1.627E-01,2.742E+00
14,0.000E+00,0.000E+00,3.568E-02,8.495E-02,4.921E-02,4.786E+00,1.711E+00,-7.561E-02,1.923E+00,1.692E+00,3.142E+00,4.555E-04,2.549E+00,2.556E+00,2.656E-01,1.736E+00,1.833E+00,-1.394E-01,1.957E+00,1.391E+00,3.142E+00,4.580E-04,2.358E+00,2.364E+00,1.630E-01,2.738E+00
15,0.000E+00,0.000E+00,3.590E-02,8.556E-02,4.961E-02,4.821E+00,1.711E+00,-8.135E-02,1.963E+00,1.691E+00,3.142E+00,3.000E-04,2.555E+00,2.560E+00,2.654E-01,1.737E+00,1.834E+00,-1.427E-01,1.963E+00,1.397E+00,3.142E+00,4.049E-04,2.363E+00,2.368E+00,1.632E-01,2.735E+00
16,0.000E+00,0.000E+00,3.635E-02,8.679E-02,5.042E-02,4.891E+00,1.710E+00,-9.285E-02,2.043E+00,1.688E+00,3.142E+00,-1.114E-05,2.568E+00,2.568E+00,2.652E-01,1.738E+00,1.836E+00,-1.494E-01,1.973E+00,1.407E+00,3.142E+00,2.986E-04,2.373E+00,2.377E+00,1.636E-01,2.728E+00
17,0.000E+00,0.000E+00,3.679E-02,8.802E-02,5.123E-02,4.961E+00,1.710E+00,-1.043E-01,2.123E+00,1.685E+00,3.142E+00,-3.222E-04,2.581E+00,2.576E+00,2.650E-01,1.740E+00,1.838E+00,-1.561E-01,1.984E+00,1.418E+00,3.142E+00,1.924E-04,2.383E+00,2.386E+00,1.641E-01,2.721E+00
18,0.000E+00,0.000E+00,3.724E-02,8.924E-02,5.204E-02,5.031E+00,1.710E+00,-1.158E-01,2.204E+00,1.682E+00,3.142E+00,-6.333E-04,2.594E+00,2.584E+00,2.647E-01,1.741E+00,1.840E+00,-1.628E-01,1.995E+00,1.428E+00,3.142E+00,8.608E-05,2.393E+00,2.394E+00,1.645E-01,2.714E+00
