alpha,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,1.671E-02,1.406E-05,0.000E+00,1.484E-05,3.594E-05,3.403E-02,6.698E-02,2.397E+00,1.832E+00,4.375E-02,1.128E+00,1.525E+00,3.142E+00,2.260E-03,2.297E+00,2.328E+00,1.169E-01,3.772E+00,1.714E+00,-6.505E-02,2.212E+00,1.418E+00,3.142E+00,-2.336E-04,2.635E+00,2.631E+00,2.502E-01,1.838E+00,1.724E+00,1.750E-04,1.582E+00,1.538E+00,3.142E+00,3.848E-03,2.564E+00,2.627E+00,1.382E-01,3.283E+00
1,0.000E+00,1.677E-02,1.523E-05,0.000E+00,1.504E-05,3.623E-05,3.426E-02,6.745E-02,2.412E+00,1.783E+00,1.693E-02,1.319E+00,1.526E+00,3.142E+00,2.024E-03,2.312E+00,2.340E+00,1.170E-01,3.771E+00,1.704E+00,-6.817E-02,2.220E+00,1.474E+00,3.142E+00,-7.864E-04,2.651E+00,2.638E+00,2.493E-01,1.845E+00,1.714E+00,-1.831E-02,1.727E+00,1.548E+00,3.142E+00,3.266E-03,2.574E+00,2.627E+00,1.383E-01,3.279E+00
2,0.000E+00,1.682E-02,1.641E-05,0.000E+00,1.523E-05,3.652E-05,3.449E-02,6.792E-02,2.427E+00,1.751E+00,-9.890E-03,1.510E+00,1.527E+00,3.142E+00,1.789E-03,2.327E+00,2.352E+00,1.170E-01,3.770E+00,1.694E+00,-7.128E-02,2.229E+00,1.530E+00,3.142E+00,-1.339E-03,2.667E+00,2.644E+00,2.483E-01,1.852E+00,1.707E+00,-3.680E-02,1.873E+00,1.558E+00,3.142E+00,2.684E-03,2.584E+00,2.627E+00,1.385E-01,3.275E+00
3,0.000E+00,1.688E-02,1.758E-05,0.000E+00,1.543E-05,3.682E-05,3.471E-02,6.839E-02,2.443E+00,1.743E+00,-3.671E-02,1.701E+00,1.528E+00,3.142E+00,1.553E-03,2.342E+00,2.364E+00,1.170E-01,3.770E+00,1.684E+00,-7.440E-02,2.237E+00,1.586E+00,3.142E+00,-1.892E-03,2.683E+00,2.651E+00,2.474E-01,1.859E+00,1.700E+00,-5.529E-02,2.018E+00,1.568E+00,3.142E+00,2.102E-03,2.594E+00,2.628E+00,1.387E-01,3.271E+00
4,0.000E+00,1.690E-02,1.816E-05,0.000E+00,1.553E-05,3.696E-05,3.483E-02,6.863E-02,2.450E+00,1.740E+00,-5.012E-02,1.796E+00,1.528E+00,3.142E+00,1.435E-03,2.350E+00,2.370E+00,1.170E-01,3.769E+00,1.679E+00,-7.596E-02,2.241E+00,1.613E+00,3.142E+00,-2.168E-03,2.691E+00,2.654E+00,2.469E-01,1.862E+00,1.698E+00,-6.454E-02,2.090E+00,1.573E+00,3.142E+00,1.811E-03,2.599E+00,2.628E+00,1.388E-01,3.269E+00
5,0.000E+00,1.693E-02,1.875E-05,0.000E+00,1.563E-05,3.711E-05,3.494E-02,6.886E-02,2.458E+00,1.737E+00,-6.353E-02,1.891E+00,1.529E+00,3.142E+00,1.317E-03,2.358E+00,2.376E+00,1.170E-01,3.769E+00,1.675E+00,-7.752E-02,2.245E+00,1.641E+00,3.142E+00,-2.445E-03,2.700E+00,2.658E+00,2.464E-01,1.865E+00,1.695E+00,-7.378E-02,2.163E+00,1.578E+00,3.142E+00,1.520E-03,2.604E+00,2.628E+00,1.389E-01,3.267E+00
6,0.000E+00,1.699E-02,1.992E-05,0.000E+00,1.582E-05,3.740E-05,3.517E-02,6.933E-02,2.473E+00,1.734E+00,-9.035E-02,2.082E+00,1.530E+00,3.142E+00,1.082E-03,2.373E+00,2.388E+00,1.170E-01,3.769E+00,1.666E+00,-8.064E-02,2.253E+00,1.697E+00,3.142E+00,-2.998E-03,2.716E+00,2.664E+00,2.455E-01,1.872E+00,1.692E+00,-9.227E-02,2.308E+00,1.588E+00,3.142E+00,9.380E-04,2.614E+00,2.629E+00,1.390E-01,3.263E+00
7,0.000E+00,1.704E-02,2.109E-05,0.000E+00,1.602E-05,3.770E-05,3.540E-02,6.980E-02,2.488E+00,1.733E+00,-1.172E-01,2.273E+00,1.530E+00,3.142E+00,8.462E-04,2.388E+00,2.400E+00,1.171E-01,3.768E+00,1.657E+00,-8.376E-02,2.261E+00,1.753E+00,3.142E+00,-3.551E-03,2.732E+00,2.671E+00,2.446E-01,1.879E+00,1.689E+00,-1.108E-01,2.453E+00,1.599E+00,3.142E+00,3.560E-04,2.623E+00,2.629E+00,1.392E-01,3.260E+00
8,0.000E+00,1.710E-02,2.227E-05,0.000E+00,1.621E-05,3.799E-05,3.562E-02,7.027E-02,2.503E+00,1.734E+00,-1.440E-01,2.464E+00,1.531E+00,3.142E+00,6.106E-04,2.403E+00,2.412E+00,1.171E-01,3.767E+00,1.649E+00,-8.688E-02,2.270E+00,1.808E+00,3.142E+00,-4.103E-03,2.748E+00,2.677E+00,2.436E-01,1.886E+00,1.687E+00,-1.293E-01,2.599E+00,1.609E+00,3.142E+00,-2.261E-04,2.633E+00,2.629E+00,1.394E-01,3.256E+00
9,0.000E+00,1.712E-02,2.285E-05,0.000E+00,1.631E-05,3.813E-05,3.574E-02,7.051E-02,2.510E+00,1.734E+00,-1.574E-01,2.559E+00,1.532E+00,3.142E+00,4.928E-04,2.411E+00,2.418E+00,1.171E-01,3.767E+00,1.645E+00,-8.844E-02,2.274E+00,1.836E+00,3.142E+00,-4.380E-03,2.756E+00,2.681E+00,2.431E-01,1.890E+00,1.686E+00,-1.385E-01,2.671E+00,1.614E+00,3.142E+00,-5.171E-04,2.638E+00,2.630E+00,1.395E-01,3.254E+00
