alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,3dK_Na,3dTilt_Na,3dM_Na,3dN_Na,energyK_Na,energyE_Na,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.000E+00,0.000E+00,0.000E+00,1.104E-03,0.000E+00,2.109E-03,0.000E+00,0.000E+00,0.000E+00,1.232E-03,5.733E-03,1.126E-03,2.765E-03,2.853E-01,1.778E+00,1.437E-04,1.506E+00,1.357E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,7.165E-02,4.170E+00,1.750E+00,6.793E-03,1.412E+00,1.583E+00,4.935E+00,3.496E-03,1.000E+00,1.000E+00,3.132E-01,1.247E+00,1.715E+00,1.440E-02,1.521E+00,1.646E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,1.134E-01,3.137E+00,1.771E+00,1.496E-03,1.394E+00,1.502E+00,4.935E+00,0.000E+00,1.000E+00,1.000E+00,6.231E-02,4.604E+00
1.000E+00,0.000E+00,0.000E+00,1.110E-03,0.000E+00,2.103E-03,0.000E+00,0.000E+00,0.000E+00,1.253E-03,5.788E-03,1.132E-03,2.771E-03,2.870E-01,1.771E+00,-1.678E-02,1.593E+00,1.393E+00,4.935E+00,1.210E-02,1.000E+00,1.000E+00,7.201E-02,4.155E+00,1.735E+00,1.720E-03,1.443E+00,1.628E+00,4.935E+00,1.085E-02,1.000E+00,1.000E+00,3.124E-01,1.250E+00,1.699E+00,-1.549E-04,1.585E+00,1.664E+00,4.935E+00,8.935E-03,1.000E+00,1.000E+00,1.134E-01,3.138E+00,1.768E+00,-3.256E-03,1.388E+00,1.540E+00,4.935E+00,8.000E-03,1.000E+00,1.000E+00,6.213E-02,4.614E+00
2.000E+00,0.000E+00,0.000E+00,1.116E-03,0.000E+00,2.096E-03,0.000E+00,0.000E+00,0.000E+00,1.273E-03,5.842E-03,1.138E-03,2.778E-03,2.888E-01,1.765E+00,-3.370E-02,1.681E+00,1.429E+00,4.935E+00,2.420E-02,1.000E+00,1.000E+00,7.236E-02,4.139E+00,1.723E+00,-3.354E-03,1.475E+00,1.673E+00,4.935E+00,1.821E-02,1.000E+00,1.000E+00,3.115E-01,1.252E+00,1.699E+00,-1.471E-02,1.650E+00,1.682E+00,4.935E+00,1.787E-02,1.000E+00,1.000E+00,1.134E-01,3.138E+00,1.767E+00,-8.008E-03,1.382E+00,1.577E+00,4.935E+00,1.600E-02,1.000E+00,1.000E+00,6.194E-02,4.625E+00
3.000E+00,0.000E+00,0.000E+00,1.121E-03,0.000E+00,2.089E-03,0.000E+00,0.000E+00,0.000E+00,1.294E-03,5.896E-03,1.145E-03,2.784E-03,2.906E-01,1.759E+00,-5.062E-02,1.768E+00,1.465E+00,4.935E+00,3.630E-02,1.000E+00,1.000E+00,7.271E-02,4.124E+00,1.714E+00,-8.427E-03,1.506E+00,1.718E+00,4.935E+00,2.557E-02,1.000E+00,1.000E+00,3.107E-01,1.255E+00,1.699E+00,-2.927E-02,1.714E+00,1.699E+00,4.935E+00,2.681E-02,1.000E+00,1.000E+00,1.134E-01,3.138E+00,1.766E+00,-1.276E-02,1.376E+00,1.615E+00,4.935E+00,2.400E-02,1.000E+00,1.000E+00,6.176E-02,4.635E+00
4.000E+00,0.000E+00,0.000E+00,1.124E-03,0.000E+00,2.086E-03,0.000E+00,0.000E+00,0.000E+00,1.304E-03,5.924E-03,1.148E-03,2.787E-03,2.915E-01,1.756E+00,-5.908E-02,1.812E+00,1.483E+00,4.935E+00,4.235E-02,1.000E+00,1.000E+00,7.288E-02,4.116E+00,1.709E+00,-1.096E-02,1.521E+00,1.740E+00,4.935E+00,2.924E-02,1.000E+00,1.000E+00,3.103E-01,1.257E+00,1.699E+00,-3.655E-02,1.746E+00,1.708E+00,4.935E+00,3.127E-02,1.000E+00,1.000E+00,1.134E-01,3.138E+00,1.766E+00,-1.514E-02,1.373E+00,1.634E+00,4.935E+00,2.800E-02,1.000E+00,1.000E+00,6.167E-02,4.640E+00
5.000E+00,0.000E+00,0.000E+00,1.127E-03,0.000E+00,2.083E-03,0.000E+00,0.000E+00,0.000E+00,1.314E-03,5.951E-03,1.151E-03,2.791E-03,2.924E-01,1.753E+00,-6.755E-02,1.856E+00,1.501E+00,4.935E+00,4.840E-02,1.000E+00,1.000E+00,7.306E-02,4.109E+00,1.705E+00,-1.350E-02,1.537E+00,1.763E+00,4.935E+00,3.292E-02,1.000E+00,1.000E+00,3.099E-01,1.258E+00,1.699E+00,-4.383E-02,1.778E+00,1.717E+00,4.935E+00,3.574E-02,1.000E+00,1.000E+00,1.134E-01,3.138E+00,1.766E+00,-1.751E-02,1.370E+00,1.653E+00,4.935E+00,3.200E-02,1.000E+00,1.000E+00,6.158E-02,4.646E+00
6.000E+00,0.000E+00,0.000E+00,1.133E-03,0.000E+00,2.076E-03,0.000E+00,0.000E+00,0.000E+00,1.335E-03,6.005E-03,1.157E-03,2.797E-03,2.941E-01,1.748E+00,-8.447E-02,1.943E+00,1.537E+00,4.935E+00,6.049E-02,1.000E+00,1.000E+00,7.341E-02,4.093E+00,1.696E+00,-1.857E-02,1.568E+00,1.808E+00,4.935E+00,4.028E-02,1.000E+00,1.000E+00,3.091E-01,1.261E+00,1.700E+00,-5.839E-02,1.842E+00,1.734E+00,4.935E+00,4.468E-02,1.000E+00,1.000E+00,1.134E-01,3.139E+00,1.765E+00,-2.226E-02,1.364E+00,1.691E+00,4.935E+00,4.000E-02,1.000E+00,1.000E+00,6.140E-02,4.656E+00
7.000E+00,0.000E+00,0.000E+00,1.138E-03,0.000E+00,2.069E-03,0.000E+00,0.000E+00,0.000E+00,1.355E-03,6.059E-03,1.163E-03,2.803E-03,2.959E-01,1.744E+00,-1.014E-01,2.031E+00,1.573E+00,4.935E+00,7.259E-02,1.000E+00,1.000E+00,7.376E-02,4.078E+00,1.688E+00,-2.365E-02,1.599E+00,1.852E+00,4.935E+00,4.764E-02,1.000E+00,1.000E+00,3.083E-01,1.264E+00,1.700E+00,-7.295E-02,1.906E+00,1.752E+00,4.935E+00,5.361E-02,1.000E+00,1.000E+00,1.134E-01,3.139E+00,1.765E+00,-2.702E-02,1.358E+00,1.728E+00,4.935E+00,4.800E-02,1.000E+00,1.000E+00,6.122E-02,4.666E+00
8.000E+00,0.000E+00,0.000E+00,1.144E-03,0.000E+00,2.062E-03,0.000E+00,0.000E+00,0.000E+00,1.376E-03,6.114E-03,1.170E-03,2.810E-03,2.977E-01,1.739E+00,-1.183E-01,2.118E+00,1.609E+00,4.935E+00,8.469E-02,1.000E+00,1.000E+00,7.411E-02,4.063E+00,1.680E+00,-2.872E-02,1.630E+00,1.897E+00,4.935E+00,5.499E-02,1.000E+00,1.000E+00,3.075E-01,1.267E+00,1.701E+00,-8.751E-02,1.971E+00,1.770E+00,4.935E+00,6.255E-02,1.000E+00,1.000E+00,1.134E-01,3.139E+00,1.764E+00,-3.177E-02,1.352E+00,1.766E+00,4.935E+00,5.600E-02,1.000E+00,1.000E+00,6.104E-02,4.677E+00
9.000E+00,0.000E+00,0.000E+00,1.147E-03,0.000E+00,2.059E-03,0.000E+00,0.000E+00,0.000E+00,1.386E-03,6.141E-03,1.173E-03,2.813E-03,2.986E-01,1.737E+00,-1.268E-01,2.162E+00,1.627E+00,4.935E+00,9.074E-02,1.000E+00,1.000E+00,7.429E-02,4.055E+00,1.676E+00,-3.126E-02,1.646E+00,1.920E+00,4.935E+00,5.867E-02,1.000E+00,1.000E+00,3.071E-01,1.268E+00,1.701E+00,-9.479E-02,2.003E+00,1.778E+00,4.935E+00,6.701E-02,1.000E+00,1.000E+00,1.133E-01,3.140E+00,1.764E+00,-3.414E-02,1.349E+00,1.785E+00,4.935E+00,6.000E-02,1.000E+00,1.000E+00,6.095E-02,4.682E+00
