alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,3dK_Mn,3dTilt_Mn,3dM_Mn,3dN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.000E+00,0.000E+00,0.000E+00,2.544E-03,0.000E+00,9.269E-03,1.188E-02,1.030E+00,1.780E+00,-1.072E-02,1.484E+00,1.422E+00,4.935E+00,4.213E-03,1.000E+00,1.000E+00,1.020E-01,2.715E+00,1.728E+00,-2.217E-02,1.659E+00,1.565E+00,4.935E+00,3.436E-03,1.000E+00,1.000E+00,1.223E-01,2.641E+00
1.000E+00,0.000E+00,0.000E+00,2.555E-03,0.000E+00,9.309E-03,1.194E-02,1.035E+00,1.781E+00,-1.972E-02,1.525E+00,1.424E+00,4.935E+00,1.018E-02,1.000E+00,1.000E+00,1.018E-01,2.720E+00,1.729E+00,-3.077E-02,1.704E+00,1.559E+00,4.935E+00,8.696E-03,1.000E+00,1.000E+00,1.219E-01,2.647E+00
2.000E+00,0.000E+00,0.000E+00,2.565E-03,0.000E+00,9.350E-03,1.200E-02,1.039E+00,1.782E+00,-2.872E-02,1.567E+00,1.427E+00,4.935E+00,1.614E-02,1.000E+00,1.000E+00,1.015E-01,2.725E+00,1.731E+00,-3.936E-02,1.750E+00,1.554E+00,4.935E+00,1.396E-02,1.000E+00,1.000E+00,1.216E-01,2.653E+00
3.000E+00,0.000E+00,0.000E+00,2.576E-03,0.000E+00,9.391E-03,1.206E-02,1.044E+00,1.783E+00,-3.773E-02,1.609E+00,1.429E+00,4.935E+00,2.211E-02,1.000E+00,1.000E+00,1.013E-01,2.730E+00,1.733E+00,-4.795E-02,1.795E+00,1.549E+00,4.935E+00,1.922E-02,1.000E+00,1.000E+00,1.213E-01,2.659E+00
4.000E+00,0.000E+00,0.000E+00,2.581E-03,0.000E+00,9.411E-03,1.209E-02,1.047E+00,1.783E+00,-4.223E-02,1.630E+00,1.430E+00,4.935E+00,2.509E-02,1.000E+00,1.000E+00,1.012E-01,2.732E+00,1.734E+00,-5.225E-02,1.818E+00,1.546E+00,4.935E+00,2.185E-02,1.000E+00,1.000E+00,1.211E-01,2.662E+00
5.000E+00,0.000E+00,0.000E+00,2.586E-03,0.000E+00,9.431E-03,1.212E-02,1.049E+00,1.784E+00,-4.673E-02,1.650E+00,1.432E+00,4.935E+00,2.808E-02,1.000E+00,1.000E+00,1.010E-01,2.734E+00,1.736E+00,-5.654E-02,1.840E+00,1.544E+00,4.935E+00,2.448E-02,1.000E+00,1.000E+00,1.210E-01,2.665E+00
6.000E+00,0.000E+00,0.000E+00,2.597E-03,0.000E+00,9.472E-03,1.217E-02,1.054E+00,1.785E+00,-5.573E-02,1.692E+00,1.434E+00,4.935E+00,3.404E-02,1.000E+00,1.000E+00,1.008E-01,2.739E+00,1.738E+00,-6.514E-02,1.886E+00,1.538E+00,4.935E+00,2.974E-02,1.000E+00,1.000E+00,1.206E-01,2.670E+00
7.000E+00,0.000E+00,0.000E+00,2.608E-03,0.000E+00,9.512E-03,1.223E-02,1.058E+00,1.786E+00,-6.473E-02,1.734E+00,1.437E+00,4.935E+00,4.001E-02,1.000E+00,1.000E+00,1.006E-01,2.744E+00,1.740E+00,-7.373E-02,1.931E+00,1.533E+00,4.935E+00,3.500E-02,1.000E+00,1.000E+00,1.203E-01,2.676E+00
8.000E+00,0.000E+00,0.000E+00,2.618E-03,0.000E+00,9.553E-03,1.229E-02,1.063E+00,1.787E+00,-7.374E-02,1.775E+00,1.439E+00,4.935E+00,4.597E-02,1.000E+00,1.000E+00,1.003E-01,2.749E+00,1.743E+00,-8.232E-02,1.976E+00,1.528E+00,4.935E+00,4.026E-02,1.000E+00,1.000E+00,1.200E-01,2.682E+00
9.000E+00,0.000E+00,0.000E+00,2.624E-03,0.000E+00,9.573E-03,1.232E-02,1.066E+00,1.788E+00,-7.824E-02,1.796E+00,1.440E+00,4.935E+00,4.896E-02,1.000E+00,1.000E+00,1.002E-01,2.751E+00,1.744E+00,-8.662E-02,1.999E+00,1.525E+00,4.935E+00,4.289E-02,1.000E+00,1.000E+00,1.198E-01,2.685E+00
